cluster_1	a.t_motifs_m501_AT5G11260	AT5G11260
cluster_2	a.t_motifs_m574_AT5G52660	AT5G52660
cluster_3	a.t_motifs_m179_AT2G03340	AT2G03340
cluster_4	a.t_motifs_m128_AT1G68840	AT1G68840
cluster_5	a.t_motifs_m324_AT3G23220	AT3G23220
cluster_6	a.t_motifs_m608_AT5G65310	AT5G65310
cluster_7	a.t_motifs_m411_AT4G17880	AT4G17880
cluster_8	a.t_motifs_m600_AT5G62940	AT5G62940
cluster_9	a.t_motifs_m274_AT3G02990	AT3G02990
cluster_10	a.t_motifs_m134_AT1G69560	AT1G69560
cluster_11	a.t_motifs_m306_AT3G15170	AT3G15170
cluster_12	a.t_motifs_m568_AT5G50570	AT5G50570
cluster_13	a.t_motifs_m243_AT2G42280	AT2G42280
cluster_14	a.t_motifs_m136_AT1G69690	AT1G69690
cluster_15	a.t_motifs_m245_AT2G42430	AT2G42430
cluster_16	a.t_motifs_m580_AT5G56840	AT5G56840
cluster_17	a.t_motifs_m99_AT1G51600	AT1G51600
cluster_18	a.t_motifs_m508_AT5G14340	AT5G14340
cluster_19	a.t_motifs_m379_AT3G61120	AT3G61120
cluster_20	a.t_motifs_m426_AT4G23750	AT4G23750
cluster_21	a.t_motifs_m450_AT4G33280	AT4G33280
cluster_22	a.t_motifs_m238_AT2G40620	AT2G40620
cluster_23	a.t_motifs_m129_AT1G69010	AT1G69010
cluster_24	a.t_motifs_m482_AT5G05090	AT5G05090
cluster_25	a.t_motifs_m74_AT1G33240	AT1G33240
cluster_26	a.t_motifs_m496_AT5G09410	AT5G09410
cluster_27	a.t_motifs_m103_AT1G52890	AT1G52890
cluster_28	a.t_motifs_m402_AT4G14770	AT4G14770
cluster_29	a.t_motifs_m172_AT2G01930	AT2G01930
cluster_30	a.t_motifs_m55_AT1G27730	AT1G27730
cluster_31	a.t_motifs_m372_AT3G58630	AT3G58630
cluster_32	a.t_motifs_m57_AT1G28300	AT1G28300
cluster_33	a.t_motifs_m500_AT5G10510	AT5G10510
cluster_34	a.t_motifs_m19_AT1G09030	AT1G09030
cluster_35	a.t_motifs_m619_AT5G67580	AT5G67580
cluster_36	a.t_motifs_m185_AT2G15740	AT2G15740
cluster_37	a.t_motifs_m378_AT3G60580	AT3G60580
cluster_38	a.t_motifs_m32_AT1G15720	AT1G15720
cluster_39	a.t_motifs_m147_AT1G73730	AT1G73730
cluster_40	a.t_motifs_m29_AT1G13450	AT1G13450
cluster_41	a.t_motifs_m391_AT4G01500	AT4G01500
cluster_42	a.t_motifs_m286_AT3G10030	AT3G10030
cluster_43	a.t_motifs_m429_AT4G24470	AT4G24470
cluster_44	a.t_motifs_m77_AT1G34370	AT1G34370
cluster_45	a.t_motifs_m98_AT1G51220	AT1G51220
cluster_46	a.t_motifs_m586_AT5G60120	AT5G60120
cluster_47	a.t_motifs_m405_AT4G16150	AT4G16150
cluster_48	a.t_motifs_m148_AT1G74480	AT1G74480
cluster_49	a.t_motifs_m517_AT5G18090	AT5G18090
cluster_50	a.t_motifs_m157_AT1G76870	AT1G76870
cluster_51	a.t_motifs_m44_AT1G20640	AT1G20640
cluster_52	a.t_motifs_m31_AT1G14687	AT1G14687
cluster_53	a.t_motifs_m184_AT2G06200	AT2G06200
cluster_54	a.t_motifs_m22_AT1G09770	AT1G09770
cluster_55	a.t_motifs_m352_AT3G48430	AT3G48430
cluster_56	a.t_motifs_m593_AT5G61850	AT5G61850
