#cluster	node_ID	child_1	child_2	IC	IC_child_1	IC_child_2	Sites	Sites_child_1	Sites_child_2
cluster_1	25	22	24	9.66	10.98	11.47	12896	7534	5362
cluster_1	22	17	20	10.98	11.85	10.97	7534	116	7418
cluster_1	20	a.t_motifs_m227_AT2G36270	16	10.97	11.61	10.84	7418	595	6823
cluster_1	16	12	15	10.84	10.73	11.67	6823	2936	3887
cluster_1	12	a.t_motifs_m368_AT3G56850	11	10.73	11.66	10.62	2936	598	2338
cluster_1	11	a.t_motifs_m292_AT3G10800	10	10.62	9.97	10.98	2338	548	1790
cluster_1	10	a.t_motifs_m224_AT2G35530	8	10.98	11.38	10.88	1790	594	1196
cluster_1	8	a.t_motifs_m258_AT2G46270	a.t_motifs_m68_AT1G32150	10.88	11.51	10.39	1196	596	600
cluster_1	15	a.t_motifs_m182_AT2G04038	13	11.67	12.63	11.55	3887	453	3434
cluster_1	13	a.t_motifs_m501_AT5G11260	7	11.55	10.89	12.00	3434	567	2867
cluster_1	7	4	5	12.00	12.36	11.68	2867	1717	1150
cluster_1	5	a.t_motifs_m189_AT2G18160	a.t_motifs_m511_AT5G15830	11.68	12.04	11.38	1150	576	574
cluster_1	4	a.t_motifs_m154_AT1G75390	1	12.36	12.59	12.33	1717	528	1189
cluster_1	1	a.t_motifs_m384_AT3G62420	a.t_motifs_m453_AT4G34590	12.33	12.33	12.33	1189	598	591
cluster_1	17	a.t_motifs_m537_AT5G28770	6	11.85	7.97	13.68	116	21	95
cluster_1	6	a.t_motifs_m341_AT3G30530	a.t_motifs_m540_AT5G38800	13.68	13.92	13.48	95	67	28
cluster_1	24	21	23	11.47	10.55	11.71	5362	1212	4150
cluster_1	23	a.t_motifs_m487_AT5G06950	19	11.71	12.08	11.53	4150	599	3551
cluster_1	19	a.t_motifs_m163_AT1G77920	14	11.53	11.79	11.60	3551	597	2954
cluster_1	14	2	9	11.60	11.94	11.38	2954	1186	1768
cluster_1	2	a.t_motifs_m47_AT1G22070	a.t_motifs_m488_AT5G06960	11.94	11.82	12.11	1186	598	588
cluster_1	9	a.t_motifs_m486_AT5G06839	3	11.38	11.03	11.73	1768	593	1175
cluster_1	3	a.t_motifs_m297_AT3G12250	a.t_motifs_m607_AT5G65210	11.73	11.76	11.76	1175	580	595
cluster_1	21	a.t_motifs_m497_AT5G10030	18	10.55	9.72	11.12	1212	600	612
cluster_1	18	a.t_motifs_m17_AT1G08320	a.t_motifs_m82_AT1G42990	11.12	11.27	8.14	612	592	20
cluster_10	18	8	17	9.50	9.32	8.03	9442	622	8820
cluster_10	17	13	16	8.03	8.00	7.85	8820	3765	5055
cluster_10	16	14	15	7.85	7.46	10.06	5055	3585	1470
cluster_10	15	a.t_motifs_m337_AT3G27785	12	10.06	10.59	9.36	1470	278	1192
cluster_10	12	a.t_motifs_m416_AT4G18770	a.t_motifs_m583_AT5G58850	9.36	9.48	8.65	1192	594	598
cluster_10	14	3	10	7.46	7.41	7.34	3585	1786	1799
cluster_10	3	a.t_motifs_m119_AT1G66370	2	7.41	8.14	7.41	1786	586	1200
cluster_10	2	a.t_motifs_m210_AT2G26960	a.t_motifs_m485_AT5G06100	7.41	7.39	7.72	1200	600	600
cluster_10	10	a.t_motifs_m516_AT5G17800	7	7.34	8.85	7.50	1799	600	1199
cluster_10	7	a.t_motifs_m219_AT2G32460	a.t_motifs_m295_AT3G11440	7.50	7.85	7.37	1199	600	599
cluster_10	13	9	11	8.00	8.44	8.08	3765	804	2961
cluster_10	11	5	6	8.08	7.77	9.82	2961	1200	1761
cluster_10	5	a.t_motifs_m203_AT2G23290	a.t_motifs_m356_AT3G50060	7.77	8.25	7.80	1200	600	600
