;Cluster_ID	Number_of_Motifs	a.t_motifs
cluster_1	26	26
cluster_2	10	10
cluster_3	43	43
cluster_4	9	9
cluster_5	82	82
cluster_6	32	32
cluster_7	21	21
cluster_8	40	40
cluster_9	27	27
cluster_10	19	19
cluster_11	50	50
cluster_12	15	15
cluster_13	3	3
cluster_14	18	18
cluster_15	6	6
cluster_16	16	16
cluster_17	6	6
cluster_18	42	42
cluster_19	16	16
cluster_20	11	11
cluster_21	4	4
cluster_22	6	6
cluster_23	17	17
cluster_24	18	18
cluster_25	5	5
cluster_26	6	6
cluster_27	9	9
cluster_28	6	6
cluster_29	3	3
cluster_30	6	6
cluster_31	3	3
cluster_32	4	4
cluster_33	4	4
cluster_34	4	4
cluster_35	4	4
cluster_36	2	2
cluster_37	2	2
cluster_38	3	3
cluster_39	2	2
cluster_40	2	2
cluster_41	2	2
cluster_42	1	1
cluster_43	1	1
cluster_44	1	1
cluster_45	1	1
cluster_46	1	1
cluster_47	1	1
cluster_48	1	1
cluster_49	1	1
cluster_50	1	1
cluster_51	1	1
cluster_52	1	1
cluster_53	1	1
cluster_54	1	1
cluster_55	1	1
cluster_56	1	1
