"","logFC_WT","logCPM_WT","F_WT","PValue_WT","FDR_WT","Gene_ID","logFC_phyB","logCPM_phyB","F_phyB","PValue_phyB","FDR_phyB","WT.P_Avg_CPM","phyB.P_Avg_CPM","WT.R_Avg_CPM","phyB.R_Avg_CPM","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development","group"
"BraA02003663",1.34349247977593,4.3043036927353,61.5577041504744,5.58114507842468e-08,0.000346676917598511,"BraA02003663",1.15793581692325,4.3043036927353,35.0938592028086,4.67978255548459e-06,0.00320259901840554,"16.007842","16.662610","40.546687","37.142956","AT3G26840","PES2","Esterase/lipase/thioesterase family protein","-","-","Both_sig"
"BraA05003570",1.63327456317718,5.02532437877014,58.4520783872709,8.66492119608296e-08,0.000346676917598511,"BraA05003570",1.75268120992779,5.02532437877014,52.1479395527687,2.23603847668943e-07,0.000914634681318562,"14.18459","29.06078","43.92674","97.94362","AT3G15430","AT3G15430","Regulator of chromosome condensation (RCC1) family protein","-","-","Both_sig"
"BraA02001561",1.31139529325169,3.93174052344041,56.3186366120408,1.18398866495119e-07,0.000346676917598511,"BraA02001561",1.43601920240214,3.93174052344041,51.9011828649067,2.32435751288072e-07,0.000914634681318562," 9.738757","11.386771","24.174299","30.837403","AT5G53900","AT5G53900","Serine/threonine-protein kinase WNK (With No Lysine)-like protein","-","-","Both_sig"
"BraA06004547",2.81002371525874,5.54553945427641,49.2950932726113,3.5279331104086e-07,0.000555296671578313,"BraA06004547",2.70944744537044,5.54553945427641,35.2779037370301,4.50749479555246e-06,0.00320259901840554," 15.401565"," 25.617553","109.401724","167.622512","AT2G01520","MLP328","MLP-like protein 328","-","-","Both_sig"
"BraA01001738",1.75186288164405,5.3129773880357,44.7322264307353,7.61221906921521e-07,0.000921664062688057,"BraA01001738",1.51440459757268,5.3129773880357,26.0670607056537,3.49111016612136e-05,0.00890323214672507,"18.54523","34.12303","62.49249","97.43434","AT4G25700","BETA-OHASE 1","beta-hydroxylase 1","-","-","Both_sig"
"BraA02001614",0.964798148502707,7.98328402135944,41.0995892989502,1.45995507301367e-06,0.00127664960273528,"BraA02001614",1.12935358433063,7.98328402135944,42.0603984278264,1.22451009866732e-06,0.00175216263209305,"199.0353","272.4177","388.4522","595.9595","AT5G53170","FTSH11","FTSH protease 11","-","-","Both_sig"
"BraA03000127",1.30377518694625,6.55072970372128,35.8891636139661,3.9829960848815e-06,0.00208974527920116,"BraA03000127",1.40617023675813,6.55072970372128,31.1372993173522,1.08143493490354e-05,0.00486494724544674," 84.19753"," 57.02940","207.94312","151.16780","AT5G03555","NCS1","permease, cytosine/purines, uracil, thiamine, allantoin family protein","-","-","Both_sig"
"BraA05002485",2.40103169243811,5.52281126093314,30.4923400589496,1.24712639348927e-05,0.00377495566029251,"BraA05002485",3.11005369848361,5.52281126093314,37.2286970462862,3.05114610435197e-06,0.00320166931216667," 15.675449"," 25.273274"," 82.692497","218.041935","AT3G22840","ELIP1","Chlorophyll A-B binding family protein","-","YES","Both_sig"
"BraA05003648",1.43281293353481,3.57764157349995,27.3285905610989,2.57837197689153e-05,0.00489520452889309,"BraA05003648",2.07085535501584,3.57764157349995,43.7308310065096,9.07597312006824e-07,0.00142855816909874," 5.785250"," 8.518326","15.787217","35.776916","AT3G14720","MPK19","MAP kinase 19","-","-","Both_sig"
"BraA03004311",1.95020716479351,3.49000056162847,24.5457393881322,5.08757325832205e-05,0.00644119374352067,"BraA03004311",3.24496094927145,3.49000056162847,47.7626114106762,4.54179135661847e-07,0.00109562184336269," 5.5146193"," 4.8758232","21.6494379","46.2122686","AT3G22840","ELIP1","Chlorophyll A-B binding family protein","-","YES","Both_sig"
"BraA05001456",1.6718263525441,4.26210495543106,22.228138509484,9.26030424445593e-05,0.00878055354263472,"BraA05001456",2.24904667486293,4.26210495543106,31.0077303804921,1.1126944144605e-05,0.00486494724544674," 7.8980071","18.8098073","25.1563503","89.3585099","AT2G31380","STH","salt tolerance homologue","YES","-","Both_sig"
