"","logFC","logCPM","F","PValue","FDR","woundCtrl","WT.P_Avg_CPM","WT.D_Avg_CPM","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA06003490",-4.00370740944027,5.42175199817962,532.380369007702,1.62013785334606e-17,1.66616530921726e-13,FALSE,"46.287704"," 2.881876","BraA06003490","AT2G17320","AT2G17320","pantothenate kinase","-","-"
"BraA04002129",-10.3681735200649,5.28083511596932,504.046565154645,2.97876711616939e-17,1.66616530921726e-13,FALSE,"48.80012229"," 0.02185446","BraA04002129","AT2G29300","AT2G29300","NAD(P)-binding Rossmann-fold superfamily protein","-","-"
"BraA06004345",-2.75473288485738,6.00447087145255,501.153980072187,3.17566450295539e-17,1.66616530921726e-13,FALSE,"79.24423","11.71657","BraA06004345","AT3G26070","AT3G26070","Plastid-lipid associated protein PAP / fibrillin family protein","-","-"
"BraA08003307",-3.4373960494947,7.54263936467617,399.473311933695,3.90242795946313e-16,1.53560540204874e-12,FALSE,"221.32212"," 20.40327","BraA08003307","AT1G18060","AT1G18060","microbial collagenase","-","-"
"BraA06004803",-2.72029460032333,6.92550053706201,378.56825622933,7.04328773458487e-16,2.21722697884732e-12,FALSE,"164.50675"," 24.98322","BraA06004803","AT5G44650","CEST","death domain associated protein","-","-"
"BraA06001576",-3.38709818688351,5.66034315561285,363.107869212416,1.11220037837905e-15,2.91767232594771e-12,FALSE,"63.472154"," 6.062191","BraA06001576","AT1G13820","AT1G13820","alpha/beta-Hydrolases superfamily protein","-","-"
"BraA03002180",-2.50691623951051,7.86470082831801,346.297837494463,1.86704424213068e-15,4.19818233873385e-12,FALSE,"287.60143"," 50.61252","BraA03002180","AT2G39190","ATATH8","Protein kinase superfamily protein","-","-"
"BraA09000087",-7.48057986536277,9.39192339081762,336.591392466194,2.5455377545269e-15,4.86516943786709e-12,FALSE,"1232.875507","   6.977040","BraA09000087","AT4G01080","TBL26","TRICHOME BIREFRINGENCE-LIKE 26","-","-"
"BraA05000981",-3.44545779333648,5.83719635276723,330.287704147117,3.12733553454478e-15,4.86516943786709e-12,FALSE,"75.479617"," 6.941953","BraA05000981","AT2G37240","AT2G37240","Thioredoxin superfamily protein","-","-"
"BraA01000537",-5.14020167751699,11.6687695467769,329.757399096007,3.18249473613647e-15,4.86516943786709e-12,FALSE,"4164.8203"," 118.2021","BraA01000537","AT4G33010","GLDP1","glycine decarboxylase P-protein 1","-","YES"
