"","logFC","logCPM","F","PValue","FDR","woundCtrl","WT.D_Avg_CPM","WT.R_Avg_CPM","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA06003490",4.75753815746638,5.42175199817962,714.901449382592,5.95145177530877e-19,9.367585094336e-15,FALSE," 2.881876","78.041506","BraA06003490","AT2G17320","AT2G17320","pantothenate kinase","-","-"
"BraA06004345",2.80851523328442,6.00447087145255,519.90862405984,2.10991805027912e-17,1.35979379518858e-13,FALSE,"11.71657","82.25854","BraA06004345","AT3G26070","AT3G26070","Plastid-lipid associated protein PAP / fibrillin family protein","-","-"
"BraA08003307",3.97780453154409,7.54263936467617,510.391795864419,2.59172896160467e-17,1.35979379518858e-13,FALSE," 20.40327","321.84615","BraA08003307","AT1G18060","AT1G18060","microbial collagenase","-","-"
"BraA04002129",10.1214959824942,5.28083511596932,478.947749932459,5.25412542629202e-17,2.06749835524591e-13,FALSE," 0.02185446","41.17649542","BraA04002129","AT2G29300","AT2G29300","NAD(P)-binding Rossmann-fold superfamily protein","-","-"
"BraA06001576",3.65558842254684,5.66034315561285,415.591978880506,2.5243206859883e-16,7.94656151949116e-13,FALSE," 6.062191","76.419014","BraA06001576","AT1G13820","AT1G13820","alpha/beta-Hydrolases superfamily protein","-","-"
"BraA07003370",3.84237178523499,6.94236209490025,400.132247659177,3.83230439019741e-16,9.98017965764607e-13,FALSE," 13.64576","195.19708","BraA07003370","AT1G70410","BCA4","beta carbonic anhydrase 4","-","-"
"BraA05003669",5.06887317055235,9.01720054294972,394.82557688882,4.43845346909292e-16,9.98017965764607e-13,FALSE," 25.64127","858.01613","BraA05003669","AT3G14420","GOX1","Aldolase-type TIM barrel family protein","-","-"
"BraA06002244",3.33948761764451,6.53466724803957,379.920894706397,6.7730192073984e-16,1.33259152905563e-12,FALSE," 13.72675","138.99035","BraA06002244","AT1G20810","AT1G20810","FKBP-like peptidyl-prolyl cis-trans isomerase family protein","-","-"
"BraA05000981",3.69786260834945,5.83719635276723,373.90515408974,8.06864465030107e-16,1.41111629773043e-12,FALSE," 6.941953","89.872055","BraA05000981","AT2G37240","AT2G37240","Thioredoxin superfamily protein","-","-"
"BraA05004133",7.24004347270888,5.30219232204615,368.179013316761,9.5551939395073e-16,1.50398752607845e-12,FALSE," 0.417879","59.609409","BraA05004133","AT5G02120","OHP","one helix protein","-","-"
"BraA01000537",5.44398595877338,11.6687695467769,359.36106763726,1.24584832382404e-15,1.57302850976759e-12,FALSE," 118.2021","5140.9536","BraA01000537","AT4G33010","GLDP1","glycine decarboxylase P-protein 1","-","YES"
