"","logFC","logCPM","PValue","FDR","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA03000302",2.22919230589177,5.99040384628946,1.4123336249897e-39,7.41004375244598e-36,"BraA03000302","AT5G07200","GA20OX3","gibberellin 20-oxidase 3","-","-"
"BraA03003874",2.34943967265863,4.89648353768657,4.70645840438594e-32,1.23466092141725e-28,"BraA03003874","AT3G13930","AT3G13930","Dihydrolipoamide acetyltransferase, long form protein","-","YES"
"BraA03004932",2.40078567351435,6.08425786794896,2.24351072923471e-21,2.20705367988465e-18,"BraA03004932","AT4G15530","PPDK","pyruvate orthophosphate dikinase","-","-"
"BraA09005649",2.26812178963712,3.65955569867224,2.50442621448153e-19,1.87712707694949e-16,"BraA09005649","AT3G63520","CCD1","carotenoid cleavage dioxygenase 1","-","-"
"BraA07001444",2.10358774046259,3.95425857268741,3.37935210430665e-17,2.12764008487147e-14,"BraA07001444","AT1G22400","UGT85A1","UDP-Glycosyltransferase superfamily protein","-","-"
"BraA09005648",2.07721014698159,4.14031905814095,2.15201563458491e-14,9.40909058010178e-12,"BraA09005648","AT3G63520","CCD1","carotenoid cleavage dioxygenase 1","-","-"
"BraA02003103",2.00144888742022,4.12409246337341,5.94778248403627e-14,2.29214479423961e-11,"BraA02003103","AT4G11320","AT4G11320","Papain family cysteine protease","-","-"
"BraA09000297",2.21626847257272,4.12658634906591,5.97064400024296e-14,2.29214479423961e-11,"BraA09000297",NA,NA,NA,NA,NA
"BraA01000675",3.06449262491823,5.8731134260575,1.98454766571764e-12,5.78458893673993e-10,"BraA01000675","AT1G77520","AT1G77520","O-methyltransferase family protein","-","-"
"BraA02002649",2.29300876150611,4.22851430076803,1.44492813509729e-10,2.99252221663569e-08,"BraA02002649","AT1G77760","NIA1","nitrate reductase 1","-","-"
"BraA07002218",2.426884088112,9.16734543025122,5.95492711464756e-10,1.11583991410182e-07,"BraA07002218","AT3G59960","ASHH4","histone-lysine N-methyltransferase ASHH4","-","-"
"BraA05003973",3.79223994325175,1.95602632382517,3.84364758681681e-06,0.000217622348980204,"BraA05003973","AT3G11280","AT3G11280","Duplicated homeodomain-like superfamily protein","YES","-"
"BraA03003788",4.53784461394564,1.58299464769495,6.11576501320366e-06,0.000323027319824918,"BraA03003788","AT3G12500","HCHIB","basic chitinase","-","-"
"BraA07003915",3.25056697750212,4.75354122210081,3.21684383668304e-05,0.00127539350099222,"BraA07003915","AT1G21310","EXT3","extensin 3","-","-"
"BraA01002310",2.32119230807352,0.390499876802076,4.38793418407283e-05,0.00166024240522371,"BraA01002310",NA,NA,NA,NA,NA
"BraA06001469",2.35320513327709,0.872666338845091,5.42640294656132e-05,0.00196359494143395,"BraA06001469","AT1G11330","AT1G11330","S-locus lectin protein kinase family protein","-","-"
"BraA04000540",2.09525959369999,1.99179373029278,9.80347448809774e-05,0.00311102194440844,"BraA04000540","AT3G54720","AMP1","Peptidase M28 family protein","-","-"
"BraA03005025",2.97024073691775,1.20391220534807,0.000104212783650307,0.00326754823636619,"BraA03005025","AT4G16590","CSLA01","cellulose synthase-like A01","-","-"
"BraA08001190",2.0148881826338,2.29013335104236,0.000106270831033952,0.00331228293163248,"BraA08001190","AT4G15210","BAM5","beta-amylase 5","-","YES"
"BraA01002074",2.10024339218451,1.70799605102078,0.000162873956192335,0.00456163001862519,"BraA01002074","AT4G28250","EXPB3","expansin B3","-","-"
"BraA05003482",2.7652233512239,2.60948057019502,0.000559796669954817,0.0121126674045135,"BraA05003482","AT3G16470","JR1","Mannose-binding lectin superfamily protein","-","YES"
"BraA07003113",3.22377283722771,2.61763230194115,0.000687798464471199,0.0141700887837391,"BraA07003113","AT1G67280","AT1G67280","Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily protein","-","-"
"BraA02000315",2.53495541821467,0.298992911190023,0.00125861677369276,0.0226148721665799,"BraA02000315","AT5G09440","EXL4","EXORDIUM like 4","-","YES"
"BraA04000539",3.57499918368153,2.06788137431044,0.00147627716834009,0.0253951941307901,"BraA04000539","AT5G63420","emb2746","RNA-metabolising metallo-beta-lactamase family protein","YES","-"
"BraA01003979",2.11917148939093,6.10380791042175,0.00329434574671415,0.0456452482863387,"BraA01003979","AT3G15450","AT3G15450","aluminum induced protein with YGL and LRDR motifs","-","-"
