"Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA10003025","AT5G03900","AT5G03900","Iron-sulfur cluster biosynthesis family protein","-","-"
"BraA02003650","AT3G26710","CCB1","cofactor assembly of complex C","-","-"
"BraA03004700","AT5G61190","AT5G61190","putative endonuclease or glycosyl hydrolase with C2H2-type zinc finger domain-containing protein","-","-"
"BraA03002283","AT2G40890","CYP98A3","cytochrome P450, family 98, subfamily A, polypeptide 3","-","YES"
"BraA10003048","AT5G03540","EXO70A1","exocyst subunit exo70 family protein A1","-","YES"
"BraA09004431","AT3G50240","KICP-02","ATP binding microtubule motor family protein","-","-"
"BraA02001516","AT5G54390","HL","HAL2-like protein","-","-"
"BraA01001464","AT4G22990","AT4G22990","Major Facilitator Superfamily with SPX (SYG1/Pho81/XPR1) domain-containing protein","-","-"
"BraA06003462","AT2G17640","ATSERAT3;1","Trimeric LpxA-like enzymes superfamily protein","-","-"
"BraA03004376","AT3G24480","AT3G24480","Leucine-rich repeat (LRR) family protein","-","-"
"BraA06001882","AT1G17100","HBP1","SOUL heme-binding family protein","-","-"
"BraA08002262","AT4G24280","cpHsc70-1","chloroplast heat shock protein 70-1","-","-"
"BraA07004037","AT1G78510","SPS1","solanesyl diphosphate synthase 1","-","-"
"BraA06004753","AT5G45500","AT5G45500","RNI-like superfamily protein","-","-"
"BraA01002266","AT4G15810","AT4G15810","P-loop containing nucleoside triphosphate hydrolases superfamily protein","-","-"
"BraA01004546","AT3G06350","MEE32","dehydroquinate dehydratase, putative / shikimate dehydrogenase","-","-"
"BraA10001988","AT5G17710","EMB1241","Co-chaperone GrpE family protein","-","-"
"BraA05004187","AT3G08740","AT3G08740","elongation factor P (EF-P) family protein","-","-"
"BraA09002237","AT5G45370","UMAMIT1","nodulin MtN21 /EamA-like transporter family protein","-","-"
"BraA04001609","AT2G22360","AT2G22360","DNAJ heat shock family protein","-","-"
"BraA01001633","AT4G24620","PGI1","phosphoglucose isomerase 1","-","-"
"BraA06003398","AT2G18940","AT2G18940","Tetratricopeptide repeat (TPR)-like superfamily protein","-","-"
"BraA03004902","AT3G52380","CP33","chloroplast RNA-binding protein 33","-","YES"
"BraA06003767","AT5G26230","MAKR1","membrane-associated kinase regulator","-","-"
"BraA07003002","AT1G64980","CDI","Nucleotide-diphospho-sugar transferases superfamily protein","-","-"
"BraSca000621","AT1G44835","AT1G44835","YbaK/aminoacyl-tRNA synthetase-associated domain-containing protein","-","-"
"BraA09000881","AT5G64530","XND1","xylem NAC domain 1","YES","-"
"BraA09004633","AT3G52230","AT3G52230","hypothetical protein","-","-"
"BraA08000064","AT1G55510","BCDH BETA1","branched-chain alpha-keto acid decarboxylase E1 beta subunit","-","-"
"BraA10002000","AT5G17560","AT5G17560","BolA-like family protein","-","-"
"BraA10000999","AT5G54390","HL","HAL2-like protein","-","-"
"BraA06001089","AT1G48600","PMEAMT","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein","-","-"
"BraA10000699","AT1G45688","AT1G45688","transmembrane protein","-","-"
"BraA07002276","AT3G61350","SKIP4","SKP1 interacting partner 4","-","-"
"BraA01000375","AT4G34830","MRL1","Pentatricopeptide repeat (PPR) superfamily protein","-","-"
"BraA04003228","AT2G45440","DHDPS2","dihydrodipicolinate synthase","-","-"
"BraA03005522","AT4G24280","cpHsc70-1","chloroplast heat shock protein 70-1","-","-"
"BraA01004770","AT3G01060","AT3G01060","lysine-tRNA ligase","-","-"
"BraA03005543","AT4G24770","RBP31","31-kDa RNA binding protein","-","YES"
"BraA06001804","AT1G16240","SYP51","syntaxin of plants 51","-","-"
"BraA05001010","AT2G36835","AT2G36835","hypothetical protein","-","-"
"BraA05000177","AT2G46915","AT2G46915","DUF3754 family protein, putative (DUF3754)","-","-"
"BraA04002028","AT2G28110","FRA8","Exostosin family protein","-","-"
"BraA04001955","AT2G26910","ABCG32","pleiotropic drug resistance 4","-","-"
"BraA01004729","AT3G02570","MEE31","Mannose-6-phosphate isomerase, type I","-","-"
"BraA07000495","AT2G15820","OTP51","endonuclease","-","-"
"BraA10003061","AT5G03300","ADK2","adenosine kinase 2","-","-"
"BraA03005961","AT4G30470","AT4G30470","NAD(P)-binding Rossmann-fold superfamily protein","-","-"
"BraA06004627","AT5G47190","AT5G47190","Ribosomal protein L19 family protein","-","-"
"BraA09005643","AT2G25070","AT2G25070","Protein phosphatase 2C family protein","-","-"
"BraA01004592","AT3G04790","EMB3119","Ribose 5-phosphate isomerase, type A protein","-","YES"
"BraA05000790","AT2G39730","RCA","rubisco activase","-","YES"
"BraA01000493","AT4G33470","HDA14","histone deacetylase 14","-","-"
"BraA09005427","AT3G61770","AT3G61770","Acid phosphatase/vanadium-dependent haloperoxidase-related protein","-","-"
"BraA04002664","AT2G36830","GAMMA-TIP","gamma tonoplast intrinsic protein","-","-"
"BraA02000741","AT1G20850","XCP2","xylem cysteine peptidase 2","-","YES"
"BraA09005650","AT3G63520","CCD1","carotenoid cleavage dioxygenase 1","-","-"
"BraA07002302","AT3G61770","AT3G61770","Acid phosphatase/vanadium-dependent haloperoxidase-related protein","-","-"
"BraA07004153","AT1G80630","AT1G80630","RNI-like superfamily protein","-","-"
"BraA06004710","AT5G46180","DELTA-OAT","ornithine-delta-aminotransferase","-","-"
"BraA10002972","AT5G04470","SIM","cyclin-dependent protein kinase inhibitor","-","YES"
"BraA02001305","AT5G57800","CER3","Fatty acid hydroxylase superfamily","-","-"
"BraA04000072","AT3G62550","AT3G62550","Adenine nucleotide alpha hydrolases-like superfamily protein","-","-"
"BraA02000531","AT5G13510","EMB3136","Ribosomal protein L10 family protein","-","YES"
"BraA06003456","AT2G17710","AT2G17710","Big1","-","-"
"BraA03004259","AT3G21700","SGP2","Ras-related small GTP-binding family protein","-","-"
"BraA03000600","AT5G13370","AT5G13370","Auxin-responsive GH3 family protein","-","-"
"BraA09000647","AT5G24850","CRY3","cryptochrome 3","-","-"
"BraA10002792","AT2G17360","AT2G17360","Ribosomal protein S4 (RPS4A) family protein","-","-"
"BraA06002982","AT5G62220","GT18","glycosyltransferase 18","-","-"
"BraA05001416","AT2G31810","AT2G31810","ACT domain-containing small subunit of acetolactate synthase protein","-","-"
"BraA06004382","AT3G25590","AT3G25590","micronuclear linker histone polyprotein-like protein","-","-"
"BraA03004431","AT2G04530","CPZ","Metallo-hydrolase/oxidoreductase superfamily protein","-","-"
"BraA08002498","AT4G39070","BZS1","B-box zinc finger family protein","YES","-"
"BraA03001184","AT5G59590","UGT76E2","UDP-glucosyl transferase 76E2","-","-"
"BraA10001950","AT5G18130","AT5G18130","transmembrane protein","-","-"
"BraA09004689","AT3G52960","AT3G52960","Thioredoxin superfamily protein","-","YES"
"BraA01000920","AT4G29000","AT4G29000","Tesmin/TSO1-like CXC domain-containing protein","YES","-"
"BraA06001363","AT1G10155","PP2-A10","phloem protein 2-A10","-","-"
"BraA07004039","AT1G78560","AT1G78560","Sodium Bile acid symporter family","-","-"
"BraA06004622","AT5G47240","NUDT8","nudix hydrolase homolog 8","-","-"
"BraA05000695","AT2G45790","PMM","phosphomannomutase","-","-"
"BraA01003438","AT3G21690","AT3G21690","MATE efflux family protein","-","-"
"BraA03002640","AT2G28000","CPN60A","chaperonin-60alpha","-","-"
"BraA01004510","AT3G06860","MFP2","multifunctional protein 2","-","-"
"BraA09006287","AT1G14360","UTR3","UDP-galactose transporter 3","-","-"
"BraA09005529","AT3G62930","AT3G62930","Thioredoxin superfamily protein","-","-"
"BraA09000018","AT4G00150","HAM3","GRAS family transcription factor","YES","YES"
"BraA01000213","AT4G36860","AT4G36860","LIM domain-containing protein","-","YES"
"BraA07001404","AT1G23030","AT1G23030","ARM repeat superfamily protein","-","-"
"BraA03004666","AT5G60920","COB","COBRA-like extracellular glycosyl-phosphatidyl inositol-anchored protein family","-","-"
"BraA02000446","AT5G11800","KEA6","K  efflux antiporter 6","-","-"
"BraA05003104","AT3G19380","PUB25","plant U-box 25","-","-"
"BraA09002789","AT4G10480","AT4G10480","Nascent polypeptide-associated complex (NAC), alpha subunit family protein","-","-"
"BraA09002485","AT2G02390","GSTZ1","glutathione S-transferase zeta 1","-","-"
"BraA03001730","AT5G28540","BIP1","heat shock protein 70 (Hsp 70) family protein","-","YES"
"BraA07002578","AT1G76590","AT1G76590","PLATZ transcription factor family protein","-","-"
"BraA07000277","AT2G17972","AT2G17972","transmembrane protein","-","-"
"BraA09005936","AT2G20560","AT2G20560","DNAJ heat shock family protein","-","-"
"BraA01001156","AT4G19420","AT4G19420","Pectinacetylesterase family protein","-","-"
"BraA01001608","AT4G24380","AT4G24380","dihydrofolate reductase","-","-"
"BraA06003555","AT5G23750","AT5G23750","Remorin family protein","-","-"
"BraA09001400","AT1G63470","AT1G63470","AT hook motif DNA-binding family protein","-","-"
"BraA09006486","AT1G11530","CXXS1","C-terminal cysteine residue is changed to a serine 1","-","-"
"BraA08002100","AT4G28590","MRL7","polyadenylate-binding protein 2-binding protein","-","-"
"BraA08003115","AT1G21920","AT1G21920","Histone H3 K4-specific methyltransferase SET7/9 family protein","-","-"
"BraA03005037","AT4G16720","AT4G16720","Ribosomal protein L23/L15e family protein","-","-"
"BraA09005826","AT2G22240","MIPS2","myo-inositol-1-phosphate synthase 2","-","-"
"BraA05004523","AT3G04000","AT3G04000","NAD(P)-binding Rossmann-fold superfamily protein","-","-"
"BraA01001595","AT4G24280","cpHsc70-1","chloroplast heat shock protein 70-1","-","-"
"BraA08002951","AT1G25560","TEM1","AP2/B3 transcription factor family protein","YES","YES"
"BraA03002369","AT2G43010","PIF4","phytochrome interacting factor 4","YES","YES"
"BraA06002510","AT3G48200","AT3G48200","transmembrane protein","-","-"
"BraA08001466","AT4G20170","GALS3","glycosyltransferase family protein (DUF23)","-","-"
"BraA01000031","AT4G39090","RD19","Papain family cysteine protease","-","YES"
"BraA03000298","AT2G17360","AT2G17360","Ribosomal protein S4 (RPS4A) family protein","-","-"
"BraA02001377","AT5G56870","BGAL4","beta-galactosidase 4","-","-"
"BraA01002063","AT4G28100","AT4G28100","transmembrane protein","-","-"
"BraA01001042","AT4G18220","AT4G18220","Drug/metabolite transporter superfamily protein","-","-"
"BraA05003136","AT3G19180","PARC6","plastid division protein","-","-"
"BraA04000722","AT3G52500","AT3G52500","Eukaryotic aspartyl protease family protein","-","-"
"BraA05004311","AT3G06860","MFP2","multifunctional protein 2","-","-"
"BraA05004316","AT3G06730","TRX z","Thioredoxin z","-","-"
"BraA04002679","AT2G37110","AT2G37110","PLAC8 family protein","-","-"
"BraA08003068","AT5G28010","AT5G28010","Polyketide cyclase/dehydrase and lipid transport superfamily protein","-","-"
"BraA10000542","AT1G06800","PLA-I{gamma}1","alpha/beta-Hydrolases superfamily protein","-","-"
"BraA02004525","AT5G66850","MAPKKK5","mitogen-activated protein kinase kinase kinase 5","-","-"
"BraA03000591","AT5G13180","NAC083","NAC domain containing protein 83","YES","YES"
"BraA09006302","AT1G14200","AT1G14200","RING/U-box superfamily protein","-","-"
"BraA01004487","AT3G06580","GALK","Mevalonate/galactokinase family protein","-","-"
"BraA09005886","AT2G21320","BBX18","B-box zinc finger family protein","YES","-"
"BraA08001639","AT4G35090","CAT2","catalase 2","-","YES"
"BraA09006492","AT1G11330","AT1G11330","S-locus lectin protein kinase family protein","-","-"
"BraA01003989","AT3G15354","SPA3","SPA1-related 3","-","YES"
"BraA03001332","AT5G56860","GNC","GATA type zinc finger transcription factor family protein","YES","YES"
"BraA03001542","AT5G53160","RCAR3","regulatory components of ABA receptor 3","-","-"
"BraA04003187","AT2G44450","BGLU15","beta glucosidase 15","-","-"
"BraSca000799","AT3G05590","RPL18","ribosomal protein L18","-","-"
"BraA09005078","AT3G57190","PrfB3","peptide chain release factor","-","-"
"BraA03003986","AT3G16000","MFP1","MAR binding filament-like protein 1","-","-"
"BraA03004643","AT5G23050","AAE17","acyl-activating enzyme 17","-","-"
"BraA09001518","AT1G64500","AT1G64500","Glutaredoxin family protein","-","-"
"BraA03002046","AT5G42020","BIP2","Heat shock protein 70 (Hsp 70) family protein","-","YES"
"BraA10000770","AT5G51560","AT5G51560","Leucine-rich repeat protein kinase family protein","-","-"
"BraA07001424","AT1G22640","MYB3","myb domain protein 3","YES","-"
"BraA09000711","AT5G23310","FSD3","Fe superoxide dismutase 3","-","-"
"BraA01002373","AT4G14680","APS3","Pseudouridine synthase/archaeosine transglycosylase-like family protein","-","-"
"BraA03002322","AT2G41710","AT2G41710","Integrase-type DNA-binding superfamily protein","YES","-"
"BraA01002304","AT4G15430","AT4G15430","ERD (early-responsive to dehydration stress) family protein","-","-"
"BraA01004611","AT3G04550","AT3G04550","rubisco accumulation factor-like protein","-","-"
"BraA04001554","AT2G21660","GRP7","cold, circadian rhythm, and rna binding 2","-","-"
"BraA08001511","AT4G21534","SPHK2","Diacylglycerol kinase family protein","-","-"
"BraA03006281","AT4G34200","EDA9","D-3-phosphoglycerate dehydrogenase","-","-"
"BraA10003103","AT5G02710","AT5G02710","zinc/iron-chelating domain protein","-","-"
"BraA04000783","AT3G51870","AT3G51870","Mitochondrial substrate carrier family protein","-","-"
"BraA10000330","AT1G04770","AT1G04770","Tetratricopeptide repeat (TPR)-like superfamily protein","-","-"
"BraA04001504","AT2G21060","GRP2B","glycine-rich protein 2B","-","-"
"BraA05004079","AT3G10020","AT3G10020","plant/protein","-","-"
"BraA02003662","AT5G14030","AT5G14030","translocon-associated protein beta (TRAPB) family protein","-","-"
"BraA01002532","AT5G18350","AT5G18350","Disease resistance protein (TIR-NBS-LRR class) family","-","-"
"BraA04001203","AT5G38865","#N/A","#N/A","-","-"
"BraA03004343","AT3G23810","SAHH2","S-adenosyl-l-homocysteine (SAH) hydrolase 2","-","YES"
"BraA09003355","AT1G33700","AT1G33700","Beta-glucosidase, GBA2 type family protein","-","-"
"BraA03004334","AT4G14320","AT4G14320","Zinc-binding ribosomal protein family protein","-","YES"
"BraA08000751","AT1G36370","SHM7","serine hydroxymethyltransferase 7","-","-"
"BraA03001015","AT5G20270","HHP1","heptahelical transmembrane protein1","-","-"
"BraA07003764","AT1G75250","RL6","RAD-like 6","YES","-"
"BraA08002141","AT4G27940","MTM1","manganese tracking factor for mitochondrial SOD2","-","-"
"BraA05000795","AT2G39700","EXPA4","expansin A4","-","YES"
"BraA10002499","AT5G10650","AT5G10650","RING/U-box superfamily protein","-","-"
"BraA05001626","AT2G29330","TRI","tropinone reductase","-","-"
"BraA04000089","AT3G62030","ROC4","rotamase CYP 4","-","YES"
"BraA05002616","AT3G21560","UGT84A2","UDP-Glycosyltransferase superfamily protein","-","-"
"BraA07002951","AT1G67920","AT1G67920","hypothetical protein","-","-"
"BraA01002172","AT4G16660","AT4G16660","heat shock protein 70 (Hsp 70) family protein","-","-"
"BraA08001055","AT5G40160","EMB506","Ankyrin repeat family protein","-","-"
"BraA04003164","AT2G44040","AT2G44040","Dihydrodipicolinate reductase, bacterial/plant","-","-"
"BraA09004173","AT1G24170","LGT9","Nucleotide-diphospho-sugar transferases superfamily protein","-","-"
"BraA07000808","AT5G42020","BIP2","Heat shock protein 70 (Hsp 70) family protein","-","YES"
"BraA07002254","AT4G00100","RPS13A","ribosomal protein S13A","-","YES"
"BraA07001061","AT1G29470","AT1G29470","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein","-","-"
"BraA04000595","AT3G54030","BSK6","kinase with tetratricopeptide repeat domain-containing protein","-","YES"
"BraA04002859","AT2G39855","AT2G39855","plant/protein","-","-"
"BraA05001504","AT2G30960","AT2G30960","myosin-M heavy chain-like protein","-","-"
"BraA01001874","AT4G27030","FADA","fatty acid desaturase A","-","-"
"BraA06004801","AT5G44670","GALS2","glycosyltransferase family protein (DUF23)","-","-"
"BraA03003153","AT4G00810","AT4G00810","60S acidic ribosomal protein family","-","-"
"BraA05001140","AT2G34810","AT2G34810","FAD-binding Berberine family protein","-","-"
"BraA09006916","AT1G03090","MCCA","methylcrotonyl-CoA carboxylase alpha chain","-","YES"
"BraA05001409","AT2G32060","AT2G32060","Ribosomal protein L7Ae/L30e/S12e/Gadd45 family protein","-","-"
"BraA07001841","AT2G27830","AT2G27830","hypothetical protein","-","-"
"BraA05003891","AT3G12145","FLR1","Leucine-rich repeat (LRR) family protein","-","-"
"BraA01002372","AT4G14690","ELIP2","Chlorophyll A-B binding family protein","-","YES"
"BraA09001677","AT1G62480","AT1G62480","Vacuolar calcium-binding protein-like protein","-","-"
"BraA04002869","AT2G39980","AT2G39980","HXXXD-type acyl-transferase family protein","-","-"
"BraA05003719","AT3G14050","RSH2","RELA/SPOT homolog 2","-","-"
"BraA05000348","AT2G41950","AT2G41950","DNA-directed RNA polymerase subunit beta","-","-"
"BraA06003724","AT5G25610","RD22","BURP domain-containing protein","-","YES"
"BraA06001401","AT1G10522","PRIN2","Serine/Threonine-kinase","-","-"
"BraA09004771","AT5G27700","AT5G27700","Ribosomal protein S21e","-","-"
"BraA05004121","AT3G09450","AT3G09450","fusaric acid resistance family protein","-","-"
"BraA01003061","AT1G60600","ABC4","UbiA prenyltransferase family protein","-","-"
"BraA03005872","AT4G29230","NAC075","NAC domain containing protein 75","YES","-"
"BraA07002711","AT1G73480","AT1G73480","alpha/beta-Hydrolases superfamily protein","-","-"
"BraA02000240","AT5G07090","AT5G07090","Ribosomal protein S4 (RPS4A) family protein","-","-"
"BraA01004508","AT3G06840","AT3G06840","hypothetical protein","-","-"
"BraA09005494","AT3G62590","AT3G62590","alpha/beta-Hydrolases superfamily protein","-","-"
"BraA08000917","AT5G33290","XGD1","xylogalacturonan deficient 1","-","-"
"BraA09004983","AT3G56200","AT3G56200","Transmembrane amino acid transporter family protein","-","-"
"BraA04002319","AT2G31380","STH","salt tolerance homologue","YES","-"
"BraA06003955","AT5G49100","AT5G49100","vitellogenin-like protein","-","-"
"BraA01000159","AT4G37430","CYP91A2","cytochrome P450, family 91, subfamily A, polypeptide 2","-","-"
