"Gene_ID"	"A._thaliana_best_hit"	"Symbol"	"Description"	"TF"	"Leaf_development"	"logFC"	"F"	"PValue"	"fdr.gen"
"BraA08001694"	"AT4G34410"	"RRTF1"	"redox responsive transcription factor 1"	"YES"	"-"	-7.27817133095477	5.96180699644419	0.025100378410611	0.98062557723579
"BraA09006785"	"AT1G06080"	"ADS1"	"delta 9 desaturase 1"	"-"	"-"	-5.9448959523727	6.07614217333701	0.022356305819341	0.975081671667326
"BraA07002648"	"AT1G74930"	"ORA47"	"Integrase-type DNA-binding superfamily protein"	"YES"	"-"	-5.68017431939633	9.03853441777328	0.00564100545281196	0.864956401710831
"BraA06003537"	"AT5G23530"	"CXE18"	"carboxyesterase 18"	"-"	"-"	-5.56720351261071	6.89027805541065	0.0148101041654248	0.913682702741983
"BraA01000411"	"AT4G34410"	"RRTF1"	"redox responsive transcription factor 1"	"YES"	"-"	-5.5206469118529	4.7773921730307	0.0387779503312196	1
"BraA05004265"	"AT3G07350"	"AT3G07350"	"sulfate/thiosulfate import ATP-binding protein, putative (DUF506)"	"-"	"-"	-4.52570341165075	9.38056545699478	0.00490963592080425	0.864956401710831
"BraA03001284"	"AT5G57760"	"AT5G57760"	"hypothetical protein"	"-"	"YES"	-4.50691352625223	6.97276074882917	0.0142918849306208	0.910733748732963
"BraA02000813"	"AT5G18000"	"VDD"	"VERDANDI"	"YES"	"-"	-4.19398683176874	7.27322255204173	0.0134538826869659	0.907417625970567
"BraA07001098"	"AT1G29000"	"AT1G29000"	"Heavy metal transport/detoxification superfamily protein"	"-"	"-"	-4.13797623819179	3.19464506215994	0.0882449583020869	1
"BraA03005048"	"AT4G17030"	"EXLB1"	"expansin-like B1"	"-"	"YES"	-3.87875591778263	8.05935379519789	0.00904471236129609	0.904606007077717
"BraA09006013"	"AT1G19180"	"JAZ1"	"jasmonate-zim-domain protein 1"	"-"	"YES"	-3.81304707736036	6.05501535337146	0.0205199578973672	0.975081671667326
"BraA08004017"	"AT1G02400"	"GA2OX6"	"gibberellin 2-oxidase 6"	"-"	"-"	-3.80138472590211	8.4884547720702	0.00707801896691486	0.892449955605283
"BraA02000975"	"AT5G20630"	"GER3"	"germin 3"	"-"	"-"	-3.5238527424216	5.32276641939284	0.0289172875863266	0.987240852954596
"BraA04003328"	"AT2G47880"	"AT2G47880"	"Glutaredoxin family protein"	"-"	"-"	-3.39846920356919	3.42181457182771	0.0783876897144613	1
"BraA10002795"	"AT5G07070"	"CIPK2"	"CBL-interacting protein kinase 2"	"-"	"-"	-3.39345240437714	4.55376517366529	0.0420416020923059	1
"BraA01000214"	"AT4G36820"	"AT4G36820"	"calcium uniporter (DUF607)"	"-"	"-"	-3.37757848894231	5.31268174836281	0.0300843925768761	0.987240852954596
"BraA04002976"	"AT2G41230"	"ORS1"	"ORGAN SIZE-like protein"	"-"	"YES"	-3.24258983001484	4.39130872220088	0.0482105264185406	1
"BraA03001861"	"AT2G33380"	"RD20"	"Caleosin-related family protein"	"-"	"YES"	-3.13084836665664	8.23265473474783	0.00787818158981143	0.902973853183173
"BraA08000176"	"AT5G55890"	"AT5G55890"	"hypothetical protein (DUF295)"	"-"	"-"	-3.12432066958816	6.58230295550684	0.0161431681683555	0.947166919255104
"BraA06002607"	"AT3G47340"	"ASN1"	"glutamine-dependent asparagine synthase 1"	"-"	"YES"	-3.10343572173578	3.46243286626084	0.0736555303592469	1
"BraA01002083"	"AT4G32480"	"AT4G32480"	"sugar phosphate exchanger, putative (DUF506)"	"-"	"-"	-3.09891215078339	8.43451050392953	0.00723908982262915	0.892449955605283
"BraA06000801"	"AT4G12170"	"AT4G12170"	"Thioredoxin superfamily protein"	"-"	"-"	-3.08109066906123	7.46697479318161	0.0109245744483451	0.904606007077717
"BraA07001351"	"AT1G24020"	"MLP423"	"MLP-like protein 423"	"-"	"-"	-3.04051676845432	5.49738072825608	0.0266164213395592	0.987240852954596
"BraA03000085"	"AT5G02540"	"AT5G02540"	"NAD(P)-binding Rossmann-fold superfamily protein"	"-"	"-"	-2.98231242856126	8.00392643639757	0.00867758902372262	0.903364803321406
"BraA06004624"	"AT5G47220"	"ERF2"	"ethylene responsive element binding factor 2"	"YES"	"-"	-2.90778468228819	6.41870658291992	0.0173801234789759	0.958588786126782
"BraA09005927"	"AT2G20670"	"AT2G20670"	"sugar phosphate exchanger, putative (DUF506)"	"-"	"-"	-2.81584522408807	7.23725437423047	0.012073827119146	0.90594818113322
"BraA01001908"	"AT4G27410"	"RD26"	"NAC (No Apical Meristem) domain transcriptional regulator superfamily protein"	"YES"	"-"	-2.79607536875856	5.3357359220316	0.0287390393708532	0.987240852954596
"BraA10001853"	"AT5G19120"	"AT5G19120"	"Eukaryotic aspartyl protease family protein"	"-"	"-"	-2.66035643811688	6.3857398476148	0.0176417698834799	0.958588786126782
"BraA08000969"	"AT5G41080"	"GDPD2"	"PLC-like phosphodiesterases superfamily protein"	"-"	"-"	-2.65392415532706	3.51552170314337	0.0729585838143728	1
"BraA01001353"	"AT4G21970"	"AT4G21970"	"senescence regulator (Protein of unknown function, DUF584)"	"-"	"-"	-2.61215206588112	3.50718412676798	0.0719237545000394	1
"BraA04003065"	"AT2G42840"	"PDF1"	"protodermal factor 1"	"-"	"YES"	-2.59740306253286	5.35558943421479	0.0284685280735282	0.987240852954596
"BraA02003902"	"AT5G48490"	"AT5G48490"	"Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein"	"-"	"-"	-2.59471894180551	5.14757636028979	0.0314488022146912	0.993334244345733
"BraA05002634"	"AT3G21330"	"AT3G21330"	"basic helix-loop-helix (bHLH) DNA-binding superfamily protein"	"YES"	"-"	-2.53709330950829	5.40330010464577	0.0278298885634598	0.987240852954596
"BraA01000130"	"AT4G37770"	"ACS8"	"1-amino-cyclopropane-1-carboxylate synthase 8"	"-"	"-"	-2.50764731615427	5.80423107722934	0.0230469704525292	0.98062557723579
"BraA06000882"	"AT1G51760"	"IAR3"	"peptidase M20/M25/M40 family protein"	"-"	"-"	-2.48663574252897	5.72882437124267	0.0238724071974917	0.98062557723579
"BraA01001909"	"AT4G27410"	"RD26"	"NAC (No Apical Meristem) domain transcriptional regulator superfamily protein"	"YES"	"-"	-2.45786756650291	4.14846450082378	0.0515445403200399	1
"BraA03004879"	"AT3G51910"	"HSFA7A"	"heat shock transcription factor A7A"	"YES"	"-"	-2.39826980454891	4.65865035350157	0.0399127812150145	1
"BraA05001179"	"AT2G34430"	"LHB1B1"	"light-harvesting chlorophyll-protein complex II subunit B1"	"-"	"YES"	-2.36694421443453	7.01673970302244	0.0133023904387954	0.907417625970567
"BraA08003616"	"AT1G11080"	"scpl31"	"serine carboxypeptidase-like 31"	"-"	"-"	-2.3232620771677	0.93533608838125	0.34621655492166	1
