"Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA06002244","AT1G20810","AT1G20810","FKBP-like peptidyl-prolyl cis-trans isomerase family protein","-","-"
"BraA05003779","AT3G13460","ECT2","evolutionarily conserved C-terminal region 2","-","-"
"BraA02001332","AT5G57345","AT5G57345","transmembrane protein","-","-"
"BraA06004753","AT5G45500","AT5G45500","RNI-like superfamily protein","-","-"
"BraA04002996","AT2G41560","ACA4","autoinhibited Ca(2 )-ATPase, isoform 4","-","-"
"BraA07003002","AT1G64980","CDI","Nucleotide-diphospho-sugar transferases superfamily protein","-","-"
"BraA08003565","AT4G26910","AT4G26910","Dihydrolipoamide succinyltransferase","-","-"
"BraA03002365","AT2G42890","ML2","MEI2-like 2","-","-"
"BraA01004729","AT3G02570","MEE31","Mannose-6-phosphate isomerase, type I","-","-"
"BraA03005826","AT4G28640","IAA11","indole-3-acetic acid inducible 11","-","YES"
"BraA05004187","AT3G08740","AT3G08740","elongation factor P (EF-P) family protein","-","-"
"BraA02002262","AT1G72150","PATL1","PATELLIN 1","-","-"
"BraA02000812","AT5G17990","TRP1","tryptophan biosynthesis 1","-","-"
"BraA03005093","AT4G17730","SYP23","syntaxin of plants 23","-","YES"
"BraA01004546","AT3G06350","MEE32","dehydroquinate dehydratase, putative / shikimate dehydrogenase","-","-"
"BraA08003167","AT1G76460","AT1G76460","RNA-binding (RRM/RBD/RNP motifs) family protein","-","-"
"BraA09005308","AT3G60190","DL1E","DYNAMIN-like 1E","-","-"
"BraA03000536","AT5G11970","AT5G11970","ABC family ABC transporter, putative (DUF3511)","-","-"
"BraA01001633","AT4G24620","PGI1","phosphoglucose isomerase 1","-","-"
"BraA03004902","AT3G52380","CP33","chloroplast RNA-binding protein 33","-","YES"
"BraA04002248","AT2G30860","GSTF9","glutathione S-transferase PHI 9","-","-"
"BraA03004576","AT2G16430","PAP10","purple acid phosphatase 10","-","-"
"BraA06003621","AT5G24420","PGL5","6-phosphogluconolactonase 5","-","-"
"BraA09004633","AT3G52230","AT3G52230","hypothetical protein","-","-"
