"Gene_ID"	"A._thaliana_best_hit"	"Symbol"	"Description"	"TF"	"Leaf_development"	"logFC"	"F"	"PValue"	"fdr.gen"
"BraA08003014"	"AT1G27110"	"AT1G27110"	"Tetratricopeptide repeat (TPR)-like superfamily protein"	"-"	"-"	-12.9108369030654	107.478806412148	6.2113631190228e-11	1.20516863475033e-09
"BraA06001724"	"AT1G15380"	"GLYI4"	"Lactoylglutathione lyase / glyoxalase I family protein"	"-"	"-"	-11.3084047002831	138.32478363484	3.7077145118388e-12	1.32607978792082e-10
"BraA02001220"	"AT1G35890"	"AT1G35890"	"NAC (No Apical Meristem) domain transcriptional regulator superfamily protein"	"-"	"-"	-10.8015507463513	12.7088513335674	0.0038340626688827	0.00689188091550453
"BraA08000132"	"AT1G54010"	"AT1G54010"	"GDSL-like Lipase/Acylhydrolase superfamily protein"	"-"	"-"	-10.6726282766951	29.8696213161252	0.000139309531226163	0.000346393402224219
"BraA01003168"	"AT3G15640"	"AT3G15640"	"Rubredoxin-like superfamily protein"	"-"	"-"	-10.3235321863212	49.4607586487539	2.77741238135448e-07	1.41886872084995e-06
"BraA06002606"	"AT3G47340"	"ASN1"	"glutamine-dependent asparagine synthase 1"	"-"	"YES"	-10.0404319150537	103.24011967682	9.62119119439434e-11	1.71747664635438e-09
"BraA03003091"	"AT2G46450"	"CNGC12"	"cyclic nucleotide-gated channel 12"	"-"	"-"	-9.98233726648476	40.5089757996808	1.36928521632356e-06	5.74360911347659e-06
"BraA02001206"	"AT1G35890"	"AT1G35890"	"NAC (No Apical Meristem) domain transcriptional regulator superfamily protein"	"-"	"-"	-9.95488989316521	12.0354057875317	0.0045769228123263	0.00809094686916039
"BraA02001219"	"AT1G35890"	"AT1G35890"	"NAC (No Apical Meristem) domain transcriptional regulator superfamily protein"	"-"	"-"	-9.89814183092134	11.5760431103281	0.00518104476634752	0.0090451759162047
"BraA02001205"	"AT1G35890"	"AT1G35890"	"NAC (No Apical Meristem) domain transcriptional regulator superfamily protein"	"-"	"-"	-9.89275579901451	12.2343500163824	0.00434117359125792	0.00771361484104442
"BraA03000496"	"AT5G11440"	"CID5"	"CTC-interacting domain 5"	"-"	"-"	-9.68370583692474	62.8764160283821	9.13471269632434e-08	5.41487390524948e-07
"BraA07000093"	"AT2G19800"	"MIOX2"	"myo-inositol oxygenase 2"	"-"	"-"	-9.38426334975784	23.479892030203	8.51720527077377e-05	0.000223118614651807
"BraA03004087"	"AT3G18035"	"HON4"	"winged-helix DNA-binding transcription factor family protein"	"-"	"-"	-9.24621104516743	41.7682640543495	2.0451993938887e-06	8.17073371850449e-06
"BraA09005305"	"AT3G60140"	"DIN2"	"Glycosyl hydrolase superfamily protein"	"-"	"-"	-9.15239018140855	19.8675323678819	0.000163534325878621	0.000400406116115855
"BraA03004337"	"AT3G23530"	"AT3G23530"	"Cyclopropane-fatty-acyl-phospholipid synthase"	"-"	"-"	-9.06571527311192	20.4595001723206	0.000183824488290486	0.000444524722318338
"BraA06002607"	"AT3G47340"	"ASN1"	"glutamine-dependent asparagine synthase 1"	"-"	"YES"	-9.04796899400575	78.0380272990862	1.82430171273951e-09	1.94790637335425e-08
"BraA05004056"	"AT3G10320"	"AT3G10320"	"Glycosyltransferase family 61 protein"	"-"	"-"	-8.95663545631538	44.4476367147986	7.23641509176667e-06	2.48557592019143e-05
"BraA06002605"	"AT3G47340"	"ASN1"	"glutamine-dependent asparagine synthase 1"	"-"	"YES"	-8.91815298488265	57.6562074150902	3.52288652266321e-08	2.39755341394909e-07
"BraA10001880"	"AT5G18840"	"AT5G18840"	"Major facilitator superfamily protein"	"-"	"-"	-8.91304147954972	66.0177827299487	9.65797770703136e-09	7.95313784056478e-08
"BraA09005306"	"AT3G60966"	"AT3G60966"	"RING/U-box superfamily protein"	"-"	"-"	-8.89910593528912	22.9677422109886	0.000427727501363096	0.000948241763489121
"BraA01002083"	"AT4G32480"	"AT4G32480"	"sugar phosphate exchanger, putative (DUF506)"	"-"	"-"	-8.81335066302389	48.3423793369002	1.75347020843279e-07	9.54976905318144e-07
"BraA08003664"	"AT1G10070"	"BCAT-2"	"branched-chain amino acid transaminase 2"	"-"	"-"	-8.77583731956435	88.1085302794719	5.20818364044329e-10	6.95725737855926e-09
"BraA01000296"	"AT4G35770"	"SEN1"	"Rhodanese/Cell cycle control phosphatase superfamily protein"	"-"	"YES"	-8.7570286823709	41.0342747273043	7.1743073569179e-07	3.27096488292424e-06
"BraA09005307"	"AT3G60966"	"AT3G60966"	"RING/U-box superfamily protein"	"-"	"-"	-8.65512492614653	21.5597531968008	0.000553151801025843	0.00119605845633138
"BraA05002553"	"AT3G22250"	"AT3G22250"	"UDP-Glycosyltransferase superfamily protein"	"-"	"-"	-8.52424665024692	24.1242276438254	0.00034906231459064	0.000788926177764865
"BraA05004393"	"AT3G05960"	"STP6"	"sugar transporter 6"	"-"	"-"	-8.44511346531069	41.602658807311	4.40763572018461e-06	1.6031156897655e-05
"BraA09006500"	"AT1G11190"	"BFN1"	"bifunctional nuclease i"	"-"	"YES"	-8.43930130361436	41.4100832251981	6.6480884781555e-07	3.05583450471056e-06
"BraA07004166"	"AT1G15690"	"AVP1"	"Inorganic H pyrophosphatase family protein"	"-"	"YES"	-8.4365545382918	78.0808293233442	1.81414739870028e-09	1.93989878667848e-08
"BraA09006898"	"AT1G03850"	"GRXS13"	"Glutaredoxin family protein"	"-"	"-"	-8.37156380909322	36.0045301006636	5.74943771852898e-06	2.02952373957929e-05
"BraA06002500"	"AT3G48340"	"CEP2"	"Cysteine proteinases superfamily protein"	"-"	"-"	-8.26714139718419	22.151042427243	6.64093060862056e-05	0.00017816159573072
"BraA03001284"	"AT5G57760"	"AT5G57760"	"hypothetical protein"	"-"	"YES"	-8.21369427547797	25.7745376444787	3.37674272722595e-05	9.74737652403476e-05
"BraA06002578"	"AT1G15690"	"AVP1"	"Inorganic H pyrophosphatase family protein"	"-"	"YES"	-8.06255489340467	57.4531283947159	3.64118421931277e-08	2.46763636318706e-07
"BraA02002838"	"AT1G80165"	"#N/A"	"#N/A"	"-"	"-"	-7.81148333185427	42.0344694904193	4.12359933306375e-06	1.51286060217724e-05
"BraA10001774"	"AT5G20250"	"DIN10"	"Raffinose synthase family protein"	"-"	"-"	-7.74898756958202	102.801244639353	1.0075384234645e-10	1.78691341268328e-09
"BraA10002498"	"AT5G10660"	"AT5G10660"	"calmodulin-binding protein-like protein"	"-"	"-"	-7.67077276101444	71.1043549585949	4.65194922259956e-09	4.26410514742334e-08
"BraA08003166"	"AT1G20900"	"ESC"	"Putative AT-hook DNA-binding family protein"	"-"	"YES"	-7.6399329751072	117.456139400816	4.37539114907298e-10	6.02468274992643e-09
"BraA02002035"	"AT1G68765"	"IDA"	"Putative membrane lipoprotein"	"-"	"-"	-7.60940341775785	37.3969315151522	1.53498841174558e-06	6.34517838466431e-06
"BraA08002165"	"AT4G27160"	"SESA3"	"seed storage albumin 3"	"-"	"-"	-7.59951222622272	47.2641784261938	2.13910553990039e-07	1.12963942520252e-06
"BraA09005927"	"AT2G20670"	"AT2G20670"	"sugar phosphate exchanger, putative (DUF506)"	"-"	"-"	-7.59626825824638	38.4317537569554	1.23083759412804e-06	5.22486268413648e-06
"BraA04001893"	"AT2G25625"	"AT2G25625"	"histone deacetylase-like protein"	"-"	"-"	-7.54643144697926	34.215390384781	3.09957557745226e-06	1.17627059631311e-05
"BraA03001791"	"AT2G31980"	"CYS2"	"PHYTOCYSTATIN 2"	"-"	"-"	-7.51707971342891	34.3559715674694	1.46128941400031e-05	4.62836660082371e-05
"BraA05002551"	"AT3G22250"	"AT3G22250"	"UDP-Glycosyltransferase superfamily protein"	"-"	"-"	-7.49862207765314	16.7309642282919	0.00146972963789587	0.0029025174227311
"BraA05004634"	"AT3G02610"	"AT3G02610"	"plant stearoyl-acyl-carrier desaturase family protein"	"-"	"-"	-7.45504933259751	46.1883199843064	2.6162010612766e-07	1.34940572857046e-06
"BraA07000988"	"AT1G30720"	"AT1G30720"	"FAD-binding Berberine family protein"	"-"	"-"	-7.41110130756898	42.5987826851797	5.2393156588703e-07	2.48058398613598e-06
"BraA05000934"	"AT2G37750"	"AT2G37750"	"hypothetical protein"	"-"	"-"	-7.38809058824808	56.6845499928004	3.90221577629773e-08	2.62152841042668e-07
"BraA09006785"	"AT1G06080"	"ADS1"	"delta 9 desaturase 1"	"-"	"-"	-7.35324758345359	10.1307732417877	0.00445669235380289	0.00789838734640741
"BraA04000777"	"AT3G51910"	"HSFA7A"	"heat shock transcription factor A7A"	"YES"	"-"	-7.31276317065702	38.502842069708	1.20826808170606e-06	5.14499701225303e-06
"BraA02003877"	"AT5G48180"	"NSP5"	"nitrile specifier protein 5"	"-"	"-"	-7.28179324593277	36.0505407632	2.05733662689756e-06	8.21323551233316e-06
"BraA03005500"	"AT4G24040"	"TRE1"	"trehalase 1"	"-"	"-"	-7.16756111573671	35.4010106809379	2.37510030374271e-06	9.31054609412445e-06
"BraA01000214"	"AT4G36820"	"AT4G36820"	"calcium uniporter (DUF607)"	"-"	"-"	-7.10269179493326	24.4485512087863	4.72549263218594e-05	0.000131941821411474
"BraA06002192"	"AT1G20180"	"AT1G20180"	"transmembrane protein (DUF677)"	"-"	"-"	-7.0804969075407	36.7738023873366	9.62113572653074e-06	3.19843670399272e-05
"BraA03000581"	"AT5G13080"	"WRKY75"	"WRKY DNA-binding protein 75"	"YES"	"YES"	-7.05801136178092	15.8061115144567	0.000682678984223647	0.00144519613840334
"BraA02001731"	"AT5G44750"	"REV1"	"DNA-directed DNA polymerase"	"-"	"-"	-7.01109261963564	29.0927263533147	3.73364027168447e-05	0.000106680302913967
"BraA10003178"	"AT5G01490"	"CAX4"	"cation exchanger 4"	"-"	"-"	-6.93745814687065	54.7818691277541	5.66591380429723e-08	3.60610873400201e-07
"BraA06000198"	"AT5G45890"	"SAG12"	"senescence-associated gene 12"	"-"	"YES"	-6.91442790494033	10.7017260552253	0.00321649501052006	0.0058796520284865
"BraA06002332"	"AT1G21550"	"AT1G21550"	"Calcium-binding EF-hand family protein"	"-"	"-"	-6.89726620409472	65.6150740174576	1.0250677602647e-08	8.38139141095204e-08
"BraA09002407"	"AT5G47550"	"AT5G47550"	"Cystatin/monellin superfamily protein"	"-"	"-"	-6.86151999693515	34.5914168150528	2.83523544612708e-06	1.08865293772205e-05
"BraA02001022"	"AT5G21170"	"AKINBETA1"	"5'-AMP-activated protein kinase beta-2 subunit protein"	"-"	"-"	-6.85299753101959	44.5788135992514	3.55614631673488e-07	1.76367157034265e-06
"BraA01002184"	"AT4G16563"	"AT4G16563"	"Eukaryotic aspartyl protease family protein"	"-"	"-"	-6.84628941981608	43.7222630511581	4.19939882174326e-07	2.04248993945937e-06
"BraA03004936"	"AT4G15610"	"AT4G15610"	"Uncharacterized protein family (UPF0497)"	"-"	"-"	-6.84234814862794	39.8685307826394	9.11206062713223e-07	4.03119033314562e-06
"BraA06003928"	"AT5G49360"	"BXL1"	"beta-xylosidase 1"	"-"	"-"	-6.80956556966198	59.6261536439966	2.56774149625138e-08	1.82396180619982e-07
"BraA08002396"	"AT4G37770"	"ACS8"	"1-amino-cyclopropane-1-carboxylate synthase 8"	"-"	"-"	-6.78298682272906	53.7033870278844	6.80175818360103e-08	4.21459234245637e-07
"BraA08004013"	"AT1G02610"	"AT1G02610"	"RING/FYVE/PHD zinc finger superfamily protein"	"-"	"-"	-6.78150321419613	44.5485278570988	3.57698828376225e-07	1.77280488736948e-06
"BraA10000128"	"AT1G02470"	"AT1G02470"	"Polyketide cyclase/dehydrase and lipid transport superfamily protein"	"-"	"-"	-6.76493553838924	58.7288416524092	2.96287716413188e-08	2.07174578357049e-07
"BraA08003616"	"AT1G11080"	"scpl31"	"serine carboxypeptidase-like 31"	"-"	"-"	-6.73919475500834	25.7049354087162	7.83272833087091e-05	0.000206520613111644
"BraA10000129"	"AT1G02470"	"AT1G02470"	"Polyketide cyclase/dehydrase and lipid transport superfamily protein"	"-"	"-"	-6.71779777781331	59.5005236442403	2.61947838172755e-08	1.85710173369501e-07
"BraA04000510"	"AT3G55240"	"AT3G55240"	"Plant protein 1589 of unknown function"	"-"	"-"	-6.69215487445617	29.0123712162602	1.54419574028797e-05	4.85945235186534e-05
"BraA05001247"	"AT2G33480"	"NAC041"	"NAC domain containing protein 41"	"YES"	"-"	-6.67186785305035	20.836907285714	9.72422913783675e-05	0.000250870691927174
"BraA02000637"	"AT5G15180"	"AT5G15180"	"Peroxidase superfamily protein"	"-"	"-"	-6.61965898384104	9.11943003164775	0.010565617822126	0.0172842468864794
"BraA10002501"	"AT5G10625"	"AT5G10625"	"flowering-promoting factor-like protein"	"-"	"-"	-6.58780683994254	41.1719090186812	1.0609233655364e-05	3.48424223989114e-05
"BraA08002003"	"AT4G29080"	"PAP2"	"phytochrome-associated protein 2"	"-"	"-"	-6.54633510052321	51.9547857503942	9.19627227314789e-08	5.44547499999122e-07
"BraA05001380"	"AT2G32150"	"AT2G32150"	"Haloacid dehalogenase-like hydrolase (HAD) superfamily protein"	"-"	"-"	-6.47326384648357	51.2710106539133	1.03667830368747e-07	6.04464732879128e-07
"BraA03001331"	"AT5G56870"	"BGAL4"	"beta-galactosidase 4"	"-"	"-"	-6.46131273896953	58.6253081721417	3.01251157575573e-08	2.10242808825665e-07
"BraA05000728"	"AT2G40330"	"PYL6"	"PYR1-like 6"	"-"	"-"	-6.45809737509149	40.4900640631517	7.91283638715502e-07	3.56321459414185e-06
"BraA09006227"	"AT1G15040"	"GAT1_2.1"	"Class I glutamine amidotransferase-like superfamily protein"	"-"	"-"	-6.44432634940565	20.2271169472345	0.000195514662841013	0.000468811739678171
"BraA10002318"	"AT5G13210"	"AT5G13210"	"Uncharacterized conserved protein UCP015417, vWA"	"-"	"-"	-6.39194476351433	40.9451536975656	7.3055540821191e-07	3.32276242803845e-06
"BraA01001895"	"AT4G27260"	"WES1"	"Auxin-responsive GH3 family protein"	"-"	"-"	-6.38312950275887	51.4461548634442	1.00524544473302e-07	5.89197470427609e-07
"BraA09006567"	"AT1G10070"	"BCAT-2"	"branched-chain amino acid transaminase 2"	"-"	"-"	-6.3334779647574	61.955813378843	1.67412330054579e-08	1.27236567953449e-07
"BraSca000751"	"AT4G17585"	"AT4G17585"	"aluminum activated malate transporter family protein"	"-"	"-"	-6.33278314513972	48.9017721758432	1.58345185171812e-07	8.7675797023271e-07
"BraA06002126"	"AT1G19540"	"AT1G19540"	"NmrA-like negative transcriptional regulator family protein"	"-"	"-"	-6.33093341672547	71.9890657226049	4.11307337233914e-09	3.84161403472715e-08
"BraA05001226"	"AT2G33830"	"AT2G33830"	"Dormancy/auxin associated family protein"	"-"	"-"	-6.32017619065507	57.0549690139546	3.88569013782976e-08	2.61202739991923e-07
"BraA03001585"	"AT5G52120"	"PP2-A14"	"phloem protein 2-A14"	"-"	"-"	-6.30723109606509	94.7208568856211	2.42580071311057e-10	3.70623514375175e-09
"BraA02000954"	"AT5G20250"	"DIN10"	"Raffinose synthase family protein"	"-"	"-"	-6.29858153179521	76.9626744336894	2.10053720561894e-09	2.18020246611614e-08
"BraA01001896"	"AT4G27260"	"WES1"	"Auxin-responsive GH3 family protein"	"-"	"-"	-6.20771708645372	51.2095843191575	1.04795115813332e-07	6.09017426761414e-07
"BraA03005718"	"AT4G27260"	"WES1"	"Auxin-responsive GH3 family protein"	"-"	"-"	-6.20118086613683	82.7094045316464	1.00524393655976e-09	1.18728191451112e-08
