"Gene_ID"	"A._thaliana_best_hit"	"Symbol"	"Description"	"TF"	"Leaf_development"	"logFC.phyB.vs.wt.sen"	"logFC.phyB.vs.wt.rec"	"F"	"PValue"	"fdr.gen"
"BraA05000169"	"AT2G46970"	"PIL1"	"phytochrome interacting factor 3-like 1"	"YES"	"YES"	-4.80707175144116	2.52727850025337	20.4923398108259	3.78404671865702e-06	0.0409788629570261
"BraA09000481"	"AT5G49480"	"CP1"	"Ca2 -binding protein 1"	"-"	"-"	-3.87491642956926	3.61168318668316	19.596339682086	5.43206663322279e-06	0.0409788629570261
"BraA09000479"	"AT5G49480"	"CP1"	"Ca2 -binding protein 1"	"-"	"-"	-3.98370294253388	3.68261223860534	19.5184107290331	5.60816517818888e-06	0.0409788629570261
"BraA01000956"	"AT4G28640"	"IAA11"	"indole-3-acetic acid inducible 11"	"-"	"YES"	-1.36925554912242	0.430236026808835	17.950173783023	1.04805537239131e-05	0.051285829045093
"BraA09001619"	"AT1G63220"	"AT1G63220"	"Calcium-dependent lipid-binding (CaLB domain) family protein"	"-"	"-"	-5.27226916420607	5.94833295499503	18.3739200855723	1.36522770448721e-05	0.051285829045093
"BraA05001033"	"AT2G36530"	"LOS2"	"Enolase"	"-"	"YES"	-1.75100585079647	1.60913181412707	17.2816851694713	1.40374514972199e-05	0.051285829045093
"BraA01004729"	"AT3G02570"	"MEE31"	"Mannose-6-phosphate isomerase, type I"	"-"	"-"	-1.95139410861418	1.20755428818683	16.1289599561218	2.35882204588386e-05	0.0635296156491382
"BraA01003138"	"AT3G05930"	"GLP8"	"germin-like protein 8"	"-"	"-"	1.10976802031344	-1.67026516633486	16.0462734401583	2.45017708898571e-05	0.0635296156491382
"BraA03004146"	"AT5G02090"	"AT5G02090"	"hypothetical protein"	"-"	"-"	-4.71290887421605	7.25948617300406	16.8101165829501	2.63742108020735e-05	0.0635296156491382
"BraA10000108"	"AT1G02340"	"HFR1"	"basic helix-loop-helix (bHLH) DNA-binding superfamily protein"	"YES"	"YES"	-8.63935308617887	2.87661155129403	17.8475440855601	2.89811667575103e-05	0.0635296156491382
"BraA06003315"	"AT5G65380"	"AT5G65380"	"MATE efflux family protein"	"-"	"-"	-2.10869793426565	1.5644981926392	14.793269229409	4.49279649268603e-05	0.0895332653783367
"BraA09000909"	"AT5G65110"	"ACX2"	"acyl-CoA oxidase 2"	"-"	"-"	1.33047676670697	-1.64495249866504	14.3475539539039	5.47999697363527e-05	0.0957714651058944
"BraA03002114"	"AT2G38360"	"PRA1.B4"	"prenylated RAB acceptor 1.B4"	"-"	"-"	-3.24835358385811	2.62875500757243	14.2743422478106	5.67961792973235e-05	0.0957714651058944
