"","logFC","logCPM","F","PValue","FDR","woundCtrl","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA08003307",-3.44109457224879,7.54262673861028,645.663960892647,9.91276599889122e-16,4.91503436049409e-12,FALSE,"BraA08003307","AT1G18060","AT1G18060","microbial collagenase","-","-"
"BraA05000981",-3.45213554697685,5.83709117540018,557.825110328582,3.63983389867707e-15,9.54849759419619e-12,FALSE,"BraA05000981","AT2G37240","AT2G37240","Thioredoxin superfamily protein","-","-"
"BraA06001576",-3.39563038884571,5.66028335678185,425.149636975449,4.01217836495022e-14,7.01685416270183e-11,FALSE,"BraA06001576","AT1G13820","AT1G13820","alpha/beta-Hydrolases superfamily protein","-","-"
"BraA05000276",-3.14566488055628,7.63356717821927,353.064470058328,2.0424436293474e-13,1.46127557845128e-10,FALSE,"BraA05000276","AT2G40840","DPE2","disproportionating enzyme 2","-","-"
"BraA05000185",-3.29306267393858,9.09010349453549,294.401105430853,9.89617680541365e-13,2.93897779089077e-10,FALSE,"BraA05000185","AT2G46820","PSI-P","photosystem I P subunit","-","-"
"BraA09003100",-4.0046819186602,7.10309182343226,288.254516990648,1.18745969081587e-12,3.22662131887647e-10,FALSE,"BraA09003100","AT4G04850","KEA3","K  efflux antiporter 3","-","-"
"BraA03004636",-3.09207498900078,10.0903605580019,278.183177758576,1.61368222791286e-12,3.70389676052035e-10,FALSE,"BraA03004636","AT5G23120","HCF136","photosystem II stability/assembly factor, chloroplast (HCF136)","-","-"
"BraA06000973",-3.04098363626315,5.89367440676863,266.007213845255,2.37165118193112e-12,4.41535176631157e-10,FALSE,"BraA06000973","AT1G50450","AT1G50450","Saccharopine dehydrogenase","-","-"
"BraA09003521",-3.28441544011631,6.27170023057618,263.76577322139,2.55045822683699e-12,4.46046805449047e-10,FALSE,"BraA09003521","AT1G32080","LrgB","membrane protein","-","-"
"BraA04000162",-3.29783984411735,10.9126849435535,262.374826268284,2.66891349566572e-12,4.61634048590971e-10,FALSE,"BraA04000162","AT3G60750","AT3G60750","Transketolase","-","-"
"BraA07000653",-3.09308399872224,6.10873396008646,258.647658815367,3.01754262232692e-12,4.99959167109745e-10,FALSE,"BraA07000653","AT2G05310","AT2G05310","transmembrane protein","-","-"
"BraA05001563",-3.39347041126416,5.59056862107274,255.974540308579,3.29867114050903e-12,5.24455391430426e-10,FALSE,"BraA05001563","AT2G29970","AT2G29970","Double Clp-N motif-containing P-loop nucleoside triphosphate hydrolases superfamily protein","-","-"
"BraA05004167",-3.54444192241361,5.13212169565213,253.571422826405,3.57636266124583e-12,5.36113793219137e-10,FALSE,"BraA05004167","AT3G08920","AT3G08920","Rhodanese/Cell cycle control phosphatase superfamily protein","-","-"
"BraA06004302",-3.8605023764382,8.46291449655141,246.891440292017,4.49446076731686e-12,6.49433578019497e-10,FALSE,"BraA06004302","AT3G26650","GAPA","glyceraldehyde 3-phosphate dehydrogenase A subunit","-","-"
"BraA10002552",-3.13902116661812,5.46923158093861,244.173498731348,4.94054371212938e-12,6.85545556154542e-10,FALSE,"BraA10002552","AT5G10030","TGA4","TGACG motif-binding factor 4","YES","-"
"BraA06001223",-3.0894159673167,8.030453006646,241.848435903133,5.36132068824411e-12,7.27475755456571e-10,FALSE,"BraA06001223","AT1G08550","NPQ1","non-photochemical quenching 1","-","YES"
"BraA03006354",-3.27905970945795,4.97982702684581,239.926983092556,5.73915634970063e-12,7.6001634007964e-10,FALSE,"BraA03006354","AT4G35270","AT4G35270","Plant regulator RWP-RK family protein","YES","-"
"BraA05001825",-3.33636115349242,7.37150437945894,227.396733034005,9.06391993464141e-12,1.06443830986455e-09,FALSE,"BraA05001825","AT1G52510","AT1G52510","alpha/beta-Hydrolases superfamily protein","-","-"
"BraA07001400",-3.09723161261197,6.70719948872048,222.332829894465,1.09754796649567e-11,1.21666604991863e-09,FALSE,"BraA07001400","AT1G23090","AST91","sulfate transporter 91","-","-"
"BraA08002004",-4.01968887759007,4.6742263509944,217.297861167998,1.33295682243102e-11,1.32471271781992e-09,FALSE,"BraA08002004","AT4G29070","AT4G29070","Phospholipase A2 family protein","-","-"
"BraA08002073",-3.56881971812857,10.1268112405008,217.197648473462,1.33817866666689e-11,1.32471271781992e-09,FALSE,"BraA08002073","AT1G55480","ZKT","protein containing PDZ domain, a K-box domain, and a TPR region","-","-"
"BraA05004474",-3.05103410911032,6.42203153569814,215.535511684496,1.42818332591138e-11,1.37911690489847e-09,FALSE,"BraA05004474","AT3G05030","NHX2","sodium hydrogen exchanger 2","-","YES"
"BraA05001589",-4.78831287516052,5.26171757271296,210.730091601112,1.72848260693639e-11,1.60984119722951e-09,FALSE,"BraA05001589","AT2G29670","AT2G29670","Tetratricopeptide repeat (TPR)-like superfamily protein","-","-"
"BraA03000567",-3.25355252433573,4.97669974825188,205.831163250727,2.10851567014543e-11,1.82351849714775e-09,FALSE,"BraA03000567","AT5G12470","AT5G12470","UvrABC system C protein, putative (DUF3411)","-","-"
"BraA05000132",-3.17178665549665,7.75239566203663,201.584076435661,2.51392371293488e-11,2.07777862228784e-09,FALSE,"BraA05000132","AT2G47400","CP12-1","CP12 domain-containing protein 1","-","YES"
"BraA10002002",-3.9734006690932,5.31606858750518,194.289081482331,3.42818848564976e-11,2.40752600414959e-09,FALSE,"BraA10002002","AT5G17520","RCP1","root cap 1 (RCP1)","-","-"
"BraA06001326",-3.02611982666482,6.41874442090624,194.159816362075,3.44741388739222e-11,2.40752600414959e-09,FALSE,"BraA06001326","AT1G09800","AT1G09800","Pseudouridine synthase family protein","-","-"
"BraA01002648",-3.96603579925812,7.36775963114064,194.09697385312,3.45680353835964e-11,2.40752600414959e-09,FALSE,"BraA01002648","AT3G46780","PTAC16","plastid transcriptionally active 16","-","YES"
"BraA09005382",-3.12047401099148,3.64206395969441,192.62609839541,3.68488555893379e-11,2.48927462221536e-09,FALSE,"BraA09005382","AT3G61220","SDR1","NAD(P)-binding Rossmann-fold superfamily protein","-","-"
"BraA08002764",-3.56350437826816,6.04383552889214,190.252062420392,4.08907512802443e-11,2.68175177146269e-09,FALSE,"BraA08002764","AT1G29700","AT1G29700","Metallo-hydrolase/oxidoreductase superfamily protein","-","-"
"BraA02001486",-4.01739918602861,10.7954824851141,188.338011602113,4.45088457245939e-11,2.80273203474839e-09,FALSE,"BraA02001486","AT5G54770","THI1","thiazole biosynthetic enzyme, chloroplast (ARA6) (THI1) (THI4)","-","-"
"BraA01000629",-3.25650023129993,12.2691120188966,179.763841661658,6.5722184050111e-11,3.73453854494133e-09,FALSE,"BraA01000629","AT4G32260","PDE334","ATPase, F0 complex, subunit B/B', bacterial/chloroplast","-","-"
"BraA09000082",-3.27761887026322,10.0375501226161,179.628843397008,6.61356384961995e-11,3.73991201545546e-09,FALSE,"BraA09000082","AT4G01150","AT4G01150","CURVATURE THYLAKOID 1A-like protein","-","-"
"BraA07003149",-3.03849263048925,4.12656336599464,179.475563865946,6.66085838262931e-11,3.73991201545546e-09,FALSE,"BraA07003149","AT4G01935","AT4G01935","insulin-induced protein","-","-"
