"","logFC","logCPM","F","PValue","FDR","woundCtrl","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA03004700",-3.2646969630909,4.89533584233669,196.555681873898,3.10969285864793e-11,6.36211354205989e-09,FALSE,"BraA03004700","AT5G61190","AT5G61190","putative endonuclease or glycosyl hydrolase with C2H2-type zinc finger domain-containing protein","-","-"
"BraA10003048",-3.09219784138253,6.99729465535205,168.131786864441,1.14687796632828e-10,1.30157289254744e-08,FALSE,"BraA10003048","AT5G03540","EXO70A1","exocyst subunit exo70 family protein A1","-","YES"
"BraA03000218",-3.00850045825983,5.667579424682,159.765285483677,1.7499008062284e-10,1.60136271453692e-08,FALSE,"BraA03000218","AT5G05180","AT5G05180","myosin heavy chain, striated protein","-","-"
"BraA06004753",-3.11451985937642,7.47493206553589,145.159636522081,3.84754136494029e-10,2.4602532361128e-08,FALSE,"BraA06004753","AT5G45500","AT5G45500","RNI-like superfamily protein","-","-"
"BraA09002237",-3.40392360781444,6.13923156700811,128.122706491387,1.06056562200991e-09,4.78902880478437e-08,FALSE,"BraA09002237","AT5G45370","UMAMIT1","nodulin MtN21 /EamA-like transporter family protein","-","-"
"BraA09000881",-3.55469724018576,3.25668326657613,110.107438863821,3.55868201565508e-09,1.1089648671129e-07,FALSE,"BraA09000881","AT5G64530","XND1","xylem NAC domain 1","YES","-"
"BraA06003767",-3.17026658702092,4.90335328345009,108.620868150255,3.96231542704321e-09,1.18564269062587e-07,FALSE,"BraA06003767","AT5G26230","MAKR1","membrane-associated kinase regulator","-","-"
"BraA08000064",-3.74030603933971,5.46854340921641,104.833249902386,5.24049830672427e-09,1.40053175605837e-07,FALSE,"BraA08000064","AT1G55510","BCDH BETA1","branched-chain alpha-keto acid decarboxylase E1 beta subunit","-","-"
"BraA07002276",-3.09849444857117,4.48594902953138,101.093853242377,6.96638882070262e-09,1.7000148843079e-07,FALSE,"BraA07002276","AT3G61350","SKIP4","SKP1 interacting partner 4","-","-"
"BraA06001804",-3.56832230665074,3.37961202564894,97.1044272199907,9.53450773852973e-09,2.09298587174212e-07,FALSE,"BraA06001804","AT1G16240","SYP51","syntaxin of plants 51","-","-"
"BraA04002028",-5.25329814009179,4.65867553257247,95.9419891337744,1.04690503299516e-08,2.23282997552084e-07,FALSE,"BraA04002028","AT2G28110","FRA8","Exostosin family protein","-","-"
"BraA09005643",-3.46549778758111,7.17546001600655,86.6389646118162,2.29509873018318e-08,3.82603965799045e-07,FALSE,"BraA09005643","AT2G25070","AT2G25070","Protein phosphatase 2C family protein","-","-"
"BraA09005650",-4.83016831156548,6.39723039075503,81.3785767783533,3.69289564088669e-08,5.47327470692622e-07,FALSE,"BraA09005650","AT3G63520","CCD1","carotenoid cleavage dioxygenase 1","-","-"
"BraA02000741",-4.08937917086951,3.75407427217006,79.902513024387,4.23950969627277e-08,6.01850598437722e-07,FALSE,"BraA02000741","AT1G20850","XCP2","xylem cysteine peptidase 2","-","YES"
"BraA06004710",-3.22035446995517,6.66692260809611,78.0596364049129,5.05192082723025e-08,6.84313544067161e-07,FALSE,"BraA06004710","AT5G46180","DELTA-OAT","ornithine-delta-aminotransferase","-","-"
"BraA07004153",-3.07209600726169,4.01645747541074,74.8880856453458,6.8867837650018e-08,8.69098165923875e-07,FALSE,"BraA07004153","AT1G80630","AT1G80630","RNI-like superfamily protein","-","-"
"BraA10002972",-3.59964545236177,4.60892281464321,73.5220243268427,7.896083243617e-08,9.67193387194798e-07,FALSE,"BraA10002972","AT5G04470","SIM","cyclin-dependent protein kinase inhibitor","-","YES"
"BraA04000072",-3.11688140458551,8.7571174155536,70.8143416744383,1.04192462295682e-07,1.20145740405423e-06,FALSE,"BraA04000072","AT3G62550","AT3G62550","Adenine nucleotide alpha hydrolases-like superfamily protein","-","-"
"BraA06003456",-4.03240955982445,5.9205881495779,70.4317421472268,1.08430461746278e-07,1.23276981075027e-06,FALSE,"BraA06003456","AT2G17710","AT2G17710","Big1","-","-"
"BraA05001416",-3.18499885623623,3.23207941953517,66.5958568066703,1.63328620059561e-07,1.70120684086487e-06,FALSE,"BraA05001416","AT2G31810","AT2G31810","ACT domain-containing small subunit of acetolactate synthase protein","-","-"
"BraA08002498",-4.19776005739441,2.28917597226151,65.6068907981582,1.82077471252617e-07,1.8418376590721e-06,FALSE,"BraA08002498","AT4G39070","BZS1","B-box zinc finger family protein","YES","-"
"BraA06004382",-3.08524331382013,4.88786814875217,65.0840455513259,1.9294593385036e-07,1.92495765962761e-06,FALSE,"BraA06004382","AT3G25590","AT3G25590","micronuclear linker histone polyprotein-like protein","-","-"
