"","logFC","logCPM","F","PValue","FDR","woundCtrl","phyB.D_Avg_CPM","phyB.R_Avg_CPM","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA01003391",-2.73452530644984,9.27127566181737,256.139302366374,4.85612912488088e-14,6.94867931142046e-11,FALSE,"1905.2715"," 286.2712","BraA01003391","AT3G22440","AT3G22440","FRIGIDA-like protein","-","-"
"BraA10003048",-3.1016999485341,6.99726568667803,198.888488997003,7.04224563715375e-13,3.3589377675394e-10,FALSE,"394.96062"," 46.01980","BraA10003048","AT5G03540","EXO70A1","exocyst subunit exo70 family protein A1","-","YES"
"BraA04002996",-4.23869602534788,8.45776794572992,182.426168853452,1.72979348772595e-12,5.44538989936128e-10,FALSE," 711.26495","  37.66825","BraA04002996","AT2G41560","ACA4","autoinhibited Ca(2 )-ATPase, isoform 4","-","-"
"BraA07002547",-2.55768615916914,5.46522088399089,178.938439894978,2.11206098669607e-12,5.93639998760644e-10,FALSE,"125.81108"," 21.35685","BraA07002547","AT1G77310","AT1G77310","wound-responsive family protein","-","-"
"BraA07001107",-2.12509190741167,6.48865119769337,170.573436209179,3.45912541443083e-12,7.76109955216819e-10,FALSE,"204.11062"," 46.79633","BraA07001107","AT1G28490","SYP61","syntaxin of plants 61","-","-"
"BraA06001302",-3.94394123135478,8.95925991543334,169.151955378503,3.76962930371925e-12,8.01810341088393e-10,FALSE,"1476.90145","  95.96770","BraA06001302","AT1G09570","PHYA","phytochrome A","-","YES"
"BraA06004753",-3.11484407038027,7.47491060069458,167.5808845607,4.14843121615671e-12,8.37132145414188e-10,FALSE,"602.36111"," 69.53272","BraA06004753","AT5G45500","AT5G45500","RNI-like superfamily protein","-","-"
"BraA05003779",-2.9876724060901,9.03659979005788,165.483939718894,4.71985537883135e-12,9.17166958800067e-10,FALSE,"1536.4011"," 193.6797","BraA05003779","AT3G13460","ECT2","evolutionarily conserved C-terminal region 2","-","-"
"BraA09002521",-2.552344311045,4.72553239971944,164.34742270937,5.06485089470695e-12,9.37891212737499e-10,FALSE,"65.76199","11.19463","BraA09002521","AT3G11810","AT3G11810","transmembrane protein","-","-"
"BraA08003963",-2.85155802215756,8.81343900393063,164.013170412694,5.1714569830298e-12,9.46496894335919e-10,FALSE,"1268.5787"," 175.7615","BraA08003963","AT1G65660","SMP1","Pre-mRNA splicing Prp18-interacting factor","-","YES"
"BraA07002414",-2.82652256482323,6.12365688119556,159.425645074946,6.90938432667896e-12,1.10411369756108e-09,FALSE,"232.76150"," 32.80833","BraA07002414","AT1G80490","TPR1","TOPLESS-related 1","-","-"
"BraA05000076",-1.83502413679472,4.5126044510131,157.955646463978,7.59332714617933e-12,1.11699971290526e-09,FALSE,"50.93172","14.26006","BraA05000076","AT2G48110","REF4","reduced epidermal fluorescence 4","-","-"
"BraA05003854",-2.0891166189901,5.38170373857318,157.762667432841,7.68844329443873e-12,1.12051942087468e-09,FALSE,"98.94629","23.25257","BraA05003854","AT3G12680","HUA1","floral homeotic protein (HUA1)","YES","-"
"BraA08003682",-2.21586137386412,6.96575599991027,156.724375991549,8.22292041880818e-12,1.16602493145983e-09,FALSE,"303.31985"," 65.28770","BraA08003682","AT1G09770","CDC5","cell division cycle 5","YES","-"
"BraA03004700",-3.27882487948368,4.89545924317281,155.205095489509,9.07908121573013e-12,1.25355033627712e-09,FALSE,"93.558553"," 9.664612","BraA03004700","AT5G61190","AT5G61190","putative endonuclease or glycosyl hydrolase with C2H2-type zinc finger domain-containing protein","-","-"
"BraA02002078",-1.89681609136656,5.54351058285503,151.228124805983,1.18144293321366e-11,1.51197135436806e-09,FALSE,"105.29760"," 28.27542","BraA02002078","AT1G69220","SIK1","Protein kinase superfamily protein","-","-"
"BraA03003103",-1.86518162806162,6.08473860152338,151.106196954628,1.19113372262795e-11,1.51197135436806e-09,FALSE,"158.60075"," 43.52536","BraA03003103","AT4G02080","SAR2","secretion-associated RAS super family 2","-","-"
"BraA08003167",-4.08383921124738,3.12534429821024,150.457589643189,1.24415742400495e-11,1.5542093534792e-09,FALSE,"23.940400"," 1.419675","BraA08003167","AT1G76460","AT1G76460","RNA-binding (RRM/RBD/RNP motifs) family protein","-","-"
"BraA06001028",-2.55827219010322,5.60335351294556,149.305319366089,1.34478900088568e-11,1.61064957751136e-09,FALSE,"131.22935"," 22.26744","BraA06001028","AT1G49820","MTK","S-methyl-5-thioribose kinase","-","-"
"BraA10001764",-2.70840266254073,4.98540881332063,149.163330360766,1.35778894578562e-11,1.61064957751136e-09,FALSE,"90.57032","13.84826","BraA10001764","AT5G20350","TIP1","Ankyrin repeat family protein with DHHC zinc finger domain-containing protein","-","-"
"BraA04001423",-1.78094559043085,6.27092833937615,145.922293403134,1.69494701778281e-11,1.83989421102769e-09,FALSE,"154.71015"," 44.99828","BraA04001423","AT5G41940","AT5G41940","Ypt/Rab-GAP domain of gyp1p superfamily protein","-","-"
