"","logFC","logCPM","F","PValue","FDR","woundCtrl","WT.D_Avg_CPM","WT.R_Avg_CPM","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA01003391",-2.49933381386567,9.27127566181737,290.654602624442,1.24948119023818e-14,4.95342323513839e-12,FALSE,"1503.2376"," 265.8488","BraA01003391","AT3G22440","AT3G22440","FRIGIDA-like protein","-","-"
"BraA06001302",-4.4316867439965,8.95925991543334,271.767315637959,2.57501862784162e-14,8.81104200048416e-12,FALSE,"1708.46208","  79.15058","BraA06001302","AT1G09570","PHYA","phytochrome A","-","YES"
"BraA05003779",-3.31544319001853,9.03659979005788,263.878670388764,3.53158469547777e-14,9.75213036961757e-12,FALSE,"1538.8628"," 154.5645","BraA05003779","AT3G13460","ECT2","evolutionarily conserved C-terminal region 2","-","-"
"BraA10001974",-2.51125484767828,6.12187806668938,232.6843672538,1.34980626619435e-13,2.24496456270725e-11,FALSE,"189.17272"," 33.16663","BraA10001974","AT4G08580","AT4G08580","microfibrillar-associated protein-like protein","-","-"
"BraA10003048",-2.87947445133702,6.99726568667803,232.620343178215,1.35375001243859e-13,2.24496456270725e-11,FALSE,"336.11578"," 45.67284","BraA10003048","AT5G03540","EXO70A1","exocyst subunit exo70 family protein A1","-","YES"
"BraA08003963",-2.83686120451473,8.81343900393063,216.696004347389,2.86418822448628e-13,3.75686022111783e-11,FALSE,"1340.9511"," 187.6693","BraA08003963","AT1G65660","SMP1","Pre-mRNA splicing Prp18-interacting factor","-","YES"
"BraA08003682",-2.15236499022467,6.96575599991027,197.862057655555,7.43330485199685e-13,7.64707309610656e-11,FALSE,"288.99053"," 64.99125","BraA08003682","AT1G09770","CDC5","cell division cycle 5","YES","-"
"BraA10002966",-2.52805741465226,6.16618494369115,196.271998471041,8.08645118868623e-13,7.90895386915661e-11,FALSE,"158.00741"," 27.39276","BraA10002966","AT5G04540","MTM2","Myotubularin-like phosphatases II superfamily","-","-"
"BraA05000899",-4.79375712903734,8.95228462803797,196.26410567101,8.08984480898484e-13,7.90895386915661e-11,FALSE,"1308.7344","  47.1651","BraA05000899","AT2G38170","CAX1","cation exchanger 1","-","-"
"BraA10001764",-2.67434099780893,4.98540881332063,193.194107978546,9.53501620675456e-13,9.04103343941667e-11,FALSE,"80.95065","12.67963","BraA10001764","AT5G20350","TIP1","Ankyrin repeat family protein with DHHC zinc finger domain-containing protein","-","-"
"BraA07002547",-2.28190342495972,5.46522088399089,193.077691105344,9.59507253967548e-13,9.04349950745461e-11,FALSE,"102.65771"," 21.10472","BraA07002547","AT1G77310","AT1G77310","wound-responsive family protein","-","-"
"BraA09002521",-2.36748606189076,4.72553239971944,191.050200152401,1.07096712233805e-12,9.52717986883475e-11,FALSE,"66.26593","12.84142","BraA09002521","AT3G11810","AT3G11810","transmembrane protein","-","-"
"BraA05002442",-2.16686611606512,6.66934552718901,190.858805419771,1.08219386672307e-12,9.52717986883475e-11,FALSE,"233.35401"," 51.94966","BraA05002442","AT1G31870","AT1G31870","pre-mRNA-splicing factor of RES complex protein","-","-"
"BraA04001423",-1.7593526380374,6.27092833937615,189.975429935621,1.13569330422147e-12,9.63047187358807e-11,FALSE,"160.10335"," 47.28692","BraA04001423","AT5G41940","AT5G41940","Ypt/Rab-GAP domain of gyp1p superfamily protein","-","-"
"BraA07002414",-2.60891904330089,6.12365688119556,183.31460120634,1.64491057353244e-12,1.25396596198518e-10,FALSE,"163.25021"," 26.75021","BraA07002414","AT1G80490","TPR1","TOPLESS-related 1","-","-"
"BraA06002456",-1.85875742140282,6.60694059198802,182.896810356842,1.68424985291803e-12,1.27452368677547e-10,FALSE,"204.40744"," 56.35060","BraA06002456","AT3G48860","AT3G48860","coiled-coil protein","-","-"
"BraA07001107",-1.87615825586887,6.48865119769337,180.108924441063,1.97441834709694e-12,1.40621469607719e-10,FALSE,"189.17334"," 51.50729","BraA07001107","AT1G28490","SYP61","syntaxin of plants 61","-","-"
"BraA05002514",-2.19539827085359,4.66974295756857,179.403988844473,2.05610513701708e-12,1.44521246031457e-10,FALSE,"59.04301","12.87585","BraA05002514","AT3G22590","PHP","PLANT HOMOLOGOUS TO PARAFIBROMIN","-","-"
"BraA02002078",-1.78056753161732,5.54351058285503,178.233821820783,2.19992207336092e-12,1.53215811657968e-10,FALSE," 91.62971"," 26.66236","BraA02002078","AT1G69220","SIK1","Protein kinase superfamily protein","-","-"
"BraA03005909",-3.10456219838443,8.04268726173098,177.427179745845,2.30540750549937e-12,1.59154009370877e-10,FALSE,"704.95773"," 81.94096","BraA03005909","AT4G29900","ACA10","autoinhibited Ca(2 )-ATPase 10","-","-"
"BraA08003167",-3.71204571667766,3.12534429821024,174.757014639574,2.69569371592391e-12,1.81325722601036e-10,FALSE,"27.193037"," 2.066917","BraA08003167","AT1G76460","AT1G76460","RNA-binding (RRM/RBD/RNP motifs) family protein","-","-"
"BraA08002252",-2.3159111213788,5.61876085325803,172.155791029932,3.14580327347596e-12,2.02930096411933e-10,FALSE,"123.54767"," 24.79343","BraA08002252","AT4G24630","AT4G24630","DHHC-type zinc finger family protein","-","-"
"BraA03000536",-3.04748167003439,4.03829534720179,171.61913590923,3.24846764248048e-12,2.06172906018721e-10,FALSE,"46.309074"," 5.588070","BraA03000536","AT5G11970","AT5G11970","ABC family ABC transporter, putative (DUF3511)","-","-"
"BraA10001873",-2.29433336727222,4.08479094081437,169.598120929779,3.66902950982919e-12,2.24770314603397e-10,FALSE,"38.362752"," 7.818500","BraA10001873","AT5G18940","AT5G18940","Mo25 family protein","-","-"
"BraA01001678",-2.12404517730808,6.02107460291512,165.663082549433,4.66784411292164e-12,2.74148754990249e-10,FALSE,"160.03650"," 36.69694","BraA01001678","AT4G25210","AT4G25210","DNA-binding storekeeper protein-related transcriptional regulator","YES","-"
"BraA06001028",-2.3064317541988,5.60335351294556,164.554363197661,5.00004742900885e-12,2.89584622906068e-10,FALSE,"116.32095"," 23.50985","BraA06001028","AT1G49820","MTK","S-methyl-5-thioribose kinase","-","-"
"BraA05003854",-1.83404573861828,5.38170373857318,164.334386082109,5.06896375243713e-12,2.9225454015883e-10,FALSE,"87.12480","24.42419","BraA05003854","AT3G12680","HUA1","floral homeotic protein (HUA1)","YES","-"
"BraA05000076",-1.60512878641763,4.5126044510131,162.494081261257,5.68763298239239e-12,3.15631044208575e-10,FALSE,"45.13878","14.84242","BraA05000076","AT2G48110","REF4","reduced epidermal fluorescence 4","-","-"
"BraA03004700",-2.84917323357445,4.89545924317281,161.705230015039,5.97753842622427e-12,3.27827368741359e-10,FALSE,"78.930894","10.944245","BraA03004700","AT5G61190","AT5G61190","putative endonuclease or glycosyl hydrolase with C2H2-type zinc finger domain-containing protein","-","-"
"BraA05002380",-2.06536919053018,5.6995709372294,160.326039853265,6.52370575648777e-12,3.48078402058026e-10,FALSE,"132.76144"," 31.72015","BraA05002380","AT3G48110","EDD1","glycine-tRNA ligase","-","-"
"BraA05002388",-2.95447413951109,4.24597405098162,159.424246009493,6.91000254173521e-12,3.64977986600377e-10,FALSE,"54.566626"," 7.028876","BraA05002388","AT1G32340","NHL8","NDR1/HIN1-like 8","-","-"
"BraA06001323",-2.0140498143099,8.77639213304156,158.894981101901,7.14824055593728e-12,3.75044354501509e-10,FALSE,"1008.6951"," 249.7127","BraA06001323","AT1G09770","CDC5","cell division cycle 5","YES","-"
"BraA06004753",-2.56586643493349,7.47491060069458,158.581643851725,7.29347691810222e-12,3.7887566564663e-10,FALSE,"436.13952"," 73.65301","BraA06004753","AT5G45500","AT5G45500","RNI-like superfamily protein","-","-"
"BraA09003406",-2.04839491373929,4.80177373614252,158.335811092827,7.40966782929825e-12,3.82154982810078e-10,FALSE,"65.46480","15.81967","BraA09003406","AT1G33230","AT1G33230","TMPIT-like protein","-","-"
"BraA01001016",-2.38303144348105,4.01393092480036,157.284097449251,7.92995314316921e-12,4.00055969466293e-10,FALSE,"39.059183"," 7.484144","BraA01001016","AT4G17900","AT4G17900","PLATZ transcription factor family protein","-","-"
"BraA09006846",-2.15848340507776,4.75854330948469,154.875272708569,9.27745730884742e-12,4.49097245850913e-10,FALSE,"70.37126","15.75898","BraA09006846","AT1G04590","AT1G04590","PPR containing-like protein","-","-"
