"","logFC","logCPM","F","PValue","FDR","woundCtrl","phyB.P_Avg_CPM","phyB.R_Avg_CPM","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA10002022",2.42618871955988,4.8498627947039,59.8883342354569,7.05520026742033e-08,0.000914634681318562,FALSE,"15.26297","82.07354","BraA10002022","AT5G17290","APG5","autophagy protein Apg5 family","-","YES"
"BraA05003570",1.75268120992779,5.02532437877014,52.1479395527687,2.23603847668943e-07,0.000914634681318562,FALSE,"29.06078","97.94362","BraA05003570","AT3G15430","AT3G15430","Regulator of chromosome condensation (RCC1) family protein","-","-"
"BraA02001561",1.43601920240214,3.93174052344041,51.9011828649067,2.32435751288072e-07,0.000914634681318562,FALSE,"11.386771","30.837403","BraA02001561","AT5G53900","AT5G53900","Serine/threonine-protein kinase WNK (With No Lysine)-like protein","-","-"
"BraA03004311",3.24496094927145,3.49000056162847,47.7626114106762,4.54179135661847e-07,0.00109562184336269,FALSE," 4.8758232","46.2122686","BraA03004311","AT3G22840","ELIP1","Chlorophyll A-B binding family protein","-","YES"
"BraA05003648",2.07085535501584,3.57764157349995,43.7308310065096,9.07597312006824e-07,0.00142855816909874,FALSE," 8.518326","35.776916","BraA05003648","AT3G14720","MPK19","MAP kinase 19","-","-"
"BraA02001614",1.12935358433063,7.98328402135944,42.0603984278264,1.22451009866732e-06,0.00175216263209305,FALSE,"272.4177","595.9595","BraA02001614","AT5G53170","FTSH11","FTSH protease 11","-","-"
"BraA05002485",3.11005369848361,5.52281126093314,37.2286970462862,3.05114610435197e-06,0.00320166931216667,FALSE," 25.273274","218.041935","BraA05002485","AT3G22840","ELIP1","Chlorophyll A-B binding family protein","-","YES"
"BraA06004547",2.70944744537044,5.54553945427641,35.2779037370301,4.50749479555246e-06,0.00320259901840554,FALSE," 25.617553","167.622512","BraA06004547","AT2G01520","MLP328","MLP-like protein 328","-","-"
"BraA02003663",1.15793581692325,4.3043036927353,35.0938592028086,4.67978255548459e-06,0.00320259901840554,FALSE,"16.662610","37.142956","BraA02003663","AT3G26840","PES2","Esterase/lipase/thioesterase family protein","-","-"
"BraA10002878",1.04470657175177,4.99787767452981,31.8731120255068,9.210863182893e-06,0.00456352700517849,FALSE,"31.862177","65.747722","BraA10002878","AT5G08740","NDC1","NAD(P)H dehydrogenase C1","-","-"
"BraA03000127",1.40617023675813,6.55072970372128,31.1372993173522,1.08143493490354e-05,0.00486494724544674,FALSE," 57.02940","151.16780","BraA03000127","AT5G03555","NCS1","permease, cytosine/purines, uracil, thiamine, allantoin family protein","-","-"
"BraA05001456",2.24904667486293,4.26210495543106,31.0077303804921,1.1126944144605e-05,0.00486494724544674,FALSE,"18.8098073","89.3585099","BraA05001456","AT2G31380","STH","salt tolerance homologue","YES","-"
"BraA01000630",1.69508042131033,7.93917717775501,26.7066453730743,2.99085579014672e-05,0.00840644109587666,FALSE,"191.8129","621.0794","BraA01000630","AT4G32190","AT4G32190","Myosin heavy chain-related protein","-","-"
"BraA01001738",1.51440459757268,5.3129773880357,26.0670607056537,3.49111016612136e-05,0.00890323214672507,FALSE,"34.12303","97.43434","BraA01001738","AT4G25700","BETA-OHASE 1","beta-hydroxylase 1","-","-"
"BraA02002839",5.93942127071909,5.96563440802944,24.9511334446879,4.59616200284461e-05,0.00977616080064517,FALSE,"  0.3225772"," 20.6983801","BraA02002839","AT1G80160","GLYI7","Lactoylglutathione lyase / glyoxalase I family protein","-","-"
