"","logFC","logCPM","PValue","FDR","woundCtrl","phyB.R_Avg_CPM","WT.R_Avg_CPM","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA10000990",2.39145153462479,9.63197956113181,1.68434267635222e-36,1.95119717712167e-32,FALSE," 179.37261"," 948.31397","BraA10000990","AT5G54270","LHCB3","light-harvesting chlorophyll B-binding protein 3","-","YES"
"BraA05001183",2.45732481921309,9.69640947438541,2.47928485021813e-36,1.95119717712167e-32,FALSE," 178.01360"," 983.08257","BraA05001183","AT2G34430","LHB1B1","light-harvesting chlorophyll-protein complex II subunit B1","-","YES"
"BraA09006187",2.44852842055438,9.4770237598192,4.37932308003448e-33,2.29768484265809e-29,FALSE," 142.24942"," 779.93895","BraA09006187","AT1G15820","LHCB6","light harvesting complex photosystem II subunit 6","-","YES"
"BraA04002996",1.97371507208923,6.99934183831833,5.34821768712173e-31,2.1045236598824e-27,FALSE,"  37.66825"," 148.38963","BraA04002996","AT2G41560","ACA4","autoinhibited Ca(2 )-ATPase, isoform 4","-","-"
"BraA03003874",2.43820387628268,4.93412543565224,4.77671095693566e-28,1.50370860924334e-24,FALSE," 9.463859","51.596351","BraA03003874","AT3G13930","AT3G13930","Dihydrolipoamide acetyltransferase, long form protein","-","YES"
"BraA10002309",1.98913102686597,4.84561530175532,3.07271864723858e-22,6.90922735821933e-19,FALSE," 8.886652","35.243502","BraA10002309","AT5G13280","AK-LYS1","aspartate kinase 1","-","-"
"BraA09004859",1.69831029248315,11.0474245838323,3.00364485498038e-21,5.90967125217389e-18,FALSE," 757.6303","2468.7400","BraA09004859","AT3G54890","LHCA1","chlorophyll a-b binding protein 6","-","YES"
"BraA03000302",3.66425457825699,5.79621994889726,2.9156504948792e-20,4.17203079903624e-17,FALSE,"  5.429007"," 68.696336","BraA03000302","AT5G07200","GA20OX3","gibberellin 20-oxidase 3","-","-"
"BraA06002322",2.70702618793842,7.94753394144291,5.77852699648569e-20,7.57950124372373e-17,FALSE," 34.700712","227.469662","BraA06002322","AT1G21500","AT1G21500","hypothetical protein","-","-"
"BraA04002510",1.58343322924592,13.3485599261037,8.13984967328122e-20,9.85547952749588e-17,FALSE," 4421.786","13307.248","BraA04002510","AT1G29930","CAB1","chlorophyll A/B binding protein 1","-","YES"
"BraA05003243",2.056603232439,4.19922131780691,3.07219631203946e-18,3.45402642510723e-15,FALSE," 4.309414","17.979438","BraA05003243","AT3G58970","MGT6","magnesium transporter 6","-","-"
"BraA03004456",1.72216548371093,10.3576308927822,1.56455912102133e-17,1.64174403765838e-14,FALSE," 446.21834","1480.33461","BraA03004456","AT2G05100","LHCB2.1","photosystem II light harvesting complex protein 2.1","-","-"
"BraA03001904",1.70497609312486,11.4198370067021,4.21768353301315e-17,4.14914617560169e-14,FALSE,"1199.1192","3933.2613","BraA03001904","AT2G34430","LHB1B1","light-harvesting chlorophyll-protein complex II subunit B1","-","YES"
"BraA03000147",1.38200441426634,4.2104332526852,3.90221267351434e-15,3.41226819339532e-12,FALSE," 9.99334","26.29613","BraA03000147","AT5G03880","AT5G03880","Thioredoxin family protein","-","-"
"BraA01004053",3.06450233930188,7.45780509328195,1.14771314872499e-14,9.50789734785858e-12,FALSE,"  7.9325893"," 66.8118016","BraA01004053","AT3G14310","PME3","pectin methylesterase 3","-","-"
"BraA06001733",1.36990263286132,4.40977984758562,3.56395422047542e-14,2.80483197151415e-11,FALSE,"11.45315","29.81474","BraA06001733","AT1G15470","AT1G15470","Transducin/WD40 repeat-like superfamily protein","-","-"
"BraA03000192",1.04889777508454,5.46750973841657,1.18018941256169e-13,8.84580064462902e-11,FALSE," 30.03020"," 62.31945","BraA03000192","AT5G04900","NOL","NYC1-like protein","-","-"
"BraA05001182",2.92701464995992,6.33721736899891,2.55459799979938e-13,1.82769875076556e-10,FALSE," 13.300745","101.604347","BraA05001182","AT2G34430","LHB1B1","light-harvesting chlorophyll-protein complex II subunit B1","-","YES"
"BraA07001973",1.36757015548747,10.9375692987306,3.82468713072807e-13,2.61741632337651e-10,FALSE," 887.6501","2302.6451","BraA07001973","AT3G54890","LHCA1","chlorophyll a-b binding protein 6","-","YES"
"BraA03002830",1.60690751422439,9.15795953256645,6.06050441745001e-13,3.97468081377763e-10,FALSE,"173.07833","527.57074","BraA03002830","AT4G09010","TL29","ascorbate peroxidase 4","-","-"
"BraA02000026",1.38121226965127,8.23778236909899,1.59215439044582e-12,9.28167040948788e-10,FALSE,"110.91929","290.41825","BraA02000026","AT2G04660","APC2","anaphase-promoting complex/cyclosome 2","-","YES"
"BraA03005730",2.59574504573625,8.86736332650379,2.53227988499366e-12,1.42350304963572e-09,FALSE," 54.51051","328.73065","BraA03005730","AT4G27440","PORB","protochlorophyllide oxidoreductase B","-","YES"
"BraA08003890",1.45354277438707,4.07127366521215,6.04337081767236e-12,3.28009160931596e-09,FALSE," 9.284645","25.514695","BraA08003890","AT1G05500","NTMC2T2.1","Calcium-dependent lipid-binding (CaLB domain) family protein","-","-"
"BraA03000360",1.37180329907403,5.88502387940796,3.74148241879699e-11,1.96303110906215e-08,FALSE,"24.88023","64.55219","BraA03000360","AT5G08280","HEMC","hydroxymethylbilane synthase","-","YES"
