"","logFC","logCPM","F","PValue","FDR","woundCtrl","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA05003779",3.08439350170689,9.03659156165186,270.355874620114,2.06306239123919e-12,2.53315841017941e-09,FALSE,"BraA05003779","AT3G13460","ECT2","evolutionarily conserved C-terminal region 2","-","-"
"BraA06004753",3.38649717881671,7.47493206553589,167.202157020918,1.20086041202238e-10,1.83067841351007e-08,FALSE,"BraA06004753","AT5G45500","AT5G45500","RNI-like superfamily protein","-","-"
"BraA04002996",3.40145550604251,8.45774319264315,144.961474315768,3.89076012340042e-10,3.51957266335188e-08,FALSE,"BraA04002996","AT2G41560","ACA4","autoinhibited Ca(2 )-ATPase, isoform 4","-","-"
"BraA08003565",3.2552643943464,5.34226288161003,141.718093666977,4.68046096563517e-10,3.93959655610148e-08,FALSE,"BraA08003565","AT4G26910","AT4G26910","Dihydrolipoamide succinyltransferase","-","-"
"BraA03002365",3.10941037671026,3.84017063273169,138.268651733924,5.72083220627622e-10,4.31871222825693e-08,FALSE,"BraA03002365","AT2G42890","ML2","MEI2-like 2","-","-"
"BraA03000536",3.18747155422284,4.03852567373503,119.629845417491,1.83969528276033e-09,8.36901842504268e-08,FALSE,"BraA03000536","AT5G11970","AT5G11970","ABC family ABC transporter, putative (DUF3511)","-","-"
"BraA02002262",3.09363175985556,8.48370271114227,116.983913903591,2.19944784666439e-09,9.33135016347641e-08,FALSE,"BraA02002262","AT1G72150","PATL1","PATELLIN 1","-","-"
"BraA03005093",3.87298638199948,5.04718205833276,111.753950063622,3.1640347180582e-09,1.17218411411456e-07,FALSE,"BraA03005093","AT4G17730","SYP23","syntaxin of plants 23","-","YES"
"BraA09005308",3.08044992177265,6.78474811900578,108.902691205909,3.88204954440128e-09,1.36696778140663e-07,FALSE,"BraA09005308","AT3G60190","DL1E","DYNAMIN-like 1E","-","-"
"BraA08003167",3.14815339799871,3.12494996887035,108.002589402642,4.14493715470429e-09,1.42448276888746e-07,FALSE,"BraA08003167","AT1G76460","AT1G76460","RNA-binding (RRM/RBD/RNP motifs) family protein","-","-"
"BraA07002276",3.02723257473555,4.48594902953138,97.2969369666198,9.38886282775518e-09,2.43460792271609e-07,FALSE,"BraA07002276","AT3G61350","SKIP4","SKP1 interacting partner 4","-","-"
"BraA08001201",4.22968167793318,3.04990667574705,90.377132216953,1.66067310846128e-08,3.49629616719293e-07,FALSE,"BraA08001201","AT4G15630","AT4G15630","Uncharacterized protein family (UPF0497)","-","-"
"BraA09005643",3.49172045778192,7.17546001600655,87.2056870094068,2.18361311361915e-08,4.09749948578117e-07,FALSE,"BraA09005643","AT2G25070","AT2G25070","Protein phosphatase 2C family protein","-","-"
"BraA08001833",3.04923347527379,5.11142925212607,85.0096901011676,2.65239321175618e-08,4.6694200672697e-07,FALSE,"BraA08001833","AT4G32150","VAMP711","vesicle-associated membrane protein 711","-","-"
"BraA09003159",3.015361951313,2.79939435888757,79.3113775141484,4.48311953624157e-08,6.65700957551342e-07,FALSE,"BraA09003159","AT4G05150","AT4G05150","Octicosapeptide/Phox/Bem1p family protein","-","-"
"BraA02002503",3.10936922816855,3.60222993972468,77.0045693805525,5.59390626680621e-08,7.86143612852944e-07,FALSE,"BraA02002503","AT1G75800","AT1G75800","Pathogenesis-related thaumatin superfamily protein","-","-"
"BraA03001683",3.56337384023516,6.73328953236595,76.0842646051654,6.11967308461298e-08,8.32269882748822e-07,FALSE,"BraA03001683","AT2G30070","KT1","potassium transporter 1","-","-"
"BraA08003505",3.01174747057246,5.30057353006705,75.5139545895229,6.47289438008667e-08,8.67092404617567e-07,FALSE,"BraA08003505","AT1G12780","UGE1","UDP-D-glucose/UDP-D-galactose 4-epimerase 1","-","-"
