"","logFC","logCPM","F","PValue","FDR","woundCtrl","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA05000169",6.46080588583892,3.98080518683654,321.148089626045,4.65897551872794e-13,2.20034145650822e-10,FALSE,"BraA05000169","AT2G46970","PIL1","phytochrome interacting factor 3-like 1","YES","YES"
"BraA07001630",3.22486248067246,4.66997034356148,207.21046654159,1.99289926191742e-11,1.78031618840595e-09,FALSE,"BraA07001630","AT5G67440","NPY3","Phototropic-responsive NPH3 family protein","-","YES"
"BraA10001053",3.44029677489535,5.08073193396549,196.95271258801,3.05735556145965e-11,2.27922951160774e-09,FALSE,"BraA10001053","AT5G54960","PDC2","pyruvate decarboxylase-2","-","-"
"BraA09006465",3.2493792207073,7.92662447612571,167.358407366268,1.19159339253309e-10,5.38956321795141e-09,FALSE,"BraA09006465","AT1G11910","APA1","aspartic proteinase A1","-","-"
"BraA01002149",3.92371267210142,6.249659373292,163.224984228617,1.46589906480898e-10,6.1528670080249e-09,FALSE,"BraA01002149","AT4G16780","HB-2","homeobox protein 2","YES","YES"
"BraA07003150",3.05169621470513,4.03815406636273,155.872639589429,2.14469491898455e-10,8.0374995297183e-09,FALSE,"BraA07003150","AT1G67730","KCR1","beta-ketoacyl reductase 1","-","-"
"BraA10003068",4.60341338130454,5.25197361199728,149.622084073955,3.00247465549637e-10,1.01414058106251e-08,FALSE,"BraA10003068","AT5G03230","AT5G03230","senescence regulator (Protein of unknown function, DUF584)","-","-"
"BraA09006272",3.16155366750297,3.99258088181601,144.301585644165,4.03860956904469e-10,1.2439865874122e-08,FALSE,"BraA09006272","AT1G14580","AT1G14580","C2H2-like zinc finger protein","YES","-"
"BraA01000919",3.30394635562127,7.62801087657005,142.67307053676,4.43087809713384e-10,1.32841945235975e-08,FALSE,"BraA01000919","AT4G29010","AIM1","Enoyl-CoA hydratase/isomerase family","-","-"
"BraA03006461",4.3089076701891,3.16559044665973,135.625148314272,6.69240597542072e-10,1.75857212108718e-08,FALSE,"BraA03006461","AT4G36780","BEH2","BES1/BZR1 homolog 2","YES","YES"
"BraA01001873",3.08672360371359,4.92599553273482,129.499673647152,9.72918130616876e-10,2.23558122276053e-08,FALSE,"BraA01001873","AT4G27020","AT4G27020","inositol-1,4,5-trisphosphate 5-phosphatase","-","-"
"BraA09005863",3.13081627236847,6.78849373036521,125.904223228176,1.22080426603066e-09,2.63937924353423e-08,FALSE,"BraA09005863","AT2G21560","AT2G21560","nucleolar-like protein","-","-"
"BraA10000108",11.6036421828805,4.05514930369007,248.207280170022,1.58662691371817e-09,3.17729104604632e-08,FALSE,"BraA10000108","AT1G02340","HFR1","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","YES","YES"
"BraA10002178",3.25478148775321,3.94932360616677,116.202990039972,2.32006285527264e-09,4.13097164502164e-08,FALSE,"BraA10002178","AT5G15260","AT5G15260","ribosomal protein L34e superfamily protein","-","-"
