"","logFC","logCPM","F","PValue","FDR","woundCtrl","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA03000987",3.3298917581928,5.37472207265696,675.330915306779,6.64063552656665e-16,2.45327777841755e-12,FALSE,"BraA03000987","AT5G19855","RbcX2","Chaperonin-like RbcX protein","-","-"
"BraA05000981",3.69932253518885,5.83709117540018,630.538580538361,1.22438977215262e-15,3.21198250228038e-12,FALSE,"BraA05000981","AT2G37240","AT2G37240","Thioredoxin superfamily protein","-","-"
"BraA04002623",3.05269764422861,6.75710743907906,478.426295729041,1.41748388021254e-14,1.85926635621211e-11,FALSE,"BraA04002623","AT3G11510","AT3G11510","Ribosomal protein S11 family protein","-","-"
"BraA03000453",3.1319633464728,6.77056369653165,413.120161181991,5.16332085663319e-14,4.51503723796702e-11,FALSE,"BraA03000453","AT5G10470","KAC1","kinesin like protein for actin based chloroplast movement 1","-","-"
"BraA09000731",4.74525090865657,4.98597614683704,362.90206744884,1.60681371176736e-13,7.36078986328522e-11,FALSE,"BraA09000731","AT5G61060","HDA05","histone deacetylase 5","-","-"
"BraA06004063",3.07114609479225,6.86397418751923,327.462066385336,3.93398490997879e-13,1.19078697082819e-10,FALSE,"BraA06004063","AT5G20140","HBP5","SOUL heme-binding family protein","-","-"
"BraA03000839",3.04843155615747,6.8960821089399,322.14567520305,4.53517111507039e-13,1.29788351547651e-10,FALSE,"BraA03000839","AT5G17310","UGP2","UDP-glucose pyrophosphorylase 2","-","-"
"BraA05001006",3.42661825395118,8.26492012864893,312.367430456134,5.92593455573474e-13,1.49295108451444e-10,FALSE,"BraA05001006","AT2G36880","MAT3","methionine adenosyltransferase 3","-","-"
"BraA09003521",3.30016237717692,6.27170023057618,266.410591089643,2.3409727900716e-12,3.28990283176133e-10,FALSE,"BraA09003521","AT1G32080","LrgB","membrane protein","-","-"
"BraA01000215",3.06186688831656,7.4280499794971,263.831833400464,2.54497932747862e-12,3.45327367366495e-10,FALSE,"BraA01000215","AT4G36810","GGPS1","geranylgeranyl pyrophosphate synthase 1","-","-"
"BraA04000162",3.25158302956707,10.9126849435535,256.229853775449,3.27060271124516e-12,4.1183429339999e-10,FALSE,"BraA04000162","AT3G60750","AT3G60750","Transketolase","-","-"
"BraA05000185",3.02099540878724,9.09010349453549,254.065171419592,3.51725595959242e-12,4.32512568781131e-10,FALSE,"BraA05000185","AT2G46820","PSI-P","photosystem I P subunit","-","-"
"BraA05001825",3.48192882945769,7.37150437945894,244.725437249812,4.84612479404871e-12,5.26055201781563e-10,FALSE,"BraA05001825","AT1G52510","AT1G52510","alpha/beta-Hydrolases superfamily protein","-","-"
"BraA05004613",3.42978764553487,4.08165428308533,242.116351532407,5.31086524469482e-12,5.46359600990173e-10,FALSE,"BraA05004613","AT3G02730","TRXF1","thioredoxin F-type 1","-","-"
"BraA03000567",3.41232352802465,4.97669974825188,225.876885026561,9.59571563607863e-12,8.253364159119e-10,FALSE,"BraA03000567","AT5G12470","AT5G12470","UvrABC system C protein, putative (DUF3411)","-","-"
"BraA02000306",3.13136180104046,3.98995379418638,222.641508621503,1.08469466424721e-11,8.9082139133087e-10,FALSE,"BraA02000306","AT5G09230","SRT2","sirtuin 2","-","-"
"BraA08001624",3.43908367931187,6.86200702077317,222.339142362364,1.09728343083391e-11,8.9082139133087e-10,FALSE,"BraA08001624","AT4G35250","HCF244","NAD(P)-binding Rossmann-fold superfamily protein","-","-"
"BraA07000048",3.10808899782009,4.84440089447279,221.103642567136,1.15043346770367e-11,9.19178821403846e-10,FALSE,"BraA07000048","AT2G20340","AAS","Pyridoxal phosphate (PLP)-dependent transferases superfamily protein","-","-"
"BraA03003008",3.45589911473947,8.77318913740186,218.648270623666,1.26475094176526e-11,9.85503951652736e-10,FALSE,"BraA03003008","AT4G03520","ATHM2","Thioredoxin superfamily protein","-","-"
