"gene.ID","logFC","logCPM","F","PValue","FDR","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA05003779",-3.06211540825671,9.02298276289129,262.648147417078,1.75409166786938e-12,1.66965893997137e-09,"AT3G13460","ECT2","evolutionarily conserved C-terminal region 2","-","-"
"BraA05002388",-2.9497114114397,4.23116783718953,257.132666907899,2.11318301729926e-12,1.90888048318677e-09,"AT1G32340","NHL8","NDR1/HIN1-like 8","-","-"
"BraA01003391",-2.78499889685672,9.25736812698337,234.717338476473,4.6910321510386e-12,2.99402388283403e-09,"AT3G22440","AT3G22440","FRIGIDA-like protein","-","-"
"BraA07001107",-2.17241555685449,6.46933148883809,214.422008260531,1.02914537150454e-11,5.02304903962305e-09,"AT1G28490","SYP61","syntaxin of plants 61","-","-"
"BraA06001302",-3.97209058747569,8.94524010573522,214.034182823978,1.04540275810248e-11,5.02304903962305e-09,"AT1G09570","PHYA","phytochrome A","-","YES"
"BraA03004700",-3.3162253453327,4.8822707270751,204.846916025324,1.52740771527626e-11,5.88853111859442e-09,"AT5G61190","AT5G61190","putative endonuclease or glycosyl hydrolase with C2H2-type zinc finger domain-containing protein","-","-"
"BraA08003387",-2.45025397178645,5.98751722231123,202.65741497391,1.67572282887869e-11,6.10368526525283e-09,"AT1G15940","AT1G15940","Tudor/PWWP/MBT superfamily protein","-","-"
"BraA04002996",-4.1907408937026,8.44262407079525,196.428297529439,2.19245618193135e-11,7.28121146419937e-09,"AT2G41560","ACA4","autoinhibited Ca(2 )-ATPase, isoform 4","-","-"
"BraA02002078",-1.94898307690104,5.52387714439452,190.916882809416,2.79948131489867e-11,7.709839821263e-09,"AT1G69220","SIK1","Protein kinase superfamily protein","-","-"
"BraA07003945",-2.30465642461123,3.85851362064025,189.062084286984,3.04390864212752e-11,8.0871281017842e-09,"AT1G77310","AT1G77310","wound-responsive family protein","-","-"
"BraA03003709",-4.72141578187956,4.46833481680088,178.435939694676,4.99119634604279e-11,1.14767972226655e-08,"AT3G10985","SAG20","senescence associated gene 20","-","YES"
"BraA09004665",-1.7613200082271,6.66730261932906,177.930730298495,5.11332682276141e-11,1.15474259638421e-08,"AT3G52660","AT3G52660","RNA-binding (RRM/RBD/RNP motifs) family protein","-","-"
"BraA09004147",-2.36951772518855,6.95282465863744,173.684864463274,6.28094393392907e-11,1.3382765788821e-08,"AT1G27090","AT1G27090","glycine-rich protein","-","-"
"BraA06003826",-2.15855212206232,5.64873399800525,172.204123140117,6.75526601699437e-11,1.35052333828112e-08,"AT5G27860","AT5G27860","hypothetical protein","-","-"
"BraA03000452",-2.19077482874248,5.64336021121972,172.196824848299,6.75769991700688e-11,1.35052333828112e-08,"AT5G10450","GRF6","G-box regulating factor 6","-","YES"
"BraA03000218",-3.05946468715912,5.64735780759541,167.253308528716,8.65315508206253e-11,1.55090635887475e-08,"AT5G05180","AT5G05180","myosin heavy chain, striated protein","-","-"
"BraA05000076",-1.88315509591315,4.49287929262915,166.282283118871,9.09081072798854e-11,1.56051388179518e-08,"AT2G48110","REF4","reduced epidermal fluorescence 4","-","-"
"BraA08003167",-4.11325467390692,3.10859847956363,165.777758893172,9.32783626168522e-11,1.56051388179518e-08,"AT1G76460","AT1G76460","RNA-binding (RRM/RBD/RNP motifs) family protein","-","-"
"BraA08003014",-12.1055326977154,7.44644199497574,165.365938599843,9.52638360982563e-11,1.58187000779921e-08,"AT1G27110","AT1G27110","Tetratricopeptide repeat (TPR)-like superfamily protein","-","-"
"BraA09002521",-2.60781531886714,4.70896882599577,164.925665350549,9.74383658805364e-11,1.60475121087621e-08,"AT3G11810","AT3G11810","transmembrane protein","-","-"
"BraA10003048",-3.14671379325803,6.98524359462637,164.619706029081,9.89818527881825e-11,1.60475121087621e-08,"AT5G03540","EXO70A1","exocyst subunit exo70 family protein A1","-","YES"
"BraA09004831",-2.22024963749247,4.82077518745166,162.619742674971,1.09763154364617e-10,1.68624579252799e-08,"AT3G54650","FBL17","RNI-like superfamily protein","-","-"
"BraA07001008",-2.59398305325322,6.12934746021259,161.455201193568,1.16635734251699e-10,1.7159225660981e-08,"AT1G30410","ABCC12","multidrug resistance-associated protein 13","-","-"
"BraA10002966",-2.23755346848741,6.14769878846904,161.305293497668,1.17554498881629e-10,1.7159225660981e-08,"AT5G04540","MTM2","Myotubularin-like phosphatases II superfamily","-","-"
"BraA02003289",-2.77203166672023,5.66793617799531,160.135545349028,1.25005129721902e-10,1.77546593994322e-08,"AT2G01100","AT2G01100","FAM133-like protein","-","-"
"BraA10002642",-2.92057742418667,4.75048232214277,159.320343765938,1.30506225441345e-10,1.83057272617508e-08,"AT5G05930","GC1","guanylyl cyclase 1","-","-"
"BraA07001790",-1.72195749312945,7.06193984272384,158.823591370875,1.33989462887789e-10,1.83842640517434e-08,"AT2G26990","FUS12","proteasome family protein","-","-"
"BraA08003963",-2.89859097620052,8.79968649250454,158.776855363337,1.34322435838359e-10,1.83842640517434e-08,"AT1G65660","SMP1","Pre-mRNA splicing Prp18-interacting factor","-","YES"
"BraA01001016",-2.68402416907036,3.99596807416815,158.524090441167,1.36139216064356e-10,1.85206741950684e-08,"AT4G17900","AT4G17900","PLATZ transcription factor family protein","-","-"
"BraA06001724",-10.9421984994361,4.48672579980701,154.076785800364,1.72995534455078e-10,2.14657041461485e-08,"AT1G15380","GLYI4","Lactoylglutathione lyase / glyoxalase I family protein","-","-"
"BraA08003682",-2.26193584028433,6.94784936949371,153.338535638658,1.80122441027227e-10,2.17524336134645e-08,"AT1G09770","CDC5","cell division cycle 5","YES","-"
