"","logFC_WT","logCPM_WT","F_WT","PValue_WT","FDR_WT","Gene_ID","logFC_phyB","logCPM_phyB","F_phyB","PValue_phyB","FDR_phyB","WT.D_Avg_CPM","phyB.D_Avg_CPM","WT.R_Avg_CPM","phyB.R_Avg_CPM","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development","group"
"BraA06003490",4.75753815746638,5.42175199817962,714.901449382592,5.95145177530877e-19,9.367585094336e-15,"BraA06003490",4.16370100739411,5.42175199817962,441.976718922701,1.27938412832185e-16,2.01375061797859e-12," 2.881876"," 3.873098","78.041506","69.264532","AT2G17320","AT2G17320","pantothenate kinase","-","-","Both_sig"
"BraA06004345",2.80851523328442,6.00447087145255,519.90862405984,2.10991805027912e-17,1.35979379518858e-13,"BraA06004345",2.24055113991532,6.00447087145255,261.097602619267,3.95583536082921e-14,6.91831650882797e-11,"11.71657","15.01523","82.25854","70.97231","AT3G26070","AT3G26070","Plastid-lipid associated protein PAP / fibrillin family protein","-","-","Both_sig"
"BraA08003307",3.97780453154409,7.54263936467617,510.391795864419,2.59172896160467e-17,1.35979379518858e-13,"BraA08003307",3.25404933369197,7.54263936467617,274.736464793634,2.29137589068006e-14,5.71923323846268e-11," 20.40327"," 29.38899","321.84615","280.43294","AT1G18060","AT1G18060","microbial collagenase","-","-","Both_sig"
"BraA04002129",10.1214959824942,5.28083511596932,478.947749932459,5.25412542629202e-17,2.06749835524591e-13,"BraA04002129",8.30484015916803,5.28083511596932,293.695248384878,1.11673421037255e-14,4.394349117816e-11," 0.02185446"," 0.06887702","41.17649542","24.08267647","AT2G29300","AT2G29300","NAD(P)-binding Rossmann-fold superfamily protein","-","-","Both_sig"
"BraA06001576",3.65558842254684,5.66034315561285,415.591978880506,2.5243206859883e-16,7.94656151949116e-13,"BraA06001576",3.35878773806952,5.66034315561285,273.054385306981,2.44763825532357e-14,5.71923323846268e-11," 6.062191"," 7.061591","76.419014","72.634809","AT1G13820","AT1G13820","alpha/beta-Hydrolases superfamily protein","-","-","Both_sig"
"BraA07003370",3.84237178523499,6.94236209490025,400.132247659177,3.83230439019741e-16,9.98017965764607e-13,"BraA07003370",3.35547900530232,6.94236209490025,241.317359595346,9.16803430467097e-14,9.01905374722007e-11," 13.64576"," 19.71933","195.19708","202.00357","AT1G70410","BCA4","beta carbonic anhydrase 4","-","-","Both_sig"
"BraA05003669",5.06887317055235,9.01720054294972,394.82557688882,4.43845346909292e-16,9.98017965764607e-13,"BraA05003669",4.1563529676462,9.01720054294972,218.199354165185,2.66294441611966e-13,1.90521568680561e-10," 25.64127"," 48.86636","858.01613","871.74604","AT3G14420","GOX1","Aldolase-type TIM barrel family protein","-","-","Both_sig"
"BraA06002244",3.33948761764451,6.53466724803957,379.920894706397,6.7730192073984e-16,1.33259152905563e-12,"BraA06002244",3.06643196047445,6.53466724803957,246.656674864941,7.26287133172971e-14,8.79366113549428e-11," 13.72675"," 14.44500","138.99035","121.03235","AT1G20810","AT1G20810","FKBP-like peptidyl-prolyl cis-trans isomerase family protein","-","-","Both_sig"
"BraA05000981",3.69786260834945,5.83719635276723,373.90515408974,8.06864465030107e-16,1.41111629773043e-12,"BraA05000981",2.93617208159018,5.83719635276723,190.515997613935,1.10262296665475e-12,4.13221083217756e-10," 6.941953"," 8.892876","89.872055","68.032057","AT2G37240","AT2G37240","Thioredoxin superfamily protein","-","-","Both_sig"
"BraA05004133",7.24004347270888,5.30219232204615,368.179013316761,9.5551939395073e-16,1.50398752607845e-12,"BraA05004133",6.84242284301852,5.30219232204615,268.714857620668,2.90685298015892e-14,5.71923323846268e-11," 0.417879"," 0.477744","59.609409","58.769162","AT5G02120","OHP","one helix protein","-","-","Both_sig"
