"Gene_ID","logFC_WT","logFC_phyB","logCPM_WT","logCPM_phyB","PValue_WT","PValue_phyB","FDR_WT","FDR_phyB","sig_conditions","GO:0009507_Chloroplast","A._thaliana_best_hit","Symbol","Description","WT.P_Avg_CPM","phyB.P_Avg_CPM","WT.24_Avg_CPM","phyB.24_Avg_CPM","WT.D_Avg_CPM","phyB.D_Avg_CPM","WT.R_Avg_CPM","phyB.R_Avg_CPM"
"BraA02003838",-2.40150459735291,-0.844162057264569,3.66318380929639,3.66318380929639,1.20872820081011e-08,0.0112363153926438,1.24920432572233e-07,0.019388248660405,"WT_down","yes","AT3G29635","AT3G29635","HXXXD-type acyl-transferase family protein","21.582871","14.201504","18.221594","11.112724"," 5.412393"," 9.293959"," 9.915160"," 4.388173"
"BraA07001900",-1.84464039103342,-0.716145311902051,6.132571318072,6.132571318072,1.36229061407841e-08,0.00719171938008941,1.37149581222754e-07,0.013035198415777,"WT_down","-","AT2G28550","RAP2.7","related to AP2.7"," 74.86084"," 55.88311"," 73.41410"," 47.88085"," 27.37364"," 40.27317","110.68554","106.50177"
"BraSca000243",-4.48562011591967,-1.58710162152004,6.62538321515414,6.62538321515414,1.40862860957585e-08,0.0067286380120374,1.40505794136399e-07,0.0122636362099894,"WT_down","yes","AT5G23960","TPS21","terpene synthase 21","164.221147","137.925459","111.417676","112.388938","  9.823174"," 53.369194"," 88.890168"," 78.314605"
"BraA03006088",-1.92030206185539,-0.772737605907857,5.57631127091483,5.57631127091483,3.57915805885694e-08,0.00811017987731536,2.96504988665307e-07,0.0145226656733724,"WT_down","yes","AT4G31780","MGD1","monogalactosyl diacylglycerol synthase 1","70.73547","48.03006","62.96207","44.36899","24.35734","32.43378","46.18738","33.37841"
"BraA09004967",-1.5425534648996,-0.597907812731527,7.16851133354162,7.16851133354162,4.87840385239065e-08,0.0125111152563763,3.80505830706783e-07,0.02128918423085,"WT_down","yes","AT3G56040","UGP3","UDP-glucose pyrophosphorylase 3","216.89241","147.41665","185.40241","128.32757"," 97.23428","113.98466","121.27123"," 92.10789"
"BraA03004934",-2.45040778237528,-1.05313152740175,8.00144091082475,8.00144091082475,2.31705403387014e-07,0.0101545139820529,1.41084837497547e-06,0.0177315342886081,"WT_down","yes","AT4G15560","CLA1","Deoxyxylulose-5-phosphate synthase","453.0672","219.2689","409.7864","185.2236","109.4934","124.5531","254.3825","118.0809"
"BraA08002362",-2.85414208249111,-1.21665692452008,4.83229970877488,4.83229970877488,3.30012748687223e-07,0.0102338533941855,1.90480405732926e-06,0.0178423629180859,"WT_down","-","AT4G37080","AT4G37080","ternary complex factor MIP1 leucine-zipper protein (Protein of unknown function, DUF547)","37.993341","32.161330","39.033928","30.193566"," 6.648742","15.806731","29.743825","26.283812"
"BraA09005648",-3.90334485713838,-1.48089180415523,3.3602342577856,3.3602342577856,3.31022524371656e-07,0.0287180210556119,1.9078339559172e-06,0.0448389694886749,"WT_down","yes","AT3G63520","CCD1","carotenoid cleavage dioxygenase 1","17.8588471"," 2.9935127","34.1040181"," 8.7814111"," 1.5599183"," 1.2639197"," 3.5291302"," 0.7866471"
"BraA03000999",-1.46277094483729,-0.720699600695633,4.81390970458949,4.81390970458949,6.71515964698887e-07,0.00738763149921665,3.47001355363115e-06,0.013367205402652,"WT_down","-","AT5G20060","AT5G20060","alpha/beta-Hydrolases superfamily protein","35.69358","28.33392","30.18102","31.22051","16.90366","19.97619","27.28095","29.62321"
"BraA02003247",-1.15989270491405,-0.174057929726661,4.76940374281826,4.76940374281826,6.89768405054857e-07,0.381458811464389,3.55150627921604e-06,0.443275134178626,"WT_down","-","AT5G47390","AT5G47390","myb-like transcription factor family protein","34.63466","27.92520","30.84746","22.74664","20.34333","28.79600","25.66796","21.18679"
"BraA08002352",-1.44777235992535,-0.742602122740702,4.84284144355896,4.84284144355896,7.72739951777761e-07,0.00584987514095183,3.90965182930953e-06,0.0108287704008681,"WT_down","-","AT4G36870","BLH2","BEL1-like homeodomain 2","30.61419","28.68049","35.85893","36.30193","14.42658","19.97055","24.77546","35.64171"
"BraA08003169",-3.76205588242452,-1.69905959106981,5.12758874228201,5.12758874228201,8.27533925063511e-07,0.0075482640440395,4.14953296607189e-06,0.0136218385752329,"WT_down","yes","AT1G20850","XCP2","xylem cysteine peptidase 2","36.70300","42.77932","38.37540","63.28235"," 3.53482","14.65764","42.43771","30.98785"
"BraA02000152",-1.31779212415395,-0.60044444655742,4.81400090932666,4.81400090932666,8.42015127243311e-07,0.0132752123910025,4.21543196654253e-06,0.0224245377800364,"WT_down","-","AT5G04430","BTR1L","binding to TOMV RNA 1L (long form)","32.68904","31.35064","32.70273","31.37530","17.01794","23.88004","24.66378","27.46343"
"BraA07001538",-3.31836859098491,-1.6112351373239,4.15532910180865,4.15532910180865,1.50541718407588e-06,0.00609515383619263,6.90220404234032e-06,0.0112234114859233,"WT_down","yes","AT1G20850","XCP2","xylem cysteine peptidase 2","17.276550","22.573031","18.450515","31.006161"," 2.259700"," 8.253899","22.314459","16.434136"
"BraA02002017",-1.63735529600874,-0.497173667690073,8.13733688116404,8.13733688116404,1.5317114376911e-06,0.0986534457617069,7.0125474197958e-06,0.134047413353701,"WT_down","-","AT1G68520","BBX14","B-box type zinc finger protein with CCT domain-containing protein","385.9889","274.6490","290.2231","214.1999","163.4169","228.7373","308.5446","311.2988"
"BraA06002552",-2.65451868832278,-1.15210932395016,6.47451018366045,6.47451018366045,1.53516798842154e-06,0.0186154753365268,7.0263286239474e-06,0.0303760710965096,"WT_down","-","AT3G47800","AT3G47800","Galactose mutarotase-like superfamily protein","120.67894","103.85031","132.59382","174.74316"," 24.51931"," 53.45046"," 49.41612"," 35.44608"
"BraA05001382",-2.83349423613843,-1.05338512803001,5.99399168212099,5.99399168212099,1.68003838239312e-06,0.039262294815722,7.5944296780206e-06,0.0591603025463779,"WT_down","-","AT2G32100","OFP16","ovate family protein 16","109.11505"," 83.12703"," 83.63203"," 72.08859"," 20.53812"," 46.07538"," 34.13717"," 45.45445"
"BraA10002859",-1.20799090013352,-0.153038898819208,4.49626122813938,4.49626122813938,1.96901473865108e-06,0.487994202357206,8.71059358807421e-06,0.548038785528995,"WT_down","-","AT5G08520","AT5G08520","Duplicated homeodomain-like superfamily protein","30.17933","23.49691","27.90467","23.07062","17.23723","24.40268","16.05127","14.02290"
