"Gene_ID"	"A._thaliana_best_hit"	"Symbol"	"Description"	"TF"	"Leaf_development"	"logFC"	"F"	"PValue"	"fdr.gen"
"BraA09006785"	"AT1G06080"	"ADS1"	"delta 9 desaturase 1"	"-"	"-"	-11.2492942183612	10.5302217833148	0.00385675663654667	0.279022977655906
"BraA09001719"	"AT2G41730"	"AT2G41730"	"calcium-binding site protein"	"-"	"-"	-10.234227984706	3.2618690385961	0.0908599378871891	0.572677307317161
"BraA01000411"	"AT4G34410"	"RRTF1"	"redox responsive transcription factor 1"	"YES"	"-"	-9.19611046181876	5.28342313364515	0.030498861562294	0.445968317319628
"BraA10000108"	"AT1G02340"	"HFR1"	"basic helix-loop-helix (bHLH) DNA-binding superfamily protein"	"YES"	"YES"	-8.63935308617887	32.7960774223097	1.07967394967332e-05	0.03920232500039
"BraA04002700"	"AT2G37460"	"UMAMIT12"	"nodulin MtN21 /EamA-like transporter family protein"	"-"	"-"	-7.8427513263151	1.63620180105893	0.213020000518229	0.687814794428274
"BraA05003757"	"AT3G13600"	"AT3G13600"	"calmodulin-binding family protein"	"-"	"-"	-7.75979886477033	11.8978955752722	0.00185292952356521	0.236151558639959
"BraA03000817"	"AT2G20800"	"NDB4"	"NAD(P)H dehydrogenase B4"	"-"	"-"	-7.75280588261672	12.0723370962934	0.00173687971422801	0.232439847494773
"BraA07002560"	"AT1G21310"	"EXT3"	"extensin 3"	"-"	"-"	-7.7381721643823	1.79026383797686	0.193375962627461	0.676291397057525
"BraA01004398"	"AT3G09270"	"GSTU8"	"glutathione S-transferase TAU 8"	"-"	"YES"	-7.61406473466109	1.85271251139426	0.186053550946479	0.67129114192968
"BraA06002385"	"AT3G49570"	"LSU3"	"response to low sulfur 3"	"-"	"-"	-7.26807891224565	7.95711666855317	0.00943419478896493	0.336649598770498
"BraA03005048"	"AT4G17030"	"EXLB1"	"expansin-like B1"	"-"	"YES"	-7.20925575167187	8.86292498271832	0.00653230421627764	0.307284636748975
"BraA03004302"	"AT3G22600"	"AT3G22600"	"Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein"	"-"	"-"	-7.08758454816694	7.1797345238298	0.0123818537732464	0.355265204925831
"BraA03002626"	"AT5G52940"	"AT5G52940"	"hypothetical protein (DUF295)"	"-"	"-"	-7.06653696296698	15.3130696245268	0.000553420312065787	0.184982542408935
"BraA07003727"	"AT1G74870"	"AT1G74870"	"RING/U-box superfamily protein"	"-"	"-"	-6.84625965370634	7.85054677890552	0.00926300376782782	0.335836800775985
"BraA04002610"	"AT2G35980"	"YLS9"	"Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family"	"-"	"YES"	-6.83599202769079	8.75095233015463	0.00634797787182084	0.304689786479091
"BraA03000085"	"AT5G02540"	"AT5G02540"	"NAD(P)-binding Rossmann-fold superfamily protein"	"-"	"-"	-6.74429876982599	20.7276695587616	0.000100425459291912	0.1100713246569
"BraA03005811"	"AT4G28460"	"AT4G28460"	"transmembrane protein"	"-"	"-"	-6.63730790407951	2.2849749945069	0.142200867076724	0.633846276528911
"BraA08001694"	"AT4G34410"	"RRTF1"	"redox responsive transcription factor 1"	"YES"	"-"	-6.57232815353239	1.59355248822796	0.222830581633435	0.692139788062693
"BraA05002634"	"AT3G21330"	"AT3G21330"	"basic helix-loop-helix (bHLH) DNA-binding superfamily protein"	"YES"	"-"	-6.53093703928772	14.0325110179197	0.00085883171141207	0.198173157324884
"BraA05002983"	"AT3G20470"	"GRP5"	"glycine-rich protein 5"	"-"	"-"	-6.46071821888782	18.236239761098	0.000214147449191882	0.135222783566487
"BraA07001098"	"AT1G29000"	"AT1G29000"	"Heavy metal transport/detoxification superfamily protein"	"-"	"-"	-6.42350539699285	5.38201842651689	0.0304431789066819	0.445564584308882
"BraA01001556"	"AT4G24000"	"CSLG2"	"cellulose synthase like G2"	"-"	"-"	-6.33441022747352	4.10126267254483	0.055678857885013	0.510677891953216
"BraA02001832"	"AT1G65510"	"AT1G65510"	"transmembrane protein"	"-"	"-"	-6.31472673891578	1.07213739471686e-07	0.999744075074109	0.999948802194745
"BraSca001074"	"AT1G65510"	"AT1G65510"	"transmembrane protein"	"-"	"-"	-6.31472673891578	1.07213739471686e-07	0.999744075074109	0.999948802194745
"BraA03001284"	"AT5G57760"	"AT5G57760"	"hypothetical protein"	"-"	"YES"	-6.30214508280771	10.1018308291366	0.0040319545976801	0.280649713776641
"BraA02001060"	"AT5G22500"	"FAR1"	"fatty acid reductase 1"	"-"	"-"	-6.25903368441599	10.661502846254	0.00296058157355893	0.260241094417112
"BraA07001815"	"AT2G27420"	"AT2G27420"	"Cysteine proteinases superfamily protein"	"-"	"-"	-6.23589810368251	13.0929321237785	0.00119768316168814	0.216741957472661
"BraA02000242"	"AT5G07200"	"GA20OX3"	"gibberellin 20-oxidase 3"	"-"	"-"	-6.07655389721779	21.1855663423003	8.77884466807619e-05	0.107997372237647
"BraA01000130"	"AT4G37770"	"ACS8"	"1-amino-cyclopropane-1-carboxylate synthase 8"	"-"	"-"	-6.06652484787268	13.5834044252378	0.00100568755545707	0.214625031004889
"BraA09005831"	"AT2G22170"	"PLAT2"	"Lipase/lipooxygenase, PLAT/LH2 family protein"	"-"	"-"	-6.06586463362999	7.83448595610528	0.00992588284697326	0.338225504091609
"BraA09005829"	"AT2G22170"	"PLAT2"	"Lipase/lipooxygenase, PLAT/LH2 family protein"	"-"	"-"	-6.0550826863433	7.80237349192602	0.0100592479521701	0.338723155698189
"BraA10002717"	"AT5G06730"	"AT5G06730"	"Peroxidase superfamily protein"	"-"	"-"	-6.04061212584539	10.2082081933281	0.00353213776888806	0.270319309200217
"BraA10000604"	"AT1G07430"	"HAI2"	"highly ABA-induced PP2C protein 2"	"-"	"-"	-6.02843919519599	4.78197194879851	0.037561773503874	0.468210625103832
"BraA06003425"	"AT2G18193"	"AT2G18193"	"P-loop containing nucleoside triphosphate hydrolases superfamily protein"	"-"	"-"	-6.01786437549007	19.3173567788687	0.000153332274116093	0.135222783566487
"BraA09001088"	"AT2G14890"	"AGP9"	"arabinogalactan protein 9"	"-"	"-"	-5.96735703637906	23.1323651123474	5.03071835293876e-05	0.0761138444130251
"BraA03005374"	"AT4G22620"	"AT4G22620"	"SAUR-like auxin-responsive protein family"	"-"	"-"	-5.92846057833504	4.85668395124021	0.0373288734614722	0.468091061544881
"BraA03003317"	"AT3G02840"	"AT3G02840"	"ARM repeat superfamily protein"	"-"	"-"	-5.91858603417261	5.51101238170761	0.0264454963996107	0.430621799112064
"BraA06001104"	"AT5G02500"	"HSC70-1"	"heat shock cognate protein 70-1"	"-"	"YES"	-5.84864571689294	3.29470985334469	0.0819619306876998	0.562051917185383
"BraA07001494"	"AT1G21520"	"AT1G21520"	"hypothetical protein"	"-"	"-"	-5.84398373895792	4.62917909242964	0.0416587841737198	0.481900901251774
"BraA09001247"	"AT2G18969"	"AT2G18969"	"transcription factor/transcription regulator"	"-"	"-"	-5.5828617203382	2.95019033284253	0.0986851820399451	0.583211597335246
"BraA07001108"	"AT1G28480"	"GRX480"	"Thioredoxin superfamily protein"	"-"	"-"	-5.5809571686908	4.53582936705385	0.0424181540224292	0.48373907232226
"BraA06003592"	"AT5G24110"	"WRKY30"	"WRKY DNA-binding protein 30"	"YES"	"-"	-5.55202434652133	6.09372955299615	0.0201577673953349	0.399653499692997
"BraA05000546"	"AT2G44080"	"ARL"	"ARGOS-like protein"	"-"	"YES"	-5.50064977167035	8.3147428744335	0.00879187498200962	0.332177056019302
"BraA07000713"	"AT3G25250"	"AGC2-1"	"AGC (cAMP-dependent, cGMP-dependent and protein kinase C) kinase family protein"	"-"	"-"	-5.37858227964827	13.4279214079193	0.0010626775940532	0.214625031004889
"BraA01000173"	"AT4G37290"	"AT4G37290"	"transmembrane protein"	"-"	"-"	-5.3228536992139	1.6275302871498	0.21590231435607	0.689058060136357
"BraA09001619"	"AT1G63220"	"AT1G63220"	"Calcium-dependent lipid-binding (CaLB domain) family protein"	"-"	"-"	-5.27226916420607	28.618621553864	1.64081061530551e-05	0.03920232500039
"BraA08002117"	"AT4G28460"	"AT4G28460"	"transmembrane protein"	"-"	"-"	-5.27072866520398	2.17523096769223	0.151766643162709	0.64138742717751
"BraA03002625"	"AT5G52930"	"AT5G52930"	"hypothetical protein (DUF295)"	"-"	"-"	-5.25321453663017	14.762975358867	0.000667149685566284	0.19241649711152
"BraA08000176"	"AT5G55890"	"AT5G55890"	"hypothetical protein (DUF295)"	"-"	"-"	-5.24295367048865	11.2653465931225	0.00234957740889518	0.255408432007514
"BraA01002424"	"AT3G51160"	"MUR1"	"NAD(P)-binding Rossmann-fold superfamily protein"	"-"	"-"	-5.23306262101122	0.836694677867819	0.370672536858325	0.790991440214701
"BraA03004421"	"AT2G04040"	"DTX1"	"MATE efflux family protein"	"-"	"-"	-5.19922781857451	9.96065365233069	0.00389397247563687	0.27905887702018
"BraA08001734"	"AT3G22080"	"AT3G22080"	"ubiquitin carboxyl-terminal hydrolase-like protein"	"-"	"-"	-5.17983390718685	5.190893439516	0.0330889124257691	0.45220826015292
"BraA07003215"	"AT4G39670"	"AT4G39670"	"Glycolipid transfer protein (GLTP) family protein"	"-"	"-"	-5.17717158106551	4.67053637960705	0.0396792027641879	0.475324472095208
"BraA02001158"	"AT5G59820"	"RHL41"	"C2H2-type zinc finger family protein"	"YES"	"YES"	-5.14813413984015	8.24948869487255	0.00782260145575631	0.323710791470882
"BraA08004017"	"AT1G02400"	"GA2OX6"	"gibberellin 2-oxidase 6"	"-"	"-"	-5.10187571487195	12.4440520816903	0.0015149815146321	0.229571005402517
"BraA09000632"	"AT5G25190"	"ESE3"	"Integrase-type DNA-binding superfamily protein"	"YES"	"-"	-5.05794867844306	15.7402799949679	0.00047862386098743	0.184678564545739
"BraA09002740"	"AT4G11080"	"3xHMG-box1"	"HMG (high mobility group) box protein"	"-"	"-"	-5.00261239694843	9.05962308949222	0.00602059640381143	0.304179733719171
"BraA10002904"	"AT5G09570"	"AT5G09570"	"Cox19-like CHCH family protein"	"-"	"-"	-4.99604317450026	19.2885591236478	0.000154685548682606	0.135222783566487
"BraA03001093"	"AT5G22380"	"NAC090"	"NAC domain containing protein 90"	"YES"	"-"	-4.98875776277333	4.51590242536271	0.0428409230896426	0.484544968878378
"BraA01000945"	"AT4G28720"	"YUC8"	"Flavin-binding monooxygenase family protein"	"-"	"YES"	-4.97737705740383	9.22223564398831	0.00624474370997123	0.304179733719171
"BraA09000961"	"AT5G67360"	"ARA12"	"Subtilase family protein"	"-"	"-"	-4.97364120276744	7.24378749778502	0.0120393746667038	0.353384551131132
"BraA10001777"	"AT5G20230"	"BCB"	"blue-copper-binding protein"	"-"	"-"	-4.96110133132842	3.76453396100426	0.0628161211986763	0.519772270693749
"BraA07001513"	"AT3G43660"	"AT3G43660"	"Vacuolar iron transporter (VIT) family protein"	"-"	"-"	-4.96056343728315	4.81801887147804	0.0380277692812198	0.468698951082431
"BraA03004240"	"AT3G21330"	"AT3G21330"	"basic helix-loop-helix (bHLH) DNA-binding superfamily protein"	"YES"	"-"	-4.94766263212869	15.304081048286	0.00055510067858252	0.184982542408935
"BraA01000309"	"AT4G12735"	"AT4G12735"	"hypothetical protein"	"-"	"-"	-4.9421057698239	6.97337428912482	0.0135597359542354	0.361596924120298
"BraA05000270"	"AT5G63560"	"FACT"	"HXXXD-type acyl-transferase family protein"	"-"	"-"	-4.93596890303363	6.14059313373418	0.0216514498549399	0.408285527487445
"BraA09005305"	"AT3G60140"	"DIN2"	"Glycosyl hydrolase superfamily protein"	"-"	"-"	-4.92955870967635	0.980861584175419	0.331820680021624	0.768986269875676
