"","logFC","logCPM","F","PValue","FDR","woundCtrl","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA05003779",-3.01177720611762,9.03659156165186,258.996220605048,2.98288587231622e-12,1.56502078767524e-09,FALSE,"BraA05003779","AT3G13460","ECT2","evolutionarily conserved C-terminal region 2","-","-"
"BraA06001302",-3.92017044710952,8.9592518315228,204.968252728649,2.18462124034063e-11,5.37213162172022e-09,FALSE,"BraA06001302","AT1G09570","PHYA","phytochrome A","-","YES"
"BraA04002996",-4.13602311409062,8.45774319264315,200.306324445993,2.65228459335148e-11,5.61585783794215e-09,FALSE,"BraA04002996","AT2G41560","ACA4","autoinhibited Ca(2 )-ATPase, isoform 4","-","-"
"BraA03004700",-3.2646969630909,4.89533584233669,196.555681873898,3.10969285864793e-11,6.36211354205989e-09,FALSE,"BraA03004700","AT5G61190","AT5G61190","putative endonuclease or glycosyl hydrolase with C2H2-type zinc finger domain-containing protein","-","-"
"BraA03003709",-4.6682420911852,4.47584787936266,181.251044462086,6.13523059805146e-11,9.37558539935242e-09,FALSE,"BraA03003709","AT3G10985","SAG20","senescence associated gene 20","-","YES"
"BraA10003048",-3.09219784138253,6.99729465535205,168.131786864441,1.14687796632828e-10,1.30157289254744e-08,FALSE,"BraA10003048","AT5G03540","EXO70A1","exocyst subunit exo70 family protein A1","-","YES"
"BraA08003014",-12.0471630888329,7.43619421916821,161.884173791336,1.56940106774608e-10,1.50624224428801e-08,FALSE,"BraA08003014","AT1G27110","AT1G27110","Tetratricopeptide repeat (TPR)-like superfamily protein","-","-"
"BraA03000218",-3.00850045825983,5.667579424682,159.765285483677,1.7499008062284e-10,1.60136271453692e-08,FALSE,"BraA03000218","AT5G05180","AT5G05180","myosin heavy chain, striated protein","-","-"
"BraA08003167",-4.06048730971242,3.12494996887035,157.324696867207,1.98690776029462e-10,1.70895782224248e-08,FALSE,"BraA08003167","AT1G76460","AT1G76460","RNA-binding (RRM/RBD/RNP motifs) family protein","-","-"
"BraA08001424",-5.47454909122646,6.09746486247882,152.603122065373,2.55342738315009e-10,1.9948507182664e-08,FALSE,"BraA08001424","AT4G19160","AT4G19160","transglutaminase family protein","-","-"
"BraA06001724",-10.8908152642052,4.48916337069744,150.57281573937,2.85039729938946e-10,2.07709506909214e-08,FALSE,"BraA06001724","AT1G15380","GLYI4","Lactoylglutathione lyase / glyoxalase I family protein","-","-"
"BraA06004753",-3.11451985937642,7.47493206553589,145.159636522081,3.84754136494029e-10,2.4602532361128e-08,FALSE,"BraA06004753","AT5G45500","AT5G45500","RNI-like superfamily protein","-","-"
"BraA07000520",-3.57257648072019,6.05764304071395,144.106347535882,4.08353996405513e-10,2.52058506016579e-08,FALSE,"BraA07000520","AT2G15580","AT2G15580","RING/U-box superfamily protein","-","-"
"BraA08001833",-4.09507307793094,5.11142925212607,137.676918893702,5.92389001066861e-10,3.21524237130772e-08,FALSE,"BraA08001833","AT4G32150","VAMP711","vesicle-associated membrane protein 711","-","-"
"BraA03005909",-3.18849938287408,8.04269143550722,134.886790494772,6.99552607122593e-10,3.55582146985195e-08,FALSE,"BraA03005909","AT4G29900","ACA10","autoinhibited Ca(2 )-ATPase 10","-","-"
"BraA02000212",-4.87425463388252,4.8905799975853,134.78385184396,7.03898255119264e-10,3.55582146985195e-08,FALSE,"BraA02000212","AT5G06300","LOG7","Putative lysine decarboxylase family protein","-","-"
"BraA03001585",-6.97915314534845,3.62177294657522,131.510821560776,8.58991702828744e-10,4.13471847172001e-08,FALSE,"BraA03001585","AT5G52120","PP2-A14","phloem protein 2-A14","-","-"
"BraA09002237",-3.40392360781444,6.13923156700811,128.122706491387,1.06056562200991e-09,4.78902880478437e-08,FALSE,"BraA09002237","AT5G45370","UMAMIT1","nodulin MtN21 /EamA-like transporter family protein","-","-"
"BraA06001997",-3.80772284362711,7.13427302301018,122.461002632923,1.52543068276126e-09,6.06275594077562e-08,FALSE,"BraA06001997","AT1G18270","AT1G18270","ketose-bisphosphate aldolase class-II family protein","-","-"
"BraA03000536",-3.21498320481797,4.03852567373503,120.487270930944,1.73752605476571e-09,6.70310296617948e-08,FALSE,"BraA03000536","AT5G11970","AT5G11970","ABC family ABC transporter, putative (DUF3511)","-","-"
"BraA09003891",-5.17844065503529,9.70897775111969,116.085331998247,2.33886336793163e-09,8.29137599352338e-08,FALSE,"BraA09003891","AT1G28330","DYL1","dormancy-associated protein-like 1","-","-"
"BraA09001455",-5.98053830763813,5.28608050253166,111.908259498105,3.12961232295176e-09,1.02199373367761e-07,FALSE,"BraA09001455","AT1G64230","UBC28","ubiquitin-conjugating enzyme 28","-","-"
"BraA09000881",-3.55469724018576,3.25668326657613,110.107438863821,3.55868201565508e-09,1.1089648671129e-07,FALSE,"BraA09000881","AT5G64530","XND1","xylem NAC domain 1","YES","-"
"BraA06003767",-3.17026658702092,4.90335328345009,108.620868150255,3.96231542704321e-09,1.18564269062587e-07,FALSE,"BraA06003767","AT5G26230","MAKR1","membrane-associated kinase regulator","-","-"
"BraA09000556",-3.86110002838685,3.69582221207652,107.965698198293,4.15612532117319e-09,1.21593703634323e-07,FALSE,"BraA09000556","AT5G27920","AT5G27920","F-box family protein","-","-"
"BraA08002431",-4.35952121758623,5.25231282787139,105.257622563452,5.07670389901686e-09,1.38009187168437e-07,FALSE,"BraA08002431","AT4G40060","HB16","homeobox protein 16","YES","YES"
"BraA08000064",-3.74030603933971,5.46854340921641,104.833249902386,5.24049830672427e-09,1.40053175605837e-07,FALSE,"BraA08000064","AT1G55510","BCDH BETA1","branched-chain alpha-keto acid decarboxylase E1 beta subunit","-","-"
"BraA02002760",-3.77497475452633,5.83175732525142,103.923981509735,5.61155437146255e-09,1.467207073203e-07,FALSE,"BraA02002760","AT1G79590","SYP52","syntaxin of plants 52","-","-"
"BraA03005093",-3.64983373097305,5.04718205833276,102.159735457846,6.41759785908324e-09,1.60338079844397e-07,FALSE,"BraA03005093","AT4G17730","SYP23","syntaxin of plants 23","-","YES"
"BraA07002276",-3.09849444857117,4.48594902953138,101.093853242377,6.96638882070262e-09,1.7000148843079e-07,FALSE,"BraA07002276","AT3G61350","SKIP4","SKP1 interacting partner 4","-","-"
"BraA03001683",-4.2055577649034,6.73328953236595,99.4039541428131,7.94638093465422e-09,1.86074425357211e-07,FALSE,"BraA03001683","AT2G30070","KT1","potassium transporter 1","-","-"
"BraA10001389",-4.12114240347302,3.39834688744042,99.3244867662008,7.99609186693714e-09,1.86181192286377e-07,FALSE,"BraA10001389","AT5G58570","AT5G58570","transmembrane protein","-","-"
"BraA05004539",-4.23433533185655,6.48351482356955,98.9479422091671,8.23637840537516e-09,1.90088850587397e-07,FALSE,"BraA05004539","AT3G03870","AT3G03870","transmembrane protein","-","-"
"BraA01001964",-3.869536888561,5.73119829794403,97.8899908677956,8.95547275023851e-09,2.03404243995316e-07,FALSE,"BraA01001964","AT4G27740","AT4G27740","Yippee family putative zinc-binding protein","-","-"
