"","logFC_WT","logCPM_WT","F_WT","PValue_WT","FDR_WT","Gene_ID","logFC_phyB","logCPM_phyB","F_phyB","PValue_phyB","FDR_phyB","WT.D_Avg_CPM","phyB.D_Avg_CPM","WT.R_Avg_CPM","phyB.R_Avg_CPM","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development","group"
"BraA06001326",2.13703848596681,6.41882735770244,100.427446358852,6.62670622413517e-10,1.15148936669925e-08,"BraA06001326",0.628969125393973,6.41882735770244,6.99037559302036,0.0144370522545425,0.0244369504770942," 18.68524"," 22.60360"," 82.17488"," 35.02003","AT1G09800","AT1G09800","Pseudouridine synthase family protein","-","-","WT_sig"
"BraA05004213",1.2409277032043,5.19962153962207,72.7248195841629,1.30087711271154e-08,1.26238013280393e-07,"BraA05004213",0.416990432500702,5.19962153962207,6.35921339959393,0.0189774123811548,0.031183262436515,"17.76142","23.68212","41.93668","31.61587","AT3G07940","AT3G07940","Calcium-dependent ARF-type GTPase activating protein family","-","-","WT_sig"
"BraA09006187",3.26488517519428,9.18555732434706,72.1347915535476,1.39873489260286e-08,1.34161202188e-07,"BraA09006187",0.74361057780997,9.18555732434706,3.29655065721801,0.0823574060804562,0.115391273963538,"  81.28768","  84.89552"," 779.93895"," 142.24942","AT1G15820","LHCB6","light harvesting complex photosystem II subunit 6","-","YES","WT_sig"
"BraA03003975",2.25255347760836,6.71918742433218,69.0529146469596,2.05850096339381e-08,1.86855854462621e-07,"BraA03003975",0.289095437024906,6.71918742433218,0.937937625596446,0.342785282986367,0.405032681796068," 19.27047"," 39.04941"," 91.85637"," 47.74892","AT3G15840","PIFI","post-illumination chlorophyll fluorescence increase","-","-","WT_sig"
"BraA04001207",2.52178456191897,4.46530531825862,68.181100135664,2.30175090568159e-08,2.04686775454397e-07,"BraA04001207",0.964093133621857,4.46530531825862,8.26598341986477,0.00850071889238533,0.0152237245837007," 4.301166"," 7.122809","24.910461","13.952957","AT5G38980","AT5G38980","transmembrane protein","-","-","WT_sig"
"BraA07003482",1.12625061550555,5.72436235019636,66.2640062509692,2.95393230652827e-08,2.53240166147903e-07,"BraA07003482",0.320064791249758,5.72436235019636,4.12284780861715,0.0539086176345014,0.0790941127486067,"26.14812","34.31394","57.00803","42.81002","AT1G71710","AT1G71710","DNAse I-like superfamily protein","-","-","WT_sig"
"BraA08003182",2.6292530929982,4.01812762379292,65.6303757226762,3.21165824794614e-08,2.70618312755205e-07,"BraA08003182",0.253930195904002,4.01812762379292,0.479846720867839,0.495359527580039,0.556408974816943," 2.292163"," 3.069575","14.329431"," 3.681741","AT1G20640","AT1G20640","Plant regulator RWP-RK family protein","YES","-","WT_sig"
"BraA01001784",2.65954701211322,4.71807672890989,63.7991794831773,4.1041311950331e-08,3.31277051332415e-07,"BraA01001784",0.994881606957056,4.71807672890989,7.60168337289582,0.0111600122877772,0.0193520539175513," 3.600185"," 7.360521","23.073456","14.681943","AT4G26130","AT4G26130","cotton fiber protein","-","-","WT_sig"
"BraA03002832",1.65833642639073,6.08696159396769,61.4051490742337,5.70085246806747e-08,4.36496680522027e-07,"BraA03002832",0.540317525850328,6.08696159396769,5.11837837463206,0.0333283509347577,0.051577168689218," 22.75337"," 27.23143"," 71.57437"," 39.62988","AT4G09020","ISA3","isoamylase 3","-","-","WT_sig"
"BraA06004265",2.31379765554191,3.71013767179806,60.9907819599967,6.04030935144602e-08,4.57749009108139e-07,"BraA06004265",0.84529435055506,3.71013767179806,6.91241734958199,0.0149265388947387,0.0251518811907918," 4.853743","13.846935","24.020764","24.865825","AT3G27170","CLC-B","chloride channel B","-","-","WT_sig"
"BraA07003613",1.34309101249299,4.96771433060968,60.6756059530428,6.31320661823906e-08,4.73866820081463e-07,"BraA07003613",0.548260868547362,4.96771433060968,7.86099856294918,0.0100259714298696,0.0176106227325239,"19.46778","28.30351","49.42480","41.37991","AT1G73390","AT1G73390","Endosomal targeting BRO1-like domain-containing protein","-","-","WT_sig"
"BraA09003637",2.4817557309358,3.07183924858668,60.0781328531748,6.86803145052235e-08,5.09438336622158e-07,"BraA09003637",0.909133636572722,3.07183924858668,7.24815833975849,0.012940702167668,0.0221230207580205," 1.669657"," 4.637838"," 9.003795"," 8.775446","AT1G30870","AT1G30870","Peroxidase superfamily protein","-","-","WT_sig"
"BraA05002420",1.09650704787524,7.0231151586682,59.9943039468035,6.95002508109378e-08,5.14066704776392e-07,"BraA05002420",0.272096310256982,7.0231151586682,2.83866235662527,0.105411271521854,0.143701144444308," 67.90693"," 96.06618","145.14859","115.99947","AT1G32160","AT1G32160","beta-casein (DUF760)","-","YES","WT_sig"
"BraA09000420",1.52070621592283,4.70613081127455,59.9559617506788,6.98788180008185e-08,5.16381500156283e-07,"BraA09000420",0.463410493424224,4.70613081127455,4.36698380869644,0.0477809875242761,0.0710642297677507,"12.01218","16.41522","34.41861","22.64326","AT3G32930","AT3G32930","6,7-dimethyl-8-ribityllumazine synthase","-","-","WT_sig"
"BraA09002520",2.58248468562614,7.18725282445428,57.1151149552939,1.05269065695387e-07,7.34742701725409e-07,"BraA09002520",1.07822165375511,7.18725282445428,8.24021755724126,0.00858973364150631,0.0153569295226385," 19.02086"," 30.55161","113.67933"," 64.61814","AT2G03280","AT2G03280","O-fucosyltransferase family protein","-","-","WT_sig"
