"Gene_ID"	"A._thaliana_best_hit"	"Symbol"	"Description"	"TF"	"Leaf_development"	"logFC"	"F"	"PValue"	"fdr.gen"
"BraA07002742"	"AT1G72610"	"GER1"	"germin-like protein 1"	"-"	"-"	-12.5454596413057	246.346315174971	3.69126929740768e-14	6.03853091555775e-12
"BraA07003741"	"AT1G75030"	"TLP-3"	"thaumatin-like protein 3"	"-"	"-"	-12.12559097922	39.2247067618217	3.19272296888506e-06	1.17193034495863e-05
"BraA01002402"	"AT3G51600"	"LTP5"	"lipid transfer protein 5"	"-"	"-"	-11.4868104539798	86.2892521857876	1.94578882352424e-09	2.14124682733308e-08
"BraA03002955"	"AT4G12520"	"AT4G12520"	"Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein"	"-"	"-"	-11.2591577064364	34.343550690383	4.7207118504122e-06	1.64702728748823e-05
"BraA05000507"	"AT2G43520"	"TI2"	"trypsin inhibitor protein 2"	"-"	"-"	-11.152395532646	92.3161488347635	3.68800672814307e-09	3.65152644478881e-08
"BraA09005856"	"AT2G21650"	"MEE3"	"Homeodomain-like superfamily protein"	"-"	"-"	-11.0309780891893	38.7879152270588	1.90987977249472e-06	7.49757781032536e-06
"BraA02001944"	"AT5G36910"	"THI2.2"	"thionin 2.2"	"-"	"-"	-10.867513310183	131.809091009414	1.5341487343178e-10	2.72749995174213e-09
"BraA07003543"	"AT1G72416"	"AT1G72416"	"Chaperone DnaJ-domain superfamily protein"	"-"	"-"	-10.8282658995464	61.1403058269574	4.56613023961243e-08	2.96663132728346e-07
"BraA01000037"	"AT4G39250"	"RL1"	"RAD-like 1"	"YES"	"-"	-10.4233710384801	11.3675670421714	0.00286816011071248	0.00516240559872964
"BraA05001005"	"AT2G36885"	"AT2G36885"	"translation initiation factor"	"-"	"-"	-10.1258225698014	110.683142995017	4.50289697227597e-11	1.04012649662025e-09
"BraA01004807"	"AT3G01500"	"CA1"	"carbonic anhydrase 1"	"-"	"-"	-10.0625194599258	175.382174797852	2.35523697968086e-13	2.08182055772517e-11
"BraA05002063"	"AT1G48330"	"AT1G48330"	"SsrA-binding protein"	"-"	"-"	-9.91443783457544	45.8083527215937	5.19110309585705e-07	2.39314765434874e-06
"BraA06002385"	"AT3G49570"	"LSU3"	"response to low sulfur 3"	"-"	"-"	-9.85093606275801	26.3932081005244	2.89603515872396e-05	8.16094442915387e-05
"BraA06003050"	"AT5G62730"	"AT5G62730"	"Major facilitator superfamily protein"	"-"	"-"	-9.82059331373376	72.0847802668643	1.04358783550013e-08	8.58404838348905e-08
"BraA09001247"	"AT2G18969"	"AT2G18969"	"transcription factor/transcription regulator"	"-"	"-"	-9.80029131190327	21.137688803059	0.000114359747648605	0.000278697057054482
"BraA10002265"	"AT5G13930"	"TT4"	"Chalcone and stilbene synthase family protein"	"-"	"YES"	-9.76184389072688	47.8322569195549	3.65591926779561e-07	1.76951658797411e-06
"BraA10000072"	"AT1G01190"	"CYP78A8"	"cytochrome P450, family 78, subfamily A, polypeptide 8"	"-"	"-"	-9.71297887706347	145.544097804715	2.07013540052231e-12	1.00895164869566e-10
