"","logFC","logCPM","PValue","FDR","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA05000169",-6.06969179286405,2.9992833096493,3.14158311692398e-51,4.94485182603835e-47,"BraA05000169","AT2G46970","PIL1","phytochrome interacting factor 3-like 1","YES","YES"
"BraA10000108",-9.56597488906373,2.09908462448573,6.21866685198507e-42,4.89409081251225e-38,"BraA10000108","AT1G02340","HFR1","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","YES","YES"
"BraA09006975",-5.88801594009056,3.33522248139265,2.92318648687027e-37,1.15027388258345e-33,"BraA09006975","AT1G02340","HFR1","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","YES","YES"
"BraA07002639",-3.34385400457782,3.1426740004024,8.02540386449102e-31,1.80456938324412e-27,"BraA07002639","AT1G75030","TLP-3","thaumatin-like protein 3","-","-"
"BraA03002625",-3.32855598897305,2.81057284347983,1.12115812032618e-30,2.20587860174176e-27,"BraA03002625","AT5G52930","AT5G52930","hypothetical protein (DUF295)","-","-"
"BraA10001437",-3.25101393381396,3.35194080849742,1.79588849158996e-22,2.17440652750969e-19,"BraA10001437","AT5G59010","BSK5","kinase with tetratricopeptide repeat domain-containing protein","-","YES"
"BraA10000910",-5.36193736041601,0.764263839279862,1.39721954852501e-19,1.09961178468918e-16,"BraA10000910","AT5G53200","TRY","Homeodomain-like superfamily protein","YES","YES"
"BraA02000242",-3.43393242159487,1.31407524222925,8.01522069272318e-13,2.57468517762169e-10,"BraA02000242","AT5G07200","GA20OX3","gibberellin 20-oxidase 3","-","-"
"BraA03004240",-5.49364994586114,-0.0317732947324744,4.74760441275371e-12,1.28840161132316e-09,"BraA03004240","AT3G21330","AT3G21330","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","YES","-"
"BraA07002556",-3.12298228231966,4.60178575710692,3.17479327921314e-11,7.45839495743505e-09,"BraA07002556","AT1G76955","AT1G76955","Expressed protein","-","-"
"BraA03002626",-3.68669491202253,0.949816045651141,2.78728010001056e-10,5.62458830438029e-08,"BraA03002626","AT5G52940","AT5G52940","hypothetical protein (DUF295)","-","-"
"BraA07003741",-4.01035262303437,3.84285955614849,4.11943743799016e-10,8.00493151530433e-08,"BraA07003741","AT1G75030","TLP-3","thaumatin-like protein 3","-","-"
"BraA08002297",-3.58194831045803,3.24873575440333,2.75585418088273e-09,4.21137328224215e-07,"BraA08002297","AT4G35720","AT4G35720","DUF241 domain protein, putative (DUF241)","-","-"
"BraA04000504",-3.44932180215663,-0.201101526052292,4.25822065877379e-07,3.5651272962287e-05,"BraA04000504","AT3G55240","AT3G55240","Plant protein 1589 of unknown function","-","-"
"BraA05003225",-3.00214712094304,0.13549170687711,2.02154620769678e-06,0.000132530768494528,"BraA05003225","AT1G74590","GSTU10","glutathione S-transferase TAU 10","-","-"
"BraA01000945",-6.88110782647254,0.407131235536383,2.40707890278463e-06,0.000152158321003334,"BraA01000945","AT4G28720","YUC8","Flavin-binding monooxygenase family protein","-","YES"
"BraA08000133",-3.88744566345071,1.79926375578162,2.50222822041242e-06,0.000156912638204349,"BraA08000133","AT1G53990","GLIP3","GDSL-motif lipase 3","-","-"
"BraA03003091",-3.7102569360453,-1.07016747706582,4.13984618233769e-06,0.000231068010319132,"BraA03003091","AT2G46450","CNGC12","cyclic nucleotide-gated channel 12","-","-"
"BraA09005457",-4.46532929853893,-1.0188645223593,4.44344568237751e-06,0.000243692805019589,"BraA09005457","AT3G62090","PIL2","phytochrome interacting factor 3-like 2","YES","YES"
"BraA07001513",-4.00134411363566,-1.52842063603409,9.46357051757912e-05,0.00305591921182579,"BraA07001513","AT3G43660","AT3G43660","Vacuolar iron transporter (VIT) family protein","-","-"
"BraA01003850",-9.25318013190982,3.90194125710788,0.000273073729266144,0.00684423646281706,"BraA01003850",NA,NA,NA,NA,NA
"BraA07002315",-3.85216292220547,-1.62600682415724,0.000278696339915224,0.00695511293403874,"BraA07002315","AT3G62090","PIL2","phytochrome interacting factor 3-like 2","YES","YES"
"BraA05002634",-4.32939355810861,0.423534268650607,0.00035226459560678,0.00833781163135447,"BraA05002634","AT3G21330","AT3G21330","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","YES","-"
