"","logFC","logCPM","PValue","FDR","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA03000302",2.0737259599005,5.99040384628946,1.5446091762439e-34,4.86242968681579e-31,"BraA03000302","AT5G07200","GA20OX3","gibberellin 20-oxidase 3","-","-"
"BraA03003874",2.27942254502987,4.89648353768657,9.4455643263526e-30,2.123902607097e-26,"BraA03003874","AT3G13930","AT3G13930","Dihydrolipoamide acetyltransferase, long form protein","-","YES"
"BraA09005649",3.1291379589679,3.65955569867224,7.398439616085e-29,1.29390488396864e-25,"BraA09005649","AT3G63520","CCD1","carotenoid cleavage dioxygenase 1","-","-"
"BraA10002309",2.06181833061933,4.98489684589931,3.35398043409931e-26,4.79924109388393e-23,"BraA10002309",NA,NA,NA,NA,NA
"BraA07001444",2.58239473333935,3.95425857268741,1.0367811612235e-22,1.25530272905061e-19,"BraA07001444","AT1G22400","UGT85A1","UDP-Glycosyltransferase superfamily protein","-","-"
"BraA09005648",2.69261829452933,4.14031905814095,1.00578362163176e-19,1.05540228029893e-16,"BraA09005648","AT3G63520","CCD1","carotenoid cleavage dioxygenase 1","-","-"
"BraA03004932",2.12667595479942,6.08425786794896,2.72006696731344e-17,2.51846200385373e-14,"BraA03004932","AT4G15530","PPDK","pyruvate orthophosphate dikinase","-","-"
"BraA01003435",2.56588351823366,4.80306968121304,4.70449664078925e-16,3.21951204895751e-13,"BraA01003435","AT3G21760","HYR1","UDP-Glycosyltransferase superfamily protein","-","-"
"BraA03000788",2.14546650035325,3.63032875293226,4.89189847866508e-13,1.9743200526715e-10,"BraA03000788","AT5G16370","AAE5","acyl activating enzyme 5","-","-"
"BraA09000297",2.03027336841969,4.12658634906591,1.81523651421853e-12,6.21126581169558e-10,"BraA09000297",NA,NA,NA,NA,NA
"BraA07002218",2.62328196741585,9.16734543025122,3.3624317177017e-11,9.62266822484087e-09,"BraA07002218","AT3G59960","ASHH4","histone-lysine N-methyltransferase ASHH4","-","-"
"BraA01002310",4.86173752744503,0.390499876802076,4.87376968012702e-10,1.06546020507221e-07,"BraA01002310",NA,NA,NA,NA,NA
"BraA01000675",2.51249765506713,5.8731134260575,2.66289118711479e-09,4.55585948752031e-07,"BraA01000675","AT1G77520","AT1G77520","O-methyltransferase family protein","-","-"
"BraA03005378",2.40367097197504,3.87942783370105,4.16884026789633e-09,6.56175458166883e-07,"BraA03005378","AT4G22690","CYP706A1","cytochrome P450, family 706, subfamily A, polypeptide 1","-","-"
"BraA01000296",2.58619995882199,5.89250468768599,4.26172555008039e-09,6.62064777310515e-07,"BraA01000296","AT4G35770","SEN1","Rhodanese/Cell cycle control phosphatase superfamily protein","-","YES"
"BraA03004939",2.79571997109827,3.99696528602814,4.29038165728542e-09,6.62064777310515e-07,"BraA03004939","AT4G15680","AT4G15680","Thioredoxin superfamily protein","-","-"
"BraA03005500",4.74366297573969,-0.639464100865135,1.11948954702915e-08,1.57328263127132e-06,"BraA03005500","AT4G24040","TRE1","trehalase 1","-","-"
"BraA04001553",2.55864773722887,4.68629941177567,2.0597233814044e-07,2.11895725642518e-05,"BraA04001553","AT2G21650","MEE3","Homeodomain-like superfamily protein","-","-"
"BraA02002123",2.48180407754782,3.2996804798,3.10727570087893e-07,2.92737781853583e-05,"BraA02002123","AT1G69840","AT1G69840","SPFH/Band 7/PHB domain-containing membrane-associated protein family","-","-"
"BraA09002755",2.06911032646801,2.93751392134247,8.14748021583118e-07,6.82134779772249e-05,"BraA09002755","AT5G49690","AT5G49690","UDP-Glycosyltransferase superfamily protein","-","-"
"BraA05003822",2.20711171383005,2.35931301580549,1.32636547315292e-06,0.000107061500243215,"BraA05003822",NA,NA,NA,NA,NA
"BraA09004349",2.08985286921206,4.11204136168557,3.24255602899192e-06,0.000231990144983331,"BraA09004349","AT1G22360","UGT85A2","UDP-glucosyl transferase 85A2","-","-"
"BraA02000132",4.71735146056978,-0.739351534343655,3.94056614348898e-06,0.000274805478339349,"BraA02000132","AT5G04040","SDP1","Patatin-like phospholipase family protein","-","-"
"BraA02002839",2.74652871969648,0.734238303001951,4.94927087421139e-05,0.0021821155058848,"BraA02002839","AT1G80160","GLYI7","Lactoylglutathione lyase / glyoxalase I family protein","-","-"
"BraA05002723",2.60153101079091,3.47255526367393,5.88034144831422e-05,0.00250152903774232,"BraA05002723","AT5G38520","AT5G38520","alpha/beta-Hydrolases superfamily protein","-","-"
"BraA06001469",2.25741835843042,0.872666338845091,0.000681300581808363,0.0169715387775588,"BraA06001469","AT1G11330","AT1G11330","S-locus lectin protein kinase family protein","-","-"
"BraA05001202",2.64264450581405,1.22703825183933,0.00112066480094728,0.0242965068414741,"BraA05001202","AT2G34180","CIPK13","CBL-interacting protein kinase 13","-","-"
"BraA10001443",3.42184555683511,-1.16855385139335,0.00135528251788255,0.0279949433483875,"BraA10001443","AT5G59220","HAI1","PP2C protein (Clade A protein phosphatases type 2C)","-","YES"
"BraA09001267",4.16848306394122,2.46877641539137,0.00217024987120436,0.0388826953975697,"BraA09001267","AT2G19480","NAP1;2","nucleosome assembly protein 1;2","-","YES"
