"","logFC","logCPM","F","PValue","FDR","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA06003490",4.2106190723437,5.42720666598845,532.340704049519,5.56693766126571e-15,8.03263471719459e-11,"BraA06003490","AT2G17320","AT2G17320","pantothenate kinase","-","-"
"BraA08003307",3.27974749424364,7.54832030026296,485.981825346881,1.2464036889464e-14,8.03263471719459e-11,"BraA08003307","AT1G18060","AT1G18060","microbial collagenase","-","-"
"BraA04003076",5.32264196136827,9.0473078800141,474.779053196844,1.53138689321198e-14,8.03263471719459e-11,"BraA04003076","AT2G42600","PPC2","phosphoenolpyruvate carboxylase 2","-","-"
"BraA04001528",4.84754653620334,5.49245035424006,375.796717029043,1.19468154170069e-13,3.13325145670035e-10,"BraA04001528","AT2G21280","SULA","NAD(P)-binding Rossmann-fold superfamily protein","-","-"
"BraA04002129",8.33346931821788,5.28808288449976,358.480416134577,1.80391671133182e-13,3.54830417118968e-10,"BraA04002129","AT2G29300","AT2G29300","NAD(P)-binding Rossmann-fold superfamily protein","-","-"
"BraA06001576",3.40580555517525,5.66613985629307,343.28313450806,2.63154642305826e-13,4.02608434603645e-10,"BraA06001576","AT1G13820","AT1G13820","alpha/beta-Hydrolases superfamily protein","-","-"
"BraA06002244",3.09638100889196,6.54109854976873,323.431001288318,4.41743768578903e-13,5.46967851428692e-10,"BraA06002244","AT1G20810","AT1G20810","FKBP-like peptidyl-prolyl cis-trans isomerase family protein","-","-"
"BraA10003025",3.11064865969311,5.60245789071279,321.682735739484,4.63026102152406e-13,5.46967851428692e-10,"BraA10003025","AT5G03900","AT5G03900","Iron-sulfur cluster biosynthesis family protein","-","-"
"BraA04002534",3.84733643245385,6.28202375223866,314.959378894867,5.56144231244221e-13,5.46967851428692e-10,"BraA04002534","AT2G34860","EDA3","DnaJ/Hsp40 cysteine-rich domain superfamily protein","-","-"
"BraA02001698",4.77046485488694,6.14441073967392,306.206629211837,7.09967326939254e-13,6.20669214262006e-10,"BraA02001698","AT5G52030","AT5G52030","TraB family protein","-","-"
"BraA03000453",3.00834335051458,6.77597677380701,301.301965751985,8.16443766813924e-13,6.76187321820206e-10,"BraA03000453","AT5G10470","KAC1","kinesin like protein for actin based chloroplast movement 1","-","-"
"BraA10002909",6.48051683135673,7.85309034052208,285.450000935405,1.30215650913141e-12,1.0245367413846e-09,"BraA10002909","AT5G09650","PPa6","pyrophosphorylase 6","-","-"
"BraA08003464",6.85156821320114,7.99426823356295,282.012936706323,1.4455067918784e-12,1.03870743353118e-09,"BraA08003464","AT1G13930","AT1G13930","oleosin-B3-like protein","-","-"
"BraA09001106",6.29722055299193,10.6147158424767,281.862173776694,1.45218375303037e-12,1.03870743353118e-09,"BraA09001106","AT2G15620","NIR1","nitrite reductase 1","-","-"
"BraA05003669",4.16576092926308,9.02358089320358,278.583454466088,1.60619831438962e-12,1.06796558152584e-09,"BraA05003669","AT3G14420","GOX1","Aldolase-type TIM barrel family protein","-","-"
"BraA07003967",6.7688734775192,9.84821953441847,277.726981204327,1.64935731898598e-12,1.06796558152584e-09,"BraA07003967","AT1G77760","NIA1","nitrate reductase 1","-","-"
"BraA06000973",3.54466679668615,5.89970698131406,273.719593952578,1.86914716348149e-12,1.13126537555941e-09,"BraA06000973","AT1G50450","AT1G50450","Saccharopine dehydrogenase","-","-"
"BraA05004133",6.89423594973622,5.30894913640051,268.695582583859,2.19190409346952e-12,1.23185010052987e-09,"BraA05004133","AT5G02120","OHP","one helix protein","-","-"
"BraA03000586",3.81721287590437,7.19200816552999,262.743613141089,2.65685182697189e-12,1.39360734497432e-09,"BraA03000586","AT5G13120","Pnsl5","cyclophilin 20-2","-","-"
"BraA03006148",3.2852450237983,6.99732873963519,245.304770814383,4.78388861197487e-12,2.08153082509152e-09,"BraA03006148","AT4G32770","VTE1","tocopherol cyclase, chloroplast / vitamin E deficient 1 (VTE1) / sucrose export defective 1 (SXD1)","-","YES"
"BraA01002846",10.1905428681297,8.03172423058751,244.835206727149,4.86284802142892e-12,2.08153082509152e-09,"BraA01002846","AT1G62510","AT1G62510","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein","-","-"
"BraA06004063",3.02852201255763,6.87002963341672,243.143859729563,5.1594719126718e-12,2.13656447415272e-09,"BraA06004063","AT5G20140","HBP5","SOUL heme-binding family protein","-","-"
"BraA10002206",4.80964971255811,5.546941736644,234.578803432033,7.00557851777134e-12,2.56371589664302e-09,"BraA10002206","AT5G14760","AO","L-aspartate oxidase","-","-"
"BraA08002432",6.59500719287629,6.94570006872093,232.94018154342,7.43656193301214e-12,2.61175800714592e-09,"BraA08002432","AT4G39970","AT4G39970","Haloacid dehalogenase-like hydrolase (HAD) superfamily protein","-","-"
"BraA06002613",5.09035024586415,5.87898480934895,229.39637116322,8.47290102033206e-12,2.77769938449886e-09,"BraA06002613","AT3G47070","AT3G47070","thylakoid soluble phosphoprotein","-","-"
"BraA03005881",4.22996406288536,4.25728001971169,226.886920843584,9.30355163659796e-12,2.92801377107011e-09,"BraA03005881","AT4G29590","AT4G29590","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein","-","-"
"BraA05003526",3.69305307246963,9.42449353335112,225.781224248326,9.69789911932216e-12,2.93473347195488e-09,"BraA05003526","AT3G15850","FAD5","fatty acid desaturase 5","-","-"
"BraA08003566",4.40348191120061,8.52662044561117,224.709515173487,1.00978942248301e-11,2.99812195324389e-09,"BraA08003566","AT1G11860","AT1G11860","Glycine cleavage T-protein family","-","YES"
"BraA02003650",3.14039637736087,6.37193566656716,223.678885531691,1.04998871443856e-11,3.05974489081577e-09,"BraA02003650","AT3G26710","CCB1","cofactor assembly of complex C","-","-"
"BraA07003370",3.39210183362232,6.9493374174952,222.262199937736,1.10817356121961e-11,3.17058530170032e-09,"BraA07003370","AT1G70410","BCA4","beta carbonic anhydrase 4","-","-"
"BraA09005382",3.58439106628567,3.64583514469874,220.751308818116,1.17419889218428e-11,3.18572306334686e-09,"BraA09005382","AT3G61220","SDR1","NAD(P)-binding Rossmann-fold superfamily protein","-","-"
"BraA10001684",4.1546782612623,5.71077647301716,219.898028444693,1.21340755035711e-11,3.2095260639027e-09,"BraA10001684","AT5G21430","NdhU","Chaperone DnaJ-domain superfamily protein","-","-"
"BraA01000119",4.54237112603483,9.40575204555094,218.473217402148,1.28215723385721e-11,3.30754528393066e-09,"BraA01000119","AT4G37930","SHM1","serine transhydroxymethyltransferase 1","-","YES"
"BraA07002023",5.88318722697228,7.00049644933774,217.884787821455,1.31180179005702e-11,3.32943757553827e-09,"BraA07002023","AT3G56290","AT3G56290","potassium transporter","-","-"
"BraA02000929",3.57356728506531,6.61391592467606,211.407023655288,1.6936417119851e-11,3.97778298205933e-09,"BraA02000929","AT5G19855","RbcX2","Chaperonin-like RbcX protein","-","-"
"BraA03004700",-3.23389570440029,4.88400494034468,209.459282946297,1.83146386208824e-11,4.06592936486674e-09,"BraA03004700","AT5G61190","AT5G61190","putative endonuclease or glycosyl hydrolase with C2H2-type zinc finger domain-containing protein","-","-"
"BraA09000087",6.00952591825041,9.40191396616587,208.503893106289,1.90358044879982e-11,4.16038082532138e-09,"BraA09000087","AT4G01080","TBL26","TRICHOME BIREFRINGENCE-LIKE 26","-","-"
"BraA06001302",-3.89011055845675,8.94584262594024,206.132129432933,2.09661572915133e-11,4.36589926089061e-09,"BraA06001302","AT1G09570","PHYA","phytochrome A","-","YES"
"BraA01002037",3.68196433325749,9.26311943650433,205.961497918653,2.11131883906158e-11,4.36589926089061e-09,"BraA01002037","AT1G54780","TLP18.3","thylakoid lumen 18.3 kDa protein","-","-"
"BraA03004149",6.04508554677112,6.9649952962094,205.781559537313,2.12694793745395e-11,4.36589926089061e-09,"BraA03004149","AT3G19480","AT3G19480","D-3-phosphoglycerate dehydrogenase","-","-"
"BraA06003776",3.11261286225424,5.13196639418391,205.674148432423,2.13633860630768e-11,4.36589926089061e-09,"BraA06003776","AT5G26667","PYR6","P-loop containing nucleoside triphosphate hydrolases superfamily protein","-","-"
"BraA04000964",4.26855436811418,6.80276343126002,199.745134129638,2.733597327179e-11,5.44504905575806e-09,"BraA04000964","AT4G12830","AT4G12830","alpha/beta-Hydrolases superfamily protein","-","-"
"BraA04002996",-4.10265295016725,8.44748002095191,197.845307759212,2.9625163745108e-11,5.82726970866274e-09,"BraA04002996","AT2G41560","ACA4","autoinhibited Ca(2 )-ATPase, isoform 4","-","-"
