"Gene_ID","logFC_WT","logFC_phyB","logCPM_WT","logCPM_phyB","PValue_WT","PValue_phyB","FDR_WT","FDR_phyB","sig_conditions","GO:0009507_Chloroplast","A._thaliana_best_hit","Symbol","Description","WT.P_Avg_CPM","phyB.P_Avg_CPM","WT.24_Avg_CPM","phyB.24_Avg_CPM","WT.D_Avg_CPM","phyB.D_Avg_CPM","WT.R_Avg_CPM","phyB.R_Avg_CPM"
"BraA06001326",2.13703848596681,0.628969125393973,6.41882735770244,6.41882735770244,6.62670622413517e-10,0.0144370522545425,1.15148936669925e-08,0.0244369504770942,"WT_up","-","AT1G09800","AT1G09800","Pseudouridine synthase family protein","136.42973"," 99.21815","137.10614","107.70953"," 21.80459"," 25.75187"," 75.85640"," 34.07979"
"BraA05004213",1.2409277032043,0.416990432500702,5.19962153962207,5.19962153962207,1.30087711271154e-08,0.0189774123811548,1.26238013280393e-07,0.031183262436515,"WT_up","-","AT3G07940","AT3G07940","Calcium-dependent ARF-type GTPase activating protein family","41.13541","42.59192","42.99062","41.78473","20.83306","27.03505","39.12214","30.83883"
"BraA09006187",3.26488517519428,0.74361057780997,9.18555732434706,9.18555732434706,1.39873489260286e-08,0.0823574060804562,1.34161202188e-07,0.115391273963538,"WT_up","yes","AT1G15820","LHCB6","light harvesting complex photosystem II subunit 6","1080.14256"," 501.55294","1035.32200"," 460.81440","  96.27499","  97.83281"," 722.72767"," 138.38356"
"BraA03003975",2.25255347760836,0.289095437024906,6.71918742433218,6.71918742433218,2.05850096339381e-08,0.342785282986367,1.86855854462621e-07,0.405032681796068,"WT_up","yes","AT3G15840","PIFI","post-illumination chlorophyll fluorescence increase","133.82404","146.47893","153.80801","184.50615"," 22.39163"," 44.53854"," 86.03042"," 46.58277"
"BraA04001207",2.52178456191897,0.964093133621857,4.46530531825862,4.46530531825862,2.30175090568159e-08,0.00850071889238533,2.04686775454397e-07,0.0152237245837007,"WT_up","-","AT5G38980","AT5G38980","transmembrane protein","23.857437","27.742481","30.889489","37.503075"," 5.027888"," 8.116629","23.674547","13.582404"
"BraA07003482",1.12625061550555,0.320064791249758,5.72436235019636,5.72436235019636,2.95393230652827e-08,0.0539086176345014,2.53240166147903e-07,0.0790941127486067,"WT_up","-","AT1G71710","AT1G71710","DNAse I-like superfamily protein","57.14759","59.73759","64.19990","68.34153","30.82140","39.44524","53.34340","41.82195"
"BraA08003182",2.6292530929982,0.253930195904002,4.01812762379292,4.01812762379292,3.21165824794614e-08,0.495359527580039,2.70618312755205e-07,0.556408974816943,"WT_up","-","AT1G20640","AT1G20640","Plant regulator RWP-RK family protein","27.649735","20.344407","25.874058","22.570703"," 2.669440"," 3.524199","13.552920"," 3.593179"
"BraA01001784",2.65954701211322,0.994881606957056,4.71807672890989,4.71807672890989,4.1041311950331e-08,0.0111600122877772,3.31277051332415e-07,0.0193520539175513,"WT_up","-","AT4G26130","AT4G26130","cotton fiber protein","33.063506","38.405335","39.822055","41.950349"," 4.111644"," 8.441453","21.690883","14.354454"
"BraA03002832",1.65833642639073,0.540317525850328,6.08696159396769,6.08696159396769,5.70085246806747e-08,0.0333283509347577,4.36496680522027e-07,0.051577168689218,"WT_up","yes","AT4G09020","ISA3","isoamylase 3","94.52636","79.33026","99.01700","80.23392","26.91415","31.31248","66.82734","38.70019"
"BraA06004265",2.31379765554191,0.84529435055506,3.71013767179806,3.71013767179806,6.04030935144602e-08,0.0149265388947387,4.57749009108139e-07,0.0251518811907918,"WT_up","-","AT3G27170","CLC-B","chloride channel B"," 6.538801","11.539607"," 8.057205"," 9.952835"," 5.676658","15.900341","22.317465","24.184960"
"BraA07003613",1.34309101249299,0.548260868547362,4.96771433060968,4.96771433060968,6.31320661823906e-08,0.0100259714298696,4.73866820081463e-07,0.0176106227325239,"WT_up","-","AT1G73390","AT1G73390","Endosomal targeting BRO1-like domain-containing protein","23.60453","29.98207","23.65244","29.69702","22.85900","32.44885","45.88165","40.35507"
"BraA09003637",2.4817557309358,0.909133636572722,3.07183924858668,3.07183924858668,6.86803145052235e-08,0.012940702167668,5.09438336622158e-07,0.0221230207580205,"WT_up","-","AT1G30870","AT1G30870","Peroxidase superfamily protein"," 7.758193","11.785168"," 9.627765","11.739304"," 1.984077"," 5.304015"," 8.344974"," 8.525356"
"BraA05002420",1.09650704787524,0.272096310256982,7.0231151586682,7.0231151586682,6.95002508109378e-08,0.105411271521854,5.14066704776392e-07,0.143701144444308,"WT_up","yes","AT1G32160","AT1G32160","beta-casein (DUF760)","136.99996","141.91125","145.99788","162.64916"," 80.10591","110.35893","135.58018","113.15217"
"BraA09000420",1.52070621592283,0.463410493424224,4.70613081127455,4.70613081127455,6.98788180008185e-08,0.0477809875242761,5.16381500156283e-07,0.0710642297677507,"WT_up","yes","AT3G32930","AT3G32930","6,7-dimethyl-8-ribityllumazine synthase","31.52817","30.53201","25.81483","26.74246","14.18232","18.71730","31.93216","22.09009"
"BraA09002520",2.58248468562614,1.07822165375511,7.18725282445428,7.18725282445428,1.05269065695387e-07,0.00858973364150631,7.34742701725409e-07,0.0153569295226385,"WT_up","yes","AT2G03280","AT2G03280","O-fucosyltransferase family protein","197.95977","215.15425","229.36213","252.75060"," 22.20691"," 34.64311","106.58100"," 63.12690"
"BraA10002074",2.62962400867281,0.859713518692364,7.1809979608034,7.1809979608034,1.55964440848294e-07,0.0376004862896255,1.02800682535684e-06,0.0574482289068827,"WT_up","-","AT5G16570","GLN1;4","glutamine synthetase 1;4","200.37407","189.07800","180.03664","169.64946"," 37.92690"," 58.12262","185.61580"," 89.93396"
"BraA10002002",2.26271924330579,-0.203798526526479,5.31669490652178,5.31669490652178,1.79881659505451e-07,0.552782011490885,1.15778312008192e-06,0.611783775901177,"WT_up","yes","AT5G17520","RCP1","root cap 1 (RCP1)","75.473254","39.291780","76.645614","47.028897"," 6.373919","13.904000","23.594671","10.293147"
"BraA06000951",1.11131970306365,0.343308776840947,4.4629175259984,4.4629175259984,2.3164032506056e-07,0.0628081120975688,1.44168395272962e-06,0.0907138634993331,"WT_up","-","AT1G50730","AT1G50730","hypothetical protein","26.97748","23.67226","25.03050","22.23747","13.79764","16.88009","23.43301","18.15056"
"BraA03000774",1.79215519787623,0.600351763664312,6.37750198185869,6.37750198185869,2.37800263375999e-07,0.0426934345124221,1.47535520123698e-06,0.0644206776067071,"WT_up","yes","AT5G16150","PGLCT","plastidic GLC translocator","150.41859"," 85.74485","123.24253"," 83.57107"," 25.81869"," 33.82667"," 70.47317"," 43.82269"
