"","logFC_WT","logCPM_WT","F_WT","PValue_WT","FDR_WT","Gene_ID","logFC_phyB","logCPM_phyB","F_phyB","PValue_phyB","FDR_phyB","WT.D_Avg_CPM","phyB.D_Avg_CPM","WT.R_Avg_CPM","phyB.R_Avg_CPM","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development","group"
"BraA10002022",-0.863387589630091,4.8498627947039,10.9707482949691,0.00301184544703425,0.00579399258571487,"BraA10002022",1.03476909538786,4.8498627947039,11.9682874049406,0.00210589726458712,0.00444506141137204,"42.37987","40.05075","23.26828","82.07354","AT5G17290","APG5","autophagy protein Apg5 family","-","YES","phyB_sig"
"BraA01001738",0.776191380071599,5.3129773880357,9.35070465297649,0.00553572369888993,0.0100209650397386,"BraA01001738",1.4516188059986,5.3129773880357,24.0267812772309,5.80187676779294e-05,0.000198051486282934,"36.53983","35.59966","62.49249","97.43434","AT4G25700","BETA-OHASE 1","beta-hydroxylase 1","-","-","phyB_sig"
"BraA01003486",0.703247370487187,3.41247971604632,9.34193357062108,0.00555455410606146,0.0100504289722275,"BraA01003486",1.15194589277036,3.41247971604632,18.6301768542613,0.000251236521554127,0.000700028827980519," 8.377645"," 7.184527","13.652135","15.923193","AT3G21070","NADK1","NAD kinase 1","-","-","phyB_sig"
"BraA05000024",0.900810045185877,2.93887060878511,9.31901191625758,0.00560409713355018,0.0101319192375465,"BraA05000024",1.40369140342273,2.93887060878511,16.7619100691376,0.000437989490233488,0.0011318263957109," 4.472196"," 3.828627"," 8.416312","10.173915","AT3G04780","AT3G04780","PITH domain protein (DUF1000)","-","-","phyB_sig"
"BraA08002141",1.41517129948965,2.35385744648091,9.26213266324912,0.00572914671475663,0.0103401868237896,"BraA08002141",3.55532898303696,2.35385744648091,38.3982829361816,2.42970683985105e-06,1.35904710942628e-05," 2.510399"," 1.361530"," 6.601645","16.285032","AT4G27940","MTM1","manganese tracking factor for mitochondrial SOD2","-","-","phyB_sig"
"BraA03004054",1.02152593720259,5.8927186643749,9.23255455196913,0.00579538384911062,0.0104465576941137,"BraA03004054",1.4953463356423,5.8927186643749,14.6014058810735,0.00086434022825729,0.00204060524865303," 24.17748"," 22.07515"," 48.97974"," 62.24818","AT3G17510","CIPK1","CBL-interacting protein kinase 1","-","-","phyB_sig"
"BraA08001738",1.12250706855543,4.75641271695382,9.16705541966432,0.00594507814388686,0.0106980141745489,"BraA08001738",1.71805407109529,4.75641271695382,15.7811433069699,0.00059321924659775,0.00147205911105921,"12.28375","10.74055","26.73449","35.31172","AT4G33865","AT4G33865","Ribosomal protein S14p/S29e family protein","-","-","phyB_sig"
"BraA09003877",1.14231071879045,7.90905677848272,9.16207366625809,0.00595663634793302,0.0107126892272013,"BraA09003877",2.21901311861066,7.90905677848272,24.3238108636902,5.38059053449349e-05,0.000185602662750225,"143.23710"," 80.21506","315.86115","373.61635","AT1G28400","AT1G28400","GATA zinc finger protein","-","-","phyB_sig"
"BraA07003541",1.36759831867945,7.24316355396601,9.15105762610806,0.00598228254145625,0.0107510275508885,"BraA07003541",2.10792439334362,7.24316355396601,15.6811478972372,0.000612145733206708,0.00151163693766451," 46.26823"," 49.68889","119.26937","214.32744","AT1G72370","P40","40s ribosomal protein SA","-","-","phyB_sig"
"BraA01002972",1.90070854411777,4.27573010929548,9.15086370517078,0.00598273509010371,0.0107510275508885,"BraA01002972",2.56903008214788,4.27573010929548,12.2029694316031,0.00193923896594091,0.00413431143490586," 8.645278"," 9.546085","32.259222","56.571055","AT1G58520","RXW8","GDSL-like lipase/acylhydrolase superfamily protein","-","-","phyB_sig"
"BraA03003788",5.62616110551885,1.93285712073667,9.32379251219142,0.00598484925578614,0.0107535990052596,"BraA03003788",9.64669955526904,1.93285712073667,10.6343165065381,0.00369679176497176,0.00731274379548265,"0.131530","0.000000","7.797178","9.761825","AT3G12500","HCHIB","basic chitinase","-","-","phyB_sig"
"BraA06000568",0.799635371817526,3.92356081273488,9.14751705954554,0.00599055100823147,0.0107626153258262,"BraA06000568",1.02787868793612,3.92356081273488,11.3428395574231,0.00263177519805712,0.00540502891667785," 9.016236"," 8.627198","15.781263","17.613921","AT3G44160","AT3G44160","Outer membrane OMP85 family protein","-","-","phyB_sig"
"BraA03003864",1.48660194306243,4.57259073705316,9.11455983572708,0.00606812327174217,0.0108883105673987,"BraA03003864",3.14772894224522,4.57259073705316,27.3679724839723,2.55442269787482e-05,9.76837056961849e-05," 7.771430"," 4.068758","21.395604","36.181005","AT3G13860","HSP60-3A","heat shock protein 60-3A","-","-","phyB_sig"
"BraA02004292",0.662300381861133,7.53798392822208,9.05745004712706,0.00620517194579801,0.0111114228016906,"BraA02004292",1.24513923332173,7.53798392822208,23.5378102496924,6.57571644717333e-05,0.000220545017853203," 99.85629"," 89.29970","158.05308","211.73578","AT5G61790","CNX1","calnexin 1","-","YES","phyB_sig"
"BraA03006089",2.60238672669687,3.29078509073565,9.04029782367328,0.00624699462759081,0.0111824969223563,"BraA03006089",5.94428369437052,3.29078509073565,22.4653630250195,8.69674839950762e-05,0.000278735124838627," 2.2182657"," 0.2905929","13.4206132","18.3879213","AT4G31800","WRKY18","WRKY DNA-binding protein 18","YES","-","phyB_sig"
