"","logFC","logCPM","PValue","FDR","woundCtrl","phyB.24_Avg_CPM","WT.24_Avg_CPM","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA05000169",-6.06538723922805,2.74648093827763,2.48211276619688e-46,3.90684549399389e-42,FALSE,"18.4345816"," 0.2712499","BraA05000169","AT2G46970","PIL1","phytochrome interacting factor 3-like 1","YES","YES"
"BraA09006975",-5.88792581527113,3.31864477414658,8.48671078934399e-38,6.67904139121372e-34,FALSE," 14.8900855","  0.2347840","BraA09006975","AT1G02340","HFR1","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","YES","YES"
"BraA10000108",-9.57285641676635,2.03770969362568,1.37064386670383e-34,7.19131148730608e-31,FALSE," 8.7362822"," 0.0000000","BraA10000108","AT1G02340","HFR1","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","YES","YES"
"BraA07002639",-3.32931442120636,2.63153589511839,4.82996516848657e-23,1.26706086253298e-19,FALSE,"20.1964510"," 1.9734322","BraA07002639","AT1G75030","TLP-3","thaumatin-like protein 3","-","-"
"BraA09005270",-1.77510637226113,4.87952038873938,2.50477594050027e-20,4.92814666293429e-17,FALSE,"73.36388","21.02874","BraA09005270","AT3G59820","LETM1","LETM1-like protein","-","-"
"BraA03002625",-3.3105420913742,2.7197735261016,2.12965605140035e-16,3.51572498438736e-13,FALSE,"15.9481481"," 1.5285120","BraA03002625","AT5G52930","AT5G52930","hypothetical protein (DUF295)","-","-"
"BraA06004817",-2.12076086559908,7.52886617507131,9.26013854110041e-15,1.32504164215382e-11,FALSE,"344.82528"," 77.98155","BraA06004817","AT1G54040","ESP","epithiospecifier protein","-","YES"
"BraA05002410",-2.57351866477915,2.14778872432654,5.87638121993911e-14,7.70785336682013e-11,FALSE,"11.5987796"," 1.9069998","BraA05002410","AT1G32190","AT1G32190","alpha/beta-Hydrolases superfamily protein","-","-"
"BraA07003442",-2.55884297272919,2.89284518813613,6.08570475494143e-12,6.38415547042477e-09,FALSE,"13.800595"," 2.301026","BraA07003442","AT1G71110","AT1G71110","transmembrane protein","-","-"
"BraA03004240",-5.49580467466938,-0.174036417936675,6.48961165989812e-12,6.38415547042477e-09,FALSE," 1.6052590"," 0.0210869","BraA03004240","AT3G21330","AT3G21330","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","YES","-"
"BraA03005054",-1.48663386632276,8.50225597888237,3.29503992813056e-11,2.729680445725e-08,FALSE,"471.1364","166.0227","BraA03005054","AT4G17090","CT-BMY","chloroplast beta-amylase","-","YES"
"BraA10000910",-5.39827104392898,0.6565431187646,4.66994380245786e-11,3.67524577253434e-08,FALSE," 4.44554058"," 0.08447133","BraA10000910","AT5G53200","TRY","Homeodomain-like superfamily protein","YES","YES"
"BraA03001901",-1.9610602990311,4.16925861403801,9.13308944994226e-11,6.84546799724244e-08,FALSE,"39.925651","10.167642","BraA03001901","AT2G34360","AT2G34360","MATE efflux family protein","-","-"
"BraA03002475",-2.22541117731016,3.91165556472079,1.33067800049779e-10,9.52039623992511e-08,FALSE,"33.384413"," 7.032604","BraA03002475","AT2G40360","AT2G40360","Transducin/WD40 repeat-like superfamily protein","-","-"
"BraA07001019",-1.44139719000781,4.36020915046616,1.3229815414862e-09,6.50741545718525e-07,FALSE,"37.71780","13.69716","BraA07001019","AT1G29940","NRPA2","nuclear RNA polymerase A2","-","-"
"BraA09005327",-2.57369399775177,2.42385353445228,1.61000883341778e-09,7.45339383470468e-07,FALSE," 8.940159"," 1.433840","BraA09005327","AT3G60390","HAT3","homeobox-leucine zipper protein 3","YES","YES"
"BraA01003871",-1.7581292812382,4.83448219193433,4.24314446600218e-09,1.71248958704806e-06,FALSE,"48.99151","14.26435","BraA01003871","AT3G16800","AT3G16800","Protein phosphatase 2C family protein","-","-"
"BraA06001092",-1.38939790392575,4.05731213968914,5.39987511039901e-09,2.12485085594201e-06,FALSE,"27.021368","10.165016","BraA06001092","AT1G48570","AT1G48570","zinc finger (Ran-binding) family protein","-","-"
"BraA03005586",-1.61811841468923,4.77521191389216,6.8513392020198e-09,2.56762092951885e-06,FALSE,"56.40508","18.07945","BraA03005586","AT4G25340","FKBP53","FK506 BINDING PROTEIN 53","-","-"
"BraA05002989",-1.32382260317092,4.41697060823164,1.48040112052547e-08,5.29579855387974e-06,FALSE,"32.97767","12.94293","BraA05002989","AT3G20440","EMB2729","Alpha amylase family protein","-","-"
"BraA07003741",-3.99446436181966,3.2661778548887,1.56417677335334e-08,5.36732878616827e-06,FALSE,"24.75073030"," 1.51416656","BraA07003741","AT1G75030","TLP-3","thaumatin-like protein 3","-","-"
"BraA01002149",-1.93095096024135,4.83039726321959,2.24724367829261e-08,7.21869704006645e-06,FALSE," 49.88980"," 12.89270","BraA01002149","AT4G16780","HB-2","homeobox protein 2","YES","YES"
"BraA10001141",-1.00605501464183,5.46406028878261,2.36598552253386e-08,7.44812242493659e-06,FALSE,"66.87290","32.87393","BraA10001141","AT5G55920","OLI2","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein","-","YES"
"BraA03006026",-1.94010694659053,2.59019069569372,3.24727485242074e-08,1.00219816033534e-05,FALSE,"13.580234"," 3.477605","BraA03006026","AT4G31120","SKB1","SHK1 binding protein 1","-","YES"
"BraA02003639",-1.56817341889919,2.60740924469033,7.66729649452005e-08,2.23487494118047e-05,FALSE,"11.2959887"," 3.8329512","BraA02003639","AT3G26410","TRM11","tRNA modification 11 protein","-","-"
"BraA10002024",-1.60494155453279,3.57956557113901,8.63266601025459e-08,2.42639576788227e-05,FALSE,"19.929702"," 6.453408","BraA10002024","AT5G17270","AT5G17270","Protein prenylyltransferase superfamily protein","-","-"
"BraA03002350",-2.17272544507816,4.73200251226315,9.7036289584961e-08,2.63336413459877e-05,FALSE,"77.314944","16.819356","BraA03002350","AT2G42530","COR15B","cold regulated 15b","-","YES"
