"Gene_ID"	"A._thaliana_best_hit"	"Symbol"	"Description"	"TF"	"Leaf_development"	"logFC"	"F"	"PValue"	"fdr.gen"
"BraA09006785"	"AT1G06080"	"ADS1"	"delta 9 desaturase 1"	"-"	"-"	-12.7513637974282	21.6214483083922	0.000135796690200108	0.000382572837151596
"BraA08003014"	"AT1G27110"	"AT1G27110"	"Tetratricopeptide repeat (TPR)-like superfamily protein"	"-"	"-"	-12.3344385965951	97.7852791497753	1.72665797070546e-10	3.12810490709374e-09
"BraA08003166"	"AT1G20900"	"ESC"	"Putative AT-hook DNA-binding family protein"	"-"	"YES"	-11.1384212950124	144.534301840649	6.56140462003936e-11	1.44846476007938e-09
"BraA02001220"	"AT1G35890"	"AT1G35890"	"NAC (No Apical Meristem) domain transcriptional regulator superfamily protein"	"-"	"-"	-11.0801166342717	13.1640683739617	0.0034116417950617	0.0067710819184742
"BraA08003616"	"AT1G11080"	"scpl31"	"serine carboxypeptidase-like 31"	"-"	"-"	-10.9310655042306	45.3947944400739	2.49565968614945e-06	1.13148616297998e-05
"BraA01001556"	"AT4G24000"	"CSLG2"	"cellulose synthase like G2"	"-"	"-"	-10.6239724628947	42.2597548095825	1.88057658461456e-06	8.79541696422784e-06
"BraA09005927"	"AT2G20670"	"AT2G20670"	"sugar phosphate exchanger, putative (DUF506)"	"-"	"-"	-10.5780374205996	49.0614793704937	1.53822708783598e-07	1.0239743696463e-06
"BraA02001206"	"AT1G35890"	"AT1G35890"	"NAC (No Apical Meristem) domain transcriptional regulator superfamily protein"	"-"	"-"	-10.1346917042397	12.2376999442318	0.00433732750936554	0.0083843524103
"BraA02001219"	"AT1G35890"	"AT1G35890"	"NAC (No Apical Meristem) domain transcriptional regulator superfamily protein"	"-"	"-"	-10.0876092107998	11.7975657593409	0.00487874219282719	0.00931593271855095
"BraA02001205"	"AT1G35890"	"AT1G35890"	"NAC (No Apical Meristem) domain transcriptional regulator superfamily protein"	"-"	"-"	-10.0789342957642	12.4594160355652	0.00409142688529407	0.0079595463926634
"BraA03001284"	"AT5G57760"	"AT5G57760"	"hypothetical protein"	"-"	"YES"	-9.69474122321273	38.4649156426032	2.03508586729997e-06	9.41758862087452e-06
"BraA03001791"	"AT2G31980"	"CYS2"	"PHYTOCYSTATIN 2"	"-"	"-"	-9.60771611511225	42.0777325191277	4.09628177460534e-06	1.74799674481455e-05
"BraA01000945"	"AT4G28720"	"YUC8"	"Flavin-binding monooxygenase family protein"	"-"	"YES"	-9.48619739592084	26.8761468831514	3.82142535074247e-05	0.000125290854193278
"BraA08000132"	"AT1G54010"	"AT1G54010"	"GDSL-like Lipase/Acylhydrolase superfamily protein"	"-"	"-"	-9.18488375611151	20.7747534975938	0.000641598484535968	0.00152229466170721
"BraA09006227"	"AT1G15040"	"GAT1_2.1"	"Class I glutamine amidotransferase-like superfamily protein"	"-"	"-"	-8.79081035804582	38.9468288909245	3.35583401189604e-06	1.46803507034071e-05
"BraA07000988"	"AT1G30720"	"AT1G30720"	"FAD-binding Berberine family protein"	"-"	"-"	-8.78240642331537	53.5092000934187	7.03111133995164e-08	5.16172108784595e-07
"BraA05004393"	"AT3G05960"	"STP6"	"sugar transporter 6"	"-"	"-"	-8.73521113548645	46.7753764963685	2.04641965259869e-06	9.46204707964901e-06
"BraA03004146"	"AT5G02090"	"AT5G02090"	"hypothetical protein"	"-"	"-"	-8.70870322599075	55.6836162028413	9.95609742797684e-08	7.03343898545538e-07
"BraA03005500"	"AT4G24040"	"TRE1"	"trehalase 1"	"-"	"-"	-8.6606537190031	38.259657738602	1.27655845581362e-06	6.29832048388261e-06
"BraA03005660"	"AT4G26260"	"MIOX4"	"myo-inositol oxygenase 4"	"-"	"-"	-8.50631443570379	52.4884013432887	1.69343687131659e-07	1.10910754873412e-06
"BraA07004166"	"AT1G15690"	"AVP1"	"Inorganic H pyrophosphatase family protein"	"-"	"YES"	-8.25626139333977	73.6973825238404	3.25298427085142e-09	3.68329897734163e-08
"BraA01002083"	"AT4G32480"	"AT4G32480"	"sugar phosphate exchanger, putative (DUF506)"	"-"	"-"	-8.22283588571371	42.9192890839067	4.91700588304672e-07	2.76941639163071e-06
"BraA02000813"	"AT5G18000"	"VDD"	"VERDANDI"	"YES"	"-"	-8.21895531609122	59.5502271914638	1.39637852222143e-07	9.43297799248563e-07
"BraA06001724"	"AT1G15380"	"GLYI4"	"Lactoylglutathione lyase / glyoxalase I family protein"	"-"	"-"	-8.12932314054703	117.883536704497	2.24489880703033e-11	6.06039738287091e-10
"BraA01000296"	"AT4G35770"	"SEN1"	"Rhodanese/Cell cycle control phosphatase superfamily protein"	"-"	"YES"	-8.12337371950918	37.260450873343	1.58078507240554e-06	7.57098308328641e-06
"BraA08000969"	"AT5G41080"	"GDPD2"	"PLC-like phosphodiesterases superfamily protein"	"-"	"-"	-8.03705216266625	33.8057435073223	5.29246789907426e-06	2.1823963283598e-05
"BraA09002941"	"AT4G09100"	"AT4G09100"	"RING/U-box superfamily protein"	"-"	"-"	-7.91457849843863	46.4808788078786	5.13473650811786e-06	2.12294528469354e-05
"BraA09002940"	"AT4G09100"	"AT4G09100"	"RING/U-box superfamily protein"	"-"	"-"	-7.90291266543861	46.9124271726778	4.86294562818916e-06	2.02662796797594e-05
"BraA05002634"	"AT3G21330"	"AT3G21330"	"basic helix-loop-helix (bHLH) DNA-binding superfamily protein"	"YES"	"-"	-7.87372965449333	27.480625855584	1.57024308373306e-05	5.70928821338736e-05
"BraA02001832"	"AT1G65510"	"AT1G65510"	"transmembrane protein"	"-"	"-"	-7.86031131297606	15.2271582026406	0.00206583311561251	0.00434015025180582
"BraSca001074"	"AT1G65510"	"AT1G65510"	"transmembrane protein"	"-"	"-"	-7.86031131297606	15.2271582026406	0.00206583311561251	0.00434015025180582
"BraA03000496"	"AT5G11440"	"CID5"	"CTC-interacting domain 5"	"-"	"-"	-7.76435890374756	52.2889388216182	3.87288838150301e-07	2.25637360524441e-06
"BraA06002578"	"AT1G15690"	"AVP1"	"Inorganic H pyrophosphatase family protein"	"-"	"YES"	-7.74271978265313	49.0671148469329	1.5366568380468e-07	1.02323981004933e-06
"BraA04000504"	"AT3G55240"	"AT3G55240"	"Plant protein 1589 of unknown function"	"-"	"-"	-7.73757432359693	39.6212044479738	9.59151601247892e-07	4.91596031118893e-06
"BraA01000173"	"AT4G37290"	"AT4G37290"	"transmembrane protein"	"-"	"-"	-7.73500835842046	16.1798900085609	0.000610397771649581	0.00145614643076836
"BraA08002396"	"AT4G37770"	"ACS8"	"1-amino-cyclopropane-1-carboxylate synthase 8"	"-"	"-"	-7.71191671818218	64.242134650309	1.25836377240981e-08	1.17281429655592e-07
"BraA03004087"	"AT3G18035"	"HON4"	"winged-helix DNA-binding transcription factor family protein"	"-"	"-"	-7.61440711436833	46.2435877490924	9.75420347276384e-07	4.98419334094303e-06
"BraA09006898"	"AT1G03850"	"GRXS13"	"Glutaredoxin family protein"	"-"	"-"	-7.59598761586861	27.3048751916898	3.45750262233918e-05	0.000114679853206683
"BraA06001103"	"AT5G02490"	"Hsp70-2"	"Heat shock protein 70 (Hsp 70) family protein"	"-"	"YES"	-7.59535735289578	21.8823044456992	7.17310692252979e-05	0.000217485030219606
"BraA08003664"	"AT1G10070"	"BCAT-2"	"branched-chain amino acid transaminase 2"	"-"	"-"	-7.48321599784022	73.8513583646775	3.1855554818621e-09	3.61629009414288e-08
"BraA09002407"	"AT5G47550"	"AT5G47550"	"Cystatin/monellin superfamily protein"	"-"	"-"	-7.41908604118158	40.5572480346931	7.86871479018776e-07	4.14241347059812e-06
"BraA06002605"	"AT3G47340"	"ASN1"	"glutamine-dependent asparagine synthase 1"	"-"	"YES"	-7.37115666205389	46.1070232569659	2.6566355425499e-07	1.62353241506095e-06
"BraA08003405"	"AT1G15380"	"GLYI4"	"Lactoylglutathione lyase / glyoxalase I family protein"	"-"	"-"	-7.36163312278789	56.3460664347216	9.27370394594189e-08	6.5895904116367e-07
"BraA04000510"	"AT3G55240"	"AT3G55240"	"Plant protein 1589 of unknown function"	"-"	"-"	-7.3514885239358	30.2284515712982	1.16595380831883e-05	4.39231370203766e-05
"BraA02000242"	"AT5G07200"	"GA20OX3"	"gibberellin 20-oxidase 3"	"-"	"-"	-7.33038386455294	68.1473130689906	7.07898535068918e-09	7.15708659260444e-08
"BraA07001979"	"AT1G02520"	"ABCB11"	"P-glycoprotein 11"	"-"	"-"	-7.32708152503693	11.9961576051575	0.00344035236129049	0.00682127027060862
"BraA08002165"	"AT4G27160"	"SESA3"	"seed storage albumin 3"	"-"	"-"	-7.30621574121896	41.5348386543268	6.48269778039062e-07	3.50190285963388e-06
"BraA07003727"	"AT1G74870"	"AT1G74870"	"RING/U-box superfamily protein"	"-"	"-"	-7.21667166443898	21.8028598914983	7.33908978250142e-05	0.000222026203591241
"BraA04000777"	"AT3G51910"	"HSFA7A"	"heat shock transcription factor A7A"	"YES"	"-"	-7.1757397554394	36.6936588861832	1.78143810596178e-06	8.38684370235673e-06
