"","logFC","logCPM","F","PValue","FDR","woundCtrl","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA05003779",3.08439350170689,9.03659156165186,270.355874620114,2.06306239123919e-12,2.53315841017941e-09,FALSE,"BraA05003779","AT3G13460","ECT2","evolutionarily conserved C-terminal region 2","-","-"
"BraA03003709",4.86668524411141,4.47584787936266,192.727634499652,3.66861553309361e-11,9.51367499244321e-09,FALSE,"BraA03003709","AT3G10985","SAG20","senescence associated gene 20","-","YES"
"BraA08003963",3.04794733384779,8.81343483860737,182.487038162594,5.79651527578571e-11,1.18760505683882e-08,FALSE,"BraA08003963","AT1G65660","SMP1","Pre-mRNA splicing Prp18-interacting factor","-","YES"
"BraA07000520",3.91095685723113,6.05764304071395,167.4722783066,1.18488981856664e-10,1.83067841351007e-08,FALSE,"BraA07000520","AT2G15580","AT2G15580","RING/U-box superfamily protein","-","-"
"BraA06004753",3.38649717881671,7.47493206553589,167.202157020918,1.20086041202238e-10,1.83067841351007e-08,FALSE,"BraA06004753","AT5G45500","AT5G45500","RNI-like superfamily protein","-","-"
"BraA08003014",11.9082038616939,7.43619421916821,161.006063315931,1.64156959476208e-10,2.16225324764857e-08,FALSE,"BraA08003014","AT1G27110","AT1G27110","Tetratricopeptide repeat (TPR)-like superfamily protein","-","-"
"BraA06001724",10.1577411799411,4.48916337069744,147.762960623271,3.32656580594485e-10,3.15422564973325e-08,FALSE,"BraA06001724","AT1G15380","GLYI4","Lactoylglutathione lyase / glyoxalase I family protein","-","-"
"BraA04002996",3.40145550604251,8.45774319264315,144.961474315768,3.89076012340042e-10,3.51957266335188e-08,FALSE,"BraA04002996","AT2G41560","ACA4","autoinhibited Ca(2 )-ATPase, isoform 4","-","-"
"BraA06001997",4.1994458954751,7.13427302301018,143.126875203538,4.31748057942262e-10,3.73390902857759e-08,FALSE,"BraA06001997","AT1G18270","AT1G18270","ketose-bisphosphate aldolase class-II family protein","-","-"
"BraA08003565",3.2552643943464,5.34226288161003,141.718093666977,4.68046096563517e-10,3.93959655610148e-08,FALSE,"BraA08003565","AT4G26910","AT4G26910","Dihydrolipoamide succinyltransferase","-","-"
"BraA03002365",3.10941037671026,3.84017063273169,138.268651733924,5.72083220627622e-10,4.31871222825693e-08,FALSE,"BraA03002365","AT2G42890","ML2","MEI2-like 2","-","-"
"BraA06001302",3.00394084192985,8.9592518315228,131.334205132663,8.68379287934022e-10,5.29639174618632e-08,FALSE,"BraA06001302","AT1G09570","PHYA","phytochrome A","-","YES"
"BraA07000905",4.59637378531318,6.67389102287689,121.965959170819,1.57578831015434e-09,7.70276646019545e-08,FALSE,"BraA07000905","AT2G26230","AT2G26230","uricase / urate oxidase / nodulin 35","-","-"
"BraA03000536",3.18747155422284,4.03852567373503,119.629845417491,1.83969528276033e-09,8.36901842504268e-08,FALSE,"BraA03000536","AT5G11970","AT5G11970","ABC family ABC transporter, putative (DUF3511)","-","-"
"BraA02002262",3.09363175985556,8.48370271114227,116.983913903591,2.19944784666439e-09,9.33135016347641e-08,FALSE,"BraA02002262","AT1G72150","PATL1","PATELLIN 1","-","-"
"BraA01000519",6.08108428836912,8.26915103040584,116.604260248355,2.25719404821996e-09,9.47419581839525e-08,FALSE,"BraA01000519","AT4G33150","AT4G33150","lysine-ketoglutarate reductase/saccharopine dehydrogenase bifunctional enzyme","-","-"
"BraA09000881",3.63212774865236,3.25668326657613,113.514824747743,2.79488698818479e-09,1.08621039985256e-07,FALSE,"BraA09000881","AT5G64530","XND1","xylem NAC domain 1","YES","-"
"BraA03005093",3.87298638199948,5.04718205833276,111.753950063622,3.1640347180582e-09,1.17218411411456e-07,FALSE,"BraA03005093","AT4G17730","SYP23","syntaxin of plants 23","-","YES"
"BraA08003664",9.92185115863293,6.34831981123932,111.563417578708,3.20711832354667e-09,1.18220239842212e-07,FALSE,"BraA08003664","AT1G10070","BCAT-2","branched-chain amino acid transaminase 2","-","-"
"BraA09005308",3.08044992177265,6.78474811900578,108.902691205909,3.88204954440128e-09,1.36696778140663e-07,FALSE,"BraA09005308","AT3G60190","DL1E","DYNAMIN-like 1E","-","-"
"BraA08003167",3.14815339799871,3.12494996887035,108.002589402642,4.14493715470429e-09,1.42448276888746e-07,FALSE,"BraA08003167","AT1G76460","AT1G76460","RNA-binding (RRM/RBD/RNP motifs) family protein","-","-"
"BraA02002760",3.8684252994557,5.83175732525142,106.354885413955,4.67891117907887e-09,1.55044340965687e-07,FALSE,"BraA02002760","AT1G79590","SYP52","syntaxin of plants 52","-","-"
"BraA10002972",4.53997573573391,4.60892281464321,103.481010141117,5.80280975918599e-09,1.75646587710745e-07,FALSE,"BraA10002972","AT5G04470","SIM","cyclin-dependent protein kinase inhibitor","-","YES"
"BraA01004308",4.85800149808174,4.15859043583396,103.031897110687,6.00412847616519e-09,1.79326341963643e-07,FALSE,"BraA01004308","AT3G10985","SAG20","senescence associated gene 20","-","YES"
"BraA01003458",3.81114873000887,3.87378412740412,99.7465188714939,7.73597844016643e-09,2.1468501266789e-07,FALSE,"BraA01003458","AT2G18900","AT2G18900","Transducin/WD40 repeat-like superfamily protein","-","-"
"BraA06000753",5.08556558947718,5.81156072071397,99.6741258039281,7.77992176099018e-09,2.15212598449886e-07,FALSE,"BraA06000753","AT1G53580","GLY3","glyoxalase II 3","-","-"
"BraA09000556",3.64191659904821,3.69582221207652,99.0314073505007,8.1824331860823e-09,2.21865222759255e-07,FALSE,"BraA09000556","AT5G27920","AT5G27920","F-box family protein","-","-"
"BraA01000110",5.20099031409786,6.72732531147388,98.6125442235429,8.45716660138061e-09,2.26526623735613e-07,FALSE,"BraA01000110","AT4G38060","AT4G38060","hypothetical protein","-","-"
"BraA05004063",4.80737802610409,4.04447318872623,97.9297843749732,8.92719724741612e-09,2.34973385743026e-07,FALSE,"BraA05004063","AT3G10260","AT3G10260","Reticulon family protein","-","-"
"BraA07002276",3.02723257473555,4.48594902953138,97.2969369666198,9.38886282775518e-09,2.43460792271609e-07,FALSE,"BraA07002276","AT3G61350","SKIP4","SKP1 interacting partner 4","-","-"
"BraA08001424",4.04009116218346,6.09746486247882,96.6529003023818,9.88604903064493e-09,2.51383540779243e-07,FALSE,"BraA08001424","AT4G19160","AT4G19160","transglutaminase family protein","-","-"
"BraA05000422",4.1245849603645,4.6896210277788,93.8529697272438,1.24150007968876e-08,2.92533102609297e-07,FALSE,"BraA05000422","AT2G42890","ML2","MEI2-like 2","-","-"
"BraA05003995",4.15868921629625,5.52543293178171,92.1573806454592,1.42913937879781e-08,3.21352197461109e-07,FALSE,"BraA05003995","AT3G10985","SAG20","senescence associated gene 20","-","YES"
"BraA06004710",3.55695958535891,6.66692260809611,92.0960025117868,1.43649821484961e-08,3.22546104161667e-07,FALSE,"BraA06004710","AT5G46180","DELTA-OAT","ornithine-delta-aminotransferase","-","-"
"BraA08000121",6.73069085222395,7.84792814189299,91.1539973555556,1.55487730722681e-08,3.38066418304901e-07,FALSE,"BraA08000121","AT1G54100","ALDH7B4","aldehyde dehydrogenase 7B4","-","-"
"BraA08001201",4.22968167793318,3.04990667574705,90.377132216953,1.66067310846128e-08,3.49629616719293e-07,FALSE,"BraA08001201","AT4G15630","AT4G15630","Uncharacterized protein family (UPF0497)","-","-"
"BraA06004703",4.05388155987015,5.78636330330414,89.5185776641713,1.78698014447911e-08,3.66728935657591e-07,FALSE,"BraA06004703","AT5G46250","LARP6a","RNA-binding protein","-","-"
"BraA04002150",7.44185326721484,2.56755346365948,89.3359276922533,1.81520442128861e-08,3.67713225110459e-07,FALSE,"BraA04002150","AT3G62460","AT3G62460","Putative endonuclease or glycosyl hydrolase","-","-"
"BraA04002028",4.94993547781265,4.65867553257247,87.766191922245,2.07923022633306e-08,4.00576300642379e-07,FALSE,"BraA04002028","AT2G28110","FRA8","Exostosin family protein","-","-"
"BraA03004811",5.99934983174338,4.05748730070767,87.4893907300607,2.13007009495571e-08,4.05899555624732e-07,FALSE,"BraA03004811","AT3G50770","CML41","calmodulin-like 41","-","-"
"BraA09005643",3.49172045778192,7.17546001600655,87.2056870094068,2.18361311361915e-08,4.09749948578117e-07,FALSE,"BraA09005643","AT2G25070","AT2G25070","Protein phosphatase 2C family protein","-","-"
"BraA04003296",4.36030319571665,8.83340884795396,86.9330978178672,2.23646842324776e-08,4.14203990607138e-07,FALSE,"BraA04003296","AT2G46600","AT2G46600","Calcium-binding EF-hand family protein","-","-"
"BraA10001950",4.99519011499913,5.03704136383498,85.8418926700544,2.4627360703002e-08,4.46583706757202e-07,FALSE,"BraA10001950","AT5G18130","AT5G18130","transmembrane protein","-","-"
"BraA03000032",3.30398246706615,4.93691616662705,85.6217264677463,2.51140370608048e-08,4.51765649528077e-07,FALSE,"BraA03000032","AT5G01520","AIRP2","RING/U-box superfamily protein","-","-"
"BraA08001833",3.04923347527379,5.11142925212607,85.0096901011676,2.65239321175618e-08,4.6694200672697e-07,FALSE,"BraA08001833","AT4G32150","VAMP711","vesicle-associated membrane protein 711","-","-"
