"","logFC","logCPM","F","PValue","FDR","woundCtrl","phyB.P_Avg_CPM","phyB.D_Avg_CPM","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA04002129",-9.7009009912289,5.28083511596932,401.987681273653,3.64209827841235e-16,5.73266269022104e-12,FALSE,"63.37599876"," 0.06887702","BraA04002129","AT2G29300","AT2G29300","NAD(P)-binding Rossmann-fold superfamily protein","-","-"
"BraA06003490",-3.69001720582302,5.42175199817962,359.311911799896,1.24771367800617e-15,9.81950664590857e-12,FALSE,"49.889306"," 3.873098","BraA06003490","AT2G17320","AT2G17320","pantothenate kinase","-","-"
"BraA06004345",-2.48264829904135,6.00447087145255,315.569181864905,5.13200933318606e-15,2.69259423014495e-11,FALSE,"83.94639","15.01523","BraA06004345","AT3G26070","AT3G26070","Plastid-lipid associated protein PAP / fibrillin family protein","-","-"
"BraA05004133",-6.86735514377035,5.30219232204615,270.342470091437,2.72448792368051e-14,1.07208599796828e-10,FALSE,"59.826018"," 0.477744","BraA05004133","AT5G02120","OHP","one helix protein","-","-"
"BraA10002909",-5.7164406372172,7.84565199032383,263.302183505627,3.6152890420963e-14,1.13809299045192e-10,FALSE,"270.041713","  5.128057","BraA10002909","AT5G09650","PPa6","pyrophosphorylase 6","-","-"
"BraA08003464",-6.55021955364596,7.98803974367136,246.066014321743,7.45076202853605e-14,1.52955365571681e-10,FALSE,"333.898631","  3.533537","BraA08003464","AT1G13930","AT1G13930","oleosin-B3-like protein","-","-"
"BraA10003025",-2.72274665671844,5.59626246065255,242.534368926198,8.69035312488631e-14,1.52955365571681e-10,FALSE,"57.468244"," 8.678963","BraA10003025","AT5G03900","AT5G03900","Iron-sulfur cluster biosynthesis family protein","-","-"
"BraA06002244",-3.03604136708144,6.53466724803957,242.389268687452,8.74585953078229e-14,1.52955365571681e-10,FALSE,"118.50140"," 14.44500","BraA06002244","AT1G20810","AT1G20810","FKBP-like peptidyl-prolyl cis-trans isomerase family protein","-","-"
"BraA09000087",-7.12517965422505,9.39192339081762,236.444436950285,1.13870899895653e-13,1.79232796435759e-10,FALSE," 852.561423","   6.072929","BraA09000087","AT4G01080","TBL26","TRICHOME BIREFRINGENCE-LIKE 26","-","-"
"BraA06001576",-2.98274193067229,5.66034315561285,221.284635757163,2.29638464804584e-13,3.20028629401857e-10,FALSE,"55.969861"," 7.061591","BraA06001576","AT1G13820","AT1G13820","alpha/beta-Hydrolases superfamily protein","-","-"
"BraA04001528",-4.22894610254422,5.48584139739443,219.51065968656,2.49991704646569e-13,3.20028629401857e-10,FALSE,"51.357348"," 2.705607","BraA04001528","AT2G21280","SULA","NAD(P)-binding Rossmann-fold superfamily protein","-","-"
"BraA07003370",-3.16671043733388,6.94236209490025,218.35358066606,2.64318435973579e-13,3.20028629401857e-10,FALSE,"177.24569"," 19.71933","BraA07003370","AT1G70410","BCA4","beta carbonic anhydrase 4","-","-"
"BraA07003829",-6.15105886070232,8.22511746167431,215.154141675709,3.08787072258e-13,3.4716489409578e-10,FALSE,"411.523218","  5.773370","BraA07003829","AT1G76100","PETE1","plastocyanin 1","-","-"
"BraA08003307",-2.79902769568837,7.54263936467617,211.063997653786,3.77858969479508e-13,3.96500011973831e-10,FALSE,"204.57047"," 29.38899","BraA08003307","AT1G18060","AT1G18060","microbial collagenase","-","-"
"BraA04001451",-8.01448464551383,11.8173790627989,209.633594870733,4.05838476541287e-13,3.99243601297491e-10,FALSE,"5011.39901","  19.35426","BraA04001451","AT5G38410","RBCS3B","Ribulose bisphosphate carboxylase (small chain) family protein","-","YES"
"BraA06004803",-2.28242540071161,6.92550053706201,207.686595652746,4.47600009871932e-13,4.14329655365874e-10,FALSE,"145.60803"," 29.92805","BraA06004803","AT5G44650","CEST","death domain associated protein","-","-"
"BraA09001106",-5.70407150443154,10.6070830398973,206.156544787048,4.83694753121603e-13,4.14329655365874e-10,FALSE,"1806.27817","  34.61011","BraA09001106","AT2G15620","NIR1","nitrite reductase 1","-","-"
"BraA01000670",-2.35680352956555,5.70341239839435,205.499927785758,5.00143802538222e-13,4.14329655365874e-10,FALSE,"66.58559","12.98514","BraA01000670","AT4G31780","MGD1","monogalactosyl diacylglycerol synthase 1","-","-"
"BraA03004149",-5.65525859538395,6.95760844099694,199.428763311097,6.84543107284631e-13,5.38735425433005e-10,FALSE,"146.070025","  2.876861","BraA03004149","AT3G19480","AT3G19480","D-3-phosphoglycerate dehydrogenase","-","-"
"BraA07002742",-12.2312979110266,5.81653029568302,229.594021609607,7.37155859164646e-13,5.52515867773882e-10,FALSE,"58.43215772"," 0.00000000","BraA07002742","AT1G72610","GER1","germin-like protein 1","-","-"
"BraA08003566",-4.3598817639735,8.51855926149464,194.717422368683,8.78569582982272e-13,5.76498297802052e-10,FALSE,"541.63725"," 26.35259","BraA08003566","AT1G11860","AT1G11860","Glycine cleavage T-protein family","-","YES"
