Gene_ID,logFC_WT,logFC_phyB,logCPM_WT,logCPM_phyB,PValue_WT,PValue_phyB,FDR_WT,FDR_phyB,sig_conditions,GO:0009507_Chloroplast,A._thaliana_best_hit,Symbol,Description,WT.P_Avg_CPM,phyB.P_Avg_CPM,WT.24_Avg_CPM,phyB.24_Avg_CPM,WT.D_Avg_CPM,phyB.D_Avg_CPM,WT.R_Avg_CPM,phyB.R_Avg_CPM
BraA06001326,2.13703848596681,0.628969125393973,6.41882735770244,6.41882735770244,6.62670622413517E-10,0.014437052254543,1.15148936669925E-08,0.024436950477094,WT_up,-,AT1G09800,AT1G09800,Pseudouridine synthase family protein,136.42973,99.21815,137.10614,107.70953,21.80459,25.75187,75.8564,34.07979
BraA05004213,1.2409277032043,0.416990432500702,5.19962153962207,5.19962153962207,1.30087711271154E-08,0.018977412381155,1.26238013280393E-07,0.031183262436515,WT_up,-,AT3G07940,AT3G07940,Calcium-dependent ARF-type GTPase activating protein family,41.13541,42.59192,42.99062,41.78473,20.83306,27.03505,39.12214,30.83883
BraA09006187,3.26488517519428,0.74361057780997,9.18555732434706,9.18555732434706,1.39873489260286E-08,0.082357406080456,1.34161202188E-07,0.115391273963538,WT_up,yes,AT1G15820,LHCB6,light harvesting complex photosystem II subunit 6,1080.14256,501.55294,1035.322,460.8144,96.27499,97.83281,722.72767,138.38356
BraA03003975,2.25255347760836,0.289095437024906,6.71918742433218,6.71918742433218,2.05850096339381E-08,0.342785282986367,1.86855854462621E-07,0.405032681796068,WT_up,yes,AT3G15840,PIFI,post-illumination chlorophyll fluorescence increase,133.82404,146.47893,153.80801,184.50615,22.39163,44.53854,86.03042,46.58277
BraA04001207,2.52178456191897,0.964093133621857,4.46530531825862,4.46530531825862,2.30175090568159E-08,0.008500718892385,2.04686775454397E-07,0.015223724583701,WT_up,-,AT5G38980,AT5G38980,transmembrane protein,23.857437,27.742481,30.889489,37.503075,5.027888,8.116629,23.674547,13.582404
BraA07003482,1.12625061550555,0.320064791249758,5.72436235019636,5.72436235019636,2.95393230652827E-08,0.053908617634501,2.53240166147903E-07,0.079094112748607,WT_up,-,AT1G71710,AT1G71710,DNAse I-like superfamily protein,57.14759,59.73759,64.1999,68.34153,30.8214,39.44524,53.3434,41.82195
BraA08003182,2.6292530929982,0.253930195904002,4.01812762379292,4.01812762379292,3.21165824794614E-08,0.495359527580039,2.70618312755205E-07,0.556408974816943,WT_up,-,AT1G20640,AT1G20640,Plant regulator RWP-RK family protein,27.649735,20.344407,25.874058,22.570703,2.66944,3.524199,13.55292,3.593179
BraA01001784,2.65954701211322,0.994881606957056,4.71807672890989,4.71807672890989,4.1041311950331E-08,0.011160012287777,3.31277051332415E-07,0.019352053917551,WT_up,-,AT4G26130,AT4G26130,cotton fiber protein,33.063506,38.405335,39.822055,41.950349,4.111644,8.441453,21.690883,14.354454
BraA03002832,1.65833642639073,0.540317525850328,6.08696159396769,6.08696159396769,5.70085246806747E-08,0.033328350934758,4.36496680522027E-07,0.051577168689218,WT_up,yes,AT4G09020,ISA3,isoamylase 3,94.52636,79.33026,99.017,80.23392,26.91415,31.31248,66.82734,38.70019
BraA06004265,2.31379765554191,0.84529435055506,3.71013767179806,3.71013767179806,6.04030935144602E-08,0.014926538894739,4.57749009108139E-07,0.025151881190792,WT_up,-,AT3G27170,CLC-B,chloride channel B,6.538801,11.539607,8.057205,9.952835,5.676658,15.900341,22.317465,24.18496
BraA07003613,1.34309101249299,0.548260868547362,4.96771433060968,4.96771433060968,6.31320661823906E-08,0.01002597142987,4.73866820081463E-07,0.017610622732524,WT_up,-,AT1G73390,AT1G73390,Endosomal targeting BRO1-like domain-containing protein,23.60453,29.98207,23.65244,29.69702,22.859,32.44885,45.88165,40.35507
BraA09003637,2.4817557309358,0.909133636572722,3.07183924858668,3.07183924858668,6.86803145052235E-08,0.012940702167668,5.09438336622158E-07,0.022123020758021,WT_up,-,AT1G30870,AT1G30870,Peroxidase superfamily protein,7.758193,11.785168,9.627765,11.739304,1.984077,5.304015,8.344974,8.525356
