"","logFC_WT","logCPM_WT","F_WT","PValue_WT","FDR_WT","Gene_ID","logFC_phyB","logCPM_phyB","F_phyB","PValue_phyB","FDR_phyB","WT.D_Avg_CPM","phyB.D_Avg_CPM","WT.R_Avg_CPM","phyB.R_Avg_CPM","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development","group"
"BraA01003391",-2.49933381386567,9.27127566181737,290.654602624442,1.24948119023818e-14,4.95342323513839e-12,"BraA01003391",-2.73452530644984,9.27127566181737,256.139302366374,4.85612912488088e-14,6.94867931142046e-11,"1503.2376","1905.2715"," 265.8488"," 286.2712","AT3G22440","AT3G22440","FRIGIDA-like protein","-","-","Both_sig"
"BraA06001302",-4.4316867439965,8.95925991543334,271.767315637959,2.57501862784162e-14,8.81104200048416e-12,"BraA06001302",-3.94394123135478,8.95925991543334,169.151955378503,3.76962930371925e-12,8.01810341088393e-10,"1708.46208","1476.90145","  79.15058","  95.96770","AT1G09570","PHYA","phytochrome A","-","YES","Both_sig"
"BraA05003779",-3.31544319001853,9.03659979005788,263.878670388764,3.53158469547777e-14,9.75213036961757e-12,"BraA05003779",-2.9876724060901,9.03659979005788,165.483939718894,4.71985537883135e-12,9.17166958800067e-10,"1538.8628","1536.4011"," 154.5645"," 193.6797","AT3G13460","ECT2","evolutionarily conserved C-terminal region 2","-","-","Both_sig"
"BraA10001974",-2.51125484767828,6.12187806668938,232.6843672538,1.34980626619435e-13,2.24496456270725e-11,"BraA10001974",-1.87553011682073,6.12187806668938,101.965717967335,5.73295723213006e-10,2.16395076339873e-08,"189.17272","141.36801"," 33.16663"," 38.53090","AT4G08580","AT4G08580","microfibrillar-associated protein-like protein","-","-","Both_sig"
"BraA10003048",-2.87947445133702,6.99726568667803,232.620343178215,1.35375001243859e-13,2.24496456270725e-11,"BraA10003048",-3.1016999485341,6.99726568667803,198.888488997003,7.04224563715375e-13,3.3589377675394e-10,"336.11578","394.96062"," 45.67284"," 46.01980","AT5G03540","EXO70A1","exocyst subunit exo70 family protein A1","-","YES","Both_sig"
"BraA08003963",-2.83686120451473,8.81343900393063,216.696004347389,2.86418822448628e-13,3.75686022111783e-11,"BraA08003963",-2.85155802215756,8.81343900393063,164.013170412694,5.1714569830298e-12,9.46496894335919e-10,"1340.9511","1268.5787"," 187.6693"," 175.7615","AT1G65660","SMP1","Pre-mRNA splicing Prp18-interacting factor","-","YES","Both_sig"
"BraA08003682",-2.15236499022467,6.96575599991027,197.862057655555,7.43330485199685e-13,7.64707309610656e-11,"BraA08003682",-2.21586137386412,6.96575599991027,156.724375991549,8.22292041880818e-12,1.16602493145983e-09,"288.99053","303.31985"," 64.99125"," 65.28770","AT1G09770","CDC5","cell division cycle 5","YES","-","Both_sig"
"BraA10002966",-2.52805741465226,6.16618494369115,196.271998471041,8.08645118868623e-13,7.90895386915661e-11,"BraA10002966",-2.17202497853165,6.16618494369115,112.151148050983,2.29352023553352e-10,1.17589604258299e-08,"158.00741","170.49309"," 27.39276"," 37.84471","AT5G04540","MTM2","Myotubularin-like phosphatases II superfamily","-","-","Both_sig"
"BraA05000899",-4.79375712903734,8.95228462803797,196.26410567101,8.08984480898484e-13,7.90895386915661e-11,"BraA05000899",-3.44026058684399,8.95228462803797,86.3464247416963,2.73542820868057e-09,6.72744375072377e-08,"1308.7344","1414.8648","  47.1651"," 130.3099","AT2G38170","CAX1","cation exchanger 1","-","-","Both_sig"
"BraA10001764",-2.67434099780893,4.98540881332063,193.194107978546,9.53501620675456e-13,9.04103343941667e-11,"BraA10001764",-2.70840266254073,4.98540881332063,149.163330360766,1.35778894578562e-11,1.61064957751136e-09,"80.95065","90.57032","12.67963","13.84826","AT5G20350","TIP1","Ankyrin repeat family protein with DHHC zinc finger domain-containing protein","-","-","Both_sig"
