"Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA05000981","AT2G37240","AT2G37240","Thioredoxin superfamily protein","-","-"
"BraA03000987","AT5G19855","RbcX2","Chaperonin-like RbcX protein","-","-"
"BraA04002623","AT3G11510","AT3G11510","Ribosomal protein S11 family protein","-","-"
"BraA05003779","AT3G13460","ECT2","evolutionarily conserved C-terminal region 2","-","-"
"BraA09000731","AT5G61060","HDA05","histone deacetylase 5","-","-"
"BraA03000839","AT5G17310","UGP2","UDP-glucose pyrophosphorylase 2","-","-"
"BraA05000169","AT2G46970","PIL1","phytochrome interacting factor 3-like 1","YES","YES"
"BraA09003521","AT1G32080","LrgB","membrane protein","-","-"
"BraA05000185","AT2G46820","PSI-P","photosystem I P subunit","-","-"
"BraA01000215","AT4G36810","GGPS1","geranylgeranyl pyrophosphate synthase 1","-","-"
"BraA05001825","AT1G52510","AT1G52510","alpha/beta-Hydrolases superfamily protein","-","-"
"BraA04000162","AT3G60750","AT3G60750","Transketolase","-","-"
"BraA07000653","AT2G05310","AT2G05310","transmembrane protein","-","-"
"BraA05004613","AT3G02730","TRXF1","thioredoxin F-type 1","-","-"
"BraA09003483","AT1G32520","AT1G32520","TLDc domain protein","-","-"
"BraA08001624","AT4G35250","HCF244","NAD(P)-binding Rossmann-fold superfamily protein","-","-"
"BraA03000567","AT5G12470","AT5G12470","UvrABC system C protein, putative (DUF3411)","-","-"
"BraA09001531","AT1G64430","AT1G64430","Pentatricopeptide repeat (PPR) superfamily protein","-","-"
"BraA07000048","AT2G20340","AAS","Pyridoxal phosphate (PLP)-dependent transferases superfamily protein","-","-"
"BraA03003008","AT4G03520","ATHM2","Thioredoxin superfamily protein","-","-"
"BraA02000306","AT5G09230","SRT2","sirtuin 2","-","-"
"BraA04001060","AT5G36790","AT5G36790","Haloacid dehalogenase-like hydrolase (HAD) superfamily protein","-","-"
"BraA05001563","AT2G29970","AT2G29970","Double Clp-N motif-containing P-loop nucleoside triphosphate hydrolases superfamily protein","-","-"
"BraA06000577","AT3G44020","AT3G44020","thylakoid lumenal P17.1 protein","-","-"
"BraA09000394","AT3G29100","VTI13","vesicle transport V-snare 13","-","-"
"BraA07002264","AT3G61080","AT3G61080","Protein kinase superfamily protein","-","-"
"BraA05001589","AT2G29670","AT2G29670","Tetratricopeptide repeat (TPR)-like superfamily protein","-","-"
"BraA05000132","AT2G47400","CP12-1","CP12 domain-containing protein 1","-","YES"
"BraA10001844","AT5G19290","AT5G19290","alpha/beta-Hydrolases superfamily protein","-","-"
"BraA04002224","AT2G30570","PSBW","photosystem II reaction center W","-","-"
"BraA08001520","AT5G53420","AT5G53420","CCT motif family protein","-","-"
"BraA02002181","AT1G70700","TIFY7","TIFY domain/Divergent CCT motif family protein","-","-"
"BraA08000221","AT1G52191","AT1G52191","Thioesterase superfamily protein","-","-"
"BraA03000427","AT5G09870","CESA5","cellulose synthase 5","-","-"
"BraA06000947","AT1G50900","GDC1","Ankyrin repeat family protein","-","YES"
"BraA04003031","AT2G42220","AT2G42220","Rhodanese/Cell cycle control phosphatase superfamily protein","-","-"
"BraA01000944","AT4G28730","GrxC5","Glutaredoxin family protein","-","-"
"BraA10000296","AT1G04420","AT1G04420","NAD(P)-linked oxidoreductase superfamily protein","-","-"
"BraA04000191","AT3G60370","AT3G60370","FKBP-like peptidyl-prolyl cis-trans isomerase family protein","-","-"
"BraA02001207","AT5G59030","COPT1","copper transporter 1","-","-"
"BraA02001486","AT5G54770","THI1","thiazole biosynthetic enzyme, chloroplast (ARA6) (THI1) (THI4)","-","-"
"BraA09004941","AT3G55800","SBPASE","sedoheptulose-bisphosphatase","-","YES"
"BraA03005832","AT3G24430","HCF101","ATP binding protein","-","YES"
"BraA10000194","AT1G03310","DBE1","debranching enzyme 1","-","-"
"BraA04003312","AT2G46810","AT2G46810","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","YES","-"
"BraA06002625","AT3G46970","PHS2","alpha-glucan phosphorylase 2","-","-"
"BraA10000920","AT5G53490","AT5G53490","Tetratricopeptide repeat (TPR)-like superfamily protein","-","-"
"BraA05003475","AT3G16570","RALF23","rapid alkalinization factor 23","-","-"
"BraA07003883","AT1G76450","AT1G76450","Photosystem II reaction center PsbP family protein","-","-"
"BraA01002648","AT3G46780","PTAC16","plastid transcriptionally active 16","-","YES"
"BraA09000065","AT4G01310","AT4G01310","Ribosomal L5P family protein","-","-"
"BraA04001272","AT5G39530","AT5G39530","hypothetical protein (DUF1997)","-","-"
"BraA03003025","AT4G03280","PETC","photosynthetic electron transfer C","-","YES"
"BraA09005761","AT2G47130","SDR3","NAD(P)-binding Rossmann-fold superfamily protein","-","-"
"BraA03001316","AT5G57040","AT5G57040","Lactoylglutathione lyase / glyoxalase I family protein","-","-"
"BraA02001655","AT5G52780","AT5G52780","transmembrane protein, putative (DUF3464)","-","-"
"BraA01001762","AT4G25900","AT4G25900","Galactose mutarotase-like superfamily protein","-","-"
"BraA09005555","AT3G63250","HMT2","homocysteine methyltransferase 2","-","-"
"BraA05004709","AT3G01440","PnsL3","PsbQ-like 1","-","-"
"BraA10001035","AT5G54770","THI1","thiazole biosynthetic enzyme, chloroplast (ARA6) (THI1) (THI4)","-","-"
"BraA01001892","AT4G27190","AT4G27190","NB-ARC domain-containing disease resistance protein","-","-"
"BraA06003902","AT5G28840","GME","GDP-D-mannose 3',5'-epimerase","-","-"
"BraA07003172","AT1G68010","HPR","hydroxypyruvate reductase","-","-"
"BraA01001445","AT4G22890","PGR5-LIKE A","PGR5-LIKE A","-","-"
"BraA01001958","AT4G27700","AT4G27700","Rhodanese/Cell cycle control phosphatase superfamily protein","-","-"
"BraA05003083","AT3G19620","AT3G19620","Glycosyl hydrolase family protein","-","-"
"BraA10000786","AT5G51820","PGM","phosphoglucomutase","-","YES"
"BraA01002149","AT4G16780","HB-2","homeobox protein 2","YES","YES"
"BraA09001287","AT2G20610","SUR1","Tyrosine transaminase family protein","-","-"
"BraA07002943","AT1G68010","HPR","hydroxypyruvate reductase","-","-"
"BraA09004859","AT3G54890","LHCA1","chlorophyll a-b binding protein 6","-","YES"
"BraA01004189","AT3G12780","PGK1","phosphoglycerate kinase 1","-","-"
"BraA06001208","AT1G08380","PSAO","photosystem I subunit O","-","YES"
"BraSca000558","AT4G10120","ATSPS4F","Sucrose-phosphate synthase family protein","-","-"
"BraA01004053","AT3G14310","PME3","pectin methylesterase 3","-","-"
"BraA05001598","AT2G29630","THIC","thiaminC","-","-"
"BraA06001664","AT1G14740","TTA1","class I heat shock protein, putative (DUF1423)","-","-"
"BraA09004332","AT1G22540","AT1G22540","Major facilitator superfamily protein","-","-"
"BraA02001778","AT5G50420","AT5G50420","O-fucosyltransferase family protein","-","-"
"BraA02002473","AT1G75460","AT1G75460","ATP-dependent protease La (LON) domain protein","-","-"
"BraA06003172","AT5G64040","PSAN","photosystem I reaction center subunit PSI-N, chloroplast, putative / PSI-N, putative (PSAN)","-","-"
"BraA03002020","AT2G36870","XTH32","xyloglucan endotransglucosylase/hydrolase 32","-","-"
"BraA07003886","AT1G76490","HMG1","hydroxy methylglutaryl CoA reductase 1","-","YES"
"BraA09004900","AT3G55350","AT3G55350","PIF / Ping-Pong family of plant transposase","-","-"
"BraA03004443","AT2G04850","AT2G04850","Auxin-responsive family protein","-","-"
"BraA06004854","AT5G44030","CESA4","cellulose synthase A4","-","YES"
"BraA05000809","AT2G39450","MTP11","Cation efflux family protein","-","-"
"BraA05000723","AT2G46100","AT2G46100","Nuclear transport factor 2 (NTF2) family protein","-","-"
"BraA09000499","AT5G28910","AT5G28910","alpha-(1,6)-fucosyltransferase","-","-"
"BraA01000943","AT2G20260","PSAE-2","photosystem I subunit E-2","-","-"
"BraA02004434","AT5G64550","AT5G64550","loricrin-like protein","-","-"
"BraA09001831","AT1G60000","AT1G60000","RNA-binding (RRM/RBD/RNP motifs) family protein","-","-"
"BraA03004456","AT2G05100","LHCB2.1","photosystem II light harvesting complex protein 2.1","-","-"
"BraA09005575","AT2G26340","AT2G26340","hypothetical protein","-","-"
"BraA02002658","AT1G78020","AT1G78020","senescence-associated family protein, putative (DUF581)","-","-"
"BraA01003143","AT1G61520","LHCA3","PSI type III chlorophyll a/b-binding protein","-","-"
"BraA07002052","AT3G56940","CRD1","dicarboxylate diiron protein, putative (Crd1)","-","-"
