"","logFC","logCPM","F","PValue","FDR","woundCtrl","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA05000169",6.46080588583892,3.98080518683654,321.148089626045,4.65897551872794e-13,2.20034145650822e-10,FALSE,"BraA05000169","AT2G46970","PIL1","phytochrome interacting factor 3-like 1","YES","YES"
"BraA07000520",4.62359837555734,6.05764304071395,280.322854026257,1.51057994187424e-12,3.65792742847701e-10,FALSE,"BraA07000520","AT2G15580","AT2G15580","RING/U-box superfamily protein","-","-"
"BraA03003709",5.25601143682115,4.47584787936266,264.209263690959,2.5139253205089e-12,4.46046805449047e-10,FALSE,"BraA03003709","AT3G10985","SAG20","senescence associated gene 20","-","YES"
"BraA08003963",3.07824630526025,8.81343483860737,245.717209763811,4.68145280672435e-12,6.69873337980375e-10,FALSE,"BraA08003963","AT1G65660","SMP1","Pre-mRNA splicing Prp18-interacting factor","-","YES"
"BraA06001302",3.66922371245888,8.9592518315228,244.048748115985,4.96216614711313e-12,6.85545556154542e-10,FALSE,"BraA06001302","AT1G09570","PHYA","phytochrome A","-","YES"
"BraA09006975",8.32590953507124,6.22338522966263,220.700077515496,1.16840839606293e-11,1.22604987693537e-09,FALSE,"BraA09006975","AT1G02340","HFR1","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","YES","YES"
"BraA07001630",3.22486248067246,4.66997034356148,207.21046654159,1.99289926191742e-11,1.78031618840595e-09,FALSE,"BraA07001630","AT5G67440","NPY3","Phototropic-responsive NPH3 family protein","-","YES"
"BraA10001053",3.44029677489535,5.08073193396549,196.95271258801,3.05735556145965e-11,2.27922951160774e-09,FALSE,"BraA10001053","AT5G54960","PDC2","pyruvate decarboxylase-2","-","-"
"BraA07000905",4.95911069106534,6.67389102287689,177.708493711935,7.23405440706996e-11,3.86725153436476e-09,FALSE,"BraA07000905","AT2G26230","AT2G26230","uricase / urate oxidase / nodulin 35","-","-"
"BraA08003014",10.1543426540087,7.43619421916821,168.924515393666,1.10296700680769e-10,5.12115064517787e-09,FALSE,"BraA08003014","AT1G27110","AT1G27110","Tetratricopeptide repeat (TPR)-like superfamily protein","-","-"
"BraA06001724",9.5086782342406,4.48916337069744,167.954085588588,1.15698516287989e-10,5.29387978596788e-09,FALSE,"BraA06001724","AT1G15380","GLYI4","Lactoylglutathione lyase / glyoxalase I family protein","-","-"
"BraA09006465",3.2493792207073,7.92662447612571,167.358407366268,1.19159339253309e-10,5.38956321795141e-09,FALSE,"BraA09006465","AT1G11910","APA1","aspartic proteinase A1","-","-"
"BraA01002149",3.92371267210142,6.249659373292,163.224984228617,1.46589906480898e-10,6.1528670080249e-09,FALSE,"BraA01002149","AT4G16780","HB-2","homeobox protein 2","YES","YES"
"BraA04002150",8.3682271361835,2.56755346365948,162.269476775592,1.53885138960231e-10,6.32415688572856e-09,FALSE,"BraA04002150","AT3G62460","AT3G62460","Putative endonuclease or glycosyl hydrolase","-","-"
"BraA03000032",4.08564421306575,4.93691616662705,160.340417026064,1.69873089486429e-10,6.78029614538688e-09,FALSE,"BraA03000032","AT5G01520","AIRP2","RING/U-box superfamily protein","-","-"
"BraA07003150",3.05169621470513,4.03815406636273,155.872639589429,2.14469491898455e-10,8.0374995297183e-09,FALSE,"BraA07003150","AT1G67730","KCR1","beta-ketoacyl reductase 1","-","-"
"BraA03001284",9.95571123701028,4.70829369310624,212.787585963291,2.1739356627451e-10,8.05123466626066e-09,TRUE,"BraA03001284","AT5G57760","AT5G57760","hypothetical protein","-","YES"
"BraA01000519",6.11692935871857,8.26915103040584,155.044790907129,2.24084305702173e-10,8.14569739434689e-09,FALSE,"BraA01000519","AT4G33150","AT4G33150","lysine-ketoglutarate reductase/saccharopine dehydrogenase bifunctional enzyme","-","-"
"BraA10003068",4.60341338130454,5.25197361199728,149.622084073955,3.00247465549637e-10,1.01414058106251e-08,FALSE,"BraA10003068","AT5G03230","AT5G03230","senescence regulator (Protein of unknown function, DUF584)","-","-"
"BraA06004285",4.58155044729448,6.83926376238172,144.837733108798,3.91802083102394e-10,1.22553401957732e-08,FALSE,"BraA06004285","AT3G26840","PES2","Esterase/lipase/thioesterase family protein","-","-"
"BraA09006272",3.16155366750297,3.99258088181601,144.301585644165,4.03860956904469e-10,1.2439865874122e-08,FALSE,"BraA09006272","AT1G14580","AT1G14580","C2H2-like zinc finger protein","YES","-"
