"gene.ID","logFC","logCPM","F","PValue","FDR","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA06003490",4.12734464877067,5.38541554336567,485.604458867556,7.27593973860391e-15,1.64312547116892e-10,"AT2G17320","AT2G17320","pantothenate kinase","-","-"
"BraA04003076",5.23522886262022,9.00444729101588,448.09490129185,1.50382281046404e-14,1.69804152643547e-10,"AT2G42600","PPC2","phosphoenolpyruvate carboxylase 2","-","-"
"BraA08003307",3.19556541619428,7.5073584277543,393.325654040249,4.85783593865386e-14,3.656816966754e-10,"AT1G18060","AT1G18060","microbial collagenase","-","-"
"BraA04001528",4.76678676701226,5.45011191952138,373.999893706289,7.62956865365805e-14,4.307463722639e-10,"AT2G21280","SULA","NAD(P)-binding Rossmann-fold superfamily protein","-","-"
"BraA03000987",2.84477189737035,5.33912620236009,356.406005148929,1.17378257888888e-13,5.30150639580951e-10,"AT5G19855","RbcX2","Chaperonin-like RbcX protein","-","-"
"BraA04002129",8.261798799993,5.24429145257229,346.781368189832,1.4986189403818e-13,5.64055192177368e-10,"AT2G29300","AT2G29300","NAD(P)-binding Rossmann-fold superfamily protein","-","-"
"BraA10002282",2.80455585778552,8.37283216489442,318.882194176633,3.16131893909325e-13,9.44378666551416e-10,"AT5G13650","SVR3","elongation factor family protein","-","-"
"BraA06001576",3.32502935898054,5.62515088839343,312.754837935425,3.7554290948992e-13,9.44378666551416e-10,"AT1G13820","AT1G13820","alpha/beta-Hydrolases superfamily protein","-","-"
"BraA04002534",3.7606137477852,6.23911758836302,311.00036221659,3.94757494086455e-13,9.44378666551416e-10,"AT2G34860","EDA3","DnaJ/Hsp40 cysteine-rich domain superfamily protein","-","-"
"BraA05000981",2.89773880139838,5.80191313178513,308.186605571666,4.27885723615177e-13,9.44378666551416e-10,"AT2G37240","AT2G37240","Thioredoxin superfamily protein","-","-"
"BraA10002878",2.81992918043049,4.96350977309037,305.680242749046,4.59999350487782e-13,9.44378666551416e-10,"AT5G08740","NDC1","NAD(P)H dehydrogenase C1","-","-"
"BraA10003025",3.02606234736314,5.56131787226328,300.103815681727,5.41461520552275e-13,1.018985459886e-09,"AT5G03900","AT5G03900","Iron-sulfur cluster biosynthesis family protein","-","-"
"BraA06002244",3.01236494258333,6.49952343251601,290.871607735476,7.13799907077947e-13,1.15663298212422e-09,"AT1G20810","AT1G20810","FKBP-like peptidyl-prolyl cis-trans isomerase family protein","-","-"
"BraA02001698",4.69409468666896,6.10304708722966,289.399680270059,7.46519598056089e-13,1.15663298212422e-09,"AT5G52030","AT5G52030","TraB family protein","-","-"
"BraA10002909",6.39552563934825,7.80939501390935,288.460839783887,7.68254648712007e-13,1.15663298212422e-09,"AT5G09650","PPa6","pyrophosphorylase 6","-","-"
"BraA06004345",2.18973650921185,5.96991374294644,285.999865329613,8.28627210752541e-13,1.16955551877654e-09,"AT3G26070","AT3G26070","Plastid-lipid associated protein PAP / fibrillin family protein","-","-"
