"","logFC_WT","logCPM_WT","F_WT","PValue_WT","FDR_WT","Gene_ID","logFC_phyB","logCPM_phyB","F_phyB","PValue_phyB","FDR_phyB","WT.P_Avg_CPM","phyB.P_Avg_CPM","WT.D_Avg_CPM","phyB.D_Avg_CPM","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development","group"
"BraA07001417",2.24255908233732,4.35780367093647,66.7823112248253,2.75980229945784e-08,2.4074341402794e-07,"BraA07001417",0.403746230394938,4.35780367093647,1.80166209828182,0.192484382014585,0.243330188170393,"10.34181","18.64609","48.88886","24.70505","AT1G32870","NAC13","NAC domain protein 13","YES","-","WT_sig"
"BraA03004292",2.96794354275452,3.81476926332885,64.4911351195608,3.73865338916948e-08,3.07291928697272e-07,"BraA03004292",0.919363342907542,3.81476926332885,5.32158035064868,0.0303150288125834,0.0470153269790189," 5.794867"," 7.911868","44.661529","14.999151","AT3G22370","AOX1A","alternative oxidase 1A","-","YES","WT_sig"
"BraA05000113",3.17419735617424,4.81887836368889,64.0717393393591,3.9557330558835e-08,3.20945397249495e-07,"BraA05000113",0.95421689518183,4.81887836368889,5.07720765626765,0.0339788940396783,0.0520813411264305,"10.461212","17.829437","94.640425","34.534319","AT2G40940","ERS1","ethylene response sensor 1","-","YES","WT_sig"
"BraA06001267",1.94089070918476,3.80490198948648,61.6848849439291,5.48343499025162e-08,4.17834040458109e-07,"BraA06001267",0.318166917996005,3.80490198948648,1.37173806065528,0.253388040629818,0.309700866556401," 6.141248","12.076956","23.640453","15.088719","AT1G56330","SAR1B","secretion-associated RAS 1B","-","-","WT_sig"
"BraA05004609",1.57028175388465,6.26690331831857,57.4808543338954,9.97776338740057e-08,6.95219104549292e-07,"BraA05004609",0.676147431786568,6.26690331831857,8.34645059383879,0.00822920223639476,0.0147040121694691," 48.74386"," 67.87486","144.65385","108.49229","AT3G02520","GRF7","general regulatory factor 7","-","YES","WT_sig"
"BraA10002904",6.65579084435439,2.19457047112381,57.0619944649459,1.06093597069621e-07,7.30176308647062e-07,"BraA10002904",0.920067320042966,2.19457047112381,1.47063513052515,0.237435157554234,0.292634044311616," 0.1894183"," 1.8469444","22.5446199"," 3.5371703","AT5G09570","AT5G09570","Cox19-like CHCH family protein","-","-","WT_sig"
"BraA07003299",1.30619611004101,4.11524808698331,52.9813678343994,1.96368008218955e-07,1.22603429169629e-06,"BraA07003299",0.425628920145374,4.11524808698331,4.5116858455536,0.0445221905060094,0.0662487501006417," 9.858013","19.353321","24.436865","25.993233","AT1G69580","AT1G69580","Homeodomain-like superfamily protein","YES","-","WT_sig"
"BraA08003969",5.86977763881148,2.44250633996295,51.4072677281259,2.51274402896923e-07,1.51360853486321e-06,"BraA08003969",2.26058340085571,2.44250633996295,7.41450401396613,0.0120665086215573,0.0206307675106791," 0.4864608"," 0.7508717","30.9387198"," 3.6289452","AT1G03790","SOM","Zinc finger C-x8-C-x5-C-x3-H type family protein","YES","-","WT_sig"
"BraA09006082",2.07099120853042,4.08595237503701,48.3418828219726,4.12548870745465e-07,2.29859087629509e-06,"BraA09006082",1.00861143793333,4.08595237503701,9.34066234403359,0.0055572891035989,0.0103260217790871," 6.929502","10.563733","29.258203","21.306454","AT1G76690","OPR2","12-oxophytodienoate reductase 2","-","-","WT_sig"
"BraA09003735",2.23911975769715,3.94172988655623,47.3899005385375,4.83366003903829e-07,2.63076794655819e-06,"BraA09003735",0.64666061077146,3.94172988655623,3.36878888946234,0.0792792965548879,0.110478630170335," 6.518529","19.405205","31.111933","30.318843","AT1G30230","eEF-1Bb1","translation elongation factor EF1B/ribosomal protein S6 family protein","-","-","WT_sig"
"BraA04001663",1.58401474410355,4.82264689768235,44.8706116558823,7.43099625049887e-07,3.78279045869509e-06,"BraA04001663",0.615268956568861,4.82264689768235,5.34112115831467,0.0300416949852459,0.0466465698991585,"17.07495","23.56542","51.36693","36.13929","AT2G22780","PMDH1","peroxisomal NAD-malate dehydrogenase 1","-","-","WT_sig"
"BraSca000802",2.76097511753013,4.36575267145728,44.4520577589163,7.99399713892921e-07,4.02770534464615e-06,"BraSca000802",-0.182615041136234,4.36575267145728,0.173099738685909,0.681190429383651,0.727404162720398," 5.167423","21.255845","36.128534","18.722255","AT3G05640","AT3G05640","Protein phosphatase 2C family protein","-","-","WT_sig"
"BraA05003447",1.17770641414321,5.77798547799124,42.4681062151978,1.1373713211781e-06,5.45988548132915e-06,"BraA05003447",0.461080515997269,5.77798547799124,5.02417043899849,0.0348379998105395,0.0532068811389377,"42.30845","49.63434","95.46356","68.34489","AT2G18790","PHYB","phytochrome B","-","YES","WT_sig"
"BraA03002445",1.29722496814884,4.81743220214576,42.1720586541847,1.19994542433172e-06,5.70436151585056e-06,"BraA03002445",0.673992773605382,4.81743220214576,8.75601535332419,0.00698730332406967,0.0126880657961302,"22.37420","21.64508","55.04102","34.57228","AT2G44200","AT2G44200","pre-mRNA splicing factor domain-containing protein","-","-","WT_sig"
"BraSca000727",1.78877922157124,3.52026470649641,41.9036731392933,1.25991548937094e-06,5.94456528857873e-06,"BraSca000727",0.889789113728663,3.52026470649641,8.44814139465348,0.00789964361344519,0.0141843931640004," 5.376116"," 9.212424","18.831240","17.106643","AT1G58360","AAP1","amino acid permease 1","-","-","WT_sig"
