"","logFC","logCPM","F","PValue","FDR","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA08003307",-3.47175174520834,7.54832030026296,707.711151384265,4.4208312883865e-16,3.89929638362717e-12,"BraA08003307","AT1G18060","AT1G18060","microbial collagenase","-","-"
"BraA04003076",-5.69740713415272,9.0473078800141,698.712226525453,4.95589270923637e-16,3.89929638362717e-12,"BraA04003076","AT2G42600","PPC2","phosphoenolpyruvate carboxylase 2","-","-"
"BraA05000981",-3.48321947508233,5.84221536766257,657.825306854097,8.48614821375769e-16,4.05798890791783e-12,"BraA05000981","AT2G37240","AT2G37240","Thioredoxin superfamily protein","-","-"
"BraA06003490",-4.03143627807275,5.42720666598845,632.387682952908,1.20583141339135e-15,4.05798890791783e-12,"BraA06003490","AT2G17320","AT2G17320","pantothenate kinase","-","-"
"BraA04002129",-10.3869899514592,5.28808288449976,627.64606343765,1.28939657724893e-15,4.05798890791783e-12,"BraA04002129","AT2G29300","AT2G29300","NAD(P)-binding Rossmann-fold superfamily protein","-","-"
"BraA06001576",-3.42621503801042,5.66613985629307,452.039649950055,2.36068128137484e-14,4.64346008046431e-11,"BraA06001576","AT1G13820","AT1G13820","alpha/beta-Hydrolases superfamily protein","-","-"
"BraA04002534",-4.01360199361178,6.28202375223866,442.187425470707,2.86625970980801e-14,5.01149586594876e-11,"BraA04002534","AT2G34860","EDA3","DnaJ/Hsp40 cysteine-rich domain superfamily protein","-","-"
"BraA05003669",-4.54880389099121,9.02358089320358,422.650541119515,4.26500527161242e-14,5.61833389431135e-11,"BraA05003669","AT3G14420","GOX1","Aldolase-type TIM barrel family protein","-","-"
"BraA07003967",-7.43731090580354,9.84821953441847,418.023661152797,4.6980674714725e-14,5.61833389431135e-11,"BraA07003967","AT1G77760","NIA1","nitrate reductase 1","-","-"
"BraA09001106",-6.47493586452713,10.6147158424767,388.387957024079,8.95373588043366e-14,7.74465237586800e-11,"BraA09001106","AT2G15620","NIR1","nitrite reductase 1","-","-"
"BraA01000119",-5.48670155508451,9.40575204555094,387.999687676532,9.03250175276374e-14,7.74465237586800e-11,"BraA01000119","AT4G37930","SHM1","serine transhydroxymethyltransferase 1","-","YES"
"BraA09000087",-7.5554237925334,9.40191396616587,386.466785069252,9.35106730690722e-14,7.74465237586800e-11,"BraA09000087","AT4G01080","TBL26","TRICHOME BIREFRINGENCE-LIKE 26","-","-"
"BraA04003129",-9.32571441016724,5.10860647988539,373.636907130294,1.25643115398949e-13,9.41485744722793e-11,"BraA04003129","AT2G43550","AT2G43550","scorpion toxin-like knottin superfamily protein","-","-"
"BraA08002432",-7.60153754976983,6.94570006872093,351.89456422404,2.12058208934399e-13,1.33477919031668e-10,"BraA08002432","AT4G39970","AT4G39970","Haloacid dehalogenase-like hydrolase (HAD) superfamily protein","-","-"
"BraA08003415",-3.69033057680744,6.931920614298,346.116373752128,2.44973766036062e-13,1.47064657607824e-10,"BraA08003415","AT1G15140","AT1G15140","FAD/NAD(P)-binding oxidoreductase","-","-"
"BraA05003526",-4.01645228108957,9.42449353335112,344.288413903903,2.56537824454529e-13,1.47064657607824e-10,"BraA05003526","AT3G15850","FAD5","fatty acid desaturase 5","-","-"
"BraA01002037",-4.23829914640774,9.26311943650433,343.504593323484,2.61680885423175e-13,1.47064657607824e-10,"BraA01002037","AT1G54780","TLP18.3","thylakoid lumen 18.3 kDa protein","-","-"
"BraA05000276",-3.17701373441694,7.64058895593309,340.111123782426,2.85306253532384e-13,1.51881164006664e-10,"BraA05000276","AT2G40840","DPE2","disproportionating enzyme 2","-","-"
"BraA01000537",-5.21956533580962,11.6761791209245,338.257142761817,2.99206665239362e-13,1.51881164006664e-10,"BraA01000537","AT4G33010","GLDP1","glycine decarboxylase P-protein 1","-","YES"
"BraA07000048",-3.9175742802087,4.85056445251659,328.928711890909,3.81580040246026e-13,1.78040091577765e-10,"BraA07000048","AT2G20340","AAS","Pyridoxal phosphate (PLP)-dependent transferases superfamily protein","-","-"
"BraA08003464",-6.23402605117582,7.99426823356295,325.19184563941,4.21399551479512e-13,1.84591768332915e-10,"BraA08003464","AT1G13930","AT1G13930","oleosin-B3-like protein","-","-"
"BraA08003566",-4.67023302573755,8.52662044561117,325.111983320769,4.22299419165285e-13,1.84591768332915e-10,"BraA08003566","AT1G11860","AT1G11860","Glycine cleavage T-protein family","-","YES"
"BraA05000169",6.42817629101705,3.97447261739601,323.873764839407,4.36527610226841e-13,1.85654012825124e-10,"BraA05000169","AT2G46970","PIL1","phytochrome interacting factor 3-like 1","YES","YES"
"BraA10001684",-4.55292311039128,5.71077647301716,321.306501929367,4.67753404144043e-13,1.9022608344773e-10,"BraA10001684","AT5G21430","NdhU","Chaperone DnaJ-domain superfamily protein","-","-"
"BraA05004133",-6.76480704229769,5.30894913640051,321.014827228174,4.71455087345034e-13,1.9022608344773e-10,"BraA05004133","AT5G02120","OHP","one helix protein","-","-"
"BraA02001698",-4.12947931112542,6.14441073967392,314.62304145005,5.61320267461955e-13,2.05963916973445e-10,"BraA02001698","AT5G52030","AT5G52030","TraB family protein","-","-"
"BraA02000929",-3.76877892830216,6.61391592467606,311.745192456244,6.07859665263192e-13,2.05963916973445e-10,"BraA02000929","AT5G19855","RbcX2","Chaperonin-like RbcX protein","-","-"
"BraA06002613",-5.5446590085554,5.87898480934895,311.617368682148,6.1002385093961e-13,2.05963916973445e-10,"BraA06002613","AT3G47070","AT3G47070","thylakoid soluble phosphoprotein","-","-"
"BraA03000586",-3.57168796968012,7.19200816552999,310.97516588149,6.21027150908467e-13,2.05963916973445e-10,"BraA03000586","AT5G13120","Pnsl5","cyclophilin 20-2","-","-"
"BraA03000235",-3.66599969631612,7.67584018812471,309.436545498503,6.48296034315131e-13,2.05963916973445e-10,"BraA03000235","AT5G05740","EGY2","ethylene-dependent gravitropism-deficient and yellow-green-like 2","-","-"
"BraA01002846",-9.70562671309519,8.03172423058751,309.114851253878,6.54163757253105e-13,2.05963916973445e-10,"BraA01002846","AT1G62510","AT1G62510","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein","-","-"
"BraA04001451",-8.63817614612608,11.8262671485409,309.100034849071,6.5443542505543e-13,2.05963916973445e-10,"BraA04001451","AT5G38410","RBCS3B","Ribulose bisphosphate carboxylase (small chain) family protein","-","YES"
"BraA05000185",-3.32502293166458,9.09781047444898,308.332765723623,6.68676309834645e-13,2.0631941983447e-10,"BraA05000185","AT2G46820","PSI-P","photosystem I P subunit","-","-"
"BraA03001437",-5.56635108214181,10.1481756628418,305.528790537674,7.23720041123971e-13,2.14876576738242e-10,"BraA03001437","AT5G54770","THI1","thiazole biosynthetic enzyme, chloroplast (ARA6) (THI1) (THI4)","-","-"
"BraA09003100",-4.03607438264201,7.10875622121495,303.657055037606,7.63255283418505e-13,2.18827107841415e-10,"BraA09003100","AT4G04850","KEA3","K  efflux antiporter 3","-","-"
"BraA08002093",-4.66586045442227,3.85122820045657,303.283708623949,7.71424495632887e-13,2.18827107841415e-10,"BraA08002093","AT4G28730","GrxC5","Glutaredoxin family protein","-","-"
"BraA05001097",-7.99546776724257,5.28441818004705,302.952894725971,7.7874415601927e-13,2.18827107841415e-10,"BraA05001097","AT1G32470","AT1G32470","Single hybrid motif superfamily protein","-","-"
"BraA07000520",4.58866297151961,6.04130306165166,294.645755716044,9.90372383688449e-13,2.59577913408443e-10,"BraA07000520","AT2G15580","AT2G15580","RING/U-box superfamily protein","-","-"
"BraA03004636",-3.12344553224276,10.0971358573555,294.104024796527,1.00624381786445e-12,2.59577913408443e-10,"BraA03004636","AT5G23120","HCF136","photosystem II stability/assembly factor, chloroplast (HCF136)","-","-"
"BraA04001528",-3.44697491299719,5.49245035424006,288.671094493078,1.18201037495621e-12,2.82695244263847e-10,"BraA04001528","AT2G21280","SULA","NAD(P)-binding Rossmann-fold superfamily protein","-","-"
"BraA09001262",-5.24854729814043,5.91118886202332,288.567378079522,1.1856816294747e-12,2.82695244263847e-10,"BraA09001262","AT4G29840","MTO2","Pyridoxal-5'-phosphate-dependent enzyme family protein","-","-"
