"","logFC","logCPM","F","PValue","FDR","woundCtrl","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA09000033",-1.58873239500895,4.24727921574938,42.04128444653,3.91368344624823e-06,0.0238092556744612,FALSE,"BraA09000033","AT4G00340","RLK4","receptor-like protein kinase 4","-","-"
"BraA09000909",-1.77959545560772,4.17196310535237,38.5092217818634,6.87861494446651e-06,0.0238092556744612,FALSE,"BraA09000909","AT5G65110","ACX2","acyl-CoA oxidase 2","-","-"
"BraA10002002",-2.46531073266199,5.31606858750518,37.5640503250367,8.04831672370617e-06,0.0238092556744612,FALSE,"BraA10002002","AT5G17520","RCP1","root cap 1 (RCP1)","-","-"
"BraA01004053",-4.64758406676184,7.11793418401712,34.908409912633,1.27031600695587e-05,0.0238092556744612,FALSE,"BraA01004053","AT3G14310","PME3","pectin methylesterase 3","-","-"
"BraA10002279",-1.62606476986623,5.39600260249004,34.7272239630302,1.31161264103436e-05,0.0238092556744612,FALSE,"BraA10002279","AT5G13720","AT5G13720","Uncharacterized protein family (UPF0114)","-","-"
"BraA03003975",-1.95841429841728,6.71916522950746,34.5170554017941,1.36139327236436e-05,0.0238092556744612,FALSE,"BraA03003975","AT3G15840","PIFI","post-illumination chlorophyll fluorescence increase","-","-"
"BraA05003243",-2.52549924096123,4.09269220491629,30.8978702585751,2.65191681699343e-05,0.0417411706994766,FALSE,"BraA05003243","AT3G58970","MGT6","magnesium transporter 6","-","-"
"BraA09000731",-1.83255878984835,4.98597614683704,29.7232478712296,3.32911139491617e-05,0.0436668444633171,FALSE,"BraA09000731","AT5G61060","HDA05","histone deacetylase 5","-","-"
"BraA05003527",-5.17209853635098,6.46851211680608,29.1842867583032,3.70248621311035e-05,0.044828563841813,FALSE,"BraA05003527","AT3G15840","PIFI","post-illumination chlorophyll fluorescence increase","-","-"
"BraA02003838",-2.09404829419151,3.66240699459979,27.9009864092632,4.79354234351442e-05,0.0503002376579446,FALSE,"BraA02003838","AT3G29635","AT3G29635","HXXXD-type acyl-transferase family protein","-","-"
"BraA04000272",-1.23636278672983,6.34368842701907,27.2166855223189,5.51831424816554e-05,0.0515541241842709,FALSE,"BraA04000272","AT3G58680","MBF1B","multiprotein bridging factor 1B","-","-"
"BraA05004167",-1.66034276173736,5.13212169565213,27.1733911751145,5.56810744048669e-05,0.0515541241842709,FALSE,"BraA05004167","AT3G08920","AT3G08920","Rhodanese/Cell cycle control phosphatase superfamily protein","-","-"
"BraA10003095",-1.08765336771661,8.32227809697459,26.7107556183689,6.13253154793906e-05,0.053625581424756,FALSE,"BraA10003095","AT5G02810","PRR7","pseudo-response regulator 7","-","YES"
"BraA10001035",-2.13432491046591,11.4852033329219,26.305213812347,6.67991439693133e-05,0.0553378171619469,FALSE,"BraA10001035","AT5G54770","THI1","thiazole biosynthetic enzyme, chloroplast (ARA6) (THI1) (THI4)","-","-"
"BraA05000276",-1.19189224510061,7.63356717821927,25.1931759610512,8.4808222600647e-05,0.0667440711867092,FALSE,"BraA05000276","AT2G40840","DPE2","disproportionating enzyme 2","-","-"
"BraA09005783",-4.38122827945407,5.98417396552737,24.9518034814776,8.93938866923089e-05,0.0670028465017592,FALSE,"BraA09005783","AT5G43745","AT5G43745","ion channel POLLUX-like protein, putative (DUF1012)","-","-"
"BraA02003146",-3.05007043747599,5.94628449708077,24.451758548583,9.97970998732595e-05,0.0714002887275047,FALSE,"BraA02003146","AT5G46600","AT5G46600","aluminum activated malate transporter family protein","-","-"
