"","logFC","logCPM","F","PValue","FDR","woundCtrl","WT.P_Avg_CPM","WT.R_Avg_CPM","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA09002291",-2.74204419672441,3.95952147051616,60.728260681322,6.26669833148382e-08,0.000346676917598511,FALSE,"27.048295"," 4.008762","BraA09002291","AT5G46330","FLS2","Leucine-rich receptor-like protein kinase family protein","-","YES"
"BraA01004327",-1.83072075775967,6.02011572418984,53.6705508768901,1.76563055477033e-07,0.000347387811651063,FALSE," 81.87949"," 22.99861","BraA01004327","AT3G10720","AT3G10720","Plant invertase/pectin methylesterase inhibitor superfamily","-","-"
"BraA05001762",-1.8606229217507,3.48040900508391,47.6030842634623,4.66430275256346e-07,0.000667419321139536,FALSE,"22.951909"," 6.322741","BraA05001762","AT2G06925","PLA2-ALPHA","Phospholipase A2 family protein","-","-"
"BraA03004089",-3.25892724512701,5.39228923565591,46.0227945068536,6.09203457386667e-07,0.000799071868272178,FALSE,"84.388388"," 8.782983","BraA03004089","AT3G18050","AT3G18050","GPI-anchored protein","-","-"
"BraA02003377",-2.26937929826236,4.84055368670652,43.9482733678857,8.73390001856636e-07,0.000970499512934528,FALSE,"46.418618"," 9.582705","BraA02003377","AT2G01850","EXGT-A3","endoxyloglucan transferase A3","-","-"
"BraA05000899",-1.97173043178839,8.95228462803797,42.2036323153301,1.19309690381749e-06,0.00117370907913046,FALSE," 185.0899","  47.1651","BraA05000899","AT2G38170","CAX1","cation exchanger 1","-","-"
"BraA07003350",-1.39472922355301,5.92639539172942,41.2875439617523,1.41028317892107e-06,0.00127664960273528,FALSE,"82.42909","31.28893","BraA07003350","AT1G70100","AT1G70100","neurofilament heavy protein","-","-"
"BraA09005649",-3.52363042216666,2.80143787511125,38.5434675734502,2.3627171684401e-06,0.001653533140239,FALSE,"17.94241019"," 1.53484136","BraA09005649","AT3G63520","CCD1","carotenoid cleavage dioxygenase 1","-","-"
"BraA02003641",-2.55398524049069,3.28060606749831,37.7525869442353,2.75369636437021e-06,0.00166704541443027,FALSE,"14.191355"," 2.417228","BraA02003641","AT3G26500","PIRL2","plant intracellular ras group-related LRR 2","-","-"
"BraA04002722",-1.87857129583174,4.33391403124276,35.2644214388537,4.51987882680039e-06,0.00214794162658211,FALSE,"25.508789"," 6.949902","BraA04002722","AT2G37678","FHY1","far-red elongated hypocotyl 1","-","-"
"BraA06000897",-2.44101746859679,7.91050075633691,35.198421341252,4.58103873759077e-06,0.00214794162658211,FALSE,"453.45246"," 83.46606","BraA06000897","AT1G51610","AT1G51610","Cation efflux family protein","-","-"
"BraA10002002",-1.69753768381457,5.31669490652178,33.8935496940878,5.99512407215385e-06,0.00248324349725531,FALSE,"83.13697","25.57902","BraA10002002","AT5G17520","RCP1","root cap 1 (RCP1)","-","-"
"BraA01003574",-1.74573515861939,6.45813561304787,32.5090194361388,8.0323468010373e-06,0.00308989758025631,FALSE,"121.15027"," 36.09415","BraA01003574","AT3G19850","AT3G19850","Phototropic-responsive NPH3 family protein","-","YES"
"BraA08002357",-4.14857266465216,3.64755629964559,31.868859971526,9.21935012828088e-06,0.00337471095393351,FALSE,"19.763084"," 1.094869","BraA08002357","AT4G37220","AT4G37220","Cold acclimation protein WCOR413 family","-","-"
"BraA05001146",-1.75264291481989,5.96723706179818,30.7898233223289,1.16750503513568e-05,0.00375031209245625,FALSE,"108.96686"," 32.34897","BraA05001146","AT1G75780","TUB1","tubulin beta-1 chain","-","-"
"BraA03005045",-1.33568625011508,11.1658137246035,28.9356183532983,1.77258851030961e-05,0.00437906102167169,FALSE,"4088.7599","1619.9930","BraA03005045","AT4G16980","AT4G16980","arabinogalactan-protein family","-","-"
"BraA01002194",-1.96079395661353,3.27518344216023,28.8889745937783,1.79166436017696e-05,0.00437906102167169,FALSE,"19.149025"," 4.908552","BraA01002194","AT4G16480","INT4","inositol transporter 4","-","-"
"BraA06002420",-1.18523039782414,9.42756369452194,28.7715034490093,1.84070310397489e-05,0.00437906102167169,FALSE," 949.7375"," 417.6616","BraA06002420","AT3G49120","PRXCB","peroxidase CB","-","-"
"BraA05003475",-1.06460666193397,3.70565560839199,28.6982950415727,1.87200150651857e-05,0.00437906102167169,FALSE,"21.979651","10.520603","BraA05003475","AT3G16570","RALF23","rapid alkalinization factor 23","-","-"
"BraA09005650",-2.10356502353681,6.39708248454644,28.6945409998574,1.87362198145363e-05,0.00437906102167169,FALSE," 77.633620"," 18.095225","BraA09005650","AT3G63520","CCD1","carotenoid cleavage dioxygenase 1","-","-"
