"","logFC","logCPM","PValue","FDR","woundCtrl","phyB.P_Avg_CPM","WT.P_Avg_CPM","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA09006975",-5.76355473439571,3.31864477414658,1.20159261921628e-41,1.89130678264643e-37,FALSE," 31.7842634","  0.6107671","BraA09006975","AT1G02340","HFR1","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","YES","YES"
"BraA05000169",-5.64170317374098,2.74648093827763,9.3498512293767e-40,7.35833291751946e-36,FALSE,"17.8411356"," 0.3555444","BraA05000169","AT2G46970","PIL1","phytochrome interacting factor 3-like 1","YES","YES"
"BraA10000108",-9.65369331440562,2.03770969362568,2.14457722096818e-32,1.12518818193464e-28,FALSE,"10.6704813"," 0.0000000","BraA10000108","AT1G02340","HFR1","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","YES","YES"
"BraA03002625",-3.67791470720911,2.7197735261016,1.92895110096452e-17,4.33738433274022e-14,FALSE,"13.0842840"," 0.9937281","BraA03002625","AT5G52930","AT5G52930","hypothetical protein (DUF295)","-","-"
"BraA06004817",-1.96613010554305,7.52886617507131,6.20498841393842e-13,9.76665176353907e-10,FALSE,"391.18106","100.57462","BraA06004817","AT1G54040","ESP","epithiospecifier protein","-","YES"
"BraA09001300",-4.08337630835762,1.57958688817337,4.06584379597308e-12,5.81785284987421e-09,FALSE," 7.9947953"," 0.4929973","BraA09001300","AT1G20750","AT1G20750","RAD3-like DNA-binding helicase protein","-","-"
"BraA07003442",-2.62947875825707,2.89284518813613,9.25782216402482e-12,1.12090862201347e-08,FALSE,"13.478868"," 2.210162","BraA07003442","AT1G71110","AT1G71110","transmembrane protein","-","-"
"BraA03002626",-8.25305833881606,0.829990519274773,3.07900511502721e-11,3.23090270070189e-08,FALSE,"4.0887034","0.0000000","BraA03002626","AT5G52940","AT5G52940","hypothetical protein (DUF295)","-","-"
"BraA01002253",-2.13538419522006,4.17027308366002,4.9595842488166e-11,4.59199153390431e-08,FALSE,"38.891094"," 8.760700","BraA01002253","AT5G48930","HCT","hydroxycinnamoyl-CoA shikimate/quinate hydroxycinnamoyl transferase","-","YES"
"BraA03004240",-4.69189514659029,-0.174036417936675,1.30356031060248e-10,1.02590196444416e-07,FALSE," 1.9479724"," 0.0573463","BraA03004240","AT3G21330","AT3G21330","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","YES","-"
"BraA07003741",-4.28599964315743,3.2661778548887,1.82788327654506e-09,1.1987867822008e-06,FALSE,"38.62150309"," 1.94739958","BraA07003741","AT1G75030","TLP-3","thaumatin-like protein 3","-","-"
"BraA02000242",-6.3378400187384,0.958280266674312,2.20417239336672e-09,1.38774693886369e-06,FALSE," 3.57712292"," 0.03073537","BraA02000242","AT5G07200","GA20OX3","gibberellin 20-oxidase 3","-","-"
"BraA05004208",-2.16900646138088,4.6373667099722,2.40799576238178e-09,1.45776358845728e-06,FALSE,"49.52450","10.94649","BraA05004208","AT3G08030","AT3G08030","DNA-directed RNA polymerase subunit beta (Protein of unknown function, DUF642)","-","-"
"BraA09005060",-1.88944770762094,4.26409413460961,4.54811533708099e-09,2.38624451352183e-06,FALSE,"27.763399"," 7.247824","BraA09005060","AT3G57020","AT3G57020","Calcium-dependent phosphotriesterase superfamily protein","-","-"
"BraA01002149",-2.02116742926307,4.83039726321959,5.67802408854984e-09,2.81917736923119e-06,FALSE," 59.06520"," 14.54003","BraA01002149","AT4G16780","HB-2","homeobox protein 2","YES","YES"
"BraA03005054",-1.30249129099745,8.50225597888237,6.00174290327998e-09,2.86264949386748e-06,FALSE,"431.6786","175.3007","BraA03005054","AT4G17090","CT-BMY","chloroplast beta-amylase","-","YES"
"BraA07002639",-1.88391621598773,2.63153589511839,8.22733902659573e-09,3.5971754521838e-06,FALSE,"13.5604266"," 3.6493371","BraA07002639","AT1G75030","TLP-3","thaumatin-like protein 3","-","-"
