"","logFC","logCPM","F","PValue","FDR","gene.ID","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA04002129",-9.75385408492173,5.28808288449976,502.801482804609,9.22710809476587e-15,1.45197772979236e-10,"BraA04002129","BraA04002129","AT2G29300","AT2G29300","NAD(P)-binding Rossmann-fold superfamily protein","-","-"
"BraA06003490",-3.74033940275793,5.42720666598845,434.804586047481,3.32401508081895e-14,2.61533506558835e-10,"BraA06003490","BraA06003490","AT2G17320","AT2G17320","pantothenate kinase","-","-"
"BraA04003076",-4.83314086161772,9.0473078800141,409.359278726591,5.64655073131566e-14,2.96180407693277e-10,"BraA04003076","BraA04003076","AT2G42600","PPC2","phosphoenolpyruvate carboxylase 2","-","-"
"BraA04002534",-3.89306341933181,6.28202375223866,321.921999412772,4.60047382412452e-13,8.36159790747083e-10,"BraA04002534","BraA04002534","AT2G34860","EDA3","DnaJ/Hsp40 cysteine-rich domain superfamily protein","-","-"
"BraA06002244",-3.080286866374,6.54109854976873,320.487465376081,4.78230688658093e-13,8.36159790747083e-10,"BraA06002244","BraA06002244","AT1G20810","AT1G20810","FKBP-like peptidyl-prolyl cis-trans isomerase family protein","-","-"
"BraA04001528",-4.3115974194477,5.49245035424006,307.678615000054,6.8108943729941e-13,1.07176233853435e-09,"BraA04001528","BraA04001528","AT2G21280","SULA","NAD(P)-binding Rossmann-fold superfamily protein","-","-"
"BraA06001576",-3.03593678283016,5.66613985629307,279.789348046769,1.54753999499609e-12,2.02934078010487e-09,"BraA06001576","BraA06001576","AT1G13820","AT1G13820","alpha/beta-Hydrolases superfamily protein","-","-"
"BraA05004133",-6.94739952677224,5.30894913640051,270.91769280228,2.042093154723e-12,2.23691264494335e-09,"BraA05004133","BraA05004133","AT5G02120","OHP","one helix protein","-","-"
"BraA08003464",-6.63080272920732,7.99426823356295,270.200499804629,2.08916591348076e-12,2.23691264494335e-09,"BraA08003464","BraA08003464","AT1G13930","AT1G13930","oleosin-B3-like protein","-","-"
"BraA04003129",-8.38341620731233,5.10860647988539,269.559053430289,2.13228836261758e-12,2.23691264494335e-09,"BraA04003129","BraA04003129","AT2G43550","AT2G43550","scorpion toxin-like knottin superfamily protein","-","-"
"BraA09000087",-7.13162306126356,9.40191396616587,267.429320236534,2.28270131986694e-12,2.24503674808914e-09,"BraA09000087","BraA09000087","AT4G01080","TBL26","TRICHOME BIREFRINGENCE-LIKE 26","-","-"
"BraA05003779",3.0409812914344,9.02522368995888,261.743791108838,2.74520956131468e-12,2.54109515628517e-09,"BraA05003779","BraA05003779","AT3G13460","ECT2","evolutionarily conserved C-terminal region 2","-","-"
"BraA09001106",-5.86486527747991,10.6147158424767,252.37186875449,3.75221440680288e-12,3.1076234687079e-09,"BraA09001106","BraA09001106","AT2G15620","NIR1","nitrite reductase 1","-","-"
"BraA07003967",-6.192438646656,9.84821953441847,242.625534272048,5.25435128169227e-12,3.75829417130498e-09,"BraA07003967","BraA07003967","AT1G77760","NIA1","nitrate reductase 1","-","-"
"BraA10002909",-5.77693335041546,7.85309034052208,240.988634545055,5.56692668640924e-12,3.80874601466678e-09,"BraA10002909","BraA10002909","AT5G09650","PPa6","pyrophosphorylase 6","-","-"
"BraA02001698",-4.02337655658157,6.14441073967392,232.030037764643,7.68859540399378e-12,4.1338243300732e-09,"BraA02001698","BraA02001698","AT5G52030","AT5G52030","TraB family protein","-","-"
"BraA05003669",-3.73324864987281,9.02358089320358,231.67092970653,7.79063323772739e-12,4.1338243300732e-09,"BraA05003669","BraA05003669","AT3G14420","GOX1","Aldolase-type TIM barrel family protein","-","-"
"BraA03000586",-3.49239596213896,7.19200816552999,226.116330975694,9.57645882817896e-12,4.68246816649285e-09,"BraA03000586","BraA03000586","AT5G13120","Pnsl5","cyclophilin 20-2","-","-"
"BraA08002432",-6.45846962409755,6.94570006872093,225.172136321195,9.92302731824975e-12,4.68246816649285e-09,"BraA08002432","BraA08002432","AT4G39970","AT4G39970","Haloacid dehalogenase-like hydrolase (HAD) superfamily protein","-","-"
"BraA08003415",-3.38515678097388,6.931920614298,223.998944424216,1.03731802583008e-11,4.68246816649285e-09,"BraA08003415","BraA08003415","AT1G15140","AT1G15140","FAD/NAD(P)-binding oxidoreductase","-","-"
"BraA03000235",-3.59663270126611,7.67584018812471,223.444108678134,1.05939237170393e-11,4.68246816649285e-09,"BraA03000235","BraA03000235","AT5G05740","EGY2","ethylene-dependent gravitropism-deficient and yellow-green-like 2","-","-"
"BraA01002846",-9.56166432254529,8.03172423058751,223.15181375291,1.07123064307157e-11,4.68246816649285e-09,"BraA01002846","BraA01002846","AT1G62510","AT1G62510","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein","-","-"
