"","logFC","logCPM","PValue","FDR","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA01003435",-3.3167249725163,4.80306968121304,6.80151861275331e-24,1.07055902964737e-19,"BraA01003435","AT3G21760","HYR1","UDP-Glycosyltransferase superfamily protein","-","-"
"BraA08002211",-2.01321989961841,5.77569116329679,8.61150156023144e-11,3.38862586395107e-07,"BraA08002211",NA,NA,NA,NA,NA
"BraA03005378",-2.68855872893386,3.87942783370105,2.01637607393536e-10,4.53396562910608e-07,"BraA03005378","AT4G22690","CYP706A1","cytochrome P450, family 706, subfamily A, polypeptide 1","-","-"
"BraA06001705",-2.1146282627461,3.43018013766535,3.54797352799651e-10,6.98063791633314e-07,"BraA06001705",NA,NA,NA,NA,NA
"BraA05003693",-2.42891454358385,2.13961146206111,4.75554581407667e-10,7.48522911135667e-07,"BraA05003693","AT3G14225","GLIP4","GDSL-motif lipase 4","-","-"
"BraA09006045",-2.38987817248803,3.73044929579516,6.37475388699469e-10,9.12169328920877e-07,"BraA09006045","AT5G01750","AT5G01750","LURP-one-like protein (DUF567)","-","-"
"BraA05000869",-2.16934206945174,3.87541591491221,2.56905588573045e-08,2.26612308777067e-05,"BraA05000869","AT2G38470","WRKY33","WRKY DNA-binding protein 33","YES","-"
"BraA05003225",-4.54888785151653,0.13549170687711,2.59150035450267e-08,2.26612308777067e-05,"BraA05003225","AT1G74590","GSTU10","glutathione S-transferase TAU 10","-","-"
"BraA03003091",-6.61809894097656,-1.07016747706582,4.69881656722202e-07,0.000246531242560249,"BraA03003091","AT2G46450","CNGC12","cyclic nucleotide-gated channel 12","-","-"
"BraA07003334",-2.31104118229955,4.03386649927207,6.16482547187206e-07,0.000304159432597492,"BraA07003334",NA,NA,NA,NA,NA
"BraA10000250",-2.46015588307571,2.97346634120963,6.53417338835125e-07,0.000304159432597492,"BraA10000250","AT1G03850","GRXS13","Glutaredoxin family protein","-","-"
"BraA03006089",-2.4158226955263,3.38399446963894,7.97850236030209e-07,0.000344652365093707,"BraA03006089","AT4G31800","WRKY18","WRKY DNA-binding protein 18","YES","-"
