"","logFC","logCPM","PValue","FDR","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA10002717",-3.17240249213673,1.75265166864349,2.48606702144539e-15,1.30435649725168e-11,"BraA10002717","AT5G06730","AT5G06730","Peroxidase superfamily protein","-","-"
"BraA07003915",-5.06194549083559,4.75354122210081,2.42361602706426e-11,3.81477162659915e-08,"BraA07003915","AT1G21310","EXT3","extensin 3","-","-"
"BraA08001997",-3.71205124479239,2.14239565666447,3.12063284975669e-09,3.50848293251217e-06,"BraA08001997","AT4G29270","AT4G29270","HAD superfamily, subfamily IIIB acid phosphatase","-","-"
"BraA08001190",-2.10522920205048,2.29013335104236,6.24800523507256e-06,0.00351227151428722,"BraA08001190","AT4G15210","BAM5","beta-amylase 5","-","YES"
"BraA01000668",-2.27141822915364,4.74376547503699,6.76245441529593e-06,0.00364018471904936,"BraA01000668","AT4G31800","WRKY18","WRKY DNA-binding protein 18","YES","-"
"BraA01000203",-3.31757833477323,0.480347721514875,2.40510501672733e-05,0.00970675717007389,"BraA01000203","AT4G37150","MES9","methyl esterase 9","-","-"
"BraA01001188",-2.34271567845271,3.14116977779527,2.95817249057853e-05,0.0115815253250418,"BraA01001188","AT4G19810","ChiC","Glycosyl hydrolase family protein with chitinase insertion domain-containing protein","-","-"
"BraA02004325",-2.1598424392108,2.98871939998635,5.13747833169271e-05,0.0167252404824458,"BraA02004325","AT5G62180","CXE20","carboxyesterase 20","-","-"
"BraA04002781",-3.12688174294305,2.58335309345324,6.14546991577335e-05,0.0186018647065909,"BraA04002781","AT2G38530","LTP2","lipid transfer protein 2","-","YES"
"BraA02000242",-3.69110120839845,1.31407524222925,9.70437923455384e-05,0.0241956835906435,"BraA02000242","AT5G07200","GA20OX3","gibberellin 20-oxidase 3","-","-"
"BraA04001192",-3.44288605539509,-0.957347024703649,0.000101954527241371,0.0241956835906435,"BraA04001192","AT5G38710","AT5G38710","Methylenetetrahydrofolate reductase family protein","-","-"
"BraA06004357",-2.36544442810067,3.40636723051595,0.000116906608226125,0.0260001422248244,"BraA06004357","AT3G25882","NIMIN-2","NIM1-interacting 2","-","-"
"BraA05003973",-2.60598895270178,1.95602632382517,0.000152071612660224,0.0309780408681648,"BraA05003973","AT3G11280","AT3G11280","Duplicated homeodomain-like superfamily protein","YES","-"
"BraA10000123",-2.70310406475403,4.17381377558814,0.000207139683669158,0.0390295812448002,"BraA10000123",NA,NA,NA,NA,NA
"BraA05003482",-2.5978072476514,2.60948057019502,0.000234245754858131,0.0418980475166702,"BraA05003482","AT3G16470","JR1","Mannose-binding lectin superfamily protein","-","YES"
"BraA02000315",-2.56071529286438,0.298992911190023,0.000294281152531448,0.0492764397962234,"BraA02000315","AT5G09440","EXL4","EXORDIUM like 4","-","YES"
