"","logFC_WT","logCPM_WT","F_WT","PValue_WT","FDR_WT","Gene_ID","logFC_phyB","logCPM_phyB","F_phyB","PValue_phyB","FDR_phyB","WT.D_Avg_CPM","phyB.D_Avg_CPM","WT.R_Avg_CPM","phyB.R_Avg_CPM","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development","group"
"BraA01003810",-1.63540928417582,4.00408176107752,70.135821780712,1.79450030610775e-08,1.65041798345809e-07,"BraA01003810",-0.61260066913447,4.00408176107752,7.63004189044128,0.0110293538447133,0.0191550291863387,"36.07720","19.25409","11.62316","12.59395","AT3G17611","RBL14","RHOMBOID-like protein 14","-","-","WT_sig"
"BraA09001660",-1.8592121928492,3.63760622230687,49.1241602680698,3.62776061065675e-07,2.12239358248906e-06,"BraA09001660",-0.861532289380957,3.63760622230687,8.31587542457112,0.00833122883118459,0.0149627500916072,"25.307630","16.574972"," 6.960576"," 9.133932","AT1G62740","Hop2","stress-inducible protein","-","-","WT_sig"
"BraA10000316",-1.89786271170176,3.45529537927697,46.1719395154701,5.93883409769665e-07,3.24912230440547e-06,"BraA10000316",-0.907477904252614,3.45529537927697,8.43271183132428,0.00794869854498264,0.0143592924478396,"22.355393","17.746880"," 5.998339"," 9.460986","AT1G04590","AT1G04590","PPR containing-like protein","-","-","WT_sig"
"BraA03000917",-2.99777840581783,5.68496636461919,45.5351418621782,6.62369312476378e-07,3.56799896590629e-06,"BraA03000917",-0.887323099813843,5.68496636461919,3.45065537057867,0.0759494048077194,0.10733982505823,"110.73462"," 58.60738"," 13.85774"," 31.61284","AT5G18600","AT5G18600","Thioredoxin superfamily protein","-","-","WT_sig"
"BraA01002944",-1.13914460193163,3.56666910143129,44.9580948423784,7.31885476035194e-07,3.89742352646738e-06,"BraA01002944",-0.312383705049808,3.56666910143129,2.63288703350647,0.118166658506838,0.158888023654334,"17.134350","14.805907"," 7.776761","11.917668","AT1G58215","#N/A","#N/A","-","-","WT_sig"
"BraA09005046",-1.43840994030399,4.2793382581625,41.918019512401,1.25662872129458e-06,6.20041883171682e-06,"BraA09005046",-0.768436734326965,4.2793382581625,9.24458206293734,0.00576834848696836,0.0108371693942328,"35.26661","26.22666","12.99165","15.38741","AT3G56900","AT3G56900","Transducin/WD40 repeat-like superfamily protein","-","-","WT_sig"
"BraA07001417",-1.70865200521812,4.35780367093647,41.0591668601337,1.47088432058698e-06,7.0865378653318e-06,"BraA07001417",-0.586249327241663,4.35780367093647,3.77283508846607,0.0643113822119787,0.0926300472196692,"48.88886","24.70505","14.94472","16.42785","AT1G32870","NAC13","NAC domain protein 13","YES","-","WT_sig"
"BraA10002784",-4.26649555015244,4.31973737676324,40.1514704851995,1.74128811890432e-06,8.15467866455042e-06,"BraA10002784",-1.46913013220574,4.31973737676324,4.80719693586725,0.0386153647513005,0.0588332050319881,"41.519128","39.961671"," 2.168632","14.527098","AT5G07200","GA20OX3","gibberellin 20-oxidase 3","-","-","WT_sig"
"BraA09004087",-1.25011943427723,4.91553783561322,39.7981425357935,1.8607742974637e-06,8.6354386249195e-06,"BraA09004087",-0.364028730693541,4.91553783561322,2.61099374747806,0.119627400563735,0.160618893190581,"45.22999","32.95468","18.97647","25.57242","AT1G26460","AT1G26460","Tetratricopeptide repeat (TPR)-like superfamily protein","-","-","WT_sig"
"BraA05000113",-2.38791417724051,4.81887836368889,39.5107851945157,1.96452934071775e-06,9.04143035757232e-06,"BraA05000113",-1.2459094285624,4.81887836368889,8.49970534140361,0.0077381101154124,0.0140158634311382,"94.640425","34.534319","18.054139","14.604225","AT2G40940","ERS1","ethylene response sensor 1","-","YES","WT_sig"
