"","logFC","logCPM","F","PValue","FDR","woundCtrl","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA06002244",-3.03637878283639,6.53470213811633,316.708067362242,5.25740733304436e-13,1.13721339866876e-09,FALSE,"BraA06002244","AT1G20810","AT1G20810","FKBP-like peptidyl-prolyl cis-trans isomerase family protein","-","-"
"BraA02001332",-3.0379182471547,8.19262014562741,189.5338489746,4.22086671027274e-11,1.01580207626586e-08,FALSE,"BraA02001332","AT5G57345","AT5G57345","transmembrane protein","-","-"
"BraA07003002",-3.74115599531678,4.48338797532442,141.153253905123,4.8353989632982e-10,4.00574629906914e-08,FALSE,"BraA07003002","AT1G64980","CDI","Nucleotide-diphospho-sugar transferases superfamily protein","-","-"
"BraA01004729",-3.51074387792335,2.98050616389443,123.909314130001,1.38806807587259e-09,7.02514196599185e-08,FALSE,"BraA01004729","AT3G02570","MEE31","Mannose-6-phosphate isomerase, type I","-","-"
"BraA02000812",-3.88022834160666,3.93881852313167,115.463668038817,2.44104686118161e-09,1.00218366952477e-07,FALSE,"BraA02000812","AT5G17990","TRP1","tryptophan biosynthesis 1","-","-"
"BraA01004546",-3.333789306673,4.44652212626738,110.503795722643,3.4589201769474e-09,1.24300008185279e-07,FALSE,"BraA01004546","AT3G06350","MEE32","dehydroquinate dehydratase, putative / shikimate dehydrogenase","-","-"
"BraA03004576",-3.40226465429959,5.75565541212169,107.560666588118,4.28118925739089e-09,1.46491128068114e-07,FALSE,"BraA03004576","AT2G16430","PAP10","purple acid phosphatase 10","-","-"
"BraA01001633",-3.17019347786503,3.92059374723465,104.087222018751,5.54284641524724e-09,1.70507285317808e-07,FALSE,"BraA01001633","AT4G24620","PGI1","phosphoglucose isomerase 1","-","-"
"BraA04002248",-3.9314042905711,6.67870022348172,104.078816295489,5.54636150461994e-09,1.70507285317808e-07,FALSE,"BraA04002248","AT2G30860","GSTF9","glutathione S-transferase PHI 9","-","-"
"BraA06003621",-4.07292833736373,3.17362389567172,99.0203436828103,8.18956127211737e-09,2.21865222759255e-07,FALSE,"BraA06003621","AT5G24420","PGL5","6-phosphogluconolactonase 5","-","-"
"BraA09004633",-3.09165614887388,4.40905241121671,96.1659294923823,1.0281386818185e-08,2.56058589427581e-07,FALSE,"BraA09004633","AT3G52230","AT3G52230","hypothetical protein","-","-"
"BraA02001456",-3.26224081481252,7.39623649028601,94.1301081233674,1.213513258775e-08,2.87661124896362e-07,FALSE,"BraA02001456","AT5G55220","AT5G55220","trigger factor type chaperone family protein","-","-"
"BraA06003369",-4.32383133782042,5.94661108178435,91.8866492044324,1.46191631726668e-08,3.25208450296959e-07,FALSE,"BraA06003369","AT5G65880","AT5G65880","transmembrane protein","-","-"
"BraA07002302",-3.46241970148113,4.7296106132361,90.182023774481,1.68848211753622e-08,3.53413677260906e-07,FALSE,"BraA07002302","AT3G61770","AT3G61770","Acid phosphatase/vanadium-dependent haloperoxidase-related protein","-","-"
"BraA06003462",-3.68014859838175,2.980087146556,90.0871919668746,1.70218486829423e-08,3.54396690832688e-07,FALSE,"BraA06003462","AT2G17640","ATSERAT3;1","Trimeric LpxA-like enzymes superfamily protein","-","-"
"BraA09000036",-3.1708060999448,5.6864338141428,89.1457843460924,1.84511309763298e-08,3.71279768264915e-07,FALSE,"BraA09000036","AT4G00370","ANTR2","Major facilitator superfamily protein","-","-"
"BraA05004278",-3.15593418770244,4.12556663298875,87.3343131546492,2.15915485061493e-08,4.08474727748545e-07,FALSE,"BraA05004278","AT3G07270","AT3G07270","GTP cyclohydrolase I","-","-"
"BraA02001088",-5.48542037608216,6.30675768548232,87.0693288523333,2.20987778058437e-08,4.12615376825598e-07,FALSE,"BraA02001088","AT5G22860","AT5G22860","Serine carboxypeptidase S28 family protein","-","-"
"BraA01004592",-3.36080919536757,7.62215147343665,86.8067381264166,2.26144993134037e-08,4.1827522819386e-07,FALSE,"BraA01004592","AT3G04790","EMB3119","Ribose 5-phosphate isomerase, type A protein","-","YES"
"BraA10001806",-3.25702552126721,3.97979696065578,85.6656760305294,2.50160406556608e-08,4.50517711579063e-07,FALSE,"BraA10001806","AT5G19750","AT5G19750","Peroxisomal membrane 22 kDa (Mpv17/PMP22) family protein","-","-"
