"gene.ID","logFC","logCPM","F","PValue","FDR","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA06003490",4.72930137753405,5.38541554336567,787.464086164112,8.89168068064758e-17,1.17850509802255e-12,"AT2G17320","AT2G17320","pantothenate kinase","-","-"
"BraA08003307",3.96209373915868,7.5073584277543,747.477584659295,1.4334256558413e-16,1.17850509802255e-12,"AT1G18060","AT1G18060","microbial collagenase","-","-"
"BraA04003076",6.06620653230521,9.00444729101588,740.31403629514,1.56556493560097e-16,1.17850509802255e-12,"AT2G42600","PPC2","phosphoenolpyruvate carboxylase 2","-","-"
"BraA03000987",3.30915774585194,5.33912620236009,620.273252637721,7.881274150669e-16,3.9910284901555e-12,"AT5G19855","RbcX2","Chaperonin-like RbcX protein","-","-"
"BraA05000981",3.67817715726522,5.80191313178513,612.536203099786,8.8363558653755e-16,3.9910284901555e-12,"AT2G37240","AT2G37240","Thioredoxin superfamily protein","-","-"
"BraA06004345",2.78550939998375,5.96991374294644,583.908851928165,1.36626761375281e-15,4.55688378890518e-12,"AT3G26070","AT3G26070","Plastid-lipid associated protein PAP / fibrillin family protein","-","-"
"BraA04002129",10.0987212159849,5.24429145257229,581.777577302486,1.41248667237906e-15,4.55688378890518e-12,"AT2G29300","AT2G29300","NAD(P)-binding Rossmann-fold superfamily protein","-","-"
"BraA06001576",3.64193410774277,5.62515088839343,480.792860193559,7.9615296665769e-15,2.24744030575383e-11,"AT1G13820","AT1G13820","alpha/beta-Hydrolases superfamily protein","-","-"
"BraA05003669",5.05590843083468,8.98156571836034,467.505643330801,1.02561420924513e-14,2.57349396526475e-11,"AT3G14420","GOX1","Aldolase-type TIM barrel family protein","-","-"
"BraA04002534",4.03236512851499,6.23911758836302,457.180416902663,1.25473727757742e-14,2.60398627512272e-11,"AT2G34860","EDA3","DnaJ/Hsp40 cysteine-rich domain superfamily protein","-","-"
"BraA06002244",3.32286308732061,6.49952343251601,456.632850744289,1.26838104000133e-14,2.60398627512272e-11,"AT1G20810","AT1G20810","FKBP-like peptidyl-prolyl cis-trans isomerase family protein","-","-"
"BraA07003967",7.82539397269717,9.80505077504704,443.858812171001,1.63828642238087e-14,3.08311852305227e-11,"AT1G77760","NIA1","nitrate reductase 1","-","-"
"BraA08002692",2.53123606802995,7.58372669590585,432.581017669178,2.06584868544123e-14,3.3905365865063e-11,"AT4G14210","PDS3","phytoene desaturase 3","-","-"
"BraA04002623",3.0313802455501,6.7223093105856,431.750439680285,2.10191348408485e-14,3.3905365865063e-11,"AT3G11510","AT3G11510","Ribosomal protein S11 family protein","-","-"
"BraA02001698",5.01890522644665,6.10304708722966,423.276784834604,2.51246919765852e-14,3.78260612604816e-11,"AT5G52030","AT5G52030","TraB family protein","-","-"
"BraA09001106",6.78844757682148,10.5711841044909,418.505898372094,2.7821786342859e-14,3.92687125612991e-11,"AT2G15620","NIR1","nitrite reductase 1","-","-"
