"","logFC","logCPM","F","PValue","FDR","woundCtrl","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA04003076",-5.66546904506591,9.04006307054631,712.346613777107,4.12372915066131e-16,4.91503436049409e-12,FALSE,"BraA04003076","AT2G42600","PPC2","phosphoenolpyruvate carboxylase 2","-","-"
"BraA08003307",-3.44109457224879,7.54262673861028,645.663960892647,9.91276599889122e-16,4.91503436049409e-12,FALSE,"BraA08003307","AT1G18060","AT1G18060","microbial collagenase","-","-"
"BraA04002129",-10.3626966728409,5.28100116309472,629.128155279904,1.24905574599596e-15,4.91503436049409e-12,FALSE,"BraA04002129","AT2G29300","AT2G29300","NAD(P)-binding Rossmann-fold superfamily protein","-","-"
"BraA06003490",-4.00133729035065,5.42180758813469,596.595060387154,2.00359541028822e-15,6.30731835158732e-12,FALSE,"BraA06003490","AT2G17320","AT2G17320","pantothenate kinase","-","-"
"BraA05000981",-3.45213554697685,5.83709117540018,557.825110328582,3.63983389867707e-15,9.54849759419619e-12,FALSE,"BraA05000981","AT2G37240","AT2G37240","Thioredoxin superfamily protein","-","-"
"BraA04002534",-3.9823421282229,6.27499535790066,445.888814103223,2.63832043948729e-14,5.93245195964713e-11,FALSE,"BraA04002534","AT2G34860","EDA3","DnaJ/Hsp40 cysteine-rich domain superfamily protein","-","-"
"BraA06001576",-3.39563038884571,5.66028335678185,425.149636975449,4.01217836495022e-14,7.01685416270183e-11,FALSE,"BraA06001576","AT1G13820","AT1G13820","alpha/beta-Hydrolases superfamily protein","-","-"
"BraA07003967",-7.40579538805706,9.84074683130825,412.227507756476,5.2623516893907e-14,8.18120209208188e-11,FALSE,"BraA07003967","AT1G77760","NIA1","nitrate reductase 1","-","-"
"BraA05003669",-4.51661026206073,9.01720444608432,399.957778558661,6.86055301209348e-14,8.4651625797877e-11,FALSE,"BraA05003669","AT3G14420","GOX1","Aldolase-type TIM barrel family protein","-","-"
"BraA09001106",-6.44246051736567,10.6070842384182,386.449932775356,9.27138292821451e-14,9.2535556217503e-11,FALSE,"BraA09001106","AT2G15620","NIR1","nitrite reductase 1","-","-"
"BraA04003129",-9.2983429975974,5.09903430125525,385.812498794107,9.40640978068646e-14,9.2535556217503e-11,FALSE,"BraA04003129","AT2G43550","AT2G43550","scorpion toxin-like knottin superfamily protein","-","-"
"BraA09000087",-7.52233128223833,9.39190501098394,382.63601930641,1.01126324086265e-13,9.36310788892834e-11,FALSE,"BraA09000087","AT4G01080","TBL26","TRICHOME BIREFRINGENCE-LIKE 26","-","-"
"BraA01000119",-5.45521742931764,9.39944098638196,372.163437693379,1.28919337251848e-13,1.01459518417204e-10,FALSE,"BraA01000119","AT4G37930","SHM1","serine transhydroxymethyltransferase 1","-","YES"
"BraA05000276",-3.14566488055628,7.63356717821927,353.064470058328,2.0424436293474e-13,1.46127557845128e-10,FALSE,"BraA05000276","AT2G40840","DPE2","disproportionating enzyme 2","-","-"
"BraA08002432",-7.57243194042291,6.93902538317577,344.352308161265,2.53952648745077e-13,1.73791943097718e-10,FALSE,"BraA08002432","AT4G39970","AT4G39970","Haloacid dehalogenase-like hydrolase (HAD) superfamily protein","-","-"
"BraA01000537",-5.18887401490077,11.6687695938798,332.198796982776,3.47218370868799e-13,2.07241654353624e-10,FALSE,"BraA01000537","AT4G33010","GLDP1","glycine decarboxylase P-protein 1","-","YES"
"BraA05003526",-3.98521872607117,9.41760996698446,331.77848766284,3.51062900877717e-13,2.07241654353624e-10,FALSE,"BraA05003526","AT3G15850","FAD5","fatty acid desaturase 5","-","-"
"BraA07000048",-3.88834877150651,4.84440089447279,331.300004742184,3.55497119920447e-13,2.07241654353624e-10,FALSE,"BraA07000048","AT2G20340","AAS","Pyridoxal phosphate (PLP)-dependent transferases superfamily protein","-","-"
"BraA08003415",-3.66041348030881,6.92481179837117,325.498558653945,4.14506465248169e-13,2.20034145650822e-10,FALSE,"BraA08003415","AT1G15140","AT1G15140","FAD/NAD(P)-binding oxidoreductase","-","-"
"BraA08003464",-6.20067639948644,7.98809368431942,325.325285209565,4.16428677925752e-13,2.20034145650822e-10,FALSE,"BraA08003464","AT1G13930","AT1G13930","oleosin-B3-like protein","-","-"
"BraA08003566",-4.63869863251037,8.51855947805933,322.90266936653,4.44365968904074e-13,2.20034145650822e-10,FALSE,"BraA08003566","AT1G11860","AT1G11860","Glycine cleavage T-protein family","-","YES"
"BraA01002037",-4.20656395897477,9.25642814099236,321.645964293342,4.59672491917586e-13,2.20034145650822e-10,FALSE,"BraA01002037","AT1G54780","TLP18.3","thylakoid lumen 18.3 kDa protein","-","-"
"BraA05004133",-6.73466684109415,5.30241170673887,316.923041087393,5.22654389551956e-13,2.22340002474264e-10,FALSE,"BraA05004133","AT5G02120","OHP","one helix protein","-","-"
"BraA04001451",-8.60664651624077,11.8173780567557,308.443023781564,6.61225663654814e-13,2.55511858300449e-10,FALSE,"BraA04001451","AT5G38410","RBCS3B","Ribulose bisphosphate carboxylase (small chain) family protein","-","YES"
"BraA03001437",-5.53349155810102,10.1397579865149,308.029308962845,6.68960317068602e-13,2.55511858300449e-10,FALSE,"BraA03001437","AT5G54770","THI1","thiazole biosynthetic enzyme, chloroplast (ARA6) (THI1) (THI4)","-","-"
"BraA10001684",-4.52198834702198,5.70445803506692,306.456470095329,6.99295068342599e-13,2.55511858300449e-10,FALSE,"BraA10001684","AT5G21430","NdhU","Chaperone DnaJ-domain superfamily protein","-","-"
"BraA06002613",-5.51329401087044,5.87208695462808,306.424591629685,6.99925470814745e-13,2.55511858300449e-10,FALSE,"BraA06002613","AT3G47070","AT3G47070","thylakoid soluble phosphoprotein","-","-"
"BraA01002846",-9.67827982958731,8.02502021965589,304.310208499698,7.43179786432737e-13,2.59947774187806e-10,FALSE,"BraA01002846","AT1G62510","AT1G62510","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein","-","-"
"BraA08002093",-4.63592177193946,3.84370381063493,303.218078622917,7.66676921134893e-13,2.6142610559976e-10,FALSE,"BraA08002093","AT4G28730","GrxC5","Glutaredoxin family protein","-","-"
"BraA02001698",-4.09801883399672,6.13919092361815,302.587231808077,7.80624330571075e-13,2.6142610559976e-10,FALSE,"BraA02001698","AT5G52030","AT5G52030","TraB family protein","-","-"
"BraA03000586",-3.53862366237254,7.1846349253932,301.258480701068,8.10931895832243e-13,2.6591808417499e-10,FALSE,"BraA03000586","AT5G13120","Pnsl5","cyclophilin 20-2","-","-"
"BraA03000235",-3.63442830241621,7.66893645006914,300.513949436422,8.2848303536062e-13,2.66129040338289e-10,FALSE,"BraA03000235","AT5G05740","EGY2","ethylene-dependent gravitropism-deficient and yellow-green-like 2","-","-"
"BraA05001097",-7.96999409258309,5.27744275236295,299.509912352512,8.52822512365737e-13,2.68468526892734e-10,FALSE,"BraA05001097","AT1G32470","AT1G32470","Single hybrid motif superfamily protein","-","-"
"BraA02000929",-3.73757891021071,6.60736605457699,295.458748243589,9.59412612172304e-13,2.9040681760754e-10,FALSE,"BraA02000929","AT5G19855","RbcX2","Chaperonin-like RbcX protein","-","-"
"BraA05000185",-3.29306267393858,9.09010349453549,294.401105430853,9.89617680541365e-13,2.93897779089077e-10,FALSE,"BraA05000185","AT2G46820","PSI-P","photosystem I P subunit","-","-"
"BraA02001404",-3.90759107836431,4.44689524211633,290.320105918078,1.11646068143356e-12,3.14822151672733e-10,FALSE,"BraA02001404","AT5G56260","AT5G56260","Ribonuclease E inhibitor RraA/Dimethylmenaquinone methyltransferase","-","-"
"BraA09003100",-4.0046819186602,7.10309182343226,288.254516990648,1.18745969081587e-12,3.22662131887647e-10,FALSE,"BraA09003100","AT4G04850","KEA3","K  efflux antiporter 3","-","-"
"BraA09001262",-5.21794998544988,5.90401711442644,287.324429413816,1.22105268008878e-12,3.22662131887647e-10,FALSE,"BraA09001262","AT4G29840","MTO2","Pyridoxal-5'-phosphate-dependent enzyme family protein","-","-"
"BraA09004850",-7.70990319153932,6.4484163374312,287.202309155005,1.22554119241018e-12,3.22662131887647e-10,FALSE,"BraA09004850","AT3G54830","AT3G54830","Transmembrane amino acid transporter family protein","-","-"
"BraA04001528",-3.41584205139994,5.48581308238699,284.981687475872,1.31043706256432e-12,3.32681925238104e-10,FALSE,"BraA04001528","AT2G21280","SULA","NAD(P)-binding Rossmann-fold superfamily protein","-","-"
