"","logFC_phyB","logCPM_phyB","F_phyB","PValue_phyB","FDR_phyB","woundCtrl_phyB","Gene_ID","logFC_WT","logCPM_WT","F_WT","PValue_WT","FDR_WT","woundCtrl_WT","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"1",4.17709986416018,5.42180758813469,502.232951385827,9.22782393603473e-15,1.01554722570115e-10,FALSE,"BraA06003490",4.75173131113193,5.42180758813469,803.939651614916,1.39731797059544e-16,8.5762188576171e-13,FALSE,"AT2G17320","AT2G17320","pantothenate kinase","-","-"
"2",5.28862674830181,9.04006307054631,483.540729050595,1.29040308221239e-14,1.01554722570115e-10,FALSE,"BraA04003076",6.08476367939517,9.04006307054631,789.984543675484,1.6346033400795e-16,8.5762188576171e-13,FALSE,"AT2G42600","PPC2","phosphoenolpyruvate carboxylase 2","-","-"
"3",3.24814755078581,7.54262673861028,442.733870027765,2.80860192127691e-14,1.47357980802995e-10,FALSE,"BraA08003307",3.98332637371261,7.54262673861028,825.075754198481,1.10738731839597e-16,8.5762188576171e-13,FALSE,"AT1G18060","AT1G18060","microbial collagenase","-","-"
"4",4.81647089533999,5.48581308238699,373.005654571434,1.26395937317305e-13,3.97894410674876e-10,FALSE,"BraA04001528",3.87867337190405,5.48581308238699,357.631214945432,1.82577129167033e-13,7.53867332744286e-11,FALSE,"AT2G21280","SULA","NAD(P)-binding Rossmann-fold superfamily protein","-","-"
"5",8.30854939756376,5.28100116309472,358.915749516398,1.76951339961846e-13,4.64202348499909e-10,FALSE,"BraA04002129",10.1195031911516,5.28100116309472,596.930935019005,1.99359150303035e-15,4.48273289395681e-12,FALSE,"AT2G29300","AT2G29300","NAD(P)-binding Rossmann-fold superfamily protein","-","-"
"6",3.37475403408252,5.66028335678185,322.73106200034,4.46422397703043e-13,5.77945678104096e-10,FALSE,"BraA06001576",3.66318586319412,5.66028335678185,488.165496713185,1.18630199918171e-14,1.85926635621211e-11,FALSE,"AT1G13820","AT1G13820","alpha/beta-Hydrolases superfamily protein","-","-"
"7",3.06359572100717,6.53470213811633,321.749395252494,4.58390874813641e-13,5.77945678104096e-10,FALSE,"BraA06002244",3.34405550245253,6.53470213811633,495.513412135001,1.03953063159639e-14,1.85926635621211e-11,FALSE,"AT1G20810","AT1G20810","FKBP-like peptidyl-prolyl cis-trans isomerase family protein","-","-"
"8",3.81147286904772,6.27499535790066,316.89004161092,5.23126849263415e-13,5.77945678104096e-10,FALSE,"BraA04002534",4.05327401926119,6.27499535790066,459.1103860215,2.03926027101326e-14,2.46907358967297e-11,FALSE,"AT2G34860","EDA3","DnaJ/Hsp40 cysteine-rich domain superfamily protein","-","-"
"9",4.74159590762585,6.13919092361815,295.438571851253,9.59979168092074e-13,9.44379506610578e-10,FALSE,"BraA02001698",5.04009140598347,6.13919092361815,427.828743095681,3.79654130132543e-14,3.98383733885749e-11,FALSE,"AT5G52030","AT5G52030","TraB family protein","-","-"
"10",6.82571226112428,7.98809368431942,282.712192897847,1.40399722278064e-12,1.09829955422593e-09,FALSE,"BraA08003464",6.71474017455519,7.98809368431942,368.327905566309,1.41140270433366e-13,7.265829367231e-11,FALSE,"AT1G13930","AT1G13930","oleosin-B3-like protein","-","-"
