"","logFC","logCPM","F","PValue","FDR","woundCtrl","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA04002129",-9.71467812798274,5.28100116309472,502.944575527986,9.11295627460197e-15,1.43437931762235e-10,FALSE,"BraA04002129","AT2G29300","AT2G29300","NAD(P)-binding Rossmann-fold superfamily protein","-","-"
"BraA04003076",-4.78913585418252,9.04006307054631,414.781855710141,4.98443130701746e-14,2.4453535835783e-10,FALSE,"BraA04003076","AT2G42600","PPC2","phosphoenolpyruvate carboxylase 2","-","-"
"BraA06003490",-3.6960966844701,5.42180758813469,407.287854083609,5.84990894022844e-14,2.4453535835783e-10,FALSE,"BraA06003490","AT2G17320","AT2G17320","pantothenate kinase","-","-"
"BraA04002534",-3.84905368677589,6.27499535790066,322.763251849136,4.46035852923492e-13,1.13721339866876e-09,FALSE,"BraA04002534","AT2G34860","EDA3","DnaJ/Hsp40 cysteine-rich domain superfamily protein","-","-"
"BraA06002244",-3.03637878283639,6.53470213811633,316.708067362242,5.25740733304436e-13,1.13721339866876e-09,FALSE,"BraA06002244","AT1G20810","AT1G20810","FKBP-like peptidyl-prolyl cis-trans isomerase family protein","-","-"
"BraA04001528",-4.26916251008707,5.48581308238699,303.591089498312,7.58560193620915e-13,1.19397374475932e-09,FALSE,"BraA04001528","AT2G21280","SULA","NAD(P)-binding Rossmann-fold superfamily protein","-","-"
"BraA04003129",-8.34388182723919,5.09903430125525,277.635790527201,1.64129647225617e-12,2.34854604302837e-09,FALSE,"BraA04003129","AT2G43550","AT2G43550","scorpion toxin-like knottin superfamily protein","-","-"
"BraA08003464",-6.58731452478982,7.98809368431942,269.915508918117,2.09218928413801e-12,2.53315841017941e-09,FALSE,"BraA08003464","AT1G13930","AT1G13930","oleosin-B3-like protein","-","-"
"BraA05004133",-6.90590736564892,5.30241170673887,266.98864973909,2.2977738051429e-12,2.58335426378209e-09,FALSE,"BraA05004133","AT5G02120","OHP","one helix protein","-","-"
"BraA09000087",-7.08952989579862,9.39190501098394,264.260692066762,2.50972655979683e-12,2.60785271160482e-09,FALSE,"BraA09000087","AT4G01080","TBL26","TRICHOME BIREFRINGENCE-LIKE 26","-","-"
"BraA09001106",-5.82198420712766,10.6070842384182,250.281554319927,3.9994964911396e-12,3.14147068625523e-09,FALSE,"BraA09001106","AT2G15620","NIR1","nitrite reductase 1","-","-"
"BraA07003967",-6.1514611272613,9.84074683130825,238.342203163914,6.07307692043756e-12,3.89964488390448e-09,FALSE,"BraA07003967","AT1G77760","NIA1","nitrate reductase 1","-","-"
