"","logFC","logCPM","F","PValue","FDR","woundCtrl","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA06003490",4.17709986416018,5.42180758813469,502.232951385827,9.22782393603473e-15,1.01554722570115e-10,FALSE,"BraA06003490","AT2G17320","AT2G17320","pantothenate kinase","-","-"
"BraA04003076",5.28862674830181,9.04006307054631,483.540729050595,1.29040308221239e-14,1.01554722570115e-10,FALSE,"BraA04003076","AT2G42600","PPC2","phosphoenolpyruvate carboxylase 2","-","-"
"BraA08003307",3.24814755078581,7.54262673861028,442.733870027765,2.80860192127691e-14,1.47357980802995e-10,FALSE,"BraA08003307","AT1G18060","AT1G18060","microbial collagenase","-","-"
"BraA04001528",4.81647089533999,5.48581308238699,373.005654571434,1.26395937317305e-13,3.97894410674876e-10,FALSE,"BraA04001528","AT2G21280","SULA","NAD(P)-binding Rossmann-fold superfamily protein","-","-"
"BraA04002129",8.30854939756376,5.28100116309472,358.915749516398,1.76951339961846e-13,4.64202348499909e-10,FALSE,"BraA04002129","AT2G29300","AT2G29300","NAD(P)-binding Rossmann-fold superfamily protein","-","-"
"BraA06001576",3.37475403408252,5.66028335678185,322.73106200034,4.46422397703043e-13,5.77945678104096e-10,FALSE,"BraA06001576","AT1G13820","AT1G13820","alpha/beta-Hydrolases superfamily protein","-","-"
"BraA06002244",3.06359572100717,6.53470213811633,321.749395252494,4.58390874813641e-13,5.77945678104096e-10,FALSE,"BraA06002244","AT1G20810","AT1G20810","FKBP-like peptidyl-prolyl cis-trans isomerase family protein","-","-"
"BraA04002534",3.81147286904772,6.27499535790066,316.89004161092,5.23126849263415e-13,5.77945678104096e-10,FALSE,"BraA04002534","AT2G34860","EDA3","DnaJ/Hsp40 cysteine-rich domain superfamily protein","-","-"
"BraA10003025",3.0785846463834,5.59625307239295,315.014508754419,5.50774153212289e-13,5.77945678104096e-10,FALSE,"BraA10003025","AT5G03900","AT5G03900","Iron-sulfur cluster biosynthesis family protein","-","-"
"BraA02001698",4.74159590762585,6.13919092361815,295.438571851253,9.59979168092074e-13,9.44379506610578e-10,FALSE,"BraA02001698","AT5G52030","AT5G52030","TraB family protein","-","-"
"BraA08003464",6.82571226112428,7.98809368431942,282.712192897847,1.40399722278064e-12,1.09829955422593e-09,FALSE,"BraA08003464","AT1G13930","AT1G13930","oleosin-B3-like protein","-","-"
"BraA10002909",6.4447060401685,7.8456669337358,282.566565511721,1.41024897692179e-12,1.09829955422593e-09,FALSE,"BraA10002909","AT5G09650","PPa6","pyrophosphorylase 6","-","-"
"BraA09001106",6.26482960005905,10.6070842384182,280.365164345999,1.50861625888329e-12,1.09829955422593e-09,FALSE,"BraA09001106","AT2G15620","NIR1","nitrite reductase 1","-","-"
"BraA07003967",6.73720234906773,9.84074683130825,273.691712033999,1.85648180430707e-12,1.16884094399173e-09,FALSE,"BraA07003967","AT1G77760","NIA1","nitrate reductase 1","-","-"
"BraA05004133",6.86019373673486,5.30241170673887,265.30612265361,2.4260387398869e-12,1.46868652945461e-09,FALSE,"BraA05004133","AT5G02120","OHP","one helix protein","-","-"
"BraA05003669",4.13420542937241,9.01720444608432,263.429050894521,2.57858940152835e-12,1.50322211777986e-09,FALSE,"BraA05003669","AT3G14420","GOX1","Aldolase-type TIM barrel family protein","-","-"
"BraA06000973",3.50946802477986,5.89367440676863,261.892934630007,2.71136543524914e-12,1.52417471252934e-09,FALSE,"BraA06000973","AT1G50450","AT1G50450","Saccharopine dehydrogenase","-","-"
"BraA03000586",3.78120998241515,7.1846349253932,254.740610758668,3.43814664904705e-12,1.74569123406453e-09,FALSE,"BraA03000586","AT5G13120","Pnsl5","cyclophilin 20-2","-","-"
"BraA10002206",4.77800372769993,5.53879901228745,244.88715745381,4.81884013747971e-12,2.29844072011911e-09,FALSE,"BraA10002206","AT5G14760","AO","L-aspartate oxidase","-","-"
"BraA01002846",10.1575553214084,8.02502021965589,240.900086233165,5.54423844241894e-12,2.49332323096212e-09,FALSE,"BraA01002846","AT1G62510","AT1G62510","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein","-","-"
"BraA03006148",3.25277813277183,6.9912218686569,233.85039655961,7.14263770299772e-12,2.8106279361296e-09,FALSE,"BraA03006148","AT4G32770","VTE1","tocopherol cyclase, chloroplast / vitamin E deficient 1 (VTE1) / sucrose export defective 1 (SXD1)","-","YES"
"BraA08002432",6.56509621514412,6.93902538317577,227.795876469891,8.92973827462677e-12,3.34542544186665e-09,FALSE,"BraA08002432","AT4G39970","AT4G39970","Haloacid dehalogenase-like hydrolase (HAD) superfamily protein","-","-"
"BraA06002613",5.05550051785934,5.87208695462808,225.448007661533,9.75197607895672e-12,3.34542544186665e-09,FALSE,"BraA06002613","AT3G47070","AT3G47070","thylakoid soluble phosphoprotein","-","-"
"BraA07003370",3.35682666139979,6.9424113352584,225.27360568818,9.81632460897952e-12,3.34542544186665e-09,FALSE,"BraA07003370","AT1G70410","BCA4","beta carbonic anhydrase 4","-","-"
"BraA08003566",4.37068771075787,8.51855947805933,222.951163166993,1.07196827961923e-11,3.5151626502514e-09,FALSE,"BraA08003566","AT1G11860","AT1G11860","Glycine cleavage T-protein family","-","YES"
"BraA03005881",4.19629197025991,4.25210484158519,219.948172675941,1.20273545770121e-11,3.71197178514061e-09,FALSE,"BraA03005881","AT4G29590","AT4G29590","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein","-","-"
"BraA05003526",3.65945372532831,9.41760996698446,217.106923910809,1.34292568365934e-11,3.98823589826377e-09,FALSE,"BraA05003526","AT3G15850","FAD5","fatty acid desaturase 5","-","-"
"BraA02003650",3.10638726257783,6.3664372236097,213.763476276061,1.53160279821749e-11,4.38316873526243e-09,FALSE,"BraA02003650","AT3G26710","CCB1","cofactor assembly of complex C","-","-"
"BraA07002023",5.85223853108986,6.99680278150415,211.07218631486,1.70493282040244e-11,4.69065399527708e-09,FALSE,"BraA07002023","AT3G56290","AT3G56290","potassium transporter","-","-"
"BraA10001684",4.12338290639875,5.70445803506692,209.630933810845,1.80662516179544e-11,4.72431990343337e-09,FALSE,"BraA10001684","AT5G21430","NdhU","Chaperone DnaJ-domain superfamily protein","-","-"
"BraA01000119",4.51518448278342,9.39944098638196,209.300200361754,1.83089907312221e-11,4.72431990343337e-09,FALSE,"BraA01000119","AT4G37930","SHM1","serine transhydroxymethyltransferase 1","-","YES"
"BraA02001404",3.62320827309316,4.44689524211633,208.259545504765,1.90966861700688e-11,4.8480941986594e-09,FALSE,"BraA02001404","AT5G56260","AT5G56260","Ribonuclease E inhibitor RraA/Dimethylmenaquinone methyltransferase","-","-"
"BraA09000087",5.98386312888414,9.39190501098394,206.31571461081,2.06707257550206e-11,5.16440037117498e-09,FALSE,"BraA09000087","AT4G01080","TBL26","TRICHOME BIREFRINGENCE-LIKE 26","-","-"
