"","logFC_WT","logCPM_WT","F_WT","PValue_WT","FDR_WT","Gene_ID","logFC_phyB","logCPM_phyB","F_phyB","PValue_phyB","FDR_phyB","WT.P_Avg_CPM","phyB.P_Avg_CPM","WT.R_Avg_CPM","phyB.R_Avg_CPM","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development","group"
"BraA01004327",-1.83072075775967,6.02011572418984,53.6705508768901,1.76563055477033e-07,0.000347387811651063,"BraA01004327",-0.699916637739421,6.02011572418984,6.30715884193758,0.0194173973920968,0.208336629142197," 81.87949","106.87388"," 22.99861"," 65.81401","AT3G10720","AT3G10720","Plant invertase/pectin methylesterase inhibitor superfamily","-","-","WT_sig"
"BraA05001762",-1.8606229217507,3.48040900508391,47.6030842634623,4.66430275256346e-07,0.000667419321139536,"BraA05001762",-1.45532786646197,3.48040900508391,21.9324110159502,0.000100191939533214,0.0140805457879713,"22.951909","13.328824"," 6.322741"," 4.880088","AT2G06925","PLA2-ALPHA","Phospholipase A2 family protein","-","-","WT_sig"
"BraA03004089",-3.25892724512701,5.39228923565591,46.0227945068536,6.09203457386667e-07,0.000799071868272178,"BraA03004089",-2.13315144556466,5.39228923565591,16.1994023377298,0.000520694746075644,0.0321423960010385,"84.388388","47.670166"," 8.782983","10.856059","AT3G18050","AT3G18050","GPI-anchored protein","-","-","WT_sig"
"BraA02003377",-2.26937929826236,4.84055368670652,43.9482733678857,8.73390001856636e-07,0.000970499512934528,"BraA02003377",-1.15035355948412,4.84055368670652,9.13748219342136,0.00601405428185098,0.114506013954658,"46.418618","30.124977"," 9.582705","13.542627","AT2G01850","EXGT-A3","endoxyloglucan transferase A3","-","-","WT_sig"
"BraA05000899",-1.97173043178839,8.95228462803797,42.2036323153301,1.19309690381749e-06,0.00117370907913046,"BraA05000899",-1.06067852161201,8.95228462803797,9.69403164028335,0.00485099070746854,0.104167249298165," 185.0899"," 271.8675","  47.1651"," 130.3099","AT2G38170","CAX1","cation exchanger 1","-","-","WT_sig"
"BraA07003350",-1.39472922355301,5.92639539172942,41.2875439617523,1.41028317892107e-06,0.00127664960273528,"BraA07003350",-0.541456926788635,5.92639539172942,4.83662469959716,0.0380770778158996,0.283372673674828,"82.42909","57.62091","31.28893","39.58421","AT1G70100","AT1G70100","neurofilament heavy protein","-","-","WT_sig"
"BraA02003641",-2.55398524049069,3.28060606749831,37.7525869442353,2.75369636437021e-06,0.00166704541443027,"BraA02003641",-0.805850023123472,3.28060606749831,3.24709733693849,0.0845439504406617,0.402395458099793,"14.191355"," 9.233997"," 2.417228"," 5.262163","AT3G26500","PIRL2","plant intracellular ras group-related LRR 2","-","-","WT_sig"
"BraA01003574",-1.74573515861939,6.45813561304787,32.5090194361388,8.0323468010373e-06,0.00308989758025631,"BraA01003574",-1.51089630592107,6.45813561304787,18.6162854225293,0.000252251440661977,0.0214504628710716,"121.15027","132.98351"," 36.09415"," 46.73379","AT3G19850","AT3G19850","Phototropic-responsive NPH3 family protein","-","YES","WT_sig"
"BraA08002357",-4.14857266465216,3.64755629964559,31.868859971526,9.21935012828088e-06,0.00337471095393351,"BraA08002357",-1.79096223835304,3.64755629964559,5.90355459868806,0.0232402248787543,0.225488660544398,"19.763084","14.386773"," 1.094869"," 4.138106","AT4G37220","AT4G37220","Cold acclimation protein WCOR413 family","-","-","WT_sig"
"BraA05001146",-1.75264291481989,5.96723706179818,30.7898233223289,1.16750503513568e-05,0.00375031209245625,"BraA05001146",-0.464833808489043,5.96723706179818,1.71684266136348,0.202909345407266,0.584622569414308,"108.96686"," 64.07653"," 32.34897"," 46.41421","AT1G75780","TUB1","tubulin beta-1 chain","-","-","WT_sig"
"BraA03005045",-1.33568625011508,11.1658137246035,28.9356183532983,1.77258851030961e-05,0.00437906102167169,"BraA03005045",-0.600275113915,11.1658137246035,4.50404334392439,0.0446878996759352,0.303569997780893,"4088.7599","2528.4976","1619.9930","1667.8625","AT4G16980","AT4G16980","arabinogalactan-protein family","-","-","WT_sig"
"BraA01002194",-1.96079395661353,3.27518344216023,28.8889745937783,1.79166436017696e-05,0.00437906102167169,"BraA01002194",-0.973521561978085,3.27518344216023,5.59608625209894,0.0267163734914822,0.241380914994709,"19.149025","10.435808"," 4.908552"," 5.279443","AT4G16480","INT4","inositol transporter 4","-","-","WT_sig"
"BraA06002420",-1.18523039782414,9.42756369452194,28.7715034490093,1.84070310397489e-05,0.00437906102167169,"BraA06002420",-0.364485388610743,9.42756369452194,2.09251454391916,0.161382427767058,0.530969776976066," 949.7375"," 795.4030"," 417.6616"," 617.8395","AT3G49120","PRXCB","peroxidase CB","-","-","WT_sig"
"BraA05003475",-1.06460666193397,3.70565560839199,28.6982950415727,1.87200150651857e-05,0.00437906102167169,"BraA05003475",-0.564499892849386,3.70565560839199,6.20075760840273,0.0203524166320044,0.212971594795062,"21.979651","17.295480","10.520603","11.680539","AT3G16570","RALF23","rapid alkalinization factor 23","-","-","WT_sig"
"BraA10001774",-3.33262753105797,8.56802804333963,27.4413684508335,2.51043179126509e-05,0.00489520452889309,"BraA10001774",-3.09471530624687,8.56802804333963,17.8800430328362,0.000313004699324522,0.0239159901328543," 105.02923","  57.83879","  10.40081","   6.73917","AT5G20250","DIN10","Raffinose synthase family protein","-","-","WT_sig"
"BraA06002344",-6.33528292302632,3.52605295715618,27.3038252627372,2.59355751402082e-05,0.00489520452889309,"BraA06002344",-3.24968171082479,3.52605295715618,8.19402354325348,0.00875190490737606,0.14115960520907,"29.3632543","17.0983393"," 0.3489874"," 1.7650255","AT1G21670","AT1G21670","DPP6 amino-terminal domain protein","-","-","WT_sig"
"BraA06003230",-1.35748152353063,7.14113019129167,27.1602271257058,2.68354901972555e-05,0.00489520452889309,"BraA06003230",-1.2706058470375,7.14113019129167,17.9245051857421,0.00030891517279494,0.0238011322140838,"233.24636","187.95286"," 91.02102"," 77.91286","AT5G64570","XYL4","beta-D-xylosidase 4","-","-","WT_sig"
"BraA04002260",-1.65283221252465,3.8455988084441,27.1102630114181,2.71565313729942e-05,0.00489520452889309,"BraA04002260",-1.06776892130038,3.8455988084441,9.05334861039712,0.00621514449969583,0.116307164742372,"11.014677","10.089105"," 3.510241"," 4.820735","AT2G30990","AT2G30990","arginine N-methyltransferase, putative (DUF688)","-","-","WT_sig"
"BraA04000127",-1.23969127503975,5.8346759826651,27.1086494426384,2.71669686668078e-05,0.00489520452889309,"BraA04000127",-0.31749639804116,5.8346759826651,1.38821298078458,0.250636955757012,0.639491924722868," 43.88638"," 36.24091"," 18.58766"," 29.13639","AT3G61460","BRH1","brassinosteroid-responsive RING-H2","-","-","WT_sig"
"BraA01004536",-2.88613726919242,2.46273952552383,26.7679551902139,2.94716617316089e-05,0.00504547982891963,"BraA01004536",-2.18210638200756,2.46273952552383,11.8265392781876,0.00221411223309302,0.0689369375789537,"10.445464"," 5.443432"," 1.397940"," 1.163392","AT3G07460","AT3G07460","transmembrane protein, putative (Protein of unknown function, DUF538)","-","-","WT_sig"
"BraSca000955",-2.3506235361319,4.60814613390214,26.7063791067738,2.99104706260364e-05,0.00506226674896574,"BraSca000955",-0.407490642060579,4.60814613390214,0.669484018496845,0.421546239861888,0.785460918765428,"51.694777","27.561606","10.142060","20.764342","AT4G19810","ChiC","Glycosyl hydrolase family protein with chitinase insertion domain-containing protein","-","-","WT_sig"
"BraA07002007",-2.12427839471532,4.45224129456489,26.5181974547869,3.12961583149957e-05,0.00513126595706283,"BraA07002007",-2.29743949203106,4.45224129456489,21.7920896490706,0.000104027527970784,0.0144902061084968,"34.364957","16.411266"," 7.863063"," 3.310716","AT3G55880","SUE4","Alpha/beta hydrolase related protein","-","-","WT_sig"
"BraA06003560",-2.25036138900828,4.39962627932351,26.4349423505696,3.1931367787824e-05,0.00518144050495206,"BraA06003560",-1.15106962887138,4.39962627932351,5.46163645011005,0.0284155805559751,0.247927515493929,"39.437718","17.874695"," 8.282033"," 8.016113","AT5G23870","AT5G23870","Pectinacetylesterase family protein","-","-","WT_sig"
"BraA02004429",-1.51216765516795,5.43910499284998,25.7875617242789,3.73771326006407e-05,0.00545271879617396,"BraA02004429",-1.45857360800581,5.43910499284998,17.9127648355453,0.000309989333156746,0.0238011322140838,"54.79318","37.94143","19.22828","13.78658","AT5G64410","OPT4","oligopeptide transporter 4","-","-","WT_sig"
"BraA03004274",-2.75432743223465,10.3754169250048,25.7634987302223,3.75981396276186e-05,0.00545271879617396,"BraA03004274",-1.24194156162499,10.3754169250048,4.34885976459137,0.0482077954955742,0.311851530619466,"2024.0961","1488.2719"," 299.9692"," 629.2477","AT3G22142","AT3G22142","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein","-","-","WT_sig"
"BraA07003764",-2.75116622985755,4.59060044427953,25.7459458947063,3.77602508756646e-05,0.00545271879617396,"BraA07003764",-0.689926023870193,4.59060044427953,1.40409988139699,0.2480204009351,0.63809106092162,"44.7251940","30.1133124"," 6.6587949","18.6500014","AT1G75250","RL6","RAD-like 6","YES","-","WT_sig"
"BraA09004692",-1.43481343794454,3.76018447939341,25.5747833703078,3.93815256355005e-05,0.00558437129281782,"BraA09004692",-1.2412415391732,3.76018447939341,14.2791309189682,0.000960152338237397,0.04561457223432,"23.720553","14.243587"," 8.736688"," 5.983044","AT3G53000","PP2-A15","phloem protein 2-A15","-","-","WT_sig"
"BraA09004461",-1.36605919745365,6.56335864873302,24.6016190612979,5.01656241514627e-05,0.00644119374352067,"BraA09004461",-0.52349838284087,6.56335864873302,2.78948387538066,0.108306878998343,0.449998809564149,"124.27775"," 69.74625"," 48.22451"," 48.52008","AT3G50630","KRP2","KIP-related protein 2","-","YES","WT_sig"
"BraA04003037",-2.10749234210121,3.89298399002774,24.5982967333874,5.02075406675719e-05,0.00644119374352067,"BraA04003037",-1.78350314597173,3.89298399002774,13.3689429330085,0.00129935846015119,0.0527110880484012,"32.922916","20.471735"," 7.619129"," 5.916072","AT2G42320","AT2G42320","nucleolar protein gar2-like protein","-","-","WT_sig"
