"","logFC","logCPM","F","PValue","FDR","woundCtrl","phyB.D_Avg_CPM","phyB.R_Avg_CPM","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA06003490",4.16370100739411,5.42175199817962,441.976718922701,1.27938412832185e-16,2.01375061797859e-12,FALSE," 3.873098","69.264532","BraA06003490","AT2G17320","AT2G17320","pantothenate kinase","-","-"
"BraA10002909",6.44511253408278,7.84565199032383,314.191043270522,5.38154447876496e-15,4.23527550478803e-11,FALSE,"  5.128057","447.450942","BraA10002909","AT5G09650","PPa6","pyrophosphorylase 6","-","-"
"BraA10003025",3.07115472312961,5.59626246065255,301.056312992916,8.54627501995359e-15,4.394349117816e-11,FALSE," 8.678963","73.173729","BraA10003025","AT5G03900","AT5G03900","Iron-sulfur cluster biosynthesis family protein","-","-"
"BraA04002129",8.30484015916803,5.28083511596932,293.695248384878,1.11673421037255e-14,4.394349117816e-11,FALSE," 0.06887702","24.08267647","BraA04002129","AT2G29300","AT2G29300","NAD(P)-binding Rossmann-fold superfamily protein","-","-"
"BraA08003307",3.25404933369197,7.54263936467617,274.736464793634,2.29137589068006e-14,5.71923323846268e-11,FALSE," 29.38899","280.43294","BraA08003307","AT1G18060","AT1G18060","microbial collagenase","-","-"
"BraA06001576",3.35878773806952,5.66034315561285,273.054385306981,2.44763825532357e-14,5.71923323846268e-11,FALSE," 7.061591","72.634809","BraA06001576","AT1G13820","AT1G13820","alpha/beta-Hydrolases superfamily protein","-","-"
"BraA04001528",4.78519925840638,5.48584139739443,269.890085499248,2.77389472211298e-14,5.71923323846268e-11,FALSE," 2.705607","75.507952","BraA04001528","AT2G21280","SULA","NAD(P)-binding Rossmann-fold superfamily protein","-","-"
"BraA05004133",6.84242284301852,5.30219232204615,268.714857620668,2.90685298015892e-14,5.71923323846268e-11,FALSE," 0.477744","58.769162","BraA05004133","AT5G02120","OHP","one helix protein","-","-"
"BraA06004345",2.24055113991532,6.00447087145255,261.097602619267,3.95583536082921e-14,6.91831650882797e-11,FALSE,"15.01523","70.97231","BraA06004345","AT3G26070","AT3G26070","Plastid-lipid associated protein PAP / fibrillin family protein","-","-"
"BraA08003464",6.74488490342609,7.98803974367136,256.684082923433,4.74710247470573e-14,6.94867931142046e-11,FALSE,"  3.533537","382.160624","BraA08003464","AT1G13930","AT1G13930","oleosin-B3-like protein","-","-"
"BraA07002023",5.86959022548762,6.99670285120533,253.805684956079,5.35492007875657e-14,7.02387016996903e-11,FALSE,"  6.407719","374.421482","BraA07002023","AT3G56290","AT3G56290","potassium transporter","-","-"
"BraA06002244",3.06643196047445,6.53466724803957,246.656674864941,7.26287133172971e-14,8.79366113549428e-11,FALSE," 14.44500","121.03235","BraA06002244","AT1G20810","AT1G20810","FKBP-like peptidyl-prolyl cis-trans isomerase family protein","-","-"
"BraA01002230",2.46718410340919,6.72304219076014,243.766107947148,8.23428514201821e-14,9.01905374722007e-11,FALSE," 27.7933","153.8804","BraA01002230","AT1G54350","ABCD2","ABC transporter family protein","-","-"
"BraA06000973",3.49543848606516,5.89360066781633,242.430018875973,8.73023223813577e-14,9.01905374722007e-11,FALSE,"  9.648983","108.681851","BraA06000973","AT1G50450","AT1G50450","Saccharopine dehydrogenase","-","-"
"BraA07003370",3.35547900530232,6.94236209490025,241.317359595346,9.16803430467097e-14,9.01905374722007e-11,FALSE," 19.71933","202.00357","BraA07003370","AT1G70410","BCA4","beta carbonic anhydrase 4","-","-"
"BraA04002623",2.84888128432274,6.75708713247123,235.695174178283,1.17772634973232e-13,1.0817195135066e-10,FALSE," 22.28613","160.67851","BraA04002623","AT3G11510","AT3G11510","Ribosomal protein S11 family protein","-","-"
"BraA09001106",6.21839993179581,10.6070830398973,233.578679217333,1.29600372078461e-13,1.0817195135066e-10,FALSE,"  34.61011","2579.92926","BraA09001106","AT2G15620","NIR1","nitrite reductase 1","-","-"
"BraA03000453",2.97527797689687,6.77050808726292,233.413541147383,1.30576053091648e-13,1.0817195135066e-10,FALSE," 25.63235","201.60753","BraA03000453","AT5G10470","KAC1","kinesin like protein for actin based chloroplast movement 1","-","-"
"BraA03002180",2.32282564998023,7.86470082831801,226.953230127728,1.75780572550835e-13,1.32308157012715e-10,FALSE," 67.27862","336.63031","BraA03002180","AT2G39190","ATATH8","Protein kinase superfamily protein","-","-"
"BraA03006148",3.24835021481066,6.99123210101888,226.862828371252,1.76522954083037e-13,1.32308157012715e-10,FALSE," 20.34432","193.33486","BraA03006148","AT4G32770","VTE1","tocopherol cyclase, chloroplast / vitamin E deficient 1 (VTE1) / sucrose export defective 1 (SXD1)","-","YES"
"BraA05003669",4.1563529676462,9.01720054294972,218.199354165185,2.66294441611966e-13,1.90521568680561e-10,FALSE," 48.86636","871.74604","BraA05003669","AT3G14420","GOX1","Aldolase-type TIM barrel family protein","-","-"
"BraA03004149",5.95835426334093,6.95760844099694,215.988674610641,2.9645375611274e-13,2.02877483531066e-10,FALSE,"  2.876861","180.223636","BraA03004149","AT3G19480","AT3G19480","D-3-phosphoglycerate dehydrogenase","-","-"
"BraA06004803",2.30951230974658,6.92550053706201,212.233331972353,3.56541032949819e-13,2.3383149410959e-10,FALSE," 29.92805","148.36868","BraA06004803","AT5G44650","CEST","death domain associated protein","-","-"
"BraA06002613",5.06054554114641,5.87198419318427,211.117535916688,3.76853247339689e-13,2.34200533250065e-10,FALSE,"  3.274142","109.699249","BraA06002613","AT3G47070","AT3G47070","thylakoid soluble phosphoprotein","-","-"
"BraA03005881",4.19989927353314,4.25186482643815,210.591498452245,3.86862380209764e-13,2.34200533250065e-10,FALSE," 1.942072","35.899052","BraA03005881","AT4G29590","AT4G29590","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein","-","-"
"BraA10002878",2.87766447559326,4.99787767452981,209.41699818051,4.10267949880582e-13,2.39171019671125e-10,FALSE," 8.937168","65.747722","BraA10002878","AT5G08740","NDC1","NAD(P)H dehydrogenase C1","-","-"
"BraA03006568",2.03285082989288,7.71171409366734,206.690725555253,4.70746149212873e-13,2.64626585307522e-10,FALSE," 86.37039","353.50679","BraA03006568","AT5G42310","AT5G42310","Pentatricopeptide repeat (PPR-like) superfamily protein","-","-"
"BraA04003076",5.35973654642508,9.04005405928589,205.075624395444,5.11095706670465e-13,2.77401600792866e-10,FALSE," 17.80403","732.09759","BraA04003076","AT2G42600","PPC2","phosphoenolpyruvate carboxylase 2","-","-"
"BraA03000987",2.87917077086907,5.37464466565348,203.304672129429,5.59702319643855e-13,2.93657150373143e-10,FALSE," 7.384077","54.458713","BraA03000987","AT5G19855","RbcX2","Chaperonin-like RbcX protein","-","-"
"BraA05001456",8.57034623336025,4.26210495543106,202.568727755493,5.81358986976828e-13,2.95180337258557e-10,FALSE," 0.2217159","89.3585099","BraA05001456","AT2G31380","STH","salt tolerance homologue","YES","-"
"BraA06001158",2.87388225573368,7.38641728106648,200.105078223603,6.60743559213368e-13,3.25003238188076e-10,FALSE," 41.13280","301.53376","BraA06001158","AT1G07890","APX1","ascorbate peroxidase 1","-","YES"
"BraA01000670",2.30804361614214,5.70341239839435,197.68096480121,7.50471573391013e-13,3.45671137571316e-10,FALSE,"12.98514","64.36000","BraA01000670","AT4G31780","MGD1","monogalactosyl diacylglycerol synthase 1","-","-"
"BraA05003526",3.65710348974761,9.41762957542658,196.754729904412,7.88180440165039e-13,3.45671137571316e-10,FALSE,"  67.41512"," 850.79280","BraA05003526","AT3G15850","FAD5","fatty acid desaturase 5","-","-"
"BraA08003566",4.3876689977553,8.51855926149464,196.696773585331,7.9060743027747e-13,3.45671137571316e-10,FALSE," 26.35259","552.15997","BraA08003566","AT1G11860","AT1G11860","Glycine cleavage T-protein family","-","YES"
"BraA10001878",5.1662005605475,4.71197765930545,196.033323649606,8.18975985270215e-13,3.48396811031167e-10,FALSE," 1.141234","42.039593","BraA10001878","AT5G18860","NSH3","inosine-uridine preferring nucleoside hydrolase family protein","-","-"
"BraA08002432",6.49437182975288,6.93907624463704,195.388917465774,8.47591551010042e-13,3.51081342444686e-10,FALSE,"  1.8426552","168.6680907","BraA08002432","AT4G39970","AT4G39970","Haloacid dehalogenase-like hydrolase (HAD) superfamily protein","-","-"
"BraA04001451",7.51584825734132,11.8173790627989,192.358754933324,9.97517736319139e-13,3.96986527844903e-10,FALSE,"  19.35426","3546.92434","BraA04001451","AT5G38410","RBCS3B","Ribulose bisphosphate carboxylase (small chain) family protein","-","YES"
"BraA07002742",12.0633894065408,5.81653029568302,222.316631049195,1.00886029947879e-12,3.96986527844903e-10,FALSE," 0.00000000","51.94024463","BraA07002742","AT1G72610","GER1","germin-like protein 1","-","-"
"BraA02003663",2.92346793258579,4.3043036927353,191.453391616694,1.0477286107282e-12,4.02225569094191e-10,FALSE," 4.906001","37.142956","BraA02003663","AT3G26840","PES2","Esterase/lipase/thioesterase family protein","-","-"
"BraA05000981",2.93617208159018,5.83719635276723,190.515997613935,1.10262296665475e-12,4.13221083217756e-10,FALSE," 8.892876","68.032057","BraA05000981","AT2G37240","AT2G37240","Thioredoxin superfamily protein","-","-"
"BraA04001910",1.98037152876015,7.31584138748949,188.599356159028,1.22484094379172e-12,4.48348754773993e-10,FALSE," 52.64639","207.73373","BraA04001910","AT2G25870","AT2G25870","haloacid dehalogenase-like hydrolase family protein","-","-"
"BraA04002534",3.81858423518789,6.27500240910833,186.637709180724,1.36532614868647e-12,4.88414399552843e-10,FALSE,"  7.475326","105.624162","BraA04002534","AT2G34860","EDA3","DnaJ/Hsp40 cysteine-rich domain superfamily protein","-","-"
"BraA08002692",2.22773003457546,7.61790620058872,184.855587371136,1.50821494305071e-12,5.27540071191517e-10,FALSE," 60.82283","284.94252","BraA08002692","AT4G14210","PDS3","phytoene desaturase 3","-","-"
"BraA09000087",5.97902420843371,9.39192339081762,184.007594988949,1.58184114147387e-12,5.28829430576622e-10,FALSE,"   6.072929"," 385.234284","BraA09000087","AT4G01080","TBL26","TRICHOME BIREFRINGENCE-LIKE 26","-","-"
"BraA06004063",2.99685227962094,6.86393152601881,183.787892682152,1.60154714008145e-12,5.28829430576622e-10,FALSE," 22.62732","180.53848","BraA06004063","AT5G20140","HBP5","SOUL heme-binding family protein","-","-"
"BraA10001271",5.85150066666779,4.2450120379457,183.664906262609,1.61269457863265e-12,5.28829430576622e-10,FALSE," 0.5085723","31.3328629","BraA10001271","AT5G57170","AT5G57170","Tautomerase/MIF superfamily protein","-","-"
"BraA03006095",5.39775660386792,6.94848505398134,182.764345613415,1.69693521099004e-12,5.44538989936128e-10,FALSE,"  6.493302","273.038832","BraA03006095","AT4G31870","GPX7","glutathione peroxidase 7","-","YES"
"BraA04001564",5.21883914319039,5.14400464141162,181.114789254584,1.86390237145856e-12,5.75251437779562e-10,FALSE," 1.620584","61.439147","BraA04001564","AT2G21860","AT2G21860","violaxanthin de-epoxidase-like protein","-","-"
"BraA03000586",3.7725387766471,7.18463863047571,180.013902561649,1.98522080196407e-12,5.88112253764895e-10,FALSE," 15.87512","216.99050","BraA03000586","AT5G13120","Pnsl5","cyclophilin 20-2","-","-"
"BraA01000537",4.18692613786324,11.6687695467769,179.979895882321,1.98910239677767e-12,5.88112253764895e-10,FALSE," 292.2269","5322.9981","BraA01000537","AT4G33010","GLDP1","glycine decarboxylase P-protein 1","-","YES"
"BraA10001684",4.13312087000537,5.70448700745725,179.495601458599,2.04528467976504e-12,5.88112253764895e-10,FALSE," 4.383786","77.189672","BraA10001684","AT5G21430","NdhU","Chaperone DnaJ-domain superfamily protein","-","-"
"BraA03001809",5.72376313519527,3.81312609855329,179.413067211569,2.05503011163083e-12,5.88112253764895e-10,FALSE," 0.3653216","20.5938831","BraA03001809","AT2G32500","AT2G32500","Stress responsive alpha-beta barrel domain protein","-","-"
"BraA07002219",2.38172752202998,6.71795575127942,178.363103184696,2.18350875098665e-12,6.02954872640874e-10,FALSE," 28.68795","149.60076","BraA07002219","AT3G59970","MTHFR1","methylenetetrahydrofolate reductase 1","-","-"
"BraA02002954",7.0795383808721,4.2382756313115,177.880444092789,2.24547395548597e-12,6.05465597069163e-10,FALSE," 0.27449437","40.06049405","BraA02002954","AT4G00165","AT4G00165","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein","-","-"
"BraA04001213",2.4250712423183,5.83868250268996,177.556134556798,2.2881813559866e-12,6.05465597069163e-10,FALSE,"15.81127","84.93421","BraA04001213","AT5G39040","ABCB27","transporter associated with antigen processing protein 2","-","-"
"BraA02001698",4.62228191253279,6.13907797634585,177.222316926945,2.33306398195299e-12,6.05465597069163e-10,FALSE,"  5.214994","128.385940","BraA02001698","AT5G52030","AT5G52030","TraB family protein","-","-"
"BraA08002200",2.07606260178301,5.20659741034501,176.953580735292,2.36989113409077e-12,6.05465597069163e-10,FALSE,"14.36999","60.64434","BraA08002200","AT1G64280","NPR1","regulatory protein (NPR1)","-","YES"
"BraA05000807",4.84195532440611,7.52363486766713,176.592184703367,2.42041518693552e-12,6.05465597069163e-10,FALSE,"  8.939496","258.013688","BraA05000807","AT2G39470","PnsL1","PsbP-like protein 2","-","-"
"BraA07003829",5.38834333962829,8.22511746167431,176.571083961793,2.42340105561355e-12,6.05465597069163e-10,FALSE,"  5.773370","242.531031","BraA07003829","AT1G76100","PETE1","plastocyanin 1","-","-"
"BraA08002568",4.96908494681121,10.585320799473,175.818041575563,2.53262441149368e-12,6.22867316201728e-10,FALSE,"  61.24969","1919.52774","BraA08002568","AT1G12900","GAPA-2","glyceraldehyde 3-phosphate dehydrogenase A subunit 2","-","-"
"BraA03004376",3.00756511556792,8.01382098673585,173.940575166077,2.82893464210155e-12,6.85037404102744e-10,FALSE," 35.26748","283.86833","BraA03004376","AT3G24480","AT3G24480","Leucine-rich repeat (LRR) family protein","-","-"
"BraA09006403",4.41178221965254,10.6908169053563,173.568081368255,2.8920864214618e-12,6.89718792027405e-10,FALSE,"  96.27426","2049.88304","BraA09006403","AT1G12900","GAPA-2","glyceraldehyde 3-phosphate dehydrogenase A subunit 2","-","-"
"BraA01000384",2.32341667232677,6.73067441685112,172.936147744047,3.00275351742312e-12,7.05422990511044e-10,FALSE," 34.26547","171.51274","BraA01000384","AT4G34730","AT4G34730","ribosome-binding factor A family protein","-","-"
"BraA09000299",2.45789817891454,6.35999159209029,170.806493722332,3.41092221911828e-12,7.76109955216819e-10,FALSE," 18.82442","103.60564","BraA09000299","AT3G26290","CYP71B26","cytochrome P450, family 71, subfamily B, polypeptide 26","-","-"
"BraA06000927",2.81010653336725,5.80572984910062,170.624314693106,3.44853945075803e-12,7.76109955216819e-10,FALSE,"10.98956","77.06313","BraA06000927","AT1G51100","CRR41","potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel protein","-","-"
"BraA01001123",2.19430073302163,6.05576402291328,170.374403910813,3.50087718045706e-12,7.76109955216819e-10,FALSE,"20.04022","91.80617","BraA01001123","AT4G18975","AT4G18975","Pentatricopeptide repeat (PPR) superfamily protein","-","-"
"BraA05000754",6.42226675869254,7.94300524302003,169.307356358238,3.73425407523379e-12,8.01810341088393e-10,FALSE,"  3.607607","312.917504","BraA05000754","AT2G40100","LHCB4.3","light harvesting complex photosystem II","-","-"
"BraA09005883",6.52711687905262,4.48482303548752,169.296447039683,3.7367256502893e-12,8.01810341088393e-10,FALSE," 0.2463888","24.4931155","BraA09005883","AT2G21370","XK-1","xylulose kinase-1","-","-"
"BraA09004305",2.58861943732354,7.06368458047193,168.691100007676,3.87669538495342e-12,8.07806086118357e-10,FALSE," 36.30943","218.36171","BraA09004305","AT1G22850","AT1G22850","SNARE associated Golgi protein family","-","-"
"BraA01000119",4.42769151518123,9.39944309652242,168.590676431269,3.90046140692472e-12,8.07806086118357e-10,FALSE," 44.56912","959.99993","BraA01000119","AT4G37930","SHM1","serine transhydroxymethyltransferase 1","-","YES"
"BraA09004114",6.4966070464034,6.4919468750567,167.730910170922,4.11053131992878e-12,8.37132145414188e-10,FALSE,"  1.367330","126.207411","BraA09004114","AT1G26761","AT1G26761","Arabinanase/levansucrase/invertase","-","-"
"BraA09004965",2.56557585855135,6.42059640754607,166.509595892941,4.43035206114979e-12,8.75309632732172e-10,FALSE," 20.83564","123.46455","BraA09004965","AT3G56010","AT3G56010","transmembrane protein","-","-"
"BraA05000178",2.58182025690858,4.70054242296884,166.441941046281,4.44884184361968e-12,8.75309632732172e-10,FALSE," 6.168166","37.001047","BraA05000178","AT2G46910","AT2G46910","Plastid-lipid associated protein PAP / fibrillin family protein","-","-"
"BraA02002440",4.43447146709822,5.66188639941414,164.831933208563,4.91453643370487e-12,9.37891212737499e-10,FALSE," 3.194612","69.480704","BraA02002440","AT1G74730","AT1G74730","transmembrane protein, putative (DUF1118)","-","-"
"BraA01002846",10.0614392474769,8.02502296602867,164.568585143375,4.99562701431646e-12,9.37891212737499e-10,FALSE,"  0.3820788","396.2696299","BraA01002846","AT1G62510","AT1G62510","Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein","-","-"
"BraA01001280",2.35439784265534,5.85896389976282,164.3935979094,5.05031245085135e-12,9.37891212737499e-10,FALSE,"16.30066","83.37114","BraA01001280","AT4G21210","RP1","PPDK regulatory protein","-","-"
"BraA09005917",2.54917753941022,9.24574802982866,163.683002655953,5.27915715943662e-12,9.50397278711738e-10,FALSE,"152.8078","894.4285","BraA09005917","AT2G20890","PSB29","photosystem II reaction center PSB29 protein","-","YES"
"BraA01001464",3.29342592857279,4.68585544859511,163.57916687484,5.31352989368697e-12,9.50397278711738e-10,FALSE," 5.285039","51.899088","BraA01001464","AT4G22990","AT4G22990","Major Facilitator Superfamily with SPX (SYG1/Pho81/XPR1) domain-containing protein","-","-"
"BraA07001149",7.11826595260044,3.79853446545778,162.87294891578,5.55385787529342e-12,9.82221606259758e-10,FALSE," 0.2186382","32.5781554","BraA07001149","AT4G27830","BGLU10","beta glucosidase 10","-","-"
"BraA10002282",2.85915249535231,8.40719156593806,161.814490942441,5.93644417356646e-12,1.01391766529525e-09,FALSE," 92.09081","668.24561","BraA10002282","AT5G13650","SVR3","elongation factor family protein","-","-"
"BraA03003168",3.85089752857031,7.32720860078294,161.727801711207,5.96902370490446e-12,1.01391766529525e-09,FALSE," 15.43239","223.02495","BraA03003168","AT4G01040","AT4G01040","Glycosyl hydrolase superfamily protein","-","-"
"BraA02000812",4.88455744834048,3.93853282407992,161.636315370513,6.00361683065097e-12,1.01391766529525e-09,FALSE," 1.057221","31.543590","BraA02000812","AT5G17990","TRP1","tryptophan biosynthesis 1","-","-"
"BraA01000215",2.86738227087554,7.42802554160545,161.598048602117,6.01815092866754e-12,1.01391766529525e-09,FALSE," 31.06669","226.84892","BraA01000215","AT4G36810","GGPS1","geranylgeranyl pyrophosphate synthase 1","-","-"
"BraA09002725",2.43348448380567,6.38289232654062,161.501052036269,6.05516267711267e-12,1.01391766529525e-09,FALSE," 21.27476","115.02411","BraA09002725","AT4G11175","AT4G11175","Nucleic acid-binding, OB-fold-like protein","-","-"
"BraA09003275",3.59562756983702,3.4024042121761,160.373958762858,6.50384599062849e-12,1.07758458834203e-09,FALSE," 1.763901","21.523783","BraA09003275","AT3G01660","AT3G01660","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein","-","-"
"BraA04002652",2.64785319896842,6.48401215023619,159.878806800528,6.71226820251853e-12,1.10053230737127e-09,FALSE," 19.69818","123.46369","BraA04002652","AT2G36530","LOS2","Enolase","-","YES"
"BraA03003722",5.23408602174256,6.26405366555187,159.48065244419,6.88512537751341e-12,1.10411369756108e-09,FALSE,"  4.309434","163.976964","BraA03003722","AT3G11170","FAD7","fatty acid desaturase 7","-","-"
"BraA01004546",3.73568220663412,4.44640659092436,159.346272361214,6.94455248148326e-12,1.10411369756108e-09,FALSE," 2.603483","35.002552","BraA01004546","AT3G06350","MEE32","dehydroquinate dehydratase, putative / shikimate dehydrogenase","-","-"
"BraA01003682",2.07385078814648,7.97883808022437,158.804691323435,7.18976629560798e-12,1.11699971290526e-09,FALSE," 91.54348","385.39698","BraA01003682","AT3G19170","PREP1","presequence protease 1","-","-"
"BraA08003681",4.08044680245941,7.14647744718975,158.535209962352,7.3152710254363e-12,1.11699971290526e-09,FALSE," 13.46425","227.73687","BraA08003681","AT1G09780","iPGAM1","Phosphoglycerate mutase, 2,3-bisphosphoglycerate-independent","-","-"
"BraA05001006",2.98681814209997,8.26491094874402,158.485136536606,7.33885267467544e-12,1.11699971290526e-09,FALSE," 41.43648","328.69697","BraA05001006","AT2G36880","MAT3","methionine adenosyltransferase 3","-","-"
"BraA09004880",2.41944446789605,6.08791784612232,158.336761000119,7.40921501252517e-12,1.11699971290526e-09,FALSE,"16.68256","89.28055","BraA09004880","AT3G55040","GSTL2","glutathione transferase lambda 2","-","-"
"BraA10001563",3.54705196861182,5.85541760201191,158.264495592306,7.44374961823657e-12,1.11699971290526e-09,FALSE,"  8.602386","100.540274","BraA10001563","AT5G60540","PDX2","pyridoxine biosynthesis 2","-","YES"
"BraA09006470",3.41868950934547,9.14250515653088,158.096134920045,7.52488684342361e-12,1.11699971290526e-09,FALSE," 83.46863","893.05881","BraA09006470","AT1G11860","AT1G11860","Glycine cleavage T-protein family","-","YES"
"BraA03004636",2.80187734223173,10.0903668997246,157.984860447008,7.57903978842341e-12,1.11699971290526e-09,FALSE," 194.8687","1358.9988","BraA03004636","AT5G23120","HCF136","photosystem II stability/assembly factor, chloroplast (HCF136)","-","-"
"BraA07000073",2.18334912627246,4.3906461147915,157.567616541389,7.78589714412944e-12,1.1243121197119e-09,FALSE," 7.110293","32.347303","BraA07000073","AT2G20050","AT2G20050","protein phosphatase 2C and cyclic nucleotide-binding/kinase domain-containing protein","-","-"
"BraA03006305",5.89027765669867,3.71985036010633,157.189249263724,7.97878967084229e-12,1.14169226744598e-09,FALSE," 0.3152658","19.5830018","BraA03006305","AT4G34610","BLH6","BEL1-like homeodomain 6","YES","-"
"BraA06004302",3.35964405871255,8.46293656729554,155.715645246108,8.78103218890064e-12,1.234048630833e-09,FALSE," 48.68498","499.99655","BraA06004302","AT3G26650","GAPA","glyceraldehyde 3-phosphate dehydrogenase A subunit","-","-"
