"","logFC_WT","logCPM_WT","F_WT","PValue_WT","FDR_WT","Gene_ID","logFC_phyB","logCPM_phyB","F_phyB","PValue_phyB","FDR_phyB","WT.P_Avg_CPM","phyB.P_Avg_CPM","WT.R_Avg_CPM","phyB.R_Avg_CPM","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development","group"
"BraA01001602",2.12322098532292,4.51414248308931,56.2173171405566,1.20192832867342e-07,0.000346676917598511,"BraA01001602",1.30868331636624,4.51414248308931,17.2451031773407,0.000378323968706488,0.0267358912466288,"10.42357","17.51729","45.85781","43.40927","AT4G24340","AT4G24340","Phosphorylase superfamily protein","-","-","WT_sig"
"BraA05004010",2.64407195554551,3.40468260552644,55.5813000747852,1.32151302769445e-07,0.000346676917598511,"BraA05004010",1.91759371336963,3.40468260552644,24.1937184952461,5.56085851702822e-05,0.0110099245818204," 4.202938"," 8.353051","26.906966","31.531004","AT3G10840","AT3G10840","alpha/beta-Hydrolases superfamily protein","-","-","WT_sig"
"BraA01000203",7.20710794713941,2.81997561151968,54.3677269358828,1.58716508026476e-07,0.000347387811651063,"BraA01000203",2.04101004909258,2.81997561151968,7.82758145560772,0.0101647067898967,0.152956486494239," 0.05220689"," 1.58697171","10.84552914"," 6.61363316","AT4G37150","MES9","methyl esterase 9","-","-","WT_sig"
"BraA06001158",1.17630993904402,7.38641728106648,50.2473291237578,3.02373066955064e-07,0.000528816897096968,"BraA06001158",0.682308699718763,7.38641728106648,12.9418442480237,0.0015020250874888,0.0561564723920991,"125.84426","187.90759","284.61305","301.53376","AT1G07890","APX1","ascorbate peroxidase 1","-","YES","WT_sig"
"BraA09000731",1.6283603490302,4.98575096385375,43.6243799034077,9.24872471030363e-07,0.000970499512934528,"BraA09000731",0.78510464736894,4.98575096385375,7.99526584844814,0.00948922176320364,0.147298176087599,"23.893170","33.553327","73.816839","57.847609","AT5G61060","HDA05","histone deacetylase 5","-","-","WT_sig"
"BraA09006082",1.86974727206294,4.08595237503701,39.7484357708341,1.87828705135019e-06,0.00155601253622379,"BraA09006082",1.01263700628239,4.08595237503701,9.43159792735311,0.00536532469913529,0.110388373107458," 6.929502","10.563733","25.498980","21.339009","AT1G76690","OPR2","12-oxophytodienoate reductase 2","-","-","WT_sig"
"BraA09006599",3.28805774808326,4.65193807534633,38.9383402802338,2.19046514177395e-06,0.001653533140239,"BraA09006599",2.27799316442189,4.65193807534633,16.7115144202063,0.000444780590591639,0.0296646037962389," 3.053231","10.451546","30.664733","50.643295","AT1G09500","AT1G09500","NAD(P)-binding Rossmann-fold superfamily protein","-","-","WT_sig"
"BraA06000924",1.97156827062448,4.11813339337332,38.8816525682742,2.21433140514263e-06,0.001653533140239,"BraA06000924",1.68939424761255,4.11813339337332,22.6005484565767,8.39238547412049e-05,0.0130788264715502," 5.224696"," 6.574589","20.816632","21.269365","AT1G51140","FBH3","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","YES","-","WT_sig"
"BraA07003214",2.22268577021294,4.75794223861561,38.3935300440943,2.43193449127096e-06,0.001653533140239,"BraA07003214",1.95975075285875,4.75794223861561,23.5959204183544,6.47812703701937e-05,0.0112826858383974,"10.03161","19.41580","47.51151","75.61043","AT1G68570","AT1G68570","Major facilitator superfamily protein","-","-","WT_sig"
"BraA01001531",1.19658876643245,4.43914460657703,38.0757623859125,2.58602848456952e-06,0.001653533140239,"BraA01001531",0.578176139919833,4.43914460657703,6.89496222382758,0.0150386360099256,0.183549395090542,"18.956953","22.210610","43.324860","33.160320","AT4G23730","AT4G23730","Galactose mutarotase-like superfamily protein","-","-","WT_sig"
"BraA02001554",2.37225397225988,5.2562240021075,37.9960576977418,2.62632328500476e-06,0.001653533140239,"BraA02001554",1.48472639423583,5.2562240021075,12.6580510119327,0.00165569328394266,0.0593989309461554," 5.675867","17.815053","30.142684","49.898800","AT5G53970","TAT7","Tyrosine transaminase family protein","-","-","WT_sig"
"BraA06001796",1.03462518546914,4.11680499352511,36.8721152931035,3.27350438806262e-06,0.00190833181733724,"BraA06001796",0.568511588212033,4.11680499352511,8.67594607971244,0.00721286353754026,0.126961189448222,"14.240804","21.429063","29.263496","31.780184","AT1G16080","AT1G16080","nuclear protein","-","YES","WT_sig"
"BraA08001009",1.34917819722119,2.95938492216555,36.613371917334,3.44586672910689e-06,0.00193706936843366,"BraA08001009",1.01270640320408,2.95938492216555,16.0416854999735,0.000546838470452341,0.0328520516218315," 5.670287"," 6.568922","14.590854","13.278611","AT5G40700","AT5G40700","transcriptional regulator ATRX-like protein","-","-","WT_sig"
"BraA06004265",1.71900462672395,3.71013767179806,35.2446132063129,4.53814063378893e-06,0.00214794162658211,"BraA06004265",1.06391593612398,3.71013767179806,10.8570684344285,0.00313966064784494,0.0812800305873014," 7.274557","11.886924","24.020764","24.865825","AT3G27170","CLC-B","chloride channel B","-","-","WT_sig"
"BraA09000919",1.41268456758974,6.59969285334263,35.1359352969586,4.63977225564116e-06,0.00214794162658211,"BraA09000919",1.31831986671484,6.59969285334263,23.2184911745606,7.14134851581771e-05,0.0120865403912872," 47.18684"," 55.47352","125.73812","138.34034","AT5G65380","AT5G65380","MATE efflux family protein","-","-","WT_sig"
"BraA06003315",1.5967377214719,4.74188556490214,34.5287338828965,5.25512288380354e-06,0.00236330383403051,"BraA06003315",1.20536566611351,4.74188556490214,15.6992983882098,0.000608661952866429,0.0347113736888319,"11.51469","21.50298","34.62652","49.57535","AT5G65380","AT5G65380","MATE efflux family protein","-","-","WT_sig"
"BraA01002168",2.89471214100689,4.87457835050276,34.2979768442825,5.51178993644146e-06,0.00240987704443302,"BraA01002168",2.07778733982807,4.87457835050276,15.5952463210685,0.000628931410023419,0.0351816194311697," 2.583474"," 5.567372","19.530748","23.497627","AT4G16690","MES16","methyl esterase 16","-","-","WT_sig"
"BraA07002505",1.83594349424703,3.64460238985486,33.9942048421162,5.87066746403809e-06,0.00248324349725531,"BraA07002505",1.10576399261227,3.64460238985486,9.97775377800593,0.00435507565394767,0.0977872907177409," 6.459836","11.654871","23.383289","25.054883","AT1G78290","SNRK2-8","Protein kinase superfamily protein","-","-","WT_sig"
"BraA05004336",1.55454961654147,6.24879228902662,33.2052553280411,6.92707618527836e-06,0.00279569690144311,"BraA05004336",1.0541785537744,6.24879228902662,11.8932002598782,0.00216248151270649,0.0681119578852479," 38.55996"," 85.23632","113.47213","177.01163","AT3G06510","SFR2","Glycosyl hydrolase superfamily protein","-","-","WT_sig"
"BraA02003877",7.77819919104814,9.28952161913713,32.4052994867489,8.21281207210956e-06,0.00308989758025631,"BraA02003877",4.64014048559219,9.28952161913713,10.7193558638518,0.00330251994270894,0.0830378017543748,"   0.5582427","   0.5880364"," 131.7592773","  14.9688661","AT5G48180","NSP5","nitrile specifier protein 5","-","-","WT_sig"
"BraA09006272",1.39582088466084,3.99251895355027,32.3870821468011,8.24496177704986e-06,0.00308989758025631,"BraA09006272",1.33529527564239,3.99251895355027,24.1023012722508,5.6914638111979e-05,0.0110532789261454," 4.076494"," 5.921567","10.736218","15.011474","AT1G14580","AT1G14580","C2H2-like zinc finger protein","YES","-","WT_sig"
"BraA06003015",5.35336648876932,2.15553887111089,31.6888657897733,9.58652984498792e-06,0.00342936317636613,"BraA06003015",2.4797169509014,2.15553887111089,9.19413931449726,0.00588267033668548,0.113890569350653," 0.06147073"," 0.34949717"," 3.02850804"," 2.02452794","AT5G62480","GSTU9","glutathione S-transferase tau 9","-","-","WT_sig"
"BraA05002624",3.4131872701317,2.91488077623517,31.4957390605452,9.99826757332243e-06,0.00343709567000377,"BraA05002624",1.59697543928969,2.91488077623517,6.61182816017735,0.0169934987424773,0.19532134499669," 1.435454"," 5.504010","15.374866","16.737384","AT3G21420","LBO1","2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein","-","-","WT_sig"
"BraA09001800",1.78280515958511,4.67252769433578,31.4744223950544,1.00448793405447e-05,0.00343709567000377,"BraA09001800",1.78283403276182,4.67252769433578,24.1689667094595,5.59589559431788e-05,0.0110099245818204,"14.836703","20.510716","51.237827","70.588151","AT1G60590","AT1G60590","Pectin lyase-like superfamily protein","-","-","WT_sig"
"BraA10001950",2.8191377930752,5.03679346305512,31.1621917169517,1.07553953903685e-05,0.00360191326477448,"BraA10001950",1.05547722123173,5.03679346305512,3.6991679882729,0.0667813477359935,0.363087534840946,"  2.330548","  3.211119"," 16.697183","  6.720070","AT5G18130","AT5G18130","transmembrane protein","-","-","WT_sig"
"BraA03001219",4.15744882400935,4.57804652437568,30.9917009655352,1.11662943995459e-05,0.00366161403851775,"BraA03001219",2.17726584977735,4.57804652437568,7.50322653929712,0.0116270795736213,0.163256228803567," 0.3901626"," 0.6102505"," 7.8072166"," 2.8035960","AT5G58670","PLC1","phospholipase C1","-","-","WT_sig"
"BraA05002243",1.05921628785939,4.5456848113261,30.6484293243076,1.20463725350682e-05,0.00377495566029251,"BraA05002243",0.603255843529033,4.5456848113261,7.71550321946528,0.0106457033271262,0.155450568044223,"12.67725","16.28201","26.67904","24.75653","AT1G35460","FBH1","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","YES","-","WT_sig"
"BraA07003862",1.45360408823881,3.90861320372287,30.5363153815508,1.23499329398612e-05,0.00377495566029251,"BraA07003862",1.05846727420138,3.90861320372287,12.6382871684691,0.00166701812603321,0.0596023334881392," 8.870669","10.342938","24.350947","21.552107","AT1G76350","AT1G76350","Plant regulator RWP-RK family protein","YES","-","WT_sig"
"BraA03000599",6.12269328335073,3.36101774132106,30.0756706345568,1.36874322868374e-05,0.00406490913575134,"BraA03000599",1.61461338983333,3.36101774132106,2.89456497544474,0.102228671229804,0.436893642453736," 0.07574063"," 0.70185437"," 7.19516316"," 2.19753324","AT5G13330","Rap2.6L","related to AP2 6l","YES","-","WT_sig"
"BraA06000550",1.02094697893346,7.02064913773768,29.9808600988519,1.39818162473523e-05,0.00407544051358011,"BraA06000550",0.540970598983928,7.02064913773768,6.44610094585815,0.0182674404527501,0.202332842219878," 83.39047","151.91682","169.22823","221.03851","AT3G44300","NIT2","nitrilase 2","-","YES","WT_sig"
"BraA06000517",2.7840047700885,2.99042346133885,29.6285493321336,1.51375917038479e-05,0.00418324478364439,"BraA06000517",2.36086804676999,2.99042346133885,17.6879601880035,0.000331363004799086,0.0250557677129154," 2.3952955"," 5.3707518","17.1115739","27.6398695","AT3G44990","XTH31","xyloglucan endo-transglycosylase-related 8","-","-","WT_sig"
"BraA10000604",10.0299939650438,3.8194216787555,28.7844549512388,1.83522551131889e-05,0.00437906102167169,"BraA10000604",4.53515947193414,3.8194216787555,9.6552690447704,0.00492342823817318,0.105072198559912," 0.02867315"," 0.53300194","45.16160822","12.55589621","AT1G07430","HAI2","highly ABA-induced PP2C protein 2","-","-","WT_sig"
"BraA10002721",1.5728886264163,3.77571590872035,28.7427832385233,1.85291332561005e-05,0.00437906102167169,"BraA10002721",0.920957142494912,3.77571590872035,7.80026760811999,0.0102796771290324,0.153299751578812," 9.199558","11.846941","27.278570","22.389558","AT5G06780","EML2","Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein","-","-","WT_sig"
"BraA03001227",1.41144718686686,4.65534596416387,28.6955078434473,1.87320448654786e-05,0.00437906102167169,"BraA03001227",1.20513092874596,4.65534596416387,16.3730247585023,0.000493481406935428,0.0314799327603908,"12.46105","19.41761","33.25220","44.75975","AT1G02850","BGLU11","beta glucosidase 11","-","-","WT_sig"
"BraA10003093",1.26230010356239,5.32463653771235,28.6525702726986,1.89184338928637e-05,0.00437906102167169,"BraA10003093",0.511760065797114,5.32463653771235,3.66756733506936,0.0678739010626998,0.365626713448863,"31.02550","49.51932","74.52109","70.60981","AT5G02830","AT5G02830","Tetratricopeptide repeat (TPR)-like superfamily protein","-","-","WT_sig"
"BraA10002276",1.55136785623967,5.50708672408687,28.4859936717083,1.9660860045587e-05,0.00442088481596485,"BraA10002276",1.29935194808349,5.50708672408687,15.4731829342851,0.000653653425937373,0.0359737934414484,"24.17514","37.23914","70.76103","91.65134","AT5G13750","ZIFL1","zinc induced facilitator-like 1","-","-","WT_sig"
"BraA10003067",1.33918742874963,4.50498984268324,28.1814914745175,2.11012744855227e-05,0.00456652518227745,"BraA10003067",0.601160135016293,4.50498984268324,4.5268967671342,0.0441944343697697,0.301709801376086," 7.284343","10.653200","18.667957","16.169885","AT5G20620","UBQ4","ubiquitin 4","-","-","WT_sig"
"BraA03000032",1.87314655483577,4.93691213951897,28.165723061891,2.11789287361025e-05,0.00456652518227745,"BraA03000032",1.09283921914333,4.93691213951897,7.64915143491652,0.0109422614974616,0.157068125013696,"  6.106792","  6.897512"," 22.418864"," 14.747474","AT5G01520","AIRP2","RING/U-box superfamily protein","-","-","WT_sig"
"BraA09005843",1.76058038924177,5.74521768527749,28.1020284783613,2.14957827563652e-05,0.00457221108898902,"BraA09005843",1.34149682780186,5.74521768527749,12.6332367843969,0.00166992560789513,0.0596023334881392," 35.685502"," 49.699655","121.334057","125.963769","AT2G21970","42615","stress enhanced protein 2","-","-","WT_sig"
"BraA08001945",1.66638339384819,5.5985689568378,27.8703835043512,2.26923391855844e-05,0.00469970287869866,"BraA08001945",1.27617996331495,5.5985689568378,12.7387556405987,0.00161031437360054,0.0585366010172577,"24.18259","41.27617","76.96000","99.98635","AT4G30210","ATR2","P450 reductase 2","-","-","WT_sig"
