"Gene_ID","logFC_WT","logFC_phyB","logCPM_WT","logCPM_phyB","PValue_WT","PValue_phyB","FDR_WT","FDR_phyB","sig_conditions","GO:0009507_Chloroplast","A._thaliana_best_hit","Symbol","Description","WT.P_Avg_CPM","phyB.P_Avg_CPM","WT.24_Avg_CPM","phyB.24_Avg_CPM","WT.D_Avg_CPM","phyB.D_Avg_CPM","WT.R_Avg_CPM","phyB.R_Avg_CPM"
"BraA07001417",2.24255908233732,0.403746230394938,4.35780367093647,4.35780367093647,2.75980229945784e-08,0.192484382014585,2.4074341402794e-07,0.243330188170393,"WT_up","-","AT1G32870","NAC13","NAC domain protein 13"," 9.342844","18.959680"," 9.929054","17.041008","57.471005","28.532324","13.881969","16.047987"
"BraA03004292",2.96794354275452,0.919363342907542,3.81476926332885,3.81476926332885,3.73865338916948e-08,0.0303150288125834,3.07291928697272e-07,0.0470153269790189,"WT_up","-","AT3G22370","AOX1A","alternative oxidase 1A"," 5.245310"," 7.979000"," 4.761529","10.365471","51.990398","17.442861"," 9.635944"," 8.158363"
"BraA05000113",3.17419735617424,0.95421689518183,4.81887836368889,4.81887836368889,3.9557330558835e-08,0.0339788940396783,3.20945397249495e-07,0.0520813411264305,"WT_up","-","AT2G40940","ERS1","ethylene response sensor 1","  9.409699"," 17.315574","  8.554606"," 18.782158","113.548167"," 40.080106"," 16.712024"," 14.159806"
"BraA06001267",1.94089070918476,0.318166917996005,3.80490198948648,3.80490198948648,5.48343499025162e-08,0.253388040629818,4.17834040458109e-07,0.309700866556401,"WT_up","-","AT1G56330","SAR1B","secretion-associated RAS 1B"," 5.537877","12.088130"," 7.619036","14.438681","27.692989","17.413032","13.708475","16.323333"
"BraA05004609",1.57028175388465,0.676147431786568,6.26690331831857,6.26690331831857,9.97776338740057e-08,0.00822920223639476,6.95219104549292e-07,0.0147040121694691,"WT_up","yes","AT3G02520","GRF7","general regulatory factor 7"," 44.06340"," 67.20117"," 50.70660"," 81.43557","169.79435","124.66282"," 56.30790"," 47.61413"
"BraA10002904",6.65579084435439,0.920067320042966,2.19457047112381,2.19457047112381,1.06093597069621e-07,0.237435157554234,7.30176308647062e-07,0.292634044311616,"WT_up","-","AT5G09570","AT5G09570","Cox19-like CHCH family protein"," 0.1707459"," 1.9631529"," 0.3138703"," 1.2164715","26.1152028"," 4.1524117"," 1.6319151"," 1.2823600"
"BraA07003299",1.30619611004101,0.425628920145374,4.11524808698331,4.11524808698331,1.96368008218955e-07,0.0445221905060094,1.22603429169629e-06,0.0662487501006417,"WT_up","-","AT1G69580","AT1G69580","Homeodomain-like superfamily protein"," 8.868374","19.137486","10.996108","15.446062","28.660918","29.729142","14.878597","16.042804"
"BraA08003969",5.86977763881148,2.26058340085571,2.44250633996295,2.44250633996295,2.51274402896923e-07,0.0120665086215573,1.51360853486321e-06,0.0206307675106791,"WT_up","-","AT1G03790","SOM","Zinc finger C-x8-C-x5-C-x3-H type family protein"," 0.4366414"," 0.7302823"," 0.7202707"," 0.4969908","36.5257264"," 4.3014098"," 0.5836835"," 0.3141560"
"BraA09006082",2.07099120853042,1.00861143793333,4.08595237503701,4.08595237503701,4.12548870745465e-07,0.0055572891035989,2.29859087629509e-06,0.0103260217790871,"WT_up","-","AT1G76690","OPR2","12-oxophytodienoate reductase 2"," 6.245114","10.400547"," 8.842406"," 8.379791","33.921419","24.541384","23.800582","20.758115"
"BraA09003735",2.23911975769715,0.64666061077146,3.94172988655623,3.94172988655623,4.83366003903829e-07,0.0792792965548879,2.63076794655819e-06,0.110478630170335,"WT_up","-","AT1G30230","eEF-1Bb1","translation elongation factor EF1B/ribosomal protein S6 family protein"," 5.863365","18.401929"," 6.935479","11.201381","36.743718","34.601517"," 7.629315"," 9.592501"
