"","logFC","logCPM","F","PValue","FDR","woundCtrl","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA05003779",-3.31812900053433,9.03659156165186,406.558843881279,5.94262937310851e-14,4.6768493166364e-11,FALSE,"BraA05003779","AT3G13460","ECT2","evolutionarily conserved C-terminal region 2","-","-"
"BraA06001302",-4.42534820904285,8.9592518315228,332.941259274105,3.40540727892441e-13,1.0939002157198e-10,FALSE,"BraA06001302","AT1G09570","PHYA","phytochrome A","-","YES"
"BraA05000169",-5.39475939200376,3.98080518683654,286.453216178543,1.25347771191925e-12,2.21682462759652e-10,FALSE,"BraA05000169","AT2G46970","PIL1","phytochrome interacting factor 3-like 1","YES","YES"
"BraA03003709",-4.63162558886109,4.47584787936266,231.061832807443,7.91100163108404e-12,7.07495259507175e-10,FALSE,"BraA03003709","AT3G10985","SAG20","senescence associated gene 20","-","YES"
"BraA07000520",-3.69962511459903,6.05764304071395,202.207713332058,2.44931631821328e-11,1.51852040787352e-09,FALSE,"BraA07000520","AT2G15580","AT2G15580","RING/U-box superfamily protein","-","-"
"BraA09000394",-3.31366591580849,4.12050862163825,201.307488756496,2.54318087945418e-11,1.56365886885191e-09,FALSE,"BraA09000394","AT3G29100","VTI13","vesicle transport V-snare 13","-","-"
"BraA09006975",-7.0643740384227,6.22338522966263,195.301827674047,3.28161496059704e-11,1.86471550468583e-09,FALSE,"BraA09006975","AT1G02340","HFR1","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","YES","YES"
"BraA08003167",-3.71732478768859,3.12494996887035,186.935306909942,4.73858814411469e-11,2.4374306336067e-09,FALSE,"BraA08003167","AT1G76460","AT1G76460","RNA-binding (RRM/RBD/RNP motifs) family protein","-","-"
"BraA08003014",-11.8251006288014,7.43619421916821,184.779290986462,5.22188238519691e-11,2.62595618987219e-09,FALSE,"BraA08003014","AT1G27110","AT1G27110","Tetratricopeptide repeat (TPR)-like superfamily protein","-","-"
"BraA05000899",-4.84957396458024,8.95229646549038,183.381036764877,5.56445241983025e-11,2.7200149406251e-09,FALSE,"BraA05000899","AT2G38170","CAX1","cation exchanger 1","-","-"
"BraA03005909",-3.09098251405577,8.04269143550722,172.802361205804,9.13379025581063e-11,3.80332959329257e-09,FALSE,"BraA03005909","AT4G29900","ACA10","autoinhibited Ca(2 )-ATPase 10","-","-"
"BraA06001724",-8.12179704689352,4.48916337069744,163.814417721164,1.42281385050271e-10,5.15483507974837e-09,FALSE,"BraA06001724","AT1G15380","GLYI4","Lactoylglutathione lyase / glyoxalase I family protein","-","-"
"BraA03001284",-9.71812995082649,4.70829369310624,223.439802911756,1.53088473470029e-10,5.33100126641207e-09,TRUE,"BraA03001284","AT5G57760","AT5G57760","hypothetical protein","-","YES"
"BraA04002996",-3.02856001016657,8.45774319264315,161.329929498657,1.61453234643299e-10,5.44575361824609e-09,FALSE,"BraA04002996","AT2G41560","ACA4","autoinhibited Ca(2 )-ATPase, isoform 4","-","-"
"BraA09003891",-5.19387144232022,9.70897775111969,156.227072281851,2.1049369570813e-10,6.70682342195539e-09,FALSE,"BraA09003891","AT1G28330","DYL1","dormancy-associated protein-like 1","-","-"
"BraA01004308",-5.37750403761085,4.15859043583396,155.269173388647,2.21431883005593e-10,6.95676215271063e-09,FALSE,"BraA01004308","AT3G10985","SAG20","senescence associated gene 20","-","YES"
"BraA08001424",-4.50541608302582,6.09746486247882,150.263634931045,2.898894760709e-10,8.38769848967723e-09,FALSE,"BraA08001424","AT4G19160","AT4G19160","transglutaminase family protein","-","-"
"BraA03000536",-3.0625230698392,4.03852567373503,146.884662631064,3.49302566521915e-10,9.54517777266483e-09,FALSE,"BraA03000536","AT5G11970","AT5G11970","ABC family ABC transporter, putative (DUF3511)","-","-"
"BraA09001455",-5.93615173318249,5.28608050253166,145.458421418572,3.78338034461975e-10,1.01064785989152e-08,FALSE,"BraA09001455","AT1G64230","UBC28","ubiquitin-conjugating enzyme 28","-","-"
"BraA09000556",-3.89035518009734,3.69582221207652,139.914609825057,5.19547935057259e-10,1.30270885155165e-08,FALSE,"BraA09000556","AT5G27920","AT5G27920","F-box family protein","-","-"
"BraA06001997",-3.44795887698627,7.13427302301018,135.087121458611,6.91180515980261e-10,1.5905235850189e-08,FALSE,"BraA06001997","AT1G18270","AT1G18270","ketose-bisphosphate aldolase class-II family protein","-","-"
"BraA02000212",-4.02266494872303,4.8905799975853,133.993661188783,7.3827185225187e-10,1.6672021455444e-08,FALSE,"BraA02000212","AT5G06300","LOG7","Putative lysine decarboxylase family protein","-","-"
"BraA08002431",-4.28581890168577,5.25231282787139,133.54776615287,7.58487652410461e-10,1.69854191188556e-08,FALSE,"BraA08002431","AT4G40060","HB16","homeobox protein 16","YES","YES"
"BraA01002149",-3.42098808019465,6.249659373292,131.693849176898,8.49381973904505e-10,1.85426799850997e-08,FALSE,"BraA01002149","AT4G16780","HB-2","homeobox protein 2","YES","YES"
"BraA04003296",-4.78037729497613,8.83340884795396,131.200543720475,8.75559377493156e-10,1.89472929816335e-08,FALSE,"BraA04003296","AT2G46600","AT2G46600","Calcium-binding EF-hand family protein","-","-"
"BraA08001833",-3.30564823823147,5.11142925212607,129.557492553342,9.69417825278703e-10,2.033059643932e-08,FALSE,"BraA08001833","AT4G32150","VAMP711","vesicle-associated membrane protein 711","-","-"
"BraA03004213",-3.70301677700058,6.91675283930605,126.075635274163,1.20751017896795e-09,2.36821080102164e-08,FALSE,"BraA03004213","AT3G20770","EIN3","Ethylene insensitive 3 family protein","YES","YES"
"BraA06001664",-3.17509489702359,8.88445505822908,126.066965573815,1.20817869963175e-09,2.36821080102164e-08,FALSE,"BraA06001664","AT1G14740","TTA1","class I heat shock protein, putative (DUF1423)","-","-"
