"","logFC","logCPM","PValue","FDR","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA05000169",-5.63281747636271,2.9992833096493,1.04560814194107e-43,1.64578721541525e-39,"BraA05000169","AT2G46970","PIL1","phytochrome interacting factor 3-like 1","YES","YES"
"BraA10000108",-9.64437025877997,2.09908462448573,2.17881664040587e-41,1.71472869599942e-37,"BraA10000108","AT1G02340","HFR1","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","YES","YES"
"BraA09006975",-5.75219037264916,3.33522248139265,6.92702149146762e-41,3.63437727585668e-37,"BraA09006975","AT1G02340","HFR1","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","YES","YES"
"BraA03002625",-3.69728613277316,2.81057284347983,3.78727786667858e-30,9.93529227025348e-27,"BraA03002625","AT5G52930","AT5G52930","hypothetical protein (DUF295)","-","-"
"BraA10002784",-2.81701578196393,3.90455647339157,8.14687003907179e-28,1.2823173441499e-24,"BraA10002784","AT5G07200","GA20OX3","gibberellin 20-oxidase 3","-","-"
"BraA07003442",-2.64277636015985,2.83222317356061,9.14906564376221e-24,1.20005244360681e-20,"BraA07003442","AT1G71110","AT1G71110","transmembrane protein","-","-"
"BraA01002149",-2.01258646150117,4.90565068327337,2.29441509783504e-22,2.5795781171374e-19,"BraA01002149","AT4G16780","HB-2","homeobox protein 2","YES","YES"
"BraA09006785",-8.23859637275999,0.118526739602855,6.30177523465892e-18,6.19937138709572e-15,"BraA09006785","AT1G06080","ADS1","delta 9 desaturase 1","-","-"
"BraA05004208",-2.16419833052235,4.53220481471317,4.66237781967638e-17,4.07699038231701e-14,"BraA05004208","AT3G08030","AT3G08030","DNA-directed RNA polymerase subunit beta (Protein of unknown function, DUF642)","-","-"
"BraA09002904",-2.71492360407689,3.24972018396394,1.70058590930097e-16,1.32309251324656e-13,"BraA09002904","AT4G08780","AT4G08780","Peroxidase superfamily protein","-","-"
"BraA03002626",-8.27462993626497,0.949816045651141,1.76524414092616e-16,1.32309251324656e-13,"BraA03002626","AT5G52940","AT5G52940","hypothetical protein (DUF295)","-","-"
"BraA02000242",-6.33122526958089,1.31407524222925,3.62276864381732e-16,2.5919262933493e-13,"BraA02000242","AT5G07200","GA20OX3","gibberellin 20-oxidase 3","-","-"
"BraA07003439",-2.02711837126294,2.57837673290143,9.40433402966031e-16,6.16767573445222e-13,"BraA07003439","AT1G71050","HIPP20","Heavy metal transport/detoxification superfamily protein","-","-"
"BraA08000203",-2.24069825961164,5.88578991948045,2.13237672379458e-15,1.29090806278949e-12,"BraA08000203","AT2G18660","PNP-A","plant natriuretic peptide A","-","-"
"BraA10001437",-2.34935667177398,3.35194080849742,1.13247676817713e-13,5.24270127385529e-11,"BraA10001437","AT5G59010","BSK5","kinase with tetratricopeptide repeat domain-containing protein","-","YES"
"BraA09001300",-4.09672545038364,1.48037877861438,5.27482308887374e-12,1.72970240455985e-09,"BraA09001300","AT1G20750","AT1G20750","RAD3-like DNA-binding helicase protein","-","-"
"BraA07003741",-4.29549103832286,3.84285955614849,3.57319384643367e-11,1.00432269897975e-08,"BraA07003741","AT1G75030","TLP-3","thaumatin-like protein 3","-","-"
"BraA01002253",-2.12909248182169,4.16333516937577,5.89341308048934e-11,1.49616648204681e-08,"BraA01002253","AT5G48930","HCT","hydroxycinnamoyl-CoA shikimate/quinate hydroxycinnamoyl transferase","-","YES"
"BraA03004240",-4.68232580214272,-0.0317732947324744,1.3789539345333e-10,3.2885962014476e-08,"BraA03004240","AT3G21330","AT3G21330","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","YES","-"
"BraA05000507",-2.69023966915119,3.89531790383527,2.09643836461869e-10,4.78231012450699e-08,"BraA05000507","AT2G43520","TI2","trypsin inhibitor protein 2","-","-"
"BraA06002134",-2.80994404727626,2.09548647119684,2.34028703213649e-09,4.13888965009307e-07,"BraA06002134","AT1G19670","CLH1","chlorophyllase 1","-","-"
"BraA01000203",-4.41363748765843,0.480347721514875,3.10083287929333e-09,5.13759047579758e-07,"BraA01000203","AT4G37150","MES9","methyl esterase 9","-","-"
"BraA02002460",-2.26695859013107,1.54294618778631,3.98506893803989e-09,6.40050868211713e-07,"BraA02002460","AT1G75240","HB33","homeobox protein 33","YES","YES"
"BraA02001060",-3.90012833274572,-0.138440675839588,4.16608538272097e-09,6.56175458166883e-07,"BraA02001060","AT5G22500","FAR1","fatty acid reductase 1","-","-"
"BraA03005048",-6.6691325383098,-1.03379595469909,1.31295421788509e-08,1.81279819206239e-06,"BraA03005048","AT4G17030","EXLB1","expansin-like B1","-","YES"
"BraA07003776",-3.61431906321071,2.47813039785596,1.44434991613934e-08,1.97687545043768e-06,"BraA07003776","AT1G75450","CKX5","cytokinin oxidase 5","-","YES"
"BraA02002842",-2.18467452328124,2.79641878936207,1.93790870734695e-08,2.56325067677655e-06,"BraA02002842","AT1G80130","AT1G80130","Tetratricopeptide repeat (TPR)-like superfamily protein","-","-"
"BraA05004259",-2.85813528773639,1.29232695614061,1.2918886393177e-07,1.3832875634599e-05,"BraA05004259","AT3G07390","AIR12","auxin-induced in root cultures-like protein","-","-"
"BraA03004408",-2.38970541594982,5.99270407923919,1.41845394907175e-07,1.49842048042881e-05,"BraA03004408","AT3G25180","CYP82G1","cytochrome P450, family 82, subfamily G, polypeptide 1","-","-"
"BraA04000504",-4.28833604910461,-0.201101526052292,1.55165275374124e-07,1.61741816846934e-05,"BraA04000504","AT3G55240","AT3G55240","Plant protein 1589 of unknown function","-","-"
"BraA10000910",-2.93957704905131,0.764263839279862,3.25291539097717e-07,3.01181695611651e-05,"BraA10000910","AT5G53200","TRY","Homeodomain-like superfamily protein","YES","YES"
"BraA01000624",-3.3178244069249,1.27069310020268,3.64198805739176e-07,3.31357757360383e-05,"BraA01000624","AT4G32280","IAA29","indole-3-acetic acid inducible 29","-","YES"
"BraA03002351",-2.08656219549934,6.02385560884004,5.10036893351546e-07,4.48490541975046e-05,"BraA03002351","AT2G42530","COR15B","cold regulated 15b","-","YES"
"BraA03004409",-3.60573468722269,1.8127080177191,7.58933836037289e-07,6.42237558022953e-05,"BraA03004409","AT3G25190","AT3G25190","Vacuolar iron transporter (VIT) family protein","-","-"
"BraA01001344",-2.24714622598614,1.5668063540371,2.4443360630771e-06,0.000180628402032082,"BraA01001344","AT4G21895","AT4G21895","DNA binding protein","-","-"
"BraA02003347",-2.99023358074782,-0.499172570761138,2.62700111876459e-06,0.000193219614996984,"BraA02003347","AT2G01520","MLP328","MLP-like protein 328","-","-"
"BraA06000867",-2.00822552017392,2.49044541430405,4.14916619609422e-06,0.00028769989394944,"BraA06000867","AT2G33070","NSP2","nitrile specifier protein 2","-","-"
"BraA10002904",-3.05006055294013,0.0237562750749933,5.45345409006709e-06,0.000363717658379899,"BraA10002904","AT5G09570","AT5G09570","Cox19-like CHCH family protein","-","-"
"BraA01000945",-4.96156303615516,0.407131235536383,5.94007156774905e-06,0.000392843388556177,"BraA01000945","AT4G28720","YUC8","Flavin-binding monooxygenase family protein","-","YES"
"BraA06002102",-2.04099603741899,4.07122645569126,6.82169162074334e-06,0.000436503367609446,"BraA06002102","AT1G19320","AT1G19320","Pathogenesis-related thaumatin superfamily protein","-","-"
"BraA01000130",-4.75838124338007,1.51392773277907,9.80768939513988e-06,0.000596034869032825,"BraA01000130","AT4G37770","ACS8","1-amino-cyclopropane-1-carboxylate synthase 8","-","-"
"BraA08001274",-3.11516494294968,0.0304803542422655,9.93358791096929e-06,0.000601364129687141,"BraA08001274","AT4G16520","ATG8F","Ubiquitin-like superfamily protein","-","-"
"BraA08001546",-2.36747829176622,2.29123389856873,1.87845785059826e-05,0.00103743601994444,"BraA08001546","AT4G21070","BRCA1","breast cancer susceptibility1","-","YES"
"BraA08002297",-2.39920170810957,3.24873575440333,1.94010496281396e-05,0.00106032125398235,"BraA08002297","AT4G35720","AT4G35720","DUF241 domain protein, putative (DUF241)","-","-"
"BraA05002063",-2.01510255904301,3.13809491911264,2.17473225549364e-05,0.00116034866784644,"BraA05002063","AT1G48330","AT1G48330","SsrA-binding protein","-","-"
"BraA08002141",-2.04787173120451,1.80106359015869,2.71791468102851e-05,0.0013667724306514,"BraA08002141","AT4G27940","MTM1","manganese tracking factor for mitochondrial SOD2","-","-"
"BraA05002634",-4.19766568231956,0.423534268650607,2.93195803942772e-05,0.00145580503282626,"BraA05002634","AT3G21330","AT3G21330","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","YES","-"
"BraA09005457",-5.42292965925343,-1.0188645223593,3.84060675223009e-05,0.00178849557041721,"BraA09005457","AT3G62090","PIL2","phytochrome interacting factor 3-like 2","YES","YES"
