"","logFC_WT","logCPM_WT","F_WT","PValue_WT","FDR_WT","Gene_ID","logFC_phyB","logCPM_phyB","F_phyB","PValue_phyB","FDR_phyB","WT.P_Avg_CPM","phyB.P_Avg_CPM","WT.D_Avg_CPM","phyB.D_Avg_CPM","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development","group"
"BraA09004590",-1.25094683871328,4.5770239341153,9.14983256119622,0.00598514207821587,0.0103330192290356,"BraA09004590",-1.63502382071833,4.5770239341153,11.5039994933331,0.00248374390210487,0.00504525705793761,"32.767948","29.176121","13.841117"," 9.340447","AT3G51720","AT3G51720","WEB family protein (DUF827)","-","-","phyB_sig"
"BraA03005579",-1.30843081604871,5.68462326562606,9.13462003849363,0.006020776474457,0.0103865652902185,"BraA03005579",-2.40427614390146,5.68462326562606,21.8717737733003,0.000101830184685027,0.000310501183057404," 60.50071","108.99488"," 24.45058"," 20.53628","AT4G25260","AT4G25260","Plant invertase/pectin methylesterase inhibitor superfamily protein","-","-","phyB_sig"
"BraA08003722",-0.716909912572596,5.65091536540518,9.12555206441638,0.00604212854254717,0.0104176912323028,"BraA08003722",-1.11853825773001,5.65091536540518,16.4992302320831,0.000474674818723881,0.00117863726876698,"60.90229","66.39963","37.00146","30.55381","AT1G09160","AT1G09160","Protein phosphatase 2C family protein","-","-","phyB_sig"
"BraA02001839",-1.62390462238835,4.57911217049049,9.10910865425206,0.00608105995790315,0.0104790763890295,"BraA02001839",-2.94842217261831,4.57911217049049,20.7288208876592,0.000138861811174337,0.000404157712256668,"20.384293","28.946511"," 6.908378"," 3.760204","AT5G49630","AAP6","amino acid permease 6","-","-","phyB_sig"
"BraA03001000",-0.89470708159958,4.89328711617804,9.10675767738787,0.0060866486261162,0.0104852631471018,"BraA03001000",-1.63291441303426,4.89328711617804,22.638591501402,8.3088389646606e-05,0.00025979564025379,"20.47792","31.57808","11.15632","10.17481","AT5G20070","NUDX19","nudix hydrolase homolog 19","-","-","phyB_sig"
"BraA08003388",-1.65360520942484,3.70325377773285,9.088071685444,0.00613126969334553,0.0105482768579362,"BraA08003388",-2.29078807668121,3.70325377773285,12.7907810427166,0.00158178324787917,0.0033864619588708,"14.759792","16.771316"," 4.744212"," 3.393821","AT2G32060","AT2G32060","Ribosomal protein L7Ae/L30e/S12e/Gadd45 family protein","-","-","phyB_sig"
"BraA08003693",-1.12416461343626,2.93636866827927,9.04707961189111,0.00623042149977805,0.0107024811095172,"BraA08003693",-1.66241533102572,2.93636866827927,15.0645426372611,0.000744452511852399,0.00174227186790782," 6.735811"," 9.743394"," 3.090016"," 3.056554","AT1G09690","AT1G09690","Translation protein SH3-like family protein","-","-","phyB_sig"
"BraA09006826",-0.96119927743552,3.81297553943896,9.03889382963822,0.00625043171785727,0.0107298282516167,"BraA09006826",-1.88178227723376,3.81297553943896,26.717495209254,2.98307311654299e-05,0.000108789552489311," 9.743905","22.440959"," 5.081588"," 6.051199","AT1G05200","GLR3.4","glutamate receptor 3.4","-","-","phyB_sig"
"BraA05003276",-1.33075982083403,4.55508473831759,9.02711109196292,0.00627935888851412,0.0107747856650182,"BraA05003276",-1.96512996497968,4.55508473831759,14.2561678171011,0.000967409103728416,0.00219030772334368,"30.15841","28.75664","12.14291"," 7.32339","AT3G18710","PUB29","plant U-box 29","-","-","phyB_sig"
"BraA03002225",-1.54794308009062,4.81609183123228,9.01785521605891,0.0063021857317144,0.0108092408648997,"BraA03002225",-2.43092523039089,4.81609183123228,15.6848273591021,0.000611437747751274,0.00146886907045254,"33.902400","35.286261","11.492560"," 6.537696","AT2G40010","AT2G40010","Ribosomal protein L10 family protein","-","-","phyB_sig"
"BraA08003090",-0.951308381766143,4.75958995682095,8.99293888871814,0.00636408905553898,0.0109059076466177,"BraA08003090",-1.28547549821662,4.75958995682095,12.1370062924813,0.00198457433565472,0.00413410594237978,"31.55114","28.62699","16.40834","11.75409","AT1G22410","AT1G22410","Class-II DAHP synthetase family protein","-","-","phyB_sig"
